,id,comment,author,likecount,publishedAt
0,UgxgQUx4Tvwbu38kKtp4AaABAg,"""Merah"" is actually indonesian word for red",bryan anofa,0,2021-11-18T10:24:57Z
1,UgzfphtLJ8mSGdmUMtJ4AaABAg,Poor Aquaman,Han san,0,2021-11-02T02:05:48Z
2,Ugwdyfl-6h6b2pGb8B14AaABAg,Amber Heard really is an excellent method actress. Heard she had lots of experience beating up men before Aquaman.,A,1,2021-10-17T07:22:46Z
3,UgxUCSaLl-ZGbZuEYcF4AaABAg,love the character hate the actress,Owen Batallatt,2,2021-10-15T19:52:08Z
4,UgwaiYSUD6lPpkn6TVh4AaABAg,1:29,권다현,0,2021-10-07T05:36:10Z
5,Ugwg_dsflau3p960lV94AaABAg,she looks like Ariel,Elizabeth Baiden,0,2021-10-02T00:20:17Z
6,UgyilZGtQeKSQbMmKEp4AaABAg,"Powers:
Invulnerability
Water manipulation
Super strength
Super speed
Water blast
Liquid manipulation",Brelan Brown,1,2021-10-01T19:03:43Z
7,UgyMQka2D6dVE5lerB14AaABAg,That would be some funny shit if captain sparrow had a cameo in Aquaman and bumping into queen Mera.,Phillip Cabagnot,0,2021-09-25T21:16:11Z
8,UgwLHq0x4uP8lUW0T3h4AaABAg,Eventually got tired of Ursula's f@t @ss,Phillip Cabagnot,0,2021-09-25T21:14:37Z
9,UgxK8vaNctcNfdom3HV4AaABAg,Queen mera was really the Little Mermaid until she was recruited by the DC league.,Phillip Cabagnot,0,2021-09-25T21:09:37Z
10,UgzKobZmJMLZJQ-88kV4AaABAg,I hope they just recast Mera and don’t get rid of her because the character is great the actress is gross.,Whore Stefania,1,2021-09-19T17:02:46Z
11,UgyDLsujsDkwafIISg14AaABAg,Her character is great but the actor ...meh,Inga Inga,2,2021-09-19T11:17:16Z
12,UgzEdyX49mVc0qriT7x4AaABAg,"Yea Amber isn't  a terrible person .but she was amazing as Mera. The character,  it suited het",P S,0,2021-09-18T04:17:51Z
13,UgwH7fgKv_oEAszVjHR4AaABAg,That wine scene was awesome,Gabriel Visano,0,2021-09-17T13:25:18Z
14,UgzpEthlqMVeyJZ88dx4AaABAg,Yall keep fighting while me just enjoying Mera.🤣🤣,basbTV,2,2021-09-15T12:46:43Z
15,UgwB1w0_j4C6dapxbBd4AaABAg,They won't believe you because you're a man,ielya tehrani,2,2021-09-14T00:53:36Z
16,UgyEEd2MS8QMkFINFuJ4AaABAg,The Snyder Cut changes how Aquaman world works,Y.,0,2021-09-09T21:52:04Z
17,Ugy3Rex-IcS5qHFvdBt4AaABAg,"Can we talk about how Mera is an atlantian and she has all of these other powers to her that makes her stand out so much? Her physiology and species has even been known to be as strong as Amazonians (Even though she got beat up by WW and all, but anyways.) Mera is actually a strong and outstanding character with so many feats to her,  I would like to see this character get her own movie.",xChanelTiara,0,2021-09-09T14:05:41Z
18,Ugxuaseh5DOcrkoz55R4AaABAg,Mera is a bitch she cheated on Jonny depp,RAJU MISHRA,0,2021-09-03T13:05:27Z
19,Ugz1wUquK8Ze12zITDJ4AaABAg,5:17 when youre the real og in your goddess gives you the look of a lifetime of love,dreday92x,0,2021-09-01T23:17:19Z
20,UgyfaKdxB-kSzwRFFvR4AaABAg,I love mera,Hahaha,1,2021-08-21T10:19:55Z
21,UgyuPF69B3tWcZs91DJ4AaABAg,😍😍😍🤩🤩🤩,Aline Gagli,1,2021-08-20T22:41:06Z
22,UgzPeCLzAkDs6Rw1flx4AaABAg,Water bending is the most OP power and the best,Funny Bunny,2,2021-08-20T08:40:25Z
23,UgwL29xSLJ2GXr45lN94AaABAg,@3:25 she practiced for this scene by throwing a wine bottle with such force at Johnny Depp that it severed his finger,Pyjama Kid,1,2021-08-16T08:30:04Z
24,UgyGpCQ7fOpR3fZVx2R4AaABAg,"queen, just like the actress should have beaten her abuser more and so nice to see the nerds crying in the comments",Flustered,0,2021-08-05T21:59:19Z
25,UgzrH3dnb2jO2ahjP254AaABAg,"They should do Darkest Night.  Then when Mera puts on the red rage ring, she can pull off the red wig, show the blond & say ""I'm actually Amber Fucking Heard"" and all the other actors will scatter to save their careers lol.",Cr Hu,0,2021-08-04T04:12:05Z
26,Ugwx7uCvP8UmXCWNlVx4AaABAg,"*let's all discriminate princess Mera because of the Johnny Depp abuse*

BTW HE WON SO STOP HATING ON MERA NOW.",Sundance McKay,0,2021-08-04T03:59:10Z
27,UgwHqGLrgRVI7nSMM2p4AaABAg,Her greatest power. Playing the victim,Josh Lee,1,2021-08-02T00:39:21Z
28,UgxYdOEarPqlli3Wqg14AaABAg,Amber is phenomenal in this role.,Aman Singh,0,2021-07-25T06:53:17Z
29,Ugzw-6ShFv-nRB4YMqV4AaABAg,Katara>Mera,pain ryuzaki,0,2021-07-23T00:13:38Z
30,UgypiPyEtk7gODHlfxp4AaABAg,Im really sad that shes so beautiful but hes bad 😔✋,Ronald Eliares,0,2021-07-16T07:47:47Z
31,UgyQyC_LoqTDgwG1Pst4AaABAg,Por que choras Ariel,Emilly Vitoria Vitoria,0,2021-07-15T02:22:07Z
32,UgxQ214pB6VFqCIJOGp4AaABAg,Amber is beatiful as crazy,charina rijo montero,0,2021-07-09T20:58:29Z
33,Ugw1fLVcQcYYGDEJJ1l4AaABAg,I just came here to see who mera was and now I know she be beating people ass on and off the screens,Rena Lovington,0,2021-07-06T19:11:37Z
34,UgxP4hOn9L2g-6UqIeh4AaABAg,"Me: (Christina Ricci voice) *""She's got a boney ass.""*",T. A. Bellard,1,2021-07-06T03:19:07Z
35,UgxC3upZU9KTAWEJGUV4AaABAg,This shit was so cool when I was a bit younger 14ish. but now I look back and it’s kinda cringe fuck 🤣,Regular What ever,1,2021-06-17T11:45:26Z
36,Ugz99hrXEoA98jJH_-Z4AaABAg,"Tbh , the character and acting is all fun but if the actress had little knowledge that her behavior can change everything......",Dean Jean,0,2021-06-16T11:52:07Z
37,Ugy9YfHmXWmnCPjDIOR4AaABAg,too bad the actress is a piece of shit :/,soupisgross,3,2021-06-15T04:05:52Z
38,UgzXZWYHLOj5RwsG2UJ4AaABAg,wow mera is cool water,Spring Playz,0,2021-06-10T00:13:15Z
39,UgyOSnvjKJ4Nb1_hxGl4AaABAg,#RestoreTheSnyderVerse #ReleaseTheAyerCut #JusticeForJohnnyDepp #MakeTheBatFleckMovie #ManOfSteel2WithHenryCavill #CyborgMovieWithRayFisher #DeathstrokeHBOMax #GalGadotFan #JohnStewartSnyderVerse #ChrisTerrioFan #ReleaseTheNumbers #MakeTheNewGodsMovie #UsUnited #ReleaseTheGreenLanternScene #IStandWithRayFisher #DoYouSeeItDiscovery #DoYouSeeItHamada #DoYouSeeItSarnoff #ZackSnyder #BrainiacSnyderVerse ^^ 🇫🇷,Nicolas Larose,1,2021-05-29T15:55:29Z
40,UgzEmNkauYp8zcBVit14AaABAg,"Y'all can say what you want, but she is Mera and Mera is her! That's that on that!",Moses Mokua,3,2021-05-26T11:30:14Z
41,Ugxi947jvt1gYZwqdSh4AaABAg,Can next time a natural read hair woman 👩‍🦰 be the cast.,New world And happiness,2,2021-05-15T07:20:05Z
42,UgxmbDqtpwzdtraYJj54AaABAg,OMG!! My name is Mera but I’m From🇦🇪🖤,#JUST M?,0,2021-05-04T07:38:27Z
43,UgwwHI1ctD6v6rHtVYN4AaABAg,i purposely watched this video not to see mera's power but to see how the people in the comments roast to actress who played her,Swaggy_ Gatchieee,6,2021-04-30T16:02:11Z
44,UgyP9SC3XH3K7VpOVdd4AaABAg,She is KADITA,Angel Ortega,0,2021-04-30T07:40:30Z
45,UgzbEen727iuzoccesR4AaABAg,Guess who's coming back as mera in aquaman 2!,Unicorn is REAL!,0,2021-04-26T13:06:19Z
46,UgyaZToJvf1R3zr2QoZ4AaABAg,Not the wineeeeee,gaara sucimo,0,2021-04-21T04:28:02Z
47,UgwGc--80ogOVLv-Uxt4AaABAg,I’m only here to ask who y’all think should play mera instead,Gxilds,2,2021-04-20T02:37:09Z
48,UgyjjsQakBda3Woq_4h4AaABAg,All the Johnny Depp fans in the replies ruining these scenes for me with their SWJ shit. Replying under this won’t help Johnny he is still a wife beater move on.,Tay Lor,1,2021-04-19T13:12:21Z
49,Ugzsk8WpRz-CN3Mverd4AaABAg,Ariel in another dimension,Ruben Third King,0,2021-04-14T18:00:57Z
50,UgxHIppdwdVNyDkiZm94AaABAg,"*Aquaman (2018)* f'u""l'l M'ö'V'l""e
——————————————————
Watch Here:▶ playforfull.blogspot.com/tt1477834/




..今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,.
 💖🖤在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。.
 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品""""""""""
Це механізм, який ми
використовуємо для встановлення
Кеннеди, Жонсон нарын тэргүүлэгчид, Вьетнам,
qwjtfrtyuiloiaaaaaaaaaioojookokokokojuhygtfrdeseckkfjjjz
kjadfoiyuisdfasdddddddddddddfdfgdfshgrtr",Movie Very good,1,2021-04-13T21:54:53Z
