,id,comment,author,likecount,publishedAt
0,UgzxsjNtjNqtpa2rTQ54AaABAg,"She never does any wrong and THAT exactly will be her down fall because of the simple fact that we are only HUMAN and the fact that humans can NEVER be ""perfect"" yells at her stupidity.
LOVED WATCHING THIS. TOTAL SMART AND JUST MOVE.
THANK YOU, JUDY AND STEVIE.
P.S. I signed 😉",Flor Delgado,0,2021-08-28T14:59:09Z
1,Ugwt0jxtZkDCTzFm0Uh4AaABAg,I don't want that ugly woman to be around jason momoa. She is crazy.,neha sanwal,0,2020-12-24T12:46:07Z
2,UgzW1Dm5PRslUnT4d1x4AaABAg,I never believed her either,Christine Lee,0,2020-11-24T22:10:32Z
3,UgyMprNADLal5eC66eZ4AaABAg,She is not a Bot Amber!!!,whiteheart68,0,2020-11-16T09:32:20Z
4,UgzzkHhpbQ095Pwr9eN4AaABAg,The media is under Elon Musk's thumb!!,whiteheart68,0,2020-11-16T09:30:31Z
5,UgzOKgdM_-Avlku0aWR4AaABAg,I proudly. Signed your  petition. Thank you for sTarting this incredible petition to help this legendary actor and domestic abuse survivor.we will get Mr. Depp the justice he deserves,Jeanne Cihla,1,2020-11-16T07:30:35Z
6,Ugyek33fhIGvppVBvO14AaABAg,im signing the Petition,nel-sun studio,0,2020-11-10T05:13:21Z
7,Ugz455vE9ijETirBo9J4AaABAg,Lol both have talent  Depp and Def leopard,Lisa Thomson,0,2020-11-06T10:20:51Z
8,Ugz120ZnikRKiADWVDB4AaABAg,Thanks for standing up for the TRUTH You All !!!!!!!,Revaline Isle,1,2020-11-03T22:03:02Z
9,UgxFhv1W_E9R_edlTkl4AaABAg,"I have to say, I myself am the same. I never really got on Twitter much only on my Professional Account for Business purposes. I ended up wanting to check in on  Incredible Brian on there and met some great people. There is actually a very large community on the forums since day one. I remember going on one in particular where all info is pinned to the top for members to access court info etc. Here thousands sit together and discuss. The petition was shared there and that's how I found it the first time. Many avoid twitter due to a few toxic people that have tried to overtake and made some uncomfortable with harassment on others so they go to Forums and Youtube channels mostly for their information over the last few years. Shout out to all the great you tubers who have really been getting the word out and to the petitions too. Many fans, on Twitter, forums, Youtube, Facebook etc spread the word and sign these. The most paramount outside of the Petitions is the YouTubers. I still scroll around and chat on Twitter myself We had a six-hour chat and listening party on a forum and on Facebook for those audios that came out with her admitting to hitting him. Great video as always I just wanted some to know there is so many out there helping spread the word Twitter is just a drop in the pool. I also hate cancel culture but I'm a survivor and I have worked with DV centers and victims doing charities and things. I hate she used them. I still remember the day I saw someone claim Spiritually empowered was a new person looking at the case when she has been doing it for a long time Twitter people just had no idea of all the great YouTubers. It's good to see the recognition from some of them who don't realize JD supporters are everywhere.",Tammie queen,1,2020-10-31T01:22:28Z
