,id,comment,author,likecount,publishedAt
0,UgwjEoHcw0ZNPoThFSp4AaABAg,Both really only one is a abuser and one was abuses,Cindee Paul,0,2021-05-16T22:28:54Z
1,UgxLeUjW4qjvTYaLumZ4AaABAg,its 1.9 million who signed the Petition,ella scrupple,2,2021-05-05T02:48:43Z
2,UgwhptAUaCxBNxGUVQN4AaABAg,Her name is forever Scamber Turd!! And her buddy IO Toilet! Good pair!!,Pamela Gibson,0,2021-05-03T21:46:31Z
3,UgwrM3pPM_bqYvCFhH94AaABAg,"I will never go see any movie she is in, nor will I buy any movie she is in.  Pooping on their bed, she lied about donating 7 million she got from Johnny and abused him. She has been caught lying multiple times.   If she was a man, she would be in Jail for her actions. Why do so many women who are abusive get away with it.  Yuk!",Lazerath,1,2021-05-01T23:52:56Z
4,UgxKUuU-fFM59_VRznF4AaABAg,JusticeForJohnnyDepp;  LoveSupportProtectJD/Truth xxx,Donna-Marie Thoms,2,2021-05-01T04:04:41Z
5,UgzVALjXrA6zoapTRjZ4AaABAg,Please do not use the word 'war'. Johnny Depp did not start any of it. The woman is a liar and should be punished for her lies. Justice for Johnny Depp!!!!! 🇦🇺,Galina Qader,1,2021-04-28T22:54:02Z
6,UgysuCB1TY_Fl9SVUzN4AaABAg,I never want to see that woman in anything ever again. I cannot abide abusers.,Luminya M,1,2021-04-28T15:09:18Z
7,UgwWIS2TeQ4-UNGz3-R4AaABAg,We need to boycott aquaman #boycottAquaMan2 #fireAmberHeard,INGSOC,3,2021-04-26T13:03:22Z
8,Ugz54kEK1V54yJfLX8N4AaABAg,"After the recent video cam from the police visit to Johnny Depp apartment... proves without a doubt, she totally lied under oath with her friend.... and so we can say Amber Heard give all the profoundness and meaning to the word b****h",Guy Mercier,0,2021-04-26T04:47:46Z
9,UgwsDTVRv6IEbtvJf014AaABAg,NOBODY EVEN HEARD OF HER NAME UNTIL SHE MARRIED JOHNNY DEPP..#JUSTICEFORJOHNNYDEPP,stealth women,3,2021-04-26T03:10:25Z
