,id,comment,author,likecount,publishedAt
0,UgzrZmeaiVoNHGyGXQ54AaABAg,Elon musk lives in my city,ssaliens28,0,2021-07-29T20:00:02Z
1,UgxSg_IgI4mVIB-gioV4AaABAg,Even the man must either be an idiot or a child hater to let his sperm to create a baby and gift it to that psychoparh... These people are so self centered. Self absorbed. Full blown narcissist that they would bring a baby into this...,samantha q,0,2021-07-26T17:05:30Z
2,UgyWE9ikRFSdhNQ6VZh4AaABAg,Wow-,Luz Maria Rahla,0,2021-07-26T15:03:21Z
3,Ugw_bpWg-HQW6DHLHQp4AaABAg,"When was she pregnant? She's in media every frickin day. Didn't show it. A surrogate? Then the father knows? What paths may this story go.If the ""I'm a new mother"" senario doesn't score hard enough there is always"" a baby becomes ill from unknown reason, fighting for it's life"" then recovers and "" a baby is kidnapped,mother must search for it"" following"" baby found but turns out not to be the right one"" next""mother has breakdown and goes to mental health hospital"" morphs into "" mother suffers multiple DID host personality no longer exists and present personality cannot be held responsible for hosts legalities."" for example.",michael randall,0,2021-07-24T22:01:32Z
4,Ugz7lqXJOQj5lK3JdFt4AaABAg,"an embryo born to Heard from a seragate that didn't want it...Yeah, good luck kid.",Cloud 9,0,2021-07-24T15:02:14Z
5,Ugz37T0Cxo9PKeIOV_h4AaABAg,A whole life has been ruined just to escape the consequences of being caught trying to ruin another life.,Ishita Gupta,0,2021-07-24T07:28:31Z
6,UgxyD7EgEoOw229JmVR4AaABAg,"A lot of women & men have been raising kids by themselves for a loooong time, but narcissistic abuser AH has to make it all about her! She is such a feminist & pioneer 🙄🙄🙄🙄. ""Part of me wants to uphold my private life"" 🤣🤣🤣 is she a comedian now? What job Amber???? She wants privacy by posting her daughter's face, birth date and full name. She is such a psychopathic Bozo 🤡",Carolina P,0,2021-07-23T16:33:01Z
7,UgwqYPN8O97qt65Zd1x4AaABAg,"So you're telling me that this woman literally gave a birth to a child after she went fucking wine tasting in December in her 5th month of pregnancy... I understand fucked up delusional people who accuse others, emotional manipulators, but a pregnant woman who had PLANNED A PREGNANCY FOR 4 YEARS only to go drinking in her 2nd trimester, I could never.",Marija Tasic,0,2021-07-23T00:36:55Z
8,UgyEpaTHtn0umb8-X2p4AaABAg,Amber Heard has no Rights to raise a child ❗❗❗,Jordan Ongel Stern,0,2021-07-22T22:23:25Z
9,UgwGKHB3QK5DeV2iinl4AaABAg,"I'm leaving this comment there as a timestone, for when people honestly thought AH could take Musk's money, time will prove you all wrong, this comment will never be edited by me.


AH forcing Musk to pay alimony - 'Yeh, good luck with that.'",Snowman Gaming,0,2021-07-22T17:26:19Z
10,UgzdNjd8QGIMqzPpo6d4AaABAg,Take a paternity test if it is your child (elon musk) that probably a BIG FAT LIE AGAIN.,Mon Rey,0,2021-07-20T16:04:00Z
11,UgxbSa6MEt60fAIC6354AaABAg,If Amber raises this child we will have a future Hitler on our hands,Julius Caesar 4312,0,2021-07-19T12:41:08Z
12,UgxhKXRaSfjN7_cx9jV4AaABAg,To me this is just another trick that Amber use to threatened Elon. She is not the woman you want to make baby with man. I don't believe anything that comes out from her mouth,Phoebe Ng,0,2021-07-19T05:52:23Z
13,UgwQ-EuiRo0ebKL19px4AaABAg,Who cares it's no one business but theirs,Linda Arrambide,0,2021-07-18T21:41:09Z
14,UgzKTMSSAmXU1BF7h1x4AaABAg,"She didn't even give birth to the child. She had a surrogate! LOL, just another accessory for her I guess.",NinjaPoD,0,2021-07-18T19:30:36Z
15,Ugy4xSbD-jyY1kpxRop4AaABAg,"It's another PR SCAM! Ain't she sweet? NO, SHE IS NOT! She is a dangerous predator!",Lyn Barlotta,0,2021-07-18T18:22:20Z
16,Ugzf-zkvo3VeyZ9iflh4AaABAg,How did she convince one of the most intelligent men in the world to do this?,Rhythm N' Blues,1,2021-07-18T04:11:07Z
17,UgzM4cQkF_FGv3HbkPd4AaABAg,she is single handedly destroying the entire metoo movements progress with her actions. what a tool,Ben Franklin,0,2021-07-17T23:16:46Z
18,Ugzntzwe3ShgUo8V6vx4AaABAg,BOYCOTT TESLA!!! Hit musk where it hurts!!! Tesla! Buy other car companies’ electric cars!,Dina Ashford-More,0,2021-07-17T14:47:46Z
19,UgwJ1nYbu5Gy2paGQyR4AaABAg,Definitely Elon is the father. He can only father boys.s2q,Mary Collins,0,2021-07-16T18:02:35Z
20,UgzOGrpFasxSPzH9iKJ4AaABAg,No she doesn't get your facts straight,Susan Hogan,0,2021-07-16T17:57:46Z
21,UgwHkrdUMc2UlYPpqeh4AaABAg,You know what Im curious about? Where the fuck is Elon's wife Grimes?,Andy Gomez,0,2021-07-16T02:16:29Z
22,Ugwabiu-5EpI8YJNdhx4AaABAg,A. Turd has a baby? I feel sick with worry for that child. The timing is very suspicious given the negative perception of her in the Depp case.,"Breathe, the time is now",0,2021-07-15T20:34:19Z
23,UgyxYf-oGCu8QSZUS-J4AaABAg,I'm gladjohnny got out of that one. She's a nutcase. Poor baby going to have a  hard life with her as a mom.,Tess M,0,2021-07-15T14:42:49Z
24,UgyVEnnAZZq5H8Ckl514AaABAg,"AH screaming at baby.  doctor ""immediately give 50 mg Seroquel nurse""",Igentenos,0,2021-07-14T22:42:23Z
25,Ugz6W5hXoO7Jx_PucRR4AaABAg,"Um…I can’t remember exactly when his son with Grimes was born, but it’s bugging me that it seems AH impregnated her surrogate with this baby around the same time or not long after? If that’s the case it seems really suspicious and spiteful…",Leela Bella,0,2021-07-13T14:57:32Z
26,UgwD9ntS03z5Zr6p2xJ4AaABAg,Well sucks the child’s gonna have to watch her mother go to prison,Nbricks 7,0,2021-07-13T07:31:27Z
