,id,comment,author,likecount,publishedAt
0,UgzFjRqeH7zvEZt84vd4AaABAg,"Es una tontería lo q hacen a causa de la ""inclusión"", dañar súper héroes. Superman es hombre blanco y quieren poner alguien afro, por que no inventan un súper héroe afro y ya. Igual pasa con la sirenita, con muchos otros personajes.",Ikki,1,2021-03-06T16:23:00Z
1,UgzSWkvsprDZLcfedQF4AaABAg,Gracias desde Springfield.,alex cabeza acon,0,2021-03-05T05:11:12Z
2,UgyRiZA8fZ7ERyw4zYV4AaABAg,Buen video,Miguel Angel Alvarez Agudo,0,2021-03-04T00:44:05Z
3,UgxOJI8mBUL5E7JmUk54AaABAg,"Ya estoy hasta la madre con la pta liga de la justicia, ya dejen que salga y déjense de mmds",Gilberto Espinosa,0,2021-03-03T05:48:41Z
4,Ugx9TrwcVpPDjh2l_dJ4AaABAg,"Bueno la investogadora determino que hamada  no hizo nada por su amabilidad y cooperar en múltiples entrevistas, en serio?jaja eso no dice nada,a falta de pruebas no se puede fiar de la palabra",Johnny Patiño,0,2021-03-02T21:47:18Z
5,Ugz3rO1YNlo-NfVEcqd4AaABAg,En cuanto salga la película de Zack Snyder la voy a comprar.... No es mucho pero será una forma de agradecer por no rendirse y escuchar a los fanáticos,Blu Lorde,2,2021-03-02T20:27:41Z
6,UgweKpokJmroHC3VFrV4AaABAg,Lo unico que es cierto del problemon de fisher y hamada Es que walter hamada ya destrozo el jniverso DC con su Expansion de personajes que nadie conoce ....,Cesar Zegarra,0,2021-03-02T19:55:21Z
7,Ugx7rDFRfLK-RLfCi9V4AaABAg,HCavilllll!!!!!!,4th Density,0,2021-03-02T19:20:14Z
8,Ugznnj75YTCbyhU4BXp4AaABAg,"Cavil tiene que jugar ""el juego político"" que le gusta a Amber Heard, Brie Larson, Mark Ruffalo y demas para estar en buenas relaciones con Warner? Es como que Warner quiere ser siempre el perdedor.",Milomondo,0,2021-03-02T18:07:58Z
9,Ugwa8I3miJ9zvvtIdwl4AaABAg,"Pues aparentemente 
Después de ver este corte de Snyder nos quedaremos con cientos de preguntas. A mi personalmente nunca me ha gustado mucho este universo de Snyder pero si me gustaria ver a Cavill retornar como Superman.
Buen vídeo 
Saludos",el Sitio X,0,2021-03-02T13:58:50Z
10,Ugymd0AnvKegyJTt6rJ4AaABAg,Como harta zack snyder,Sonny Rabel,0,2021-03-02T10:53:25Z
11,Ugw7MfEVp1ihLRinFUl4AaABAg,"Porfavor Carlos pedimos que no hables más de Dc es un Cancer ese universo cada día tienes novedades muy raras es un estudio de M*****  no se sabe nada de Cavill,Snyder cut no tendrá la continuación,las historias son confusas,no aprovechan los pesos pesados, habrán ya en la primera fase un multiverso 😂,habrán 3 batmans,piensan hacer pelis de escarabajo azul o plastic man Antes de Superman wtf? Y enfin yo estoy harto de este universo y va de mal a peor",Alae Ediin,0,2021-03-02T05:19:51Z
12,UgziMxk9714FOfrwynd4AaABAg,Henry Cavil nació para ser Superman,Agustin Texta,0,2021-03-02T03:38:30Z
13,Ugxb83WOZTAIXpH4A6l4AaABAg,Estoy arto de los lloriqueos de Ray ficher,Marcos Ruíz,0,2021-03-02T03:02:15Z
14,UgxSvLTbXV6yXh3V5Z94AaABAg,"Que grandes noticias superheroicas, muy buen video tube radio.",Xavier Perez Acosta,1,2021-03-02T02:57:25Z
15,Ugw6SjG6B3-pnoLbHCF4AaABAg,"Preguntarle a tu huevo 8 si algún día se te quitara la cara de pendejo. Igual te responde que si jajaja, y ya estando en esas preguntarle su hacer con tu voz de nena. Jajaja.",k y 0,1,2021-03-02T02:40:25Z
16,UgyFy9hDWvhHOjTkJXl4AaABAg,Hasta crees q eso equivale a 20 años de Marvel,M E.J,1,2021-03-02T02:33:08Z
17,UgzFeRr5xig1at1kvjR4AaABAg,Es seguro que HBO se arriesge por hacer justice legue 2,aryzandi de Jesús Zárate Fernández,0,2021-03-02T00:48:14Z
