,id,comment,author,likecount,publishedAt
0,UgzC5u52da5WI9sEtdh4AaABAg,Tank's for edit 🙏💥❤️,mlv,0,2021-10-14T05:32:49Z
1,UgwK1Dm9KYTlmPnrtNZ4AaABAg,"Whenever I see her, my love increase with Johnny Depp more and more",Zaheer Ahmad,4,2021-08-14T17:59:36Z
2,UgzyIJXfz7wOGav7ATB4AaABAg,https://www.tenor.co/bgGJ1.gif,Samarjeet Raje,0,2021-08-09T05:24:31Z
3,UgyF-uXC-3-yPoNSsCV4AaABAg,🤢🤢🤢🤢🤢🤢🤢🤢🤮,ECEM AYGÜN,3,2021-07-26T12:55:55Z
4,UgxNMfBgZyMyTzWoOuZ4AaABAg,Nice 🧜‍♀️💖,Александр Тупиков,0,2021-07-19T12:08:02Z
5,UgyV5nB9OTgVgyEQC-J4AaABAg,She can abuse me all day lol,MAN DOUGH LORIAN,0,2021-06-29T19:43:58Z
6,Ugyc6UN7BvEEasMyesh4AaABAg,😍😍😍,Sergio Toledano,0,2021-06-22T18:48:57Z
7,UgyGiodz1ppbC33eRt94AaABAg,Her name please!!,MDarafat Hasan,0,2021-06-17T19:43:15Z
8,UgwuDChz0IXkVkHWrrh4AaABAg,She's Beautiful only from outside 😂,thenameisyash,10,2021-06-14T04:57:43Z
9,UgzGdlZzefx6ffOBYhZ4AaABAg,Perfect example for beauty and beast,Nirmal kanna,18,2021-06-08T04:55:10Z
10,UgzGWRdMf2T9HXe0xfJ4AaABAg,U know she is Lier😠,kishan prajapati 69,0,2021-06-07T15:58:21Z
11,UgyEPqK29TLRiDSu4W14AaABAg,#RestoreTheSnyderVerse #ReleaseTheAyerCut #JusticeForJohnnyDepp #MakeTheBatFleckMovie #ManOfSteel2WithHenryCavill #CyborgMovieWithRayFisher #DeathstrokeHBOMax #GalGadotFan #JohnStewartSnyderVerse #ChrisTerrioFan #ReleaseTheNumbers #MakeTheNewGodsMovie #UsUnited #ReleaseTheGreenLanternScene #IStandWithRayFisher #DoYouSeeItDiscovery #DoYouSeeItHamada #DoYouSeeItSarnoff #ZackSnyder #BrainiacSnyderVerse ! ;) 🇫🇷,Nicolas Larose,1,2021-06-03T09:30:22Z
12,UgwP24nTbpek6x9EDZ14AaABAg,She's amazing 😍😍🥰🥰,NXT BABULOP,0,2021-05-28T03:01:37Z
13,UgxJOL4OyK3uVUQKlMl4AaABAg,https://youtu.be/0GoLuA4DgIw,NXT BABULOP,0,2021-05-28T03:00:58Z
14,UgxJDGUucluw9TXTWel4AaABAg,❤️song name ❤️,Music is life,1,2021-05-26T02:08:06Z
15,UgxtUMiSXahv2QhSbhp4AaABAg,Anyone know song name?,Vivek Rathod,1,2021-05-22T05:04:09Z
16,Ugx8HWnVD-Hv_lxWP9t4AaABAg,Johnny Depp is worst 🤬🤬😡,{[SS]},0,2021-05-21T17:42:38Z
