,id,comment,author,likecount,publishedAt
0,Ugx6r05igqiWJa75U2N4AaABAg,"Amber was and has always been self centered and all about herself,   she wasn't given the attention she needed  as a child and it shows!",P Charm,0,2021-11-19T16:18:29Z
1,UgzQEphdrdCNbl9up6B4AaABAg,I wish Johnny Depp was in FB3: Secrets of Dumbledore,P R,0,2021-11-08T05:06:11Z
2,UgwK05AowHd5zPO7dYd4AaABAg,Rocky Pennington is 💩 faces former friend and freeloader and ex wife of Josh Drew,Lindsey Depp,0,2021-10-03T14:27:05Z
3,Ugyq5FovlajFJ4DKmB54AaABAg,U use a Apple PC?,leohobb leohobb,0,2021-07-26T15:21:49Z
4,UgyqNWls2wz779LR1xd4AaABAg,https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2?recruiter=1213486670&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition&utm_term=share_petition,marydhaledorothy colico,0,2021-07-04T12:44:45Z
5,Ugyq87ecPTalwx49fG54AaABAg,Omg so is Elon the father of Amber's baby?!!,blue jay,0,2021-07-02T02:51:24Z
6,UgwrFZyaJcjlLvyMWxB4AaABAg,"My husband married someone similar to AH.. years ago, it is a horrible experience and difficult to walk away from without serious life/ career carnage. I would not wish it on anyone. All survivors of DV deserve justice.",Laura Westfall,0,2021-06-20T21:00:00Z
7,UgzeiCIIWRraasWxZUZ4AaABAg,"Remove AH from AQUAMAN 2. Sign the petition at: https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2 
1.8 million signatures and counting",Willy Gonutz,0,2021-06-06T08:11:39Z
8,UgzpKYtJe3Gz4T0AOfV4AaABAg,#mentoo,Deborah Oliver,0,2021-06-02T21:02:09Z
9,UgzQVdG_hOaheqyEnPJ4AaABAg,"Please keep on sharing, justice for Johnny indeed.",Bellah Marape,0,2021-05-28T17:25:00Z
10,Ugwnu4o2JTfEkV5_F7h4AaABAg,"You such a well spoken man, the video is amazing keep it up SIR, We need justice for JD. Be safe always.",Bellah Marape,0,2021-05-28T17:24:18Z
11,UgxjeOcQGj4UOgLWLYl4AaABAg,Justice For Johnny!,tish612,0,2021-05-20T04:05:35Z
12,UgzSPLFZ-BskHb3Y8MR4AaABAg,"Rocky is Rachel Pennington, Ambers friend who lived rent free in one of Johnny’s penthouses",Stacey Vitale,2,2021-05-10T15:39:34Z
