,id,comment,author,likecount,publishedAt
0,UgxC7KW4JFUfJSRwAVN4AaABAg,#teamJohnny,Smile Museum,0,2021-11-17T11:26:45Z
1,Ugx7jNyRmJ8oVvEwTHB4AaABAg,I always believed Johnny.  She just gives me a bad feeling when I look at her. I never trusted her or rocky.,Lorri Holder,0,2021-11-10T14:48:02Z
2,Ugw9lVeh-_9Bs4UzjHt4AaABAg,"@incredibly average. We need you back on the case! There's SO MUCH evidence now, substantiating your analysis 😁😁😁😁",Strega. Awakening NoThing,1,2021-11-03T19:18:21Z
3,UgymYmSKlUa88Vws03R4AaABAg,Amber is so childish!!,Vanisse P,0,2021-10-28T19:43:45Z
4,UgzPI6MHJr874Q-LoAV4AaABAg,"I hope everything will  go in his favor,  he is a good person,  God bless Johnny Depp!!",Pablo Reluz,0,2021-10-23T17:25:12Z
5,UgySiTotOWkW9iQF42J4AaABAg,Lol Johnny should hire you guys onto his defense team 🙌🤝👏,Ashley Belair,0,2021-10-16T08:07:55Z
6,UgwxOgrxRzqv37HyF_p4AaABAg,I sure hope he signed a prenup lmao,Ashley Belair,0,2021-10-16T08:04:03Z
7,Ugxe5sscJlohzNVmvSd4AaABAg,Lies...my goodness do people have no honor in speaking the truth an serving actual justice where actually needed ... my gosh really though they should all serve time for wasting the courts time among other things,Ashley Belair,0,2021-10-16T07:59:20Z
8,UgxTKj8OzbU9ZItexNZ4AaABAg,Only person in this that seems to absolutely need mental help and anger management is Amber,Ashley Belair,0,2021-10-16T07:54:50Z
9,Ugx-ibRic7XB6bRVHqp4AaABAg,Like obviously her friends not a witness at all going by that 911 call,Ashley Belair,0,2021-10-16T07:52:25Z
10,Ugy07RrYBEBffob9-_54AaABAg,That 911 call is ridonculousss,Ashley Belair,0,2021-10-16T07:51:07Z
11,UgyjECcb_UJKsTYv9sd4AaABAg,The lady making the 911 call: throw me a frickin bone herre,chubby cheekers,0,2021-10-14T14:20:51Z
12,Ugya57PJ43eri3-VTs14AaABAg,"Please come back and continue making videos. I know you got som shit from turds 🐑. But you are incredible. Hopefully there will be justice for Johnny in Virginia, but now it’s crucial to get it all out there.",Lise T,0,2021-10-10T05:31:51Z
13,Ugy16gW2eXwr5wUHkoV4AaABAg,Justicia para Johnny Depp espero que esa bruja mentirosa y sus complices paguen por hacer perjurio,Isbel,0,2021-10-10T01:26:04Z
14,UgzeMRYALIf-inpIc5p4AaABAg,"please post more youtube videos. i know you've got some back last from turdists, but much much more people support you and are waiting.",MD4,0,2021-10-09T05:55:37Z
15,UgyrHs7jg-8rBDIhhp14AaABAg,What the heck?! Wow. Her lying ass friends.,Socorro Gutierrez,1,2021-10-08T00:59:22Z
16,Ugx_QdY9PRTlRiRY6rR4AaABAg,is IO a he or a she? because i have been calling it IT xD,Reza Nurmohamed,0,2021-10-05T19:09:29Z
17,UgxTbLBU_F76QEvKY5R4AaABAg,"This could be a script of a movie. The ex wife of Johnny Depp could be played by the ugliest person of the world, not because she is not pretty, but to portrait her soul in physical appearance.",Sofia Sum.,0,2021-09-24T12:06:28Z
18,Ugy9LFSge2EFB87Pnr94AaABAg,You are a detective 😱😇😇 your deductive abilities are insane 😇,clover zelderz,0,2021-09-20T09:26:01Z
19,UgzLTpnv5fGp7-Ja2fN4AaABAg,If there is such a thing as justice heard and her cabal of liars should face a criminal trial,Firebyrd Castle,0,2021-09-17T11:22:13Z
20,UgyEvjpiDrmqXIvlMgZ4AaABAg,"Wow! that Rocky is a bad liar! That lawyer caught her straight in a lie and she still tried wiggling out of it! Looks like she going to be going to Club Fed along with Amber and the rest of her Croney's! Ha, ha !!! She'll sport an orange jumper just fine!",AM J,0,2021-09-03T07:54:37Z
21,UgwPgqcNdwSMbrxt80N4AaABAg,She sounds like she's ordering pizza.,Barbara Sibble,0,2021-08-29T01:39:31Z
22,UgxxMBvcuykLzynZnp54AaABAg,"Excellent analysis, and presentation ‼️ 🤟🏻",Teri Carson,0,2021-08-26T16:51:25Z
23,Ugxm2sFykqDXxTTEZR94AaABAg,I see you out here doin gods work!,Heezypeasy 🤍,0,2021-08-25T03:49:19Z
24,Ugyjq9q2gxAgRmbS7K14AaABAg,"Dear Karma, ............THANK YOU!!!!!    P.S. Please give Johnny a big hug from ""me too""   #JUSTICEFORJOHNNY!!!!!!!!!!!!!!!!",JustMissy,0,2021-08-24T14:35:22Z
25,UgzE27SBjEAF4GGhUSd4AaABAg,when new video?,Andres Llaneza,0,2021-08-11T16:06:17Z
26,Ugy0EqNKQSSmMLwwO1x4AaABAg,Johnny obviously has never heard of MGTOW. Life would have been a lot easier for him.,moofushu,0,2021-08-01T22:07:58Z
27,UgxJsGrSr7-qFl8N0p54AaABAg,"I will like to say I love how you make your point clear and show us the evidences. I search and watch other videos about the case and it’s just all about clickbait title and a bunch of she said and he said. You are so thorough with your videos and very informative, which I like. To be honest, I listen to the audio recordings to give Amber Turd the benefit of doubt. But, after I listening to it, she is just a manipulative bitch who gaslight everything to get a big pay check from an innocent man.",kyoko06,1,2021-08-01T00:57:27Z
