,id,comment,author,likecount,publishedAt
0,Ugz7Wzj1It2Onig1iRJ4AaABAg,"Only one person who was verbally, emotionally and physically abuused - Johnny.  And there's only one person with a history of assaulting her sister and her ex-wife. There's only one person who left a turd on the bed for the housekeeper to find - Amber.",Rock Candy,0,2021-10-05T21:58:14Z
1,UgwiWHNYJF-af8Kyv-F4AaABAg,"What kind of journalists are you, JD never hurt her, she planned everything, if you did your job then would realize that what she wanted was money and fame, there are audios that confirm it.",Madai Mendoza,0,2021-09-06T00:01:45Z
2,UgwLb9JcpIRKivA9yrV4AaABAg,Please don’t say it was both of them. When you can tell she is the abuser -.- this is really harm full comment for anyone that is being abused female or male…,Strange,0,2021-08-16T14:11:29Z
3,Ugz55eo_rytoatAindt4AaABAg,Where did he act poorly ?,denzile loon,0,2021-05-26T23:00:04Z
4,UgyvHiOxhXquiupHO7R4AaABAg,you two are cowards. quit trying to gloss over the truth here. god the media is so disingenuous.,todayandtomorrow123,1,2021-02-19T19:43:25Z
5,Ugxc1ZVnfzm9O-s3WLZ4AaABAg,"Amber Heard is an abusive, sad, horrible liar. People put up with her fake stories because she's a beautiful actress. Plain and simple. This whole thing is sick. Johnny Depp is clearly the victim, and my heart along with a good handful of friends and family, is broken for him. Listen to the recordings, look at the case information, it's brutal what he's been through. . . So sad.",T. Valdez,1,2021-02-08T04:25:47Z
6,UgzkW085Qh69OnHUrMV4AaABAg,I support and respect Sia so much more for speaking out about her support,janeth amador,0,2021-01-28T14:15:39Z
7,UgyVxpZmczjdHi-D3RJ4AaABAg,ps there aren't supporters on both sides..,D H1,0,2021-01-20T15:30:14Z
8,UgxMP_SBUq3zci_F_gB4AaABAg,"Sia studied the evidence, you haven't you've made up your mind based on feelings rather than facts.  It will be fun to see your backtracking when Johnny clears his name.",D H1,0,2021-01-20T15:29:44Z
9,UgwEGraTtoEhxtNLUuZ4AaABAg,"Your reporting is disgusting, have you not studied any of the evidence? This is toxic at best..",D H1,0,2021-01-20T15:27:20Z
10,UgxVUhV5UXKmX3fFF0h4AaABAg,As a former victim of domestic violence in my opinion after listening to the tapes Amber was the abuser. What got me to believe that was how he would beg for the violence to stop. When you’re the victim in an abusive relationship all you beg and pray for is the violence to stop. You tell yourself everything would be fine if that would just end.,Kimberly Galindo,0,2021-01-19T16:51:08Z
11,UgzZhMx6aO4cwAGL8E54AaABAg,Lost me at SIA?? HAWHAWHAWHAW... Like what!!? Pathetic,juju Jewel,0,2021-01-09T13:23:43Z
12,UgxkMHAurHUAwCa2XCd4AaABAg,"Are you kidding me right now???You talked to Amber heard 4 years ago. You felt bad for her. Amber isn't stupid she played you just as she played everyone. Amber Heard is the abuser she is a liar. Johnny Depp is innocent. I stand with Johnny from since the beginning.  Also why are people always trying to tell Johnny what they think he should do? What is your problem with his jewelry?. Who's business is it to anyone who Johnny Knows. Johnny is Johnny I love Johnny 💘 
Amber heard should be fired!",Tree baile,0,2020-12-30T13:39:09Z
13,UgwFQ1eW7j7sdXa__Lx4AaABAg,"That women in this video is taking everything for grated obviously
You are in watch list, be sensed

-Justice For Johnny Depp",rvink5,0,2020-12-24T22:57:06Z
14,UgyimKWokWAUfayL_qd4AaABAg,"Looking at the guy's comments, his IQ is clearly in the negative numbers",RedFrame Jover,0,2020-12-22T19:17:55Z
15,UgzYfVWdnEGFKB0vHHR4AaABAg,She’s fucken acting! Sociopath,MrChuuk Micronesia,0,2020-11-30T05:22:59Z
16,UgwlNBiP9MOWrQcnz0Z4AaABAg,"The MEDIA please stop lying and spreading lies because i will expose the evils you have done i dont BELIEVE THE MEDIA because you guys Lie spread false rumours and hide secrets from us i vow one day to fight back and not let you hide THINGS.I am brave and i swear i will do my best to help people 
jonny depp pls be brave.I am in your side after what happened to james charles i learned to not BELIEVE anyone till there is evidence and i am sure",Adriana 244,0,2020-11-14T15:24:10Z
17,UgwD1o8JBc-D8cLtWv94AaABAg,I dont BELIEVE THE MEDIA i have my OWN opinion yall Lie and dont Know the real story,Adriana 244,0,2020-11-14T15:19:52Z
18,Ugz5O1DDq_ZNgm-CKZZ4AaABAg,i.dont Like what you said Amber is a rat.I DONT LIKE HER.DONT BELIEVE THE MEDIA THEY LIE AND TWIST THINGS.,Adriana 244,0,2020-11-14T15:19:04Z
19,UgwpGwBhlVf0SxSlfEZ4AaABAg,No woman slaps a man out of happiness,Dolline Kaari,0,2020-11-14T08:35:06Z
20,UgwZAK_0-WqtxNVXoJF4AaABAg,Are you serious?? This world is so f up!!! And it's getting worse...,Regulus Impact,0,2020-11-09T14:48:01Z
21,Ugy5ilRg5r64h8RqYWR4AaABAg,"Amber Heard and people that support her are possessed by a demon...avoid
#Justiceforjohnnydepp",k. _nf,0,2020-11-05T12:29:07Z
22,Ugz3eJYaxUC30S2jhGF4AaABAg,"Are these two pretending to be stupid, or  are they actually stupid?",Morty V,0,2020-11-02T05:20:21Z
23,Ugy1WD8xnoYTHX1wnGh4AaABAg,"All of the court documents are available online for free. Please actually read them before posting on this subject. This is a slap in the face to survivors of domestic violence, you haven’t even looked at the evidence.",Joann Hess,0,2020-11-02T04:18:32Z
24,UgxeTJd0-8ZJNkBOlEB4AaABAg,"In trying to avoid controversy and/or loss of viewers by stating that neither is the victim, you both come across as uninformed.

While it's true that Depp is not flawless, and was clearly emotionally unavailble part of teh time because of his substance use, evidence shows that he DID NOT cross over into the anusive, gaslighting territory that Heard did. 

Two imperfect people -- one abuser playing her gender advantage in this context to the hilt.  When a narcissist becomes enraged atthe lack of proper ""worship"", they tend to seek ways to destroy the person who has inflicted such an ego wound upon them. This was obviously Heard's tack, but she destroyed her own credibility  (with people who bother to weigh all the evidence).",Anne Stephenson,0,2020-11-01T22:46:31Z
25,UgzOLGtBx3WaN3G8Bsd4AaABAg,"LISTEN TO THE TAPES BEFORE REPORTING!!!!! At this level of (intelligence of) reporting, I understand the MSM bias now.",Anna Maria Pirttila,0,2020-10-31T22:03:02Z
26,UgzDp25pJGcyrj4d6Lh4AaABAg,2 stupid canadian bias media,Mark Allid,0,2020-10-28T16:08:01Z
27,UgxO93AssEE7YdBEAK54AaABAg,Evidence proves JD’s innocence,k. _nf,1,2020-10-26T02:00:27Z
28,Ugxd6CojkwG13E-6rut4AaABAg,I❤️JD,Vhie Saints,1,2020-10-25T15:35:08Z
29,UgxUR3MFD5Z8m4J9JMF4AaABAg,"Sis posted the audio tapes, lazy journalism.",L T,1,2020-10-25T15:31:39Z
30,UgyGlt0KC3Wj49Kas714AaABAg,"Why don't you listen to the audio and then maybe you will understand! He was abused by the lowlife he was married to and she has offended those of us who have been abused. You are also offensive by reporting this way.  Also if you were really reading Sia's  tweet you would see that there is a lot more support for Johnny than there is for turd.  You see we are NOT journalists but we are able to listen to audio,  and the transcripts from the trial and we are not blind to the truth yet you apparently have a agenda and you want to ruin Johnny.  You are the reason why we can no longer trust mainstream media.  You should be ashamed!",Tammy Lockley,0,2020-10-25T12:10:15Z
31,UgxyQENC-4PXkXHnubl4AaABAg,"Why is it shocking!!?? Wake the hell up and look at the bloody evidence! The fact that You find DV funny! I find disgusting and disturbing! The evidence is out there EDUCATE YOURSELFS and report the truth! SHE IS THE ABUSER!!!, HE IS THE VICTIM!!! what is wrong with you ppl!!?? SIA IS SPEAKING THE TRUTH! If you haven't read the transcripts and witness statements..listened to the audios and watched the FULL TMZ video NOT  the edited one!!!! you have no right to comment!! Do your job right then you can call yourselves journalists...your belittling ALL DV survivors!! How dare you!",nita,0,2020-10-25T09:54:17Z
32,Ugw1PT8kdXXpjBCMZ1F4AaABAg,NO I'M NOT. SHE IS SUPPORTING THE TRUE VICTIM. YET ALL OF THE MEDIA IS ALL TOTALLY BIASED IN ALL THEIR REPORTS.,Nikki Harrison,1,2020-10-24T23:56:08Z
33,UgzxLKSm4eUCaLwm7tB4AaABAg,Inept wanna be journalists,Savage Karma,1,2020-10-24T23:48:01Z
