,id,comment,author,likecount,publishedAt
0,Ugy3DJGcclLGsaWkkJh4AaABAg,Who is the father?,Luiza S,0,2021-10-20T20:39:32Z
1,Ugxemok8euuXyeonAQt4AaABAg,"her father went to prison for animal abuse/killing animals, she's a sociopath...she's 'acquired' property/pawn/tool/object for HER image...to avoid prison
how can such a blatantly unstable person be anywhere near a baby, she didn't even care for her poor animals..sociopathic narcissists have no empathy or genuine feelings, or conscience, EVERYTHING revolves around them, they mimic normal human behavior bc they feel nothing
shame on the surrogate for providing a victim to this narcissist",The Summerland,0,2021-10-12T00:16:24Z
2,UgxT_PZ0GNMynhPgxqp4AaABAg,"so you can be a malignant narcissist, sociopathic, pathological lying, criminal, and addicted, unstable but buy a child for PR...america is so messed up, this woman couldn't care for herself or her dogs yet she's allowed to purchase a baby",The Summerland,0,2021-10-12T00:11:09Z
3,UgzIwGQ2oJvKeWhXpo94AaABAg,Tragic,Doctor Hadland,0,2021-09-26T03:21:09Z
4,UgwkONl-IU64Auj1w0Z4AaABAg,If you choose to have a baby via surrogacy without any medical concerns I don't consider you a real mother. Part of the bond is the child bearing process. Narc women want children the way they want designer bags. She'll use that baby for attention and validation and then destroy its life the same way she did Johnny. Terrible women make for terrible mothers...,belief & balance,0,2021-09-25T23:58:18Z
5,Ugx6KU1ZjpyINmnhQTt4AaABAg,"I didn't even bother watching the video, just here for the comments.",Sienna Wyes,0,2021-09-18T15:58:05Z
6,UgwyXfcoj9yLdzWz6hZ4AaABAg,Where is daughter,3333ferret,0,2021-09-17T19:17:21Z
7,Ugz9_3Hyb395wIBZFc54AaABAg,"Keep searching boys!



Were gonna find out who asked!",Einen Kirby,0,2021-09-13T20:26:09Z
8,UgxJUh1SfPqsi_maR-t4AaABAg,Hardly secretly was it if she announced it on SM,The Snail Tale,0,2021-09-02T01:45:14Z
9,UgxJYiIK32UwjgGhlRZ4AaABAg,"*Jezebel* Demonic spirit. Beware

Pray for that Baby!",Panda Pie,1,2021-08-25T09:54:38Z
10,Ugz-A_HzHI5qJvi4q6J4AaABAg,devil woman,Zion Gardener,1,2021-08-25T09:42:07Z
11,UgwvDD8LoAfCd2nMnBV4AaABAg,She is way to happy for abuse sksnk,linda zimmerman,0,2021-08-25T05:37:53Z
12,UgwDJAxuA4vzN5W5SLV4AaABAg,Great another Mommy Dearest. Is anyone else horrified.,Melissa Moore,0,2021-08-25T03:07:14Z
13,UgxLUJHkAuxwXcM_C9B4AaABAg,The one she’s masking got cervical cancer probably from birth control pills huh,earlsarcades,0,2021-08-23T19:21:59Z
14,UgwmN0wiA8kIsf6nBHN4AaABAg,Cervical cancer huh,earlsarcades,0,2021-08-23T18:27:23Z
15,UgzLLTnww19m_diUmDN4AaABAg,Cervical cancer huh from pills,earlsarcades,0,2021-08-23T18:27:15Z
16,UgxodUXtiYeYS7M_L6J4AaABAg,SHE  DID  CARRY  THIS  BABY,janie constabile,0,2021-08-21T01:36:41Z
17,UgyCpUYotps6PKTCy2V4AaABAg,Desperate much?,Gareth Hewlett,0,2021-08-18T10:58:33Z
18,UgyYTXetQI8Jzb8a9ld4AaABAg,"This horrible excuse of a woman now has a child, wow. When she didn't give a damn about how Depp's kids felt like, being bullied abt his father, I doubt she'll care about her own child. Just how many innocent children's  lives is she going to ruin before she finally gets satisfied with what she has?",Drac Vlad,2,2021-08-03T22:34:19Z
19,UgxwHv-1eRdJI-K8UEZ4AaABAg,"Poor, poor child. She has no chance for any normalcy with the psychopath of a mother.",Christine McWeeney,2,2021-07-28T09:19:42Z
20,Ugy0DmL8kqzvawHewsl4AaABAg,Everything about this cringes me out especially her face 🤮,Jaclyn Irwin,1,2021-07-25T17:22:30Z
21,UgyG7d9OMpMwO7qU5kR4AaABAg,........ 🇬🇷....... Amber......... Είσαι πολύ ωραία....... Έχεις πολύ καλό χαρακτήρα..... Και μπράβο σου...... Που έφυγες από αυτόν τον παράξενο...... Ανθρωπο....... Μπράβο σου........ 💟🌺........,Μανωλης Σταυριανος,0,2021-07-24T14:12:15Z
22,Ugw3XwW0YvmvlhnmyhF4AaABAg,👎🏽👎🏽👎🏽 downfall,David jon$,1,2021-07-21T20:55:24Z
23,Ugz0ipwUu_yB8Dkuw5p4AaABAg,"Wow, they didn’t even explain why her and Johnny had a divorce.😂",Not A Otaku,0,2021-07-21T15:08:47Z
24,UgycsoK6Z90jeutGCeF4AaABAg,Why this channel support her?,Not A Otaku,2,2021-07-21T15:07:37Z
25,Ugx0DPggZEz3rowC4Tl4AaABAg,I know one child that's going to require years of therapy in about twenty years or so and maybe write a tell-all book about the experience,Dyad Moon,0,2021-07-19T22:04:00Z
26,UgwzDaKGTAYa6Ph_XLd4AaABAg,Just a movie prop,Pinehawk99,0,2021-07-18T12:08:21Z
27,Ugzfh-6L1JcAhtDjfCp4AaABAg,She is a spoiled child with no buisness being a parent !!!,Chris Dexheimer,0,2021-07-17T09:16:24Z
28,Ugwvg7eIFyHaG_s_jhF4AaABAg,I feel like she had a baby to avoid jail time,Katie,3,2021-07-16T03:39:57Z
29,UgxLllcaYs7DQCfPfpN4AaABAg,"Baby: mom why did you have me?
Amber Mom : bcoz I needed to uplift my down trending image in the media duhhh",Bruce Wayne,3,2021-07-14T06:56:55Z
30,UgyQDX7pkuHaxj4rwLd4AaABAg,The dislikes give me hope for Aquaman 2,Nathaniel Bables,1,2021-07-11T22:39:03Z
31,UgzmKcIuB9JXhnEydTN4AaABAg,"How can they give this abuser a baby? That poor child will suffer.
#SaveAmberHeardsBaby
#AmberHeardisanAbuser",stinabo,2,2021-07-11T20:30:34Z
32,UgyNWTzuzH7-AMqQ1NZ4AaABAg,Something tells me this will be today's version of Mommy Dearest.,Daniel Greco,1,2021-07-11T20:07:50Z
33,UgxoLhhzHZWROp1Powd4AaABAg,"Her being a ""mother"" is just a ploy to make her look like a saint. I hope Johnny's team can find a way to get Amber arrested for defamation of character.",AprilPie16,3,2021-07-11T03:57:45Z
34,UgxELFLCB_Dnq0jtiot4AaABAg,Man she needs help.....,Helene Crepault,2,2021-07-10T21:15:16Z
35,UgxAkaUfnjTwOJ83klx4AaABAg,"Poor little babyangel :''''''(

SOMEBODY SAVE HER PLEAAAAASEEEEE!!!!!",Beda Ibarra,1,2021-07-09T15:12:51Z
36,Ugxn9Fz1yEvMqXMf_SJ4AaABAg,"So after ruining the life of Depp, she will now ruin the life of a baby.",Donder,2,2021-07-09T10:32:01Z
37,UgwyIiXcNvLhLiSc8fN4AaABAg,"Perfect timing... Right when Aquaman backlash. Why now, Amber? You were waiting until you needed some good PR. The baby is 3 months old. Everything about her is so manipulative.",Mimi M.,2,2021-07-08T18:58:49Z
38,UgwH-sE5Ye72D7s38P14AaABAg,Mommie Dearest 2: The Rise of Wire Hangers,Edward Lee Miller,0,2021-07-08T15:25:58Z
39,Ugy0lbu7khMyQuPAZ9d4AaABAg,"This is her pension plan,  and she will only have contact with the  child for photo shoots and p.r. opportunities...",Wendy Whitter,2,2021-07-07T23:38:03Z
40,UgxDN-10oGB720d7xSB4AaABAg,She is so desperate to promote herself that her PR team comes up with the baby.,bru haha,1,2021-07-07T23:07:32Z
41,UgyjapVhB1mzJ6Eo9kx4AaABAg,It just really puzzles me that you have someone like Depp defending a child predator https://youtu.be/yyx4E51ZCns yet there's all of this hate going towards amber heard...really makes me wonder what kind of world I'm in..,Archas1000,0,2021-07-07T07:45:07Z
42,UgzjYLts-4fODwqSs_p4AaABAg,"Secretly??? SHE ANNOUNCED IT ON INSTAGRAM BECAUSE  SHE IS A NOBODY AND NOBODY REALLY CARES,. WOWNUSING A BABY TO GET A WAY FROM CRIME.

CLEARLY YOUR ONE OF THOSE NOT TO BE TRUSTED MEDIA , REPORTING LIES ITS NO SECRET!!!!!",Geezy G,1,2021-07-07T07:44:18Z
43,Ugw5bd4m24gI92Oghy14AaABAg,Bad mom.,Aire Puro,1,2021-07-07T05:58:03Z
44,UgynPV9iB60EB77mt4l4AaABAg,Well let's hope she doesn't physically abuse her daughter,Teresa Foster,1,2021-07-07T05:54:43Z
45,Ugx6_dFmbM257LyNOyB4AaABAg,Poor baby,Alo S.H,0,2021-07-07T01:28:47Z
46,UgxoOuqEWpK7-DPAbTF4AaABAg,You know this baby is gonna pull a Mommie dearest in 20 years.  Amber is doing this all for publicity.  Everything she does is for self publicity,Kat E,4,2021-07-06T20:41:18Z
47,UgyLhX1fYU0s4psnodB4AaABAg,"I bet shes gonna use her baby to fake show what a good mother she is,, and by the way i wouldnt be surprise if the baby is adopted",Rathlei,1,2021-07-06T17:54:12Z
48,UgzBDKktPBVMrUlLC7d4AaABAg,"Congratulations Amber for showing women & girls that gender role conflict in marriage can be avoided to raise young girls as leaders. Women do not need to suffer to have a child dealing with antiquated masculine value systems that restrict the cognitive, emotional and moral intelligence of female emancipation to the highest levels of human development. It is important for you to show the world how good a single mother is at raising a girl with authentic identity not socially engineered. Reading, writing & mathematics lots of love are key. Good luck!.",Savoir Vivre Mme Rose,0,2021-07-06T14:40:41Z
49,UgwaHCnb9V4Gb_JZVrN4AaABAg,I am truly afraid for this child's mental health and her future.,Hope Avera,1,2021-07-06T14:34:13Z
50,Ugzj49GrYFJVgoQkX5V4AaABAg,"Oh gawd, she's gonna beat that poor little girl!",Sui Generis,2,2021-07-06T05:10:46Z
51,UgxJeHDeqRsIl_CG7Il4AaABAg,Who the father,kingdom irfan,0,2021-07-06T01:59:19Z
52,UgwelcrH4ruBM26eICx4AaABAg,God please protect that little baby girl !!!!,Krissymconnorsvlog,2,2021-07-06T01:51:19Z
53,UgxHwS0nmsiv-MmbDSN4AaABAg,"The baby's name is listed as ""Publicity Stunt"" on her birth certificate, leading to speculation as to who exactly Mr. Stunt is and when he and Ms. Heard began their relationship.",Hardtechnoboy,5,2021-07-06T01:20:56Z
54,UgyACExLMyf1jWMrBSh4AaABAg,"Bravo Amber raise her without anti-feminine pro-masculine Cinderella Complex social engineering  hate that oppresses female psyche emancipation. You now have a platform to demonstrate that girls raised by a higher level consciousness leads to ICONIC leadership in the female psyche refuting enslavement of identity to being a ""handmaid or hole"".",Savoir Vivre Mme Rose,0,2021-07-06T00:20:03Z
55,Ugx0740l682I_ZqqdXJ4AaABAg,"She's abusive, and she will be abusive to this baby. I feel sorry for it. I know too many women like her. My mom tried to kill me TWICE because I look like my dad...

There's a video of her and her friends by a pool and they were taping for a reality show. They didn't realize that one of the cameramen were still filming and caught them talking about the court case and she pretty much admitted that she lied. The girls were all laughing. I sent that video to Disney and told them to give him his job back...",YouDon't KnowMe,4,2021-07-05T20:49:51Z
56,Ugy8SLd56LnZCd2w-L94AaABAg,Wait??? She's been posting pictures of herself working out in prep for Aquaman 2. One of these things is obviously not true...,backcountry164,0,2021-07-05T15:22:26Z
57,Ugxfn9agp-ehQXYDyPV4AaABAg,I am so worried for that little girl!!!!!!!!!!,Parinika Sharma,0,2021-07-05T14:31:42Z
58,Ugwbm1VRO7RbXDMM_K94AaABAg,I hope it never grows up to be a liar like it's mother.,Farhad Kabir,0,2021-07-05T11:02:43Z
59,UgzfBDyz92d13nzNF1h4AaABAg,I do not give a shit,A Z,1,2021-07-05T09:54:53Z
60,Ugz7I7EWN1I6wNM5po94AaABAg,"Its all about her, I want, I decided.... narcissistic woman, she should not have a child. Shame on the surrogate mother, some women will do anything for money or fame. Imagine giving birth to a child then letting AH bring it up. Whats wrong with these people.",Tayeb McCabe,4,2021-07-05T08:01:02Z
61,UgwTrg30sKhzj8faVll4AaABAg,Poor baby with a mother like that who needs enemies. Even God didnt want her to have children. Lord cover that child from this demon😞🙏🏽,CeCe Green,1,2021-07-05T06:42:43Z
62,UgwxT2FnQ1wobfQx_vN4AaABAg,Just what. the world needs.  A mini version of her,Robert Mofford,1,2021-07-05T02:18:30Z
63,UgyMHRyh7MP9lC4DegZ4AaABAg,I feel bad for the child,Pogchamp,2,2021-07-05T00:20:29Z
64,Ugx30lZfRNELgdSU1854AaABAg,"She's just trying to stay out of prison, by throwing a baby into the mix. Poor child to have any connection with AH.",Andrea Le Gonidec,1,2021-07-04T23:01:25Z
65,Ugy-4ef1fp7DI21iT7t4AaABAg,Is she going to abuse the child as well?,HGH Bryson,0,2021-07-04T21:40:40Z
66,UgyLTkcu5uXYdfgozM54AaABAg,"The kids name...... Oonaugh?? She Gon be hearing that Rihanna song ""oo na na, wuz ma name"" for the rest of her life 🥺😂😭 kids Gon call her ""oohellnaugh"" 😭 forgive me, I've had terrible nicknames growing up 😂",a lil bean,0,2021-07-04T21:40:14Z
67,UgykatPSeT3iiLwTsLx4AaABAg,She don’t deserve a baby 😪💔 POOR BABY 💔,Nicossoulmate,1,2021-07-04T17:36:17Z
68,Ugyu9u8SDlzUmXpCcVh4AaABAg,Whoever in their right mind orders themselves a baby in the middle of a pandemic as well as a major court case ????,Katanya Jason,3,2021-07-04T17:04:32Z
69,Ugy8Xf1InaEC6usdJFp4AaABAg,Feel sorry for the child. Amber is vile lying abuser .,Amy Brown,2,2021-07-04T16:42:28Z
70,UgyBUgKdS3R2iDyGxQ94AaABAg,This is horrible news ~ I feel so sorry for the baby. J. Crawford comes to mind ~ Mommy Dearest. CS should watch closely for exploitation of the child . Again sad sad news :(,Ani Ore,1,2021-07-04T15:33:46Z
71,UgyUs3vZ8fSCuUWjxA54AaABAg,Poor baby!!!!,pamela isa,1,2021-07-04T14:32:16Z
72,Ugw8Bnwl2YmhLYODFAN4AaABAg,"What example are you going to give your daughter: a liar, treating men badly, playing the victim and believing people like you with those attitudes.  why?  these bad women who should not even be called women bring children into the world do not know that concept.",Sarg Gaudy,3,2021-07-04T13:50:43Z
73,Ugy7mUT4qCKwsRL71BB4AaABAg,another GODDESS came to the world,Je ne sais pas,0,2021-07-04T13:29:28Z
74,Ugxb9je5jatBt_TdZUZ4AaABAg,"Wow, what a coincidence........she is the reason for a huge shitstorm, she is the reasen why many people want to boycott Aquaman 2 and just in time there is a foto of her with this lovely baby girl........she is so manipulating .",XnaantiX,1,2021-07-04T10:03:51Z
75,Ugyi2nhpFu0ivpuCyNx4AaABAg,I feel so bad for that child to have a piece of trash human being as her mom. I really hope that kid ends up okay.,Matilda Santos,3,2021-07-04T09:06:08Z
76,Ugwozr6U-wCTvZ6AzNB4AaABAg,"An innocent poor child didn’t know he was  born from an evil of a mother, who couldn’t even be called a human let alone a mother, she bore a child for her insurance to get out of jail, she used that child as her freedom ticket. What fucking sick evil she is.",B B,1,2021-07-04T07:19:20Z
77,Ugxw5KRuLdWywZABTCt4AaABAg,"Oh my...uhh ohh. THE 1 thing that i thought if anything, carrying the baby would give the Demonlady some kind of bond with it. Only bcuz Amber is such a cold hearted human, she requires much, much more to have emotions & love for another person besides herself. Welp, thats all gone to shit now!  Umm...good luck kiddo?",Brookie Brooke,2,2021-07-04T06:32:18Z
78,UgyTmPPQ98CHQVEVVgd4AaABAg,"MOMMY DEAREST...THIS WOMAN HAS THE DEVIL SEEPING OUT OF PORES. She makes me ill, watching her try to conceal her evilness. Such a put on voice. Its gross beyond words. Yuck yick yuuucck",Brookie Brooke,0,2021-07-04T06:23:31Z
79,UgwPvIqkN9nQTKbBkDx4AaABAg,That poor kid.,I speak as i find,0,2021-07-04T04:00:55Z
80,UgxBnW929jMn1x063dF4AaABAg,I feel sorry for the baby,Faramundus Frankia,0,2021-07-04T02:45:26Z
81,UgwfZKGwWVEx9VGYNJ54AaABAg,So this is your back-up plan should you lose to the Johnny depp case. In the hopes that you don't go to jail...👏🤣,Paul Fa'amao,3,2021-07-04T01:04:09Z
82,Ugz3BEe5lI9r_dw8HPh4AaABAg,"She literally just bought a child to use for her to get herself out of prison.., imagine if the roles where different, if she was an abusive man and now bought a child in the middle of a process of him getting in the jail. .. the kid would have been take away from him right at this moment. Why is she allowed to even do this and keep the child?! Hello CPS!",IOPE,6,2021-07-04T00:34:40Z
83,Ugz2yZbnq408-QOZ0jl4AaABAg,I feel that baby is Johnny's,Stefanie Escobar,0,2021-07-03T23:03:00Z
84,Ugzf8coWEgkJJIZGcYV4AaABAg,So many questions are going through my mind.,Slaw S,0,2021-07-03T22:24:54Z
85,UgwUyGnmPSioCXWYAC54AaABAg,"Help that child, she may lose a finger or two",TheAlivededChannel,0,2021-07-03T20:30:01Z
86,UgwOCMevBjaS2H0ISXB4AaABAg,Amber Turd is on another level of crazy. Poor child.,Spiceynoods,0,2021-07-03T20:07:46Z
87,UgwptRBb7s8gQwYEaod4AaABAg,One she would  Steep so low 2nd she cheated so who knows who baby is it....I can see in the future and a blood test is needed,D C,0,2021-07-03T18:42:12Z
