,id,comment,author,likecount,publishedAt
0,UgxS4Gp1vj21BvKaFu94AaABAg,Salt and vinegar chips. That's the answer. In case it wasn't clear.,Sydney Watson,3050,2020-12-19T02:41:31Z
1,Ugy-L9ROlJI4Qj6Z2cN4AaABAg,Lol #sheliedtoo,Mark Guy,1,2021-11-18T06:31:26Z
2,UgynkEjeVib2pKD3n-94AaABAg,"You can't grape or abuse a man. But she put roofies in his drink. Nope. He said no. Nope. We have it on film!!! Nope, he graped her. But he was unconscious. That's no excuse!",Chris MacQuiddy,0,2021-11-17T19:43:31Z
3,UgxOdszsfcctKzAuxUp4AaABAg,"Hollywood is full of the most vapid jack-asses.  I do not listen to them about how to live my life.  Anyone who wastes their money having any star/starlett speak about anything, deserves to have just wasted their money.",Brian Adams,0,2021-11-16T14:40:23Z
4,UgwN_dQuqqf1_F-RFc14AaABAg,"Amber Heard lectures on domestic violence? Are they ""how-to's""?",Jean216,0,2021-11-13T11:05:38Z
5,UgwUm_plojVcpurERVt4AaABAg,"Male sexual assault victims have it the worst in my mind.  Women ignore them, and men usually are just like, ""omg that's hot why didn't you like it?!""  Pretty sad, really.",Dysnomia of ruin,0,2021-11-11T20:35:31Z
6,UgyXPh9VesWzOadIaKh4AaABAg,Wait she gets paid to give tips on how to beat your partner? AND I HAVE BEEN DOING IT FOR FREE?!,Heinz Guderian,0,2021-10-26T00:46:45Z
7,UgyJHqvECqI6XLJB6Wd4AaABAg,"Few problems cannot be solved with a good supply of ""Salt and vinegar chips""  Some famous person on YouTube.  It must be true, I saw it on YouTube.  I believe this over AH.",William 1984,0,2021-10-20T13:15:09Z
8,UgzT-03K_14lrlEZ_SR4AaABAg,"Hubby gets accused of sexual assault, stalking, violence and inflicting years of domestic abuse by ex. No evidence of this, no police arrest, no conviction and no time in jail. Ex meanwhile harasses him with excessive texts, hacks his email sending mails pretending to be him to other people, smashes a lamp over his head, stays out doing drugs and drink all night while he was with the kids, tries to commit suicide in front of the kids and ultimately loses custody of kids. She then gets a 2/3 month stint in various rural rehab retreats curtesy of mr tax payer whilst her mom fosters the kids for approx £1300 a week. Fast forward to now and hubby is vilified and demonised by CHildrens services and ex’s family at every opportunity, she continues to get ‘trauma therapy’ ( 4 years after the alleged DV) and now organises a support group for victims and ‘survivors’ like herself. You literally couldn’t make this sh@t up. What about the effect all this has had on my husband? No one cares about the men.",Rachel Collins,0,2021-09-29T15:00:53Z
9,UgyT67aTV3BpdZXR-td4AaABAg,"Johnny is a man and doesn't spread the ""message""",Mr Skullduggery,0,2021-09-15T12:03:02Z
10,UgzX8or0kz3Fw1VlMg54AaABAg,"@mber heard done fucked up...

She went after Edward Scissorhands. This heresy will never be forgotten.",Sir G-Had,1,2021-09-15T02:34:15Z
11,UgyaZgmIdMNfGC7c1DF4AaABAg,Never heard. Of amber heard.,Hairy Pothead 🤩,0,2021-09-14T17:40:16Z
12,UgxD6-r4Od2AWPHHrU94AaABAg,"A senior medical research scientist, I complained about the behaviour of people in a department at the University of Sydney. Unfortunately these people were women, so the sisterhood in the university staff and legal office knew that women are never the perpetrators, only victims.

I will spare the gruesome details, but I was dismissed and charged with false criminal offences. Representing myself I took the perjurers apart on the witness stand to the extent that the arresting officer came up to me and shook my hand on my acquittal.

In spite of the evidence I presented to the university of bullying and corrupt conduct on the part of the 'victims', they all kept their jobs. Until the department in question collapsed like a house of cards. I sent the Vice Chancellor an email. 'You see Gavin? You see what I was trying to tell you?'

Excuse me if  in spite of my 'posthumous' vindication I do not go into the devastating consequences that this episode had on my career and finances, not to mention the acquisition of PTSD.",Philip Shehan,0,2021-09-10T13:41:57Z
13,UgwITbU9r7ru2oWb7iB4AaABAg,Love the braw sweater Sydney. 🕊🏴󠁧󠁢󠁳󠁣󠁴󠁿👍,Albert Watt,0,2021-09-09T07:40:10Z
14,Ugxmebq5BfA0NEcpw2Z4AaABAg,"The world just gets more stupid, moronic and backwards every day now, there is no way this i NOT hell...",Rondo Cat,0,2021-09-09T05:02:36Z
15,UgxY-9MSF6kVFxTin8h4AaABAg,apparently she is in jail now thanks western society perhaps it's because of the hate well deserved,The_EJ,0,2021-09-08T12:35:38Z
16,Ugx4JZ5FaR5kCgmSe4B4AaABAg,"Gotta love it when your own parents make fun of you for ""losing a physical fight with your girlfriend"" to which point I said ""what should I have done? I either take the bruises, cuts and fractures, or I defend myself and get sued for everything I own, you own, and grandma owns.""",Tony Smyth,0,2021-09-07T13:39:20Z
17,Ugz4rcRGmvQ7tD-Oaet4AaABAg,"That skeletor clip is pure gold 🤣, still laughing hours later 🤣🤣",SplitSecond85,0,2021-09-07T03:47:19Z
18,UgwTQTgYd3gguBqt8A54AaABAg,Johnny Depp had history of being a great husband and father.,Dannin Matthews,0,2021-09-07T00:10:26Z
19,UgxqKyU_Ibi1HIkk1sV4AaABAg,Blood! This is so real.....,Tommy,0,2021-09-05T20:30:01Z
20,UgylvBEEnoKXx3Iqdhp4AaABAg,Amber Heard is just generally a bit strange,Rakastellar,1,2021-09-05T14:58:39Z
21,UgyRKhi0AavMlB8G5Xp4AaABAg,"Great work, Miss Watson... PRoblem is, to defend yourself as a man, U have to have 4k video AND witnesses... And even so, might not meet the legal burden of proof!",jusruben911,0,2021-09-02T16:58:03Z
22,Ugy53xz9nrcX3jMczJ14AaABAg,"Amber can abuse her husband, Cut His Finger Off, Punch And slap him, verbally abuse him.
Lie , lie in a court, she was caught lying.  Confronted with video And audio Tapes of her abusing him.

She gets roles in Major Movies, Johnny gets fired , mocked And threatend.

And after that She gets to talk about domestic abuse for 33 K $

And Feminist think we still live in a stupid Patriarchy...
Insane",BlueBud 1,0,2021-08-13T12:16:25Z
23,UgzxHudw5QRycBOED1h4AaABAg,"Amber Heard is a very special kind of crazy: she is a ""Borderline Personality"".  BPD'ers are uniquely terrible people - they spend their entire lives working to destroy - utterly = the lives of those closest to them, while telling the entire rest of the world how terribly THEY are being treated by the person they themselves are terrorizing.*",Felonius Skunk,1,2021-08-07T04:36:27Z
24,UgySavF3Uw0QVGvzDB14AaABAg,YOU ARE SO BEAUTIFUL BABY,Awarewolf,0,2021-07-29T05:13:18Z
25,UgwZ_TBv0_7ROCBm5Jl4AaABAg,"The human brain is so interesting. So self absorbed yet so vulnerable to social stimuli. Perceptions of masculinity for the male gender have been a criticizing point for a long long time. Whether it's about your ability to hunt and clean wild game for survival, or whether anything at all should affect your brain chemistry. I appreciate you bringing up this topic. We(as in the human species) have created a monster.",allenbird,0,2021-07-27T14:07:44Z
26,Ugz7RzkqI48kxj6BiyJ4AaABAg,"Hey Sydney,  what is the brown eyed devil club....????.",Michael Drouin,0,2021-07-26T10:40:47Z
27,UgyykK8vXV7vV0RExHh4AaABAg,"$33,000 seems like the wrong speaking fee. I think she should be asking for $66,600 😉",Shmataboro,0,2021-07-25T13:16:16Z
28,UgyHBkQZap_U1bVa-yd4AaABAg,"I did not know Hollywood VIP lectures was a thing, yea pay some clown to share there ""worldly advice"" makes no since. I think the system is out of wrack on abuse, much like your share.",Jim Schafer,0,2021-07-25T05:47:00Z
29,UgxtuwH67qYerhONvgZ4AaABAg,NO ONE has the right to abuse their spouse!,Kris Rhood,0,2021-07-23T17:19:03Z
30,UgzD4cFUw4K72B2ibrV4AaABAg,"Unless she's talking about how she abused Depp (""No one will believe you because your a *MAN""* ), then Amber can go ____ herself",DigiThorn,0,2021-07-22T17:30:06Z
31,UgxXekAPe-e94Hv-dXh4AaABAg,I never thought Jonny abused her. He has been in hollywood my entire life(42 years) and never has a woman accused him of anything improper. more than 40 years and not even one of his previous partners have ever accused him of anything that’s almost unheard of.,Paula N,1,2021-07-20T13:38:20Z
32,UgyOD0n4v_XLap6uAAV4AaABAg,"Huh? What? Paid to give domestic violence talks? As in how to commit them? She is no victim, just a perp with a special privilege.",Dale Foley,0,2021-07-20T09:12:58Z
33,Ugx36To-6xnyANnIwyN4AaABAg,"Amber ""Turd"" Heard also abused her ex-girlfriend(s)",fuckoffyou,0,2021-07-20T02:36:13Z
34,UgwtURs7JP3FRH3yZcd4AaABAg,"love the jumper, go scotland !
also, 1 of my old friends had his face cut open by his girlfriend attacking him with her stiletto heel after a night out. we went to hospital & he was laughed at by 2 nurses (females) when he told what happened. the police did absolutely nothing to the woman in question when they were called, because everybody was drunk & ""a woman could never do that to a big rugby playing man"". those were they cops exact words, she got an off the record warning. last i heard, she was addicted to heroin & living on the streets.",imc1pd,0,2021-07-19T20:37:01Z
35,UgwL1kbOlhQ5Nd_5yRZ4AaABAg,"As a man who had his sister try to kill him multiple times only for police to be like...""Come on man, she's a girl"" then leave me in the same house as a meth fueled schizophrenic throwing knives at my closed door I can say you hit the nail absolutely on the head 😑",Sean Carter,0,2021-07-19T14:48:21Z
36,UgyAnm9x4SEc7Ua5Kyt4AaABAg,The Amber Heard story was never very believable. Men don't suddenly become spousal abusers at 50 (even if most of us don't marry hot 28-year-olds at 50). But people can go from 0 to misogyny really fast based on a single incident. Feminist filmmaker Kirby Dick was quoting some highly questionable statistic that women are more likely to lose custody for claiming spousal abuse than men are from being accused of spousal abuse. But assuming the bias always goes the other way based on the sample of Johnny Depp-Amber Heard is just as bad.,ALE1969,0,2021-07-16T19:17:23Z
37,UgxNPZdEq2JQkRuDE8B4AaABAg,Long story short… Amber heard is a disgusting human being,kay Dykes,0,2021-07-16T00:07:49Z
38,UgxzRb9H32ERALjWFg14AaABAg,Wait they cut him from the Fantastical beasts. Are you serious he's a major character they can't do that wears a petition to bring him back!,Kay Blood,0,2021-07-14T13:19:05Z
39,Ugy5vKCDskO5-UjFtCN4AaABAg,"Best case must be the girl who stabd her bf with a knife. Don't remember why...
The judge gave her a slap on her hand and let her go because she was a medicalstudent",The black goat of the woods,0,2021-07-13T07:07:24Z
40,UgylGUERJ2lrxy-PAjB4AaABAg,9:45 are you into cars? I am into cars…and i think that that idea is good…as long as the hollywood providers also cover the costs of repairs,Roope Räsänen,0,2021-07-12T14:59:22Z
41,UgylC3CRYH27v2uYA7F4AaABAg,"At least in the United States heterosexuality is de facto illegal. I think that any family attorney can explain that the most foolish thing that a man can do is have a relationship with a woman, for a myriad of reasons. If problems arise, and they probably will, your life can be completely ruined. And men are listening. Look at the plummeting rates of marriage, fertility and sex in general.",Jacob Stein,0,2021-07-12T02:39:55Z
42,Ugx5QfG1_ObbvFdhfjl4AaABAg,"Haven't watched the video yet, but here's the like BECAUSE.",Gibran Elias,0,2021-07-11T22:01:22Z
43,UgxbFNEUPU10vFVkqSB4AaABAg,"The dirty secret of domestic violence is that more than half the women in the shelters are violent themselves. Erin Pizzey got canceled after pretty much starting the domestic violence shelter system when she pointed out that not all ""victims"" were blameless. "" ... of the first hundred women who came into my refuge, 60 percent were as violent as the men they left. Or, they were violent and the men weren’t."" -- Erin Pizzey",Acme Racing,0,2021-07-10T16:21:33Z
44,UgzkoFfHanEpa0UtY-94AaABAg,dont.believe.every.male.sob.story.,Gravi Yu,0,2021-07-09T12:46:31Z
45,UgzbIg5IQ8zzaFlRAZx4AaABAg,Hay. Let talk about the reson that people are more likely to listen to a 20 something who have obviously had other things to think about in her life. Instead of a 41 year old that has nothing to do but figure out why people do what they do. Like I bet you never even thought of that question. But I have nothing else to do. Also you fake as shit and don't care about anyone.,One D Only,0,2021-07-07T18:00:47Z
46,UgzWlp3nzwZSv2XE_Px4AaABAg,Amber Heard is a narcissist. I feel sorry that Johnny Depp has lost work and been vilified.,Eve Morgan,0,2021-07-07T09:22:13Z
47,UgyXEOGBPBqp1oOalCN4AaABAg,"Would that be like C. Manson preaching peace and love? For, of course, $30,000.",Jeff Moore,0,2021-07-06T17:51:19Z
48,UgwoouuWFVtyB1b9fXB4AaABAg,Holy shit now they have children together? Maybe idk cant find anything about this baby she had but glowing support for how powerful and strong she is for saying she will raise the child alone.,Sean R,0,2021-07-04T00:25:25Z
49,UgzmKuZHjkCdnb0YaSZ4AaABAg,I’m a feminist but this was total bullshit. I can’t believe Heard has been rewarded like this for being an asshole.,E M,0,2021-07-01T17:53:58Z
50,UgxGKa-9AlPvSXHZTP54AaABAg,I’m not sure you fully understand domestic abuse. But that’s a good thing. I hope you never experience it.,Maria Klassen’s Vlog,0,2021-07-01T05:57:04Z
51,UgyVc7XJYOYmjquIy0x4AaABAg,I knew so many women who were drug addicts and had kids who they didn't take care of and sold their food stamps for drugs and shit and didn't care about their kids and let their mothers raise them and used their free money for drugs. Sadly they have all died from using drugs....,smoking one,0,2021-07-01T01:29:23Z
52,UgxqPu3rI6auGiRm2Fl4AaABAg,Two words: Brian Banks.,Jayson Raphael Murdock,0,2021-07-01T00:44:41Z
53,UgxSkQBvZpSqLPI3XaZ4AaABAg,The only talk this awful creature is qualified to give on domestic violence is how to get away with it. Goddamn this is so backwards,Katt Hunter,0,2021-06-29T11:41:50Z
54,UgwxJzf03eSnhkC-xnR4AaABAg,"This is why my son, almost 31, doesn't want to get married.  Sigh.",schikchick,0,2021-06-28T15:26:51Z
55,UgwROA44pSmXa0dGogt4AaABAg,Women benefit from false allegations either allegations of abuse or sexual assault and the reason they benefit is because there's no consequences for their actions,Dean Kirk,0,2021-06-27T19:55:02Z
56,UgxWElr-FVEwtitr_YV4AaABAg,"I think Depp is being punished for being Depp, nothing to do with Heard.  As far as that goes he's like 25 years older than her.  Skeevy.",Jamez Kpal,0,2021-06-27T19:36:16Z
57,UgwcyPJU6KqGXY-mLup4AaABAg,"Well, you can't deny she is an authority on the subject!",Riley Anoid,1,2021-06-27T03:56:14Z
58,Ugwoy_ZGzyzTht1oG3R4AaABAg,That website looks like the FBI's most wanted...,Voces del Río Río Urbano,0,2021-06-21T15:59:21Z
59,Ugy7XgksW6R2dYC6HGx4AaABAg,"Amber Heard: ""Okay women here, today we are going to talk about how, to abuse your husband, from a professional.""",Plague Doctor,3,2021-06-18T15:13:10Z
60,UgzhoypnvvAwQxDLKYF4AaABAg,Somebody give this lady a raise!,Moo Cow,0,2021-06-18T12:01:46Z
61,Ugz8EABc6nbo8rjJgcB4AaABAg,I think I went back like 4 times to make sure I had liked this video.,SeparatioNxiety,2,2021-06-17T18:38:04Z
62,UgzHzE72jhKgmx1lWDR4AaABAg,My aunt hits my uncle in the arm and yells at him and no one finds an issue with it except my parents and I.,Cassandra Gardner,0,2021-06-14T17:44:35Z
