,id,comment,author,likecount,publishedAt
0,UgyfIpOUXu--CsfQRwt4AaABAg,🔥🔥🔥🔥🔥🔥🤩🤩🤩🤩🤩💯🤩🤩🤩🤩🤩🤩🤩💯🤩🤩🤩,Nitin Barve,0,2021-11-11T07:34:18Z
1,Ugy7s7PJDGMmz_nv9sh4AaABAg,So why are you sad bhai 😂,mr UsMaNofficial,0,2021-09-28T03:28:23Z
2,Ugyo7PgO1t2HYOg-q3p4AaABAg,So what,mr UsMaNofficial,0,2021-09-28T03:28:03Z
3,UgxHDuQJ4_RqFB9vSNB4AaABAg,Bro there is 0 fan of amber Heard 🤣🤣,FUCT STUDIO,0,2021-09-27T18:36:31Z
4,UgzkffWBjk6W6dQRVPt4AaABAg,"🙏In Videsi ladkiyo ko riste Nate kya pta bhi agr vo kisi dukh me ho agr koi bhi anjan ladka hi kiv na ho vo us dukh se ubhr neme madat kya krde vo ladki uske sath bhi chalu ho jaye gi ,""matlb samjh rhe hona to age,"" or agr jo usko pyar krtahoga use yah pta chalgya to 💔uspar kya bitegi bhi ,or mene pahle hi bola he ki in Videsi ladkiyo ko riste Nate kya pta sahi heki nahi bhai apka kya kehana he bhai 🙏 ... ..... ...",Mayur Valvi,0,2021-09-13T17:03:32Z
5,Ugx1phwu-scRoqCwNq94AaABAg,Gold digger,Sudip Roy,1,2021-09-03T10:06:12Z
6,UgxBLwDCbDEAoSXOKul4AaABAg,90 percent of all girls are Gold digger hows sad 😂😂😂😂😂,Abhay,3,2021-07-21T15:03:21Z
7,UgwqUX2-hzgMooE0ORN4AaABAg,I hate Amber Heard,BLACK KNIGHT,0,2021-07-14T08:12:29Z
8,Ugxl4Sk47nKc86MMcTV4AaABAg,Yaha Sab Jhonny Depp ke Fans hai,BLACK KNIGHT,1,2021-07-14T08:12:17Z
9,UgyFpaPgFXALWuPq3IJ4AaABAg,Fuck elon musk,Freedom Haste,0,2021-07-07T17:03:43Z
10,UgxQa-VqNJxp3qf1pnV4AaABAg,Elon Musk became a playboy but he states that  he not interested in women beauty,MANDA SRINIVASA RAO,0,2021-07-05T07:07:24Z
11,UgzaV2gU1l2OT6DYzlN4AaABAg,amber is so beautyfull,ScaRy yt gaming,1,2021-07-04T15:36:26Z
12,UgyCZuRyiJrE2RKjEjt4AaABAg,Ladki ne bhoth badda hathh maara hh bhai...😁,Bunny Dhull,1,2021-06-13T13:35:33Z
13,UgzH_DGLZLFlBttYoZl4AaABAg,❤❤❤,Omi Hero👹👿,1,2021-05-28T09:41:28Z
14,UgwHzkenzVCGMLL5WSx4AaABAg,Sale chutiye Marvel kha sai agaya biich mai . yai DC ki character hai . Uneducated person . Or yai channel kaa naam Movie Update hai .,ANAND - 5788,1,2021-05-26T08:30:06Z
15,Ugw8tVtxiRUaAoxOrOJ4AaABAg,Babukub adme jonney deep ka cariar to karab ho gaya,Evols Gaming,0,2021-05-24T08:09:36Z
16,Ugwcsz0U76IzzoYlS7Z4AaABAg,Baat bada na bhaiya sabse bada rupaiya 😂😂😂,mayank sharma,0,2021-05-21T06:35:26Z
17,UgzZAwclO5YtBhBjKHN4AaABAg,"I'm fann of
Elon Musk
And
Johnny depp",Prashik Barsagade,2,2021-05-14T03:40:08Z
18,UgxFNUY6362iJ4HXbJJ4AaABAg,पैसा मिले तो किसी की भी ले लेंगे,RICKY GAMER,0,2021-05-05T06:14:50Z
19,UgyKGbTI_-f1TaITc_R4AaABAg,Indian guys are like ...yee neha dupia jesi hai,nishan rout,1,2021-04-23T10:06:17Z
20,UgzwLCAS_-rEgFPwM4p4AaABAg,"She will marry elon mask and take divorce ........
Tab too paisa hi paisa hoga..",MS VLogs.,3,2021-04-20T05:39:24Z
21,UgzI3fcKc9PjypAb_RN4AaABAg,0:46 Ye Honour Pighal Gaya 😂😂,Yadav Creation,3,2021-04-19T04:38:14Z
22,Ugxfcg6owLOaWBe-MLd4AaABAg,So 😡😡😡😡😡,ReSpEcT B,0,2021-03-30T09:33:55Z
23,UgwGKQ-yidU0apyKnIx4AaABAg,Bhai tere baat dil ko chu gayi # sayad unki soach neha dhupiya kese melti ho,rohit yadav,0,2021-03-26T14:15:56Z
24,Ugwgu-BnLoGPGiltemp4AaABAg,gold digger,Gyan Prabhakar,1,2021-03-21T10:24:22Z
25,UgydBQkyI-8bZMIERrt4AaABAg,"am a huge fan of jonny depp, i recently saw all the 5 parts of pirates of caribbean(jack sparrow) and all the parts are amazing . after watching this video i dont know why but i started hating both elon musk and amber heard. Pirates of caribbean the last pirate is gonna be a complete flop without jonny depp(jack sparrow ).",Atanu Sasmal,2,2021-03-10T19:34:48Z
26,UgyAHPXGAMfOG1m30-V4AaABAg,Amber lauda heard,Sangdil Biswal,4,2021-02-28T10:35:04Z
27,Ugyn6Io22vEDOxag0e94AaABAg,Amber is charecterless  agree or not,Ashit Ranjan Deb,18,2021-01-27T15:41:09Z
28,UgxSNe5AV0g7uc2x7Rh4AaABAg,"0:41 thank me later

Just for fun😂",Yasir Abbas,10,2021-01-22T19:38:43Z
29,UgwHkn4SqJf5xAufsT54AaABAg,Iam boycut Aquaman series because ambar nam ki bhutni h usme,khinw singh,4,2021-01-14T17:38:53Z
30,UgwwXtQbXNsOjJf7-C94AaABAg,Kya choose kiya h Elon itna gatiya insan h or log bolte ye motivational personal jisne  ye bola h wo bhos..... Ka h,khinw singh,1,2021-01-14T17:38:06Z
31,UgxyZ4qMVx84glzv0dR4AaABAg,Neha dhupia 🤣🤣🤣,im faisal,1,2021-01-06T06:13:32Z
32,Ugw-pgKAwn6vPFssTY54AaABAg,Bhai ek dialogue bahut pasand aya...neha dhupiya ka it's her choice 😅😂,Dragon. Bhadry,4,2020-12-29T04:54:51Z
