,id,comment,author,likecount,publishedAt
0,UgzjCRWKDDKcS98v8oR4AaABAg,"¿Que opinas de toda esta locura?
No te olvides de darle DUUURO a like y... ¿que?",DELCARAJO TV,237,2021-05-29T04:17:28Z
1,UgwMevWJ_EOCOAdZTgl4AaABAg,Ella le hizo mucho daño a su ex pareja.  Si eso que ella dice no es cierto.  ¿Que le pasará ?  De momento Johnny a sufrido injustamente todo.  Y ella que le pasará ?,Paulo Dantas,0,2021-11-17T20:01:58Z
2,Ugxc-lOYK7irFqwdvPl4AaABAg,"YA SÉ QUE A TI TE GUSTA MUCHO TU AMADO JOHNNY.
PERO NO ES NINGÚN SANTO.
SABE ENGATUSAR A LA GENTE Y ARRASTRARLA A SU TERRENO.
SABE SER TU PRINCIPE AZUL Y DESPUÉS HACERTE VERTE COMO UNA MALA PERSONA.
SE QUE ME TOMAS POR IDIOTA Y MALA PERSONA.
PERO SOLO INTENTO ADVERTIRTE.",Rosa Maria Jiménez Aguilar,0,2021-10-22T09:51:30Z
3,UgycOLbJ2aLqmCrXvGR4AaABAg,"YO LLEVO MI PROPIA INVESTIGACIÓN.
NO SOLAMENTE AMBER HIZO GANAR EL JUICIO A THE SUN EN LONDRES.TAMBIEN GANARÁ EL JUICIO CONTRA JOHNNY EN VIRGINIA.
Y ES QUE LAS PRUEBAS SON ACEPTABLES E INCLUSO ANTES DEL MATRIMONIO.
POR NO CONTAR QUE TENGO EXPERIENCIA VIENDO COMO ESTE HOMBRE MANIPULA A TODO EL MUNDO.
TENGO TESTIMONIO DE COMO MANIPULÓ A WINONA RYDER PARA IMPULSAR SU CARRERA Y DESPUÉS MANIPULÓ A TIM BURTON PARA HUNDIR A WINONA 
COMO TAMBIÉN INTENTÓ MANIPULAR A SUS ENAMORADAS PARA ENCELARLAS CONTRA WINONA Y EVA GREEN.",Rosa Maria Jiménez Aguilar,0,2021-10-22T09:47:06Z
4,Ugw8EZDm0PH8o1FXZzl4AaABAg,Niño de 45 años. Hablas como niñito pero tienes muchos años más. Además tierda de información es copia Trsdsds,Guillermo Torrejón C,0,2021-10-16T02:40:47Z
5,UgwzZThRMgEg2qx_Yht4AaABAg,Que miserable esa mujer...no representa a las mujeres,Roci Vida,1,2021-09-30T05:24:15Z
6,UgxPxWHcMOLVUf4vPOV4AaABAg,Amber no engaña a nadie...se delata ella misma...sus gestos...la comunicación no verbal ...MIENTE!,Eva Miquel,0,2021-09-25T17:20:35Z
7,Ugw93IzzMKbKl2exYAZ4AaABAg,"Protegida de Elon Musk, me pregunto si los jueces habrán sido comprados",Karen Reyes,0,2021-09-08T00:48:59Z
8,UgzZgTFcsrEBTMPLoWt4AaABAg,"Una sinvergüenza, cuenta a las parejas que tubo las relaciones con sus numerosos hombres. . El que tenía uniforme anda desesperado por si cuenta el año que estaba con él.",Zas Sad,0,2021-08-30T05:59:42Z
9,UgzK0xq1P3OF_Z2lQvZ4AaABAg,Intocable.. Pero si se Foll..... A Elon M. .   Y Dios sabrá con quien más des esos!   Pues ya ves.,Raquel B.Sanchez,0,2021-08-17T13:01:20Z
10,UgzaRcIZ3l7jdHhWP854AaABAg,"No habia comentado entodos tus videos de Amber  pero hoooy, con esa playera!!! Hajajajaja está buenisima!!! 🤣🤣🤣",S F,0,2021-08-17T12:49:11Z
11,Ugw0pA080PKCM9v6_0x4AaABAg,me parece patetico que mujeres como Amber representen al feminismo. Usan sus derechos para destruir vidas. Por eso; este tipo de movimientos no me representan,Elizabeth Gonzalez,1,2021-08-17T12:19:38Z
12,Ugz3BP2Bkn_giTWMQjd4AaABAg,😁😁😁te obliga,Yonny De La Cruz,0,2021-08-15T20:36:37Z
13,Ugz8UlJMvOcCwR5CtEd4AaABAg,Que raro un  schultzman detras de todo,Damian Rodriguez,0,2021-08-15T18:58:41Z
14,UgxKAAWCoZ9JH1tjFex4AaABAg,Qué feo es un hombre chismoso,Monserrath Jiménez,0,2021-08-15T05:16:21Z
15,UgyQvauu40c-SWNUNMx4AaABAg,"A hora las mujeres de Europa especialmente de España 🇪🇸 como el papagayo re pidiendo la misma idiota actitud que tiene Hollywood de cancelarle películas y premios le están dando un premio en Europa por trayectoria ,calidad y aporte a la industria del cine y las mujeres no quieren que le den el premio el encargado del premio mando un comunicado que el premio no se debe asu vida personal ni tiene que ver con su vida personal es exclusivamente, sino asu trayectoria y a Porte y enseñanza en la industria de las bellas artes y el cine , y no se deja intimidar por chismes y malas informaciones que no tienen que ver con su vida de excelencia como actor , espero que ese de minio de mujer tenga su castigo por todo lo malo que está haciendo",Jose A Santiago,0,2021-08-12T07:30:40Z
16,Ugx2loySVJ2hQiMjOB54AaABAg,"Esa estupida , tóxica , manipuladora, mentirosa , desquiciada sigo poniéndole adjetivos, bipolar , pega dora, infiel y pega cuernos 🤘 y me quedo corto sobre esta mujer si se puede llamar así , porque una mujer verdadera no es como este monstruo 👹 ella por capricho y porque tiene que tener alguien poderoso acostándose con ella para poder lograr lo que está haciéndole a Depp , pero yo creo en la ley del karma y a ella le va a tocar y fuerte , no se quita que es bella pero por dentro tiene un demonio 👿 dentro de pronto se le va a caer la cara de mosca muerta 💀 y que dará muerta cuando salga toda la verdad de Depp",Jose A Santiago,0,2021-08-12T07:13:41Z
