,id,comment,author,likecount,publishedAt
0,UgwBzLDpZQUQ2FK84J94AaABAg,I thought the guy was going to go to Amber heard and beat the shit out of her 1:25,Nathan Jones,0,2021-10-09T15:28:07Z
1,Ugyb54tyMaWMbeeKgYZ4AaABAg,If those kids could read they be very happy and upset,𝔁𝓮𝓫𝓮𝓵𝔀𝓸𝓵𝓯𝓲𝓮,0,2021-08-24T21:56:32Z
2,UgylGGnFp6OuJbTrnYl4AaABAg,See you again,𝔁𝓮𝓫𝓮𝓵𝔀𝓸𝓵𝓯𝓲𝓮,0,2021-08-20T23:21:33Z
3,UgzeLu1qRGwTUUMsFfJ4AaABAg,"im an idiot and i do not understand what 7:46 means, can anyone explain?",Kickaboi12,0,2021-08-17T21:27:02Z
4,UgyeagiwlziDi1ViZJB4AaABAg,I got the 2 Spider-Man meme.,Gamer Girl 101 • 100 years ago.,0,2021-08-08T16:59:02Z
5,UgyuQL6xBaB1tSKCUo54AaABAg,"Imagine if we could fill the court audience with people dressed as wizards, pirates, and other movies he's been in.",WitherWolf33,0,2021-08-06T18:30:45Z
6,UgykOxxetgVioQfhNKh4AaABAg,Johnny depp is legend,Kiran Singh,2,2021-07-29T17:26:23Z
7,Ugwt0wkL2GdBK1_Wlix4AaABAg,I got the cat meme,The Lemur,1,2021-07-23T10:53:06Z
8,UgxtV4bqg0JVpNtSuFd4AaABAg,"Whoever does the voice sounds like Clive James. And whoever does it, is brilliantly funny too.",Sophia Stuart-Watts,0,2021-07-13T18:13:17Z
9,UgyFbNa9fZi9AhIkShd4AaABAg,Cat meme,Elias Mayer,0,2021-07-11T01:15:09Z
10,UgwR4qJwzMsvWbfkMoJ4AaABAg,ha ha ha hahaaaa,GOD PARTICLE,0,2021-07-09T03:32:11Z
11,UgwzYur4o7Oa0axdN0h4AaABAg,"[WB fires Jonhy and keeps Amber turd while ruining the man I grew up watching]

[Me on a hotline to a terrorist organization in the middle east 
EXECUTE ORDER 66]",Anubis God of Death,1,2021-07-02T06:24:32Z
12,UgztdgFeh32h64an-zp4AaABAg,I got the dude pointing at his head,Courtney Bowers,0,2021-07-02T02:15:21Z
13,Ugw8obJrC3p16i4DqN54AaABAg,Lol 8:40 so true,Adviku710,0,2021-06-29T03:49:50Z
14,UgytGdxMfiWZtCDLQJx4AaABAg,Truth is amber the fans hated you from the start,dr loomis,0,2021-06-28T22:41:51Z
15,UgwHtxGm9Fy5fC3y9fx4AaABAg,I got pepe,Mr. Yoinkman,1,2021-06-21T16:00:59Z
16,UgyZRlT-NSd6OggMXzJ4AaABAg,Baby yoda mcdonalds,Levi Taverna,1,2021-06-16T14:04:28Z
17,UgzgbEK9y2jSQhIyGSV4AaABAg,The three wolves 😂😐🤣,shining pink,0,2021-06-05T06:15:08Z
18,UgwsHCwr3f3BVbr5jKx4AaABAg,Spider man double,Elisa Rivas,0,2021-05-22T06:47:26Z
19,UgyZ0fsJ4Hc5wmk35654AaABAg,I got 3:05 - the woman screaming at a cat who is just chilling at a dinner table.,Androgoly,0,2021-05-04T09:33:02Z
20,UgzCQujrewywyGFJOtJ4AaABAg,"No one:
Him : selfys,",j varshika,0,2021-05-03T14:45:55Z
21,Ugysp-uGlaXVah5Vq2F4AaABAg,Its 2021 did jhonny get his role back .?,j varshika,0,2021-05-03T14:43:14Z
22,Ugxz7KDo_Fymwd0TZ014AaABAg,But seriously though- Amber Turd seems to be winning at the moment- Im kinda scared what the results with end up as because THOSE JUDGES ARE SO BLIND like jesus even people are saying that Johnny didnt do dis do dat but still the judge always ends up accepting ambers accusations WITH NO LITERAL PROOF bruh,FabulouShan,0,2021-05-02T09:09:11Z
23,UgwT5pkRzLugxIks3ul4AaABAg,I got spiderman,Omar Zeqiri RexYt,0,2021-04-29T21:28:50Z
24,UgxlTWtoDOtSdrWiI4N4AaABAg,Yo,The Quiet Kid,0,2021-04-25T03:25:40Z
25,UgxqBp_P5sRyaYHtFYR4AaABAg,"I got pepe
Me: *getting pepe and making pepe face cuz of that*
Pepe on de screen: *doing same face as me*
Me: i’m very uncomfortable with the energy we’ve created in the studio today...",ㄴ ikuu ㄱ,0,2021-04-18T07:05:23Z
26,Ugz2Jql8O_H3weRi_Sp4AaABAg,I Got Pepe the Frog,Alaksander,0,2021-04-18T05:34:37Z
27,Ugzkn4Ei44wzON7bX1N4AaABAg,7:46 no idea what this has to do with johnny and amber but okkkk😂😂,Μαρία Μπουδώσα,0,2021-04-13T18:59:20Z
28,UgzR_822ve6TCEWnAqZ4AaABAg,its me mario,Death Eater,0,2021-04-10T14:21:36Z
29,UgzPhCpzZTFj9t141fZ4AaABAg,3 with wolves meme,Armando Salazar,0,2021-04-04T13:09:50Z
30,UgyS9z8y3GtQlB4_Mil4AaABAg,It's 1m+ now 😂,karthiklokey007 Lokey007,0,2021-04-04T10:36:26Z
31,UgzGO-nHXuntIzJuwzR4AaABAg,Let’s make Captain Jack Sparrow proud and actually pirate Disney. They have enough money,Pyro1456,1,2021-04-03T05:40:55Z
32,Ugze8vnYwMc1Wgwxrbh4AaABAg,Warner Bros is simp,Bbs ka Googlu,1,2021-04-01T18:26:59Z
33,UgwEv8Qe_9W-s73jGFB4AaABAg,3:04 I got the spiderman pointing at spiderman meme,°•Ari•°,0,2021-03-30T15:40:28Z
34,UgwUYAvXJqmrsl4l4BF4AaABAg,"WB: fires JD
Internet: supports JD
JD to WB: I've got a jar of diiirt,
                   I've got a jar of diiirt",Sabuj Ghatak,1,2021-03-30T11:58:41Z
35,UgwEzgrmEaMjHJ5oqyN4AaABAg,Puferfish,Dominik Hrbáček,0,2021-03-26T17:38:34Z
36,Ugy7oiN6r5dNXaG5j4R4AaABAg,"Hay if any here sees this, if you know how to make a website plz make one about why we should hate amber turd I mean herd.
No that I’m questioning why we should hate her, I just want everyone to know",Aidan Marrinan,0,2021-03-26T02:16:24Z
37,UgzAzZuiOOh-lAHhlct4AaABAg,Shrek,Caleb Ernst,0,2021-03-21T14:52:05Z
38,Ugy21ebunZLDd8WF_sd4AaABAg,sans,jenkins toiletsbery,0,2021-03-20T18:06:04Z
39,UgwkQeZl3Z6sND8wCPB4AaABAg,I got the lady and the cat,ChickenNuggst,1,2021-03-19T00:05:51Z
40,Ugya6kjGjj6hus3DAd94AaABAg,Me: A Trump supporter that supports Johnny Depp. I hope we can be allies in that bad time when Johnny is being abused,MAGA Fox,1,2021-03-16T05:09:48Z
41,Ugx3eF2EYEvpwbWFZxd4AaABAg,I bet Amber has slept with the CEO of Film Industry,DPP Official,1,2021-03-15T13:30:00Z
42,UgyFw9rxZHC7oUaSSEh4AaABAg,"If dying is gay, why aren't I dead yet??? 😂😅",Chooritsu Chan,1,2021-03-14T04:28:27Z
43,UgxTUuk46ozy76VP5cp4AaABAg,"I got the Shrek meme, yesssssssss!!!!! 🖐😂😂😂",Chooritsu Chan,1,2021-03-14T04:19:49Z
44,UgyJC6Yu3POxLWxzPSN4AaABAg,The,Hudson Reyes,0,2021-03-06T09:00:44Z
45,UgxtmQMbMhjYxxXnUgB4AaABAg,The cat who eating veggies,Kharalel Deleon,0,2021-03-04T00:42:10Z
46,Ugw5HgZFbFMHyZNkH4F4AaABAg,Sans,Liquid Gamer,1,2021-02-28T02:57:58Z
47,UgylyJ94nNAO62t9zax4AaABAg,I got halo meme 3:05,CPT. PRICE,0,2021-02-28T01:45:49Z
48,UgylV7q_VXhmiaM5CbV4AaABAg,#justice for depp,SkippingAlloy69,0,2021-02-26T21:04:35Z
49,UgzDSUCyBDhQy0w7xaB4AaABAg,3:05,Eli,0,2021-02-26T19:06:26Z
50,Ugzqg0_AYDYFtzLPSNB4AaABAg,I got big chungus,Weirdo  Artist♠️,0,2021-02-22T06:50:23Z
51,UgxXwQ1Iw3ejITapXyF4AaABAg,spder man pointing at himself,ruthy harris,0,2021-02-18T20:06:25Z
52,UgxwE4ER1bh1J1VLGIp4AaABAg,I got pepe,Leo Black,0,2021-02-18T08:08:24Z
53,UgzwwhirWwZCZQXhcj94AaABAg,And JUSTICE FOR JOHNNY!!!!!!!!!!!!!!!,Faith Campbell,0,2021-02-11T20:10:53Z
54,UgwXARxmluUti4EI9LJ4AaABAg,"the meme about ""Everyone supporting Johnny depp: Me who just woke up, me about to join.  is exactly me.",Faith Campbell,3,2021-02-11T20:10:37Z
55,UgzSb73Fk-uDzEPKcEN4AaABAg,Everyone is in  support of Johnny and shushant,jai hind hind,0,2021-02-10T12:10:09Z
56,Ugw7CPPuWoHelSgUIC94AaABAg,"I got the Area 51 meme xDDDD

Also WE STAND WITH JOHNNY! OUR TRUE CAPTAIN!!!",VIXXlight_9098 #VIXXComeBack,0,2021-02-09T05:26:17Z
57,UgxuAL63P4tsfumTZqN4AaABAg,stopped at the frog meme 3:04,Shreelaxmi bhat,0,2021-02-03T12:12:15Z
58,UgycKXMuposrmiD0rrV4AaABAg,Ahh I got Bongo Cat,The Cereal Knight,0,2021-01-20T10:21:49Z
