,id,comment,author,likecount,publishedAt
0,Ugzd5My6-MTWaK9xv6B4AaABAg,"LINKS:
Twitter: https://twitter.com/home
Instagram: https://www.instagram.com/shelbyyoutube3/
Virtual Tip Jar: https://www.paypal.com/donate/?hosted_button_id=9V4FT45KTECFS",Doctor Soup,1,2020-10-21T20:16:23Z
1,Ugw-kiwuFRm-Wa7D9UV4AaABAg,"Borderlines experience psychosis and also can appear superficially charming - to be as perfect as possible to gain validation and prevent feelings of abandonment.
I think she has both BPD snd NPD.",Silvio.R,0,2021-10-03T13:11:49Z
2,UgxzyZYmEUbivv3x0WJ4AaABAg,"that's the same feeling i got from her, that she doesn't understand normal human emotions",Dottie Ndots,0,2021-09-04T11:12:21Z
3,UgyVRu46A4KDGKIry5Z4AaABAg,Doctors can prescribe Seroquel (or any other meds) for anything they'd like -off label prescription.  Just because she was on a anti psychotic med doesn't mean that she was actually psychotic.,Bruce Wayne,0,2021-06-02T14:18:12Z
4,UgzC2UNiPw1Eocho1kx4AaABAg,"Just a cut and paste of a disorder she may have or have traits with, it's possible to have traits from more than one disorder.

People with antisocial personality disorder tend to:

be irresponsible, fail to respect the law and repeatedly behave illegally
lie and deceive others
be impulsive and not plan ahead
be aggressive and antagonistic, causing conflict with others and within organisations
disregard their own or others' safety
lack remorse and not worry who they have hurt, mistreated or stolen from",Oscillate Wildly,0,2021-05-03T17:56:39Z
5,Ugy1Wz4JuTN4PAKfdsV4AaABAg,"Seroquel is only an antipsychotic drug from 600-2000 mg. 25-300mg is just a non addictive sleeping aid, nothing to do with psychoses",danny trials,0,2021-04-27T16:35:13Z
6,Ugw6b00JyOcn3fji4CJ4AaABAg,In my perspective Amber Heard is probably lost soul and emotionally manipulates people for her amusement.,Renata,1,2021-04-17T22:59:47Z
7,Ugzp6hnfXr91zu0OVfZ4AaABAg,She needs somebody to help her,Nadia EL MOUDDEN,0,2021-04-16T19:25:46Z
8,Ugw5nfDgFkQRpwd_I9F4AaABAg,That's her Mars in Capricorn... if ya know ya know,Minoru Sanchez,0,2021-03-18T14:21:54Z
9,UgyDQ2RfLfRc7Om8R0V4AaABAg,I loved your way of presenting. keep the good work up.,uday pilgaonkar,0,2021-03-10T17:39:04Z
10,UgwAnBuYAth4jXkzuxp4AaABAg,In addiction treatment seroquel is used for sleep and anxiety,danielle sve,0,2021-02-10T19:25:29Z
11,Ugx0wCzhPDx9j6ZtVhR4AaABAg,Wonder if she’s a psychopath,Ifsa Hussain,1,2021-01-30T21:52:21Z
12,UgzRv8iCcS42hSCDogB4AaABAg,I fink she's a lyin narcopath,Mazzer B,1,2020-11-14T23:41:38Z
13,UgxRki29PdjlvAzCOfZ4AaABAg,Brill vid keep em comin 👌,Mazzer B,0,2020-11-14T23:39:21Z
14,UgzXKY68H27-R32HUXx4AaABAg,"I wanted to continue watching this but the clip volume is so low I can barely hear it. If I turn it up enough it BLASTS when you talk. Not sure if that is an issue you can fix, but for me it makes this unwatchable",Raisin_Girl13,0,2020-11-12T04:47:14Z
15,Ugy9wlJuQ02hEUVVQ_14AaABAg,Those clips were way too quiet & I had to have it up so you’re shouting (she looks angry when she says “such an artist”),Jayne Davis,0,2020-10-29T07:57:00Z
16,UgyiE3-owcAiDujaS5p4AaABAg,"I took Seroquel when I had to stop my opiate pain killers cold turkey to force my body into withdrawal so it could accept the new drug. They gave it to me & Johnny Depp to make withdrawal more bearable. Unlike him, I got to take my medication for the whole 3 days & it helped a lot. My pain management requires semi-regular “withdrawal” periods so I’ve done it the hard way (but never like poor Johnny, I wasn’t on street drugs)",Jayne Davis,0,2020-10-29T07:51:14Z
17,UgwSIPHj4QIbT-xXZe14AaABAg,GREAT Video!!! Subscribed 👍🏻,Simone Schick,0,2020-10-15T18:45:24Z
18,UgyMuj2XTyzcnNqiWZB4AaABAg,U speak very well n easy to understand.,Peanut Gallery,0,2020-10-13T04:30:35Z
19,UgwABzOfvaE_q5mmA8d4AaABAg,"Wat is she talking about? Makes no sense.
Psychopath!!! Mimics humans",Peanut Gallery,2,2020-10-13T04:27:24Z
20,UgwQ8hFtILsrEL7dozt4AaABAg,"She must be a sociopath, because even narcissists have limits.",Katia Lastovkina,1,2020-09-29T08:18:41Z
21,UgwPMk--egooYIzfFFJ4AaABAg,"I'm studying phsycology and non verbal communication and the main facial expressions she uses in only a second are revolving around......1/ Anger (notice she grits her teeth and jutz her jaw and pops her eyes out a lot)  2/arrogance - Notice her rejection of a lot of the suggestions that are made to her and her instant and annoyed dismissal to them-3/Fake posturing -notice how difficult it is for her to sit in a professional way.....very forced behaviour.
There's many more....... but those are anti social type ""tells"" and narcisstic tendencies being controlled as much as possible",The Killing Joke,1,2020-09-25T05:00:28Z
22,UgywqsNJMFgVdGnY2z14AaABAg,Is there a reason why we can't really hear Amber?,Peta Bulmer,0,2020-09-25T01:08:50Z
23,UgwFdRCie_FRE_SyP9p4AaABAg,"She tries really hard to seem more interesting than she really is. She is fake and manipulative. Nothing natural, normal or genuine about her. She is all an act and very bad one.",Mgd Kns,0,2020-09-24T18:00:11Z
24,UgwJwfAQhl7Eg-Yjuwh4AaABAg,"""...the way she looks at the camera"" - yeah, that jumps out at you!",Mary Turpel,1,2020-09-19T01:33:51Z
25,UgzNt3fGC_X5p3JnuZp4AaABAg,Do you Think..??!!..lol,Chuck Baker,0,2020-09-18T16:29:25Z
26,UgzM61XC_kcgKyoIEI14AaABAg,"Seroquel can be used for various purposes, for example for people with no other problems it can be used for sleeping difficulties. I'm not saying amber is normal, she's not, she definitely has some personality disorder.",Tuia Ojala,0,2020-09-15T23:47:14Z
27,UgwwfZAyk-hppUlxJat4AaABAg,“MmmI really could use a corn dog or some chicken nuggets...”  😂😂😂😂,Wendy Burns,1,2020-09-13T22:46:50Z
28,UgwyDNEOShokhSfGXbp4AaABAg,"I actually think that she is a malignant narcissist, comorbid with Borderline Personality Disorder and Antisocial personality disorder. Some of the things she did to Depp and others, including her ex girlfriend, Tashya Reed, are just purely psychopathic on an antisocial scale, and the worst thing is, she does not feel remorse for it and blames others. She deserves jail time for all her fabricated claims and lies, and an end to her career. Fake as hell.",Kevin Jang,0,2020-09-11T14:12:18Z
29,UgyhsW4Om3RDSbu1g-14AaABAg,"In The physical realm they are workers in the entertainment industry, but in the metaphysical world they each have their own affinity toward the domain of the god forces which constitute the shadow of our dimension that transcends all. These beings much like their cousins (all of humanity) work through the day to supplement their lives and regardless of enjoyment remain committed to fulfilling the cyclical prophetic sense of content so long as their inner god is pleased. Johnny Depp is one whose god relates to expression, a natural performer, one who no matter what can play a character and retain his genuine aspect, something that makes him human and tethered to this realm, a true master of his vessel who doesnt need anything at all so long as he can pull his strings and inspire others. 
Amber is one of a much more sinister shadow affinity, a god who uses their vessel to impose on others, to destroy, provoke, and subvert each industry or structure they involve themselves in, there is no genuine aspect tethering the vessel to the physical realm, her vessel is one who will not be content unless it can own all and reign over others like a tyrant and even then the very nature of the god will be in a perpetual state of misery, only catching a glimpse of contention when an act of foreboding subversion of will is realized. 
We are all vessels of the energy that some call ""god"", we all spawned on this rock from the ether and shall return to it shortly, and our verry nature from the ether cannot be erased, there can only be interference patterns in the energy that transcend higher dimensions. 
What this show can teach us is that no one is above the nature of our universe, safety is an illusion, and our destiny cannot be known to us because our omnipresent omniscient status was sacrificed to experience the universe from a deeper perspective. Our sight is of god, but our minds are of man.",Danny Mckenzie,0,2020-09-08T19:20:47Z
30,Ugx3vY5yKt52RKpp7-d4AaABAg,She is a fraud and con woman and should be avoided unless you want to become another victim of her abuse and lies.,DudeAbides,0,2020-09-06T21:00:19Z
31,Ugz17_M_a19n5FINx714AaABAg,She is so fake.,Izumianne,0,2020-09-02T10:14:26Z
32,UgxEcz6-wt98MrVfKqJ4AaABAg,In every interview she looks around. She comes across as untrustworthy.,Carolyn Dee,2,2020-08-28T11:02:31Z
33,Ugyr-ZHQmiIZp8AiJJd4AaABAg,"Instead of looking at just the symptoms of emotional disorders, you should also consider looking at how emotional disorders influences a person's actions. You seem to be pairing her with psychological disorders, with the fact of her just having them already villainizing her. Having emotional disorders doesn't make you evil, and it's really important to understand that and not to perpetuate these hurtful stereotypes.

Whether Amber Heard is guilty or not is not my point. It's doing your due research before spreading hurtful misinformation further.",RiOT76AD,1,2020-08-27T15:59:13Z
34,UgxD4iiwd7K8ATMoyAN4AaABAg,Very interesting.,BassJunkie,2,2020-08-27T15:42:38Z
35,UgxzhK60sju1lsbeAV54AaABAg,She’s a nutcase,Kaffekaffe Kaffe,1,2020-08-27T14:32:35Z
36,UgyvcjRM5SrIJq4gRs14AaABAg,"She has a very strange and peculiar body language and face expressions.
She is screwed up",Marta,0,2020-08-26T12:49:24Z
37,Ugzr8ASIwVEGwyLgkZ54AaABAg,"Antipsychotics aren't used only to treat the mentioned diseases. 
Due to their calming effect they can be used as a sleeping aid and for many other temporary or permanent conditions.",Taylor Sky,1,2020-08-25T15:29:38Z
38,UgyYWlS0dQqyt1aijaN4AaABAg,Lol her cheek implants are really showing at around the 10 min mark!,Emerald Dreams,1,2020-08-13T21:02:28Z
39,Ugxvyi390pydaKhrdtR4AaABAg,"My two cents: Amber is a text-book malignant narcissist sociopath, with borderline personality disorder, and intermittent explosive disorder... Great channel!! New subbie!!...",Tania Haeussler,26,2020-08-11T14:00:27Z
40,UgzM8w0YdVPGNnsy6Ap4AaABAg,"Hey everyone. I just wanted to say that I stated in the video I am viewing Amber's ""condition"" on an amateur level. I know that I am not a Professional. If something I say is incorrect then feel free to tell me so. I am just going by what Google has told me, when I researched these things. thanks!",Doctor Soup,1,2020-08-08T03:36:12Z
41,Ugx7EBCa-n6oTEWXXdV4AaABAg,OMG I think I cracked the code are you spill sesh?!,NJ ,3,2020-08-07T05:36:41Z
