,id,comment,author,likecount,publishedAt
0,Ugz_casqz0nDiho0AQh4AaABAg,"Guys, stop sending hate to amber. I’m tired of liking all the comments 😓",THE HIT LIST,0,2021-11-20T08:24:17Z
1,UgyOvfc40DDSIGYiwyp4AaABAg,Lmao her language 💔 -,Shakya Wijesiri,0,2021-11-16T14:57:15Z
2,UgwbNTBSZOmqE4DkrVZ4AaABAg,"You are such a baby!

Typical words from an abuser",Alfonso C.,0,2021-11-13T14:54:29Z
3,Ugxh2VA2-Bhtaxp4oE94AaABAg,"Just reverse the roles. And I it was reversed JD would be completely ostracized by every notable factor out here. 
But 
AH ... blind support for her. Really goes ti show how much justice is here",emeraldkei,0,2021-11-11T12:44:01Z
4,UgwaWd-scUC4CxR5XzB4AaABAg,How can any woman hear this audio and think Amber is sane lol,Joe Mama,0,2021-11-07T00:46:59Z
5,UgxJOOxZ4SDvtdQMrhh4AaABAg,Jesus what a nightmare lol 🙏 for Johnny,Joe Mama,0,2021-11-07T00:46:28Z
6,UgyNUiK13whtX8BTDFR4AaABAg,"""I hit you, I didn't punch him""


Isn't that like the same thing-",Zachary does gacha,0,2021-11-05T15:28:39Z
7,Ugx3l7s_DY9IFhttLgl4AaABAg,"she literally told johnny he was acting like a baby when she is the one who is acting like a baby, where is your logic ms. heard? did you left it somewhere or you never had it?",Lalalarry Stylinson,0,2021-11-05T08:56:22Z
8,Ugw98C4asZuDx3btIIl4AaABAg,"Dear Johnny Depp,

DIVORCE HER",Aisha Musa,0,2021-10-24T22:49:39Z
9,Ugy7_hpNMHIqjxK9C9Z4AaABAg,0:17 Johnny start loading his gun,Amanpreet singh Malhotra,0,2021-10-24T18:40:02Z
10,UgwGU_qhgIbLwP4uGh14AaABAg,"WB ""so there's allegations depp may have abused Amber so were firing him""
Also WB ""hey so there's proof Herd hit Depp but she's a woman that will bring men to watch aquaman so were gonna ignore it""",Nee - Son,0,2021-10-23T19:00:16Z
11,UgyGgpR7HhqgpGbT5b54AaABAg,Woah gaslighting alert!!!,Janice Saheed,0,2021-10-22T09:01:53Z
12,UgzS9516s8rywkGbM0Z4AaABAg,Nightmare fuel fact: TMZ had the comments turned off on the video where it shows Johnny having a mental breakdown. Clearly they are siding with that bitch Amber Heard.,Joshua Olson Cook,1,2021-10-19T07:11:00Z
13,UgyqP3bRd7kxNx0h1Np4AaABAg,"1:24 ""BABE"" 

Subtitles- ""Bitc.."" 😂 She definitely said babe. Maker of the video trying to make it more dramatic 😂",closinginonclosure,2,2021-10-18T00:11:30Z
14,Ugxyj74BAnQmsre69sN4AaABAg,"I'll fully admit when the allegations first dropped, I was on the fence because both Depp and Heard claimed the other was abusive, to where I was okay with both being removed from filming for the time being. Once this audio dropped, this proves who was honest and who wasn't, and the fact Depp is being treated like shit by the film studios and Heard still has a career is horrible.",jish55,0,2021-10-17T12:43:31Z
15,Ugy8_7ADHIow5upSFvx4AaABAg,"I wasn't punching you I was hitting you, makes it all good now",T.J. Spike,0,2021-10-14T04:21:04Z
16,UgzReQA8vNf1UOr-QWt4AaABAg,"""You've been around a long time"" she reeks of jealousy",LiNa,0,2021-10-12T15:22:31Z
17,UgwlhUfObU0vsgg4lap4AaABAg,How's your toes amber hahaha 😂😂😂😂😂 I love Johnny's sense of humor😂😂😂🤣🤣🤣 lol,Prinzesskaykay beauty,1,2021-10-08T18:57:08Z
18,UgyUY5D_ookwFNGsmWl4AaABAg,"""Male privilege"" 

Tbh I see more female privilege they anything this is a prime example we know she was in the wrong not johnny and yet she gets away with it and Johnny suffers even when it's PROVED that he never did anything to her ......why don't I see feminists Talkin about this bc this is a prime example of how messed up accusations are

Males: never believed even when they being honest

Females: can lie to your face and everyone believes them bc a women can never be the villian....bro. poor Johnny man",One Autumn Leaf,0,2021-10-07T16:57:21Z
19,UgwXDLRhSAPex4c8xjB4AaABAg,Didnt need to watch read nothing cause any man that that popular n is that queit off set that just how he realli is,Chris Long,0,2021-10-07T10:30:02Z
20,UgxT_JpOxY4aGs0IO6Z4AaABAg,"""I didn't punch you!""
""I was hitting you!!""
More like my name isn't Amber Heard!
I'm the biggest dramatic gold digger alive!",zinGkwaiii,2,2021-10-05T07:22:39Z
21,Ugy6qqbEwTGe-myuwpl4AaABAg,"If I were Johnny, I would have gone full OJ Simpsons on this bitch.",Thịt Bò Khô,1,2021-10-04T10:19:32Z
22,UgzkmgR1hBBPSY-sxot4AaABAg,"This makes me tear up and think about what happened to me, I was beaten and hit by an ex for a while, had scratches and bruises on my face, went to the cops…they said I did it to myself. Crazy",Matthew O'Reilly,1,2021-10-04T01:34:14Z
23,UgxoYt-tDeaXqum2FVh4AaABAg,Poor guy,Tom Hidley,0,2021-10-01T10:11:07Z
24,UgwFL0fJXh_gEzC6DXx4AaABAg,This is what you get for being a SIMP.,Mordy S,0,2021-10-01T04:56:17Z
25,UgyydnMavkUYZ2mL1QR4AaABAg,What a See you next Tuesday,jojomarrie,0,2021-09-30T05:22:53Z
26,Ugza7C4UL4SaKgJBjAt4AaABAg,"how has his lawyer not used this as evidence that she was the abuser. johnny got abused, she is horrible. johnny needs an apology <3",onlytpwk,0,2021-09-27T22:36:37Z
27,Ugyw5e0YbPZaRCSNlEh4AaABAg,He's so calm,ronnyjapizza,1,2021-09-27T08:44:34Z
28,Ugxx-a0brtJA3rS4d5F4AaABAg,Amber Heard is trash not Johnny,Miss Depp,1,2021-09-21T22:54:43Z
29,UgxDgwU8mKcJhP5PIWZ4AaABAg,I'm so sorry for him omfg. You can even hear his voice trembling. he is such a great man towards women he would never do anything like that. and if i see a comment again that it is his fault i swear i kill 😔,Jxker. vls,2,2021-09-21T14:44:19Z
30,UgwwI8E7aQRYFpuvDbd4AaABAg,Poor lad,Guardiansofthe_stars,2,2021-09-18T17:08:04Z
