,id,comment,author,likecount,publishedAt
0,Ugw32FBPJ9i2RanZTL54AaABAg,What are your views on the entire Johnny Depp/Amber Heard situation?,Top 10 Beyond The Screen,9,2020-11-27T17:04:02Z
1,Ugykk5rJnG7JHiWwlsF4AaABAg,I honestly think that Amber Heard should be the one to be fired from Hollywood and not Johnny Depp because you know what Johnny Depp didn't do anything wrong,Gabbylane Mcmillen,2,2021-07-07T12:39:58Z
2,UgzbLY4VW4Zh0T4H_ld4AaABAg,I'm guessing that grindelwald will use a poly juice potion to look like mads and use mads for the rest of the series.,Kelsea Nova,0,2021-04-13T02:36:28Z
3,UgxpwDt6hwsuW61gNTV4AaABAg,I won’t watch that movie or the new pirates movie if JD is not in them also won’t watch aqua man 2 if AH is in it,Karen Becker,1,2021-02-22T12:47:45Z
4,UgxxAHmWCt-R17NmVc54AaABAg,NOW I AM PISSED! I LIKE JOHNNY DEPP!,Angela O'Brien,1,2021-02-19T13:20:57Z
5,UgwZwqj6I_rh28WjSYN4AaABAg,"Sorry he is not johnny depp.
Really, what ever , I will not watch this video
It's not got the heart that johnny put in it",Elizabeth Carter,3,2020-12-05T22:56:59Z
6,Ugw28QYV_EJlkxYlzvl4AaABAg,Johnny Depp is awesome and his EX WIFE!!! Is a manipulating liarl! Disney will regret firing him as Captain Jack Sparrow!! I for one will not be watching anymore Disney movies until they hire Johnny back!!,Stephany Duarte,3,2020-12-04T17:37:28Z
7,Ugydm_ixV0Cr8j3_qQt4AaABAg,"He’ll wind up ok.   Talented and well liked, they’ll find something for him.  He was a victim also!",Anita Brewer,0,2020-12-03T08:24:33Z
8,UgzLWfLsimqzkrI7JL14AaABAg,I don't dislike his replacement but you can't actually replace him! Id hate to hurt the other guys career but I won't support anything that ruins JD.,BonneMoms,3,2020-12-02T19:44:06Z
9,UgwN3fE0HwODJFBE7Nh4AaABAg,I won't be watching FB3! U have ruined the rest of the series! So unfair to the fans! I'm Johnny all the way 💕,teresa Howells,3,2020-12-02T10:34:39Z
10,UgxVd4qLCuX0Jz8PNhB4AaABAg,"I don't think much of Amber, I don't think anyone does. He is not an angel, but her videos attempting to condemn him, are not remotely convincing. He got played.",Nina Gonazlez,2,2020-12-02T01:03:40Z
11,UgxanUO933QM3wJ5Kvl4AaABAg,"I am going to watch it, but most likely from an online third party provider…
(insert the Pirates of the Carribean theme here)
Also mostly because Ms. Rowling acted with reason in this affair…",Andor Radnai,1,2020-12-01T22:49:19Z
12,UgxSLTQBvjk3dFUELYR4AaABAg,I feel for him cuz Amber is a LIAR! Being with that woman destroyed his life.,BAD Gurl,3,2020-12-01T16:10:28Z
13,UgzidK_J-94X2Jn3tGJ4AaABAg,johny always be my hero no one can replace his place in my heart,BAWA G,3,2020-12-01T04:35:52Z
14,UgxsO2D7ZuySRPJwGN54AaABAg,#JusticeForJohnnyDepp,Leanne H,3,2020-11-30T14:12:59Z
15,Ugyf6mJFvBxXPcL-YTl4AaABAg,I don't think its anyone's business really.,Simone Campbell,0,2020-11-30T03:28:22Z
16,Ugy2h1Yi0A-fNHeC0n14AaABAg,"My thoughts?? Well, you asked.  I think Johnny  got really screwed, either the judge was paid off or didnt have enough balls to call an ace an ace. They saw the proof, heard the witnesses,  heard the phone recordings  and they let that skank lying witch ruin this man because  they cowards!  I will not watch anything heard is in and will boycott any company she works for. Team Johnny!!!",Sheila Gravely,4,2020-11-30T01:53:26Z
17,Ugw5Ybst2N64PTvjbjp4AaABAg,After all that hard work Johnny Depp put in to his work they never awarded him in the way he deserve to be awarded from ever since!  And now he is being JUDGED fot his hard work due to his personal problems outside of 'WORK' and that is WRONG!! Why try to belittle his professional talent treating him as if he just came to Hollywood for auditioning! His work is MAGNIFICENT but like all of US our personal life has its ups and downs! Render to Ceaser what is Ceaser's and DO right by this TALENTED  Actor/Performer. Shame on you all!!!,Sandra Sylvester,2,2020-11-30T00:09:28Z
18,UgxoSPL0YEpdJf-Mufd4AaABAg,"I am unimpressed with the decision to remove him from FB .... Yet Heard who had admitted to hitting him.  Has a history if violence, IS still in all of her films. Hollywood needs to wake up... I will not watch any movie she is in on principle and I can't wait for the truth about her to be proven.",Heather Meyers,5,2020-11-29T23:23:06Z
19,UgyNQpTpRo-1dczmc5B4AaABAg,Johnny Depp is the Serious Black of Hollywood right now,Joshua Hallett,1,2020-11-29T22:38:31Z
20,UgzNgoFvnBdPBV2VVJV4AaABAg,"Johnny NEEDS JUSTICE! No matter what happens, I 100% support Johnny Until that Abuser is KICKED OUT!",Dalia Ahmad,9,2020-11-29T05:23:47Z
21,UgxkoqRLWLRsfLeJ27p4AaABAg,I predict that every movie that Johnny Depp was scheduled to play in will not turn a profit. I predict that Disney is going to go bankrupt and I also predict that first they will see a surge and then crickets. The big five communication companies within 10 years will be broken into pieces.,Calvin Barrett,7,2020-11-29T02:09:38Z
22,Ugx9rsCCC9CyzygzRXp4AaABAg,"I think everyone should not watch any movies of her or the fantastic beast unless Johnny Depp is in it let them lose money , I really hope nobody watches it. #justiceforjohnny",Loreine Ah,4,2020-11-29T02:02:27Z
23,UgzilHdzeJ__WJAyQfx4AaABAg,anyone else came just to see mackenzie 😍😍😍,nimo rodriguez,0,2020-11-29T01:52:58Z
24,UgxobH9gDjHlKTquI8x4AaABAg,"I think this movie should be boycotted because they fired Johnny Depp. Johnny Depp has millions of fans and a lot of these movies were made so popular because Johnny was in them. I hope he gets a big settlement from the dirty ex-wife that took a dump in Johnny's bed. Somebody that would do that would do just about anything to hurt their ex. ""For better or worse.""  I guess this was beyond worse in her book.",Gale Memee of 6,4,2020-11-28T18:27:33Z
25,UgyUd1knB2biuY7G6e14AaABAg,"If this is true extremely sad as we will be losing one of the best true actors in Hollywood.
AH is not an actress she is incapable of playing a decent role.",Patti,7,2020-11-28T14:49:22Z
26,Ugz-DiQBKQVI_1qKJl14AaABAg,#JusticeForJohnnyDepp,FYO PIX,2,2020-11-28T14:28:06Z
27,UgzKuljbBYfgXF5O4NN4AaABAg,"Even though I’m danish and support our danish actors, I will NOT Watch or support anything where Johnny depp is replaced in. Justice was not served this time and it’s sad! I support women who opens up about actual abuse. But girls who just do it for attention and even worse - actually is the one abusing - that is just a whole other level of disgusting behavior and shouldn’t be justified just because of a gender. What a sad time to be human, and a sad time to be a man. And this is coming from a woman, who actually was in a abusive relationship when I was 15 to 21. And still suffers from it today, at 29.",Michella MG,5,2020-11-28T14:13:32Z
28,UgyxjWU3mtZTsE6bSt14AaABAg,"Where is the history of his supposed domestic violence? I not saying, Ms Heard is lying, but there should be a history. The case in England, seemed bias.",Gia marie Fencerilla,2,2020-11-28T12:11:43Z
29,UgyAyWzGqI9Ks9tMDh54AaABAg,"I hope Amber schmuck face meets that ONE person who will make her shyt her pants, literally",Kerry Hubbard,0,2020-11-28T06:37:23Z
30,Ugx9En2eJhFwdUCHc5J4AaABAg,"Judging from the movie i have to say there is no way to replace Jonny Depp.Hes just so good, kidding he's AMAZING",Ray Wane,7,2020-11-28T05:57:07Z
31,UgwTcEkfogkOli08eLh4AaABAg,Fantastic beasts without johnny depp is just a cheap knockoff.,L C,20,2020-11-28T03:25:12Z
32,UgxaUPOPwKed73ekKG14AaABAg,Makes me want to write a script just for him something like he's never done before that nobody can take from him! Love you Johnny!,Nikita Alita,32,2020-11-28T02:47:18Z
33,UgxqXPzD7H1KW4ZeudZ4AaABAg,"She's a money grabbin piece of work n a proven liar.....his reputation has been destroyed for no other reason than to fill her pockets, she needs mental assessment n maybe lockin up in a nice room with lovely soft walls, just my opinion",Debbie Hart,0,2020-11-28T01:44:25Z
34,UgyakYdCh_mV4FCU0mR4AaABAg,Mads mikkelsen plays very convincing villains. He was great in casino royale and doctor strange.,Movieman909,1,2020-11-28T01:23:41Z
35,Ugyg8q4Asf9yM9fRb9B4AaABAg,Johnny is straight white male and many in Hollywood are biased against them. Never trust anything coming from so called mainstream Hollywood.,hydrolito,12,2020-11-28T00:58:51Z
36,UgwT1B2aWI_VsT9bpFB4AaABAg,BOYCOTT  !!!!!!!!,Potitos Anthony,11,2020-11-27T23:12:38Z
37,Ugyt4xXxeuPxUnHzykp4AaABAg,"The whole trial was a con from the start. He refused to use testimony from several witnesses who were there when she claimed incidents happened who not only denied them but testified it was Amber who did it to him   He also chose to ignore statements from police officers and medical personnel as well as the tapes where Amber admitted with glee to attacking him and instead believed people who had never seen anything happen and only repeated what Amber told them. I have seen many people who deal in law say they have no idea why he did what he did as it makes no sense but seemingly he had links to Amber and the Sun beforehand which they say should have had him recusing himself as a conflict of interest. What's worse, he is now saying Johnny shouldn't appeal...",Nut Shell,5,2020-11-27T23:00:33Z
38,UgwuaSAMQoelYyN7R_h4AaABAg,Well this film will loss money as people who are true fans will boycott this film I will boycott this film,Jacqueline Arthur,9,2020-11-27T22:39:26Z
39,Ugx3UvlDURVf6uCrSc94AaABAg,Is this the same Hollywood that has embraced and protected certified rapists?,notconvincedgranny,31,2020-11-27T22:26:43Z
40,UgzDeWyQ8a9cYXf1duJ4AaABAg,We must destroy the career of the wife beater. He is the next harvey weinstein.,grin chi,0,2020-11-27T22:24:46Z
41,UgzCrAO2xdJT-McECqR4AaABAg,Johnny Depp didn't get his Justice that he deserved,Megan O'Shea,22,2020-11-27T22:15:12Z
42,UgwtkxUBeJrLWI0YdcR4AaABAg,"Mads Mikkelsen is one of the biggest actors here in Denmark and is well known from rejseholdet ,kinda like the usa csi ,but that a csi team that travel over the country solving crimes",kasper41291,1,2020-11-27T21:23:18Z
43,UgzEEwejqoAv_y5jfoZ4AaABAg,l think this is terrible amber heard is definitely not normal shes the one that should never work again shes a horrible person,Jane Preston,2,2020-11-27T21:12:45Z
44,UgwDXffM5FZda56Rlm14AaABAg,Love Johnny Depp! Great Actor!,Carla,11,2020-11-27T20:35:50Z
45,UgyChI64oCb5FY2Idwt4AaABAg,"Both are Narcissist.. Horrid combination, it was a Ticking Time Bomb!",Debbie Aguirre,0,2020-11-27T20:28:04Z
46,Ugw0ywEjlghQyr_Bc_l4AaABAg,Poor Johnny didn't deserve any of this..,Killer Mario,28,2020-11-27T20:17:44Z
47,UgwcmJcmnXksxzRN0xx4AaABAg,"Not wasting my money on Fantastic Beasts 3 with a ""fake"" replacement. No JD No movie",Heather Schmitz,26,2020-11-27T19:40:17Z
48,UgwLhsY0lCDiQ0-_hsl4AaABAg,"I'm going to boycott the movie,  but that's my take on the situation.",Rosy LeBow,8,2020-11-27T19:20:45Z
49,Ugxhseru83SUyt2Cf4J4AaABAg,"I'll never watch the rest of the series.  Johnny is Grindelwald, and he is innocent - Amber was the abuser.  They will never get any more of my money.  Sorry to the rest of the cast.",cherub112361,51,2020-11-27T19:17:21Z
50,Ugy03_YRmI1grKe5R-54AaABAg,Mad Mikklesen is a very good actor 😍😍😘,Bi Bi,2,2020-11-27T19:14:21Z
51,Ugwx9RPpaQ5oWi643K54AaABAg,"I love Mads Mikkelsen he is an great actor. But siriously f**k that sh** if it aint Johnny who's playing that role, you cant just Change a big role like that.. specially when he's innocent!!",Sofie Nielsen,3,2020-11-27T18:36:12Z
52,Ugx6EMRsYiyrW61N31h4AaABAg,No one can replace Johnny Depp!,Emily Walker,23,2020-11-27T18:02:27Z
53,UgxzCxm5VK3bK_KYf714AaABAg,"Its sad hes stepped down but I think the Mickelson will be a good replacement, hes a good actor",Keri Horscraft,4,2020-11-27T18:02:02Z
54,Ugy-DpcbG_7mPh9kYTZ4AaABAg,"won't watch anything the ""turd"" is in and refuse to entertain the thought of watching the films that are johnny's and johnny's alone!",Kritter Kreator,5,2020-11-27T17:53:43Z
55,UgzXxYEImnA_2kfJdkR4AaABAg,Why are the same stories repeated on I/O???,Steve Kass,0,2020-11-27T17:44:18Z
56,UgxIL3xA2PaFp8UxUhF4AaABAg,"😔😔😔 smh. Well at least he's being paid for it even though he's been recast but I'm sure it's probably not gonna feel the same at all. Madds Mickelson is a great actor don't get me wrong but if I ever choose to pick up Fantastic Beasts down the line, the feeling is not going to be the same. That's like recasting Robert Downey Jr as iron Man before Endgame! I mean seriously?",MLG GAMER,5,2020-11-27T17:43:40Z
57,UgzT1Emz3gxvjRRwVlt4AaABAg,Johnny got a raw deal. Amber is a pig!,Theresa Zydel,0,2020-11-27T17:41:26Z
58,UgzB3jDzCLRHEAl4Wzt4AaABAg,"The “grass is greener” thing is something that can come back and bite you on your arse.  If Johnny left Vanessa, because he wanted a younger model, well that worked out well didn’t it!",Connie Wonnie,0,2020-11-27T17:41:23Z
59,UgzzinzgXCRVJkjqCml4AaABAg,I would have liked Colin Farrell to come back as it could have been worked into the story maybe,PCrime,0,2020-11-27T17:39:41Z
60,UgwOHs4gT5y2xFTT1-F4AaABAg,I prefer Mads Mikklesen  to Johnny Depp because it is said that Grindelwald was born in Eastern Europe and the age of grindelwald is that he’ll be two years younger to Jude Law’s Dumbledore.,kuran Krishan,3,2020-11-27T17:35:44Z
61,Ugz2KFKKPaEX_uBJrB94AaABAg,I 100% support Johnny Depp.,Leslee Lane,49,2020-11-27T17:31:29Z
62,UgxFZ9FUipg2bqRvjnN4AaABAg,I kind of wonder if the film or the studio will suffer for the change. I wonder if fans that are loyal to Johnny will not boycott the franchise for not sticking to their guns and standing with Johnny like they said they would originally?,MLeighQS,7,2020-11-27T17:22:15Z
63,UgzhDqe0mpUZK3zt_l94AaABAg,"Girl, your hair extensions do not match up, go back to your stylist and have them re do them under lights!",KingNurseOR,4,2020-11-27T17:14:01Z
64,UgzrSZ1oxWWfREqgPHt4AaABAg,#N0TIFICATI0NSQUAD!!!!!!!,Slim Arcane Z,0,2020-11-27T17:07:40Z
65,UgzUGMNEb80JEjKJcKF4AaABAg,"Depp was NOT fired from Hollywood. He was asked to step down from a movie.
🙄🙄🙄🙄🙄",вεεzεя,31,2020-11-27T17:07:06Z
66,Ugyg1pZNOcFAfiJMQ4B4AaABAg,I won’t watch the new fantastic beasts and NO ONE!! Can replace JD NO ONE!!!,Louise 001,66,2020-11-27T17:03:04Z
67,UgxVUxDB7G72Qe-esPN4AaABAg,2nd,Reeses the dog,2,2020-11-27T17:02:44Z
68,Ugy__0691k8WgZ7fhJp4AaABAg,Mackenzie you look gorgeous ❤️,Ismail Mayet,7,2020-11-27T17:01:25Z
69,UgxyjdKYD84W2lx3n4V4AaABAg,2nd view 💖💖,libby-lou,3,2020-11-27T17:01:02Z
