,id,comment,author,likecount,publishedAt
0,UgzfjfBB29yaCzcjBal4AaABAg,This is how crazy these people get,Don,0,2021-07-31T01:31:26Z
1,UgxCYWCCVy0pRLOPOah4AaABAg,"She is using that baby as a prop. Baby or not, I don't care, I hope she gets the freaking book thrown at her",Joseph Mcbride,0,2021-07-25T09:17:57Z
2,UgyDLa4WHx9wMzrTQRZ4AaABAg,AMBER HEARD DOES NOT LOVE ANYONE EXCEPT HERSELF. SHE IS A SELFISH PERSON. WHO IN THE HELL WOULD LET THEIR BABY BE WITH AN ABUSER,Amber,0,2021-07-24T23:40:55Z
3,UgxOX7m1g76snhIoLIh4AaABAg,"Sad.... timing things for her April court date, which changed. 😒",Cat M,0,2021-07-24T19:36:36Z
4,Ugxbeocx4iMCf9-OWnZ4AaABAg,I'm sorry. I feel she used the baby for a PR stunt. Her timing is to convenient. She didn't do this to start a family. She did it to help her case. To make her look good in the public eye. She only does things or ulterior motives. She is losing ground.  Her story is falling apart. How else to get the system to go light on her....I have a baby now. You can't  put me in prison.,Gennipher Lot,3,2021-07-24T01:23:51Z
5,UgwAx1DeXBaxVy11W9N4AaABAg,She is a horrific human right up there with Trump with horrific agendas to harm and hurt anyone in her path God help that child one can only hope that the father is actually a human being and if she did something illegal like use the eggs from Elon maybe he can take charge of this situation if not she's going to be another Mommy dearest and create a monster like herself children are sponges they learn from watching with their parents do,Judibells2,0,2021-07-23T22:28:39Z
6,Ugwfqep5n2bgxEDBx4d4AaABAg,"I love the looks on the lady gave birth to his 2 children.  As if she had seen him for the first time. Loving and strong bond that no one could ever get between them.  ONE OF ""THE MOST INCREDIBLE LOVE""",Cburke502,1,2021-07-23T22:16:58Z
7,Ugy1CCDn93ty-GY-twt4AaABAg,"WTF
HOW MANY DRUGS IS SHE ON?
SHE NO MOTHER AND NOW THIS?",Jay,3,2021-07-23T19:44:36Z
8,Ugxk6cnbkjKooSbCX014AaABAg,"Yup, she’s the worst form of crazy",Ernest Cameron,6,2021-07-23T17:09:06Z
9,UgwxxlTtmlR7XTeYH154AaABAg,from all her lies and rumors she has already gone crazy,Jake Chapman,6,2021-07-23T16:03:38Z
10,UgxsVE3HqbTzlTz-eM54AaABAg,"This women is a drug , drink and aex addict , why don't yall act like she's innocent and now using a baby to protect her ass ?? Her fall will a fun to watch.  Poor baby tho .",Ayrton Cordeiro,0,2021-07-23T15:43:47Z
