,id,comment,author,likecount,publishedAt
0,UgwAWwF27YRCnQIsJw94AaABAg,"Warner Bros banked on the idea that this decision wouldn't do harm, or expose their connection to attempting to undo Depp. They were WRONG. The connection to The Sun. Ownership of TMZ. MILLIOONS have seen this along social media lines, too, and people are organizing boycotts. This WILL END Fantastic Beasts and many other movies.",ThatUmbrellaGuy,565,2020-11-07T18:05:52Z
1,UgzAqk1IOiDS3Itq6iV4AaABAg,RUPERT MURDOCH IS A FREEMASON. HE BELONGS TO THE 13 ILLUMINATI BLOODLINE!! THEY PRACTICE GLOBAL WITCH CRAFT!!!!,Sabitanath Krishna-Biswas,0,2021-09-26T14:01:19Z
2,UgxJGYJz3bCFObiMXXl4AaABAg,"THIS IS AMAZING, THANK YOU!",Sabitanath Krishna-Biswas,0,2021-09-26T13:45:47Z
3,Ugyz97KDFv6CtPGWU494AaABAg,"Warner bros  need to get rid of Amber Hurd, Mr Depp hasn't  done the things she said he did, once more he's  proving it",Gloria Lewis,0,2021-07-13T07:06:51Z
4,UgwAI9gKLNK66u3pZY94AaABAg,You are loved johnny,Cburke502,0,2021-03-10T06:58:09Z
5,UgxuTnRr1-4pb-J_hHx4AaABAg,he might gotten fired over joke in revival of Animaniacs which on HULU which belongs Disney but has WB logo in credits. so instead Disney getting blame Depp blamed Warner bros because it there logo which been there since before revival note show was created by Steven spielberg originally. which as stated is now belongs Disney who put it on HULU. it this or some scandel caused him his job in upcoming fantasic beast 3 film or it money issue meaning they don't have money give him which was promised as result of covid.,Mike Johnson,1,2021-02-12T05:25:55Z
6,UgxfpgnHyv9hKw0EKyB4AaABAg,"Warner: Fired Johnny depp
Johnny depp: Im gonna bring a lot of army",Neko-Arc,1,2021-01-22T14:59:55Z
7,UgzzDYoqt1WQ_j1gwAZ4AaABAg,Warner brother were crazy as hell for firing Depp when should have fired AMBER TURD FROM ALL HERL IES AND RUMORS THEY ARE OUT OF THEIR DAMN MIND TO STILL PROTECT HER WHILE SHE CAN'T EVEN PROTECT HERSELF FROM ALL THE INFORMATION DEPP HAS ON HER WHAT THE DAMN ARE THEY EVEN THINKING I KNOW COMPLETE B.S. AND HER PERSONAL LIFE IS CRAP JUST LIKE HER ACTING WHO GIVE A DAMN ABOUT AMBER TURD,Jake Chapman,0,2021-01-10T17:10:10Z
8,UgzFyDEXFfcTV_Sd9od4AaABAg,"He has followers because he is really just a shy, very creative actor and real. He is special man who got involved, fell in love and tried  to make the relationship work. She is very ill, an abuser and l believe she wanted him to react. She had a plan. The difference is JD, if not perfect is not abusive. AH is verbally and physically abusive.",Linda Douglass,0,2020-12-29T09:41:03Z
9,Ugyf2P5eGOlS7z_3Di94AaABAg,I read JD's letter a few days after watching one of your videos and looking into it and praying for his finger and all to be healed,Liz I.,0,2020-12-28T14:11:51Z
10,UgwBk8E-NEP-KIKQsFZ4AaABAg,"“The first movie that was well written” 
“The second movie, that is in my opinion an inferior product” 
Agreed 100%",Ana Matos,0,2020-12-19T11:59:17Z
11,Ugy_hYLHv_Bw3MHcc9F4AaABAg,I really don’t think that ppl are going to watch fantastic beasts 3 and I also think that it’s flop,Rumbidzo Madamombe,0,2020-12-16T15:21:08Z
12,Ugwb2QYBzQwAKSI6tbd4AaABAg,"Give Johnny Depp what he 100% deserves ” Jack Sparrow ” and ” Hollywood” 

He is a legend and good heart gentle man.. 

and please never ever take him down again. 

Thank you open world and all of the good heart people.",Leonie Gwang Bonack,0,2020-12-13T23:17:25Z
13,UgzuwasL1liGJYUHU9d4AaABAg,"This is STUPID. First of all,it was written in 2018 so they obviously not know about this. And second it's a joke about JOHNNY JOHNNY, YES PAPA",Mico The Animation-Bot,0,2020-11-28T09:12:21Z
14,Ugx3Kcwf3-_8G-7_Vbp4AaABAg,Warner will get their karma .... Amber  Heard gets to stay on Aquaman??? We support you Johnny,Em Pok,0,2020-11-27T17:38:34Z
15,UgwLzVAJeBQA98LBrjV4AaABAg,"Amber: haha i got johnny fired
Johnny: *you and what army?*",Meteor,1,2020-11-24T05:00:28Z
16,UgwPIz2fT53Cget37qR4AaABAg,Ok I like warner bros even they received hate in anyway especially detective pikachu but this I understand why everyone hates them this is the only time I understand why Warner bros get hate but other times like releasing detective pikachu is just ridiculous to hate on,Bluefirefox Spam,0,2020-11-21T11:16:47Z
17,UgxujaWRq5HArr8B0vJ4AaABAg,Warner you were stupid for firing Johnny Depp. Would never watch these movies. Thought you were a good movie producing company. Hope Warner Brothers company goes broke.,Jenny Hall,0,2020-11-18T17:33:20Z
18,UgwJDCciFlkoMe24vS14AaABAg,the verdict was a complete sham,steve j,0,2020-11-17T04:18:59Z
19,UgzjXAsrpcwy0mMTyul4AaABAg,Fire both,Mad Max,0,2020-11-16T22:05:29Z
20,UgzCGVYm6DZacMuWz_V4AaABAg,Can anyone give me an address to send mail to John.   Second: has the 100 ml law suite been dropped by the judge? Really appreciate a reply.,Katherine Lange,0,2020-11-15T19:17:38Z
21,UgwSBh7M6wuwb_fgTzx4AaABAg,You're so right here 👏🏻👏🏻👏🏻,slimangel,0,2020-11-15T03:15:11Z
22,UgyrnmfjMWKiJ_4-TUN4AaABAg,They're bias is showing at Warner.,kl Linton,0,2020-11-14T15:15:52Z
23,UgzjW_azTkovSlr_2nZ4AaABAg,I will not be seeing Fantastic Beasts without Johnny Depp. You don’t just replace a main character in the middle of the series. It won’t be the same.,Dieterich,0,2020-11-14T02:52:08Z
24,UgxeNvhSflyGyxHfE-J4AaABAg,If you are asked to resign that is illegal in us not sure for uk though,Lightness 332,0,2020-11-13T19:19:03Z
25,UgztzN2eAFANClZ6Nmp4AaABAg,The same depp that’s a liberal spare me this channel is irrelevant now report some real news like with Trump,Justin Mahoney,0,2020-11-13T10:04:18Z
26,UgxoOvgYCDOpc5AJrb54AaABAg,"Amber Heard, you’ll never forget the day your plan got backfired by Captain Jack Sparrow.",proudidiot,0,2020-11-13T05:40:48Z
27,UgznFM6E8z-ZQXjmfk54AaABAg,Mens Rights activists,dragomxsoldier,0,2020-11-13T02:11:08Z
28,Ugy-1Syv781aFbnT_dt4AaABAg,MRA,dragomxsoldier,0,2020-11-13T02:09:08Z
29,Ugw_xfhyh2ep9_gWtAR4AaABAg,Im not gonna pay for any movie with Amber! Not gonna watch it even for free!,Alice Amos,0,2020-11-12T22:21:02Z
30,UgxPQFVgmjvr5Oobn6d4AaABAg,"I feel like the media was never equal, just from protecting men and their bad deeds to protecting women doing the exact same. Sexism is following a new path, I wonder where it will lead to...",The BackYard,0,2020-11-12T21:13:57Z
31,UgyXYsqYA9fF0N3dYAt4AaABAg,The judge is probably a simp,46 Tô Kiến Văn,0,2020-11-12T14:01:49Z
32,Ugzhm32SIWS0Jdca4i94AaABAg,We're nearly at 1 million signatures :D,Johnnie J,1,2020-11-12T10:20:18Z
33,Ugwwmc7EQOJW8xH9ELZ4AaABAg,I never thought i'd see the day that gender bias would reemerge - and target men. Horrible.,I.M. Shirley Rongh,0,2020-11-12T09:15:46Z
34,Ugz_iFvPKjGs5UqXWyB4AaABAg,"Warner Bros: *fires Johnny Depp and  keep Scamber Turd, basically letting everyone know they support domestic abusers.*

Me and the rest of the fandom: *It's treason then!*

Honestly, how thick can people get? WB really made a HUGE mistake here.",Grace,0,2020-11-11T20:53:23Z
35,UgxFicFR5E6B5ypGtId4AaABAg,Guess who's no longer watching Fantastic Beasts?,Quintessential,0,2020-11-11T17:47:50Z
36,UgyUWqV4I_YJAlYYvw54AaABAg,Did tmz play the whole tape and say anything about the first one.,Lorri Holder,0,2020-11-11T16:10:37Z
37,UgyhO2oTKHQmCJs63054AaABAg,"Warner Bros: *fires JD*
The entire Internet: あなたはすでに死んでいる
WB: NANI!?",AmbaAmerintix,1,2020-11-11T12:44:41Z
