,id,comment,author,likecount,publishedAt
0,Ugz4fADMEXf1xxyguwF4AaABAg,Te amo Johnny ❤️,Luz Becerra,0,2021-10-03T18:40:25Z
1,UgzXT2zfOmBwx1GghQZ4AaABAg,Conclusiones: jd es buen actor,Max Planck,0,2021-09-24T15:54:10Z
2,UgwpAIY7IQOpOcR2Slh4AaABAg,Que tal la serie de los derbez y los dinigris y Kimberly y edwin,Analia Monte,0,2021-09-24T14:48:09Z
3,UgzQ7OzNAaDS0xinx6t4AaABAg,"Yo pienso que Jhonny Deep es un ser  tan especial,  tal y como son cada uno de los personajes q interpreta...",Shantall Davila,0,2021-08-03T23:08:45Z
4,UgzoOfOKF6uKKAKVJqx4AaABAg,Tu ex la tóxica 😂,Penetreitor Delano,0,2021-07-20T22:20:05Z
5,Ugw9J5icu_iKnOLjHm14AaABAg,"Que pesar de jhonny ome,  El siendo buen tipo y esposo, y llega esta loca denunciando a jhonny por algo que El NUNCA hizo, mentirosa",Sebas_Duque,0,2021-07-20T17:45:08Z
6,Ugy11oD1igtbQZ6s5yJ4AaABAg,"Muy INTENSA la Señora! 
Hasta la forma de Hablar!!
Sé le brinca la Cadena!! Saludos desde Guadalajara, México!!",Víctor Saúl Botello Marquez,0,2021-07-15T17:05:47Z
7,Ugyf39gkbfDCe2kFHW94AaABAg,Depp no dip DIOS cuando van a aprender a pronunciarlo😣,Cover's en español,0,2021-06-20T19:55:36Z
8,UgxznEgD0NyCRbwjQ154AaABAg,¡Re proyectado!!! Eso ¿no provocó sesgo?,violett flores,0,2021-06-13T21:02:46Z
9,Ugwiyidqg-XWFk9FDSN4AaABAg,Pienso que los 2 fueron tóxicos el uno.con el otro,Elisheva,0,2021-06-07T04:47:56Z
10,Ugx9l_BARLBFdXZr6kd4AaABAg,"Depp, Johnny Depp con e no con i",Elisheva,1,2021-06-07T04:46:07Z
11,Ugz4x0jbsOVqzCttRZF4AaABAg,Excelente y muy profesional análisis.,Nancy López,0,2021-06-03T01:54:55Z
12,Ugwds9Bbyqz4NHmdvQt4AaABAg,Un poco de Pseudociencia.,Papa Dios,1,2021-05-13T02:30:08Z
13,Ugwq0u8A9fAtQRI5fVN4AaABAg,Amber es inocente solo se defendia.,Claudia Solis Privanza Bienes Raices s,0,2021-04-25T06:23:42Z
14,UgwTQNihSqq6LsTt6dV4AaABAg,"Pensar que JD si ocultó información sobre su dedo,ya que él mismo lo amputo",Italia Guzmán.,0,2021-04-19T05:38:32Z
15,UgzvwOYyjJMvJ3tAjbN4AaABAg,Conclusión: los dos son unos enfermos,Xavi Delgado,0,2021-04-11T02:41:08Z
16,UgzH0eFP8897JCnSb-R4AaABAg,La señora esa es abusiva,Che Chico,0,2021-04-05T04:30:25Z
17,UgxitjSVM_w9weurV4R4AaABAg,No sé si se tomará en cuenta que ella es actriz también...,Al ́s Obed Acuña,0,2021-03-26T04:11:07Z
18,UgyZ5czDZLnkT5GyGNF4AaABAg,"Las mujeres siempre usan el amor ( los sentimientos)y la violencia psicologica, para generar algo bueno o malo,simplemente que el amor hacia la madre  mujer o hija hace que esas faltas cometidas se perdonen, no asi con el hombre, y cuando uno crece, se da cuenta de la verdad, pero el amor sigue ahi, o (deberia)de donde creen que se transmiten los traumas?",paparazzi julio,0,2021-03-21T16:38:07Z
19,UgytecQBh4g2SkUPnX94AaABAg,"Creo que Ella tiene problema de ira y El problema con el alcohol, creo que por eso el duda como fue exactamente la agresión, también la actriz Catherine Zeta Jones tiene problema de bipolaridad y lo asume y está medicada, creo que está chica debería hacer lo mismo y El tratar su alcoholismo.",Virginia Diaz,0,2021-03-19T04:49:24Z
20,UgzPfNlnAByfNbkUlAV4AaABAg,😬😬🤣🤣🤣,Carp,0,2021-03-17T19:35:29Z
21,UgwZI7MXpBKLVXY89yt4AaABAg,La q miente es ella,Isbel,0,2021-03-17T07:55:56Z
22,UgwnBm86cuuDgxlPwRp4AaABAg,Hay una parte donde hambert se ríe mientras escucha la grabación y minimiza a Jony. :( Ojalá hubieran puesto esa parte. Esa mujer es una psicópata.,Ma.guadalupe Moreno,0,2021-03-16T08:45:35Z
23,Ugx5XFbkqpRE9STGUAB4AaABAg,"Hace años me había sumido en el mundo del lenguaje corporal pero después de tanto tiempo, se me olvidaron detalles de precisión al leer. Me voy a suscribir, muy interesante.",C.C Green,0,2021-03-02T05:26:43Z
24,UgzIWHfogUcL-eFXFlB4AaABAg,"CON VERLE LA PURA CARA, SE PUEDE APRECIAR QUE ESTA LOCA!",Liger Blue,0,2021-03-01T22:11:38Z
25,UgzE_l3Tg0bECFedicF4AaABAg,Que gran estupidez..,Taunus,0,2021-02-27T01:53:04Z
26,UgwLiNDHnxYPtgqhhT54AaABAg,yo creo que los 2 se sacaron la mierda. Pero no por ser hombre eres más culpable.,Henry Ocaña,0,2021-02-23T23:49:45Z
27,UgwX66gBb7aod0EB_TN4AaABAg,"Lenguaje corporal es una mentira total si es tan cierto trabaja de juez y nos ahorramos abogados,fiscales etc",David Olaya,0,2021-02-22T23:08:53Z
28,UgylsVnFLPccOrw4mTd4AaABAg,"Amber es tóxica , loca .  Que bueno que jhony ya no está con ella",zony patterson,0,2021-02-16T02:16:51Z
29,UgylEYERlZQfA2qVGol4AaABAg,Este caso ya cae en lo trillado y cansa!,Daynet A León L,0,2021-02-15T15:58:08Z
30,UgxODWMtHP7LPwEneN94AaABAg,"Ella es una trepadora , busca famosos  . Es un ser despreciable .  Hasta su belleza se desvanece.",Marisa Sánchez,0,2021-02-14T05:05:29Z
31,Ugy90-kesLFZ7s8_P-J4AaABAg,Yo le creo a Amber mi amor le creo ciegamemte ya vi El video original y te equivocas,Gerry Fuentes,0,2021-02-11T11:19:03Z
32,Ugz5K9PlZquoZ5n4Ym94AaABAg,Será lo que sea pero esta mujer me encanta,Javier Andrade Narvaez,0,2021-02-08T01:20:42Z
33,UgyhRpKI772i85qdk1B4AaABAg,Podrían analizar a Thelma fardini  sobre la violacion de Darthes,Ана Иуделка,0,2021-02-05T23:28:32Z
34,UgzoxMeszaZDBlAUP094AaABAg,Si! Usaré mis poderes de neurolenguaje para el bien!🙏,Lele Wolfor,0,2021-02-03T06:50:40Z
35,UgxtaGroNqEsrTn4JC14AaABAg,joder pero que buen video !!!,ANTRAXXXghost69,0,2021-02-02T00:32:45Z
36,UgxNOeva3_aoIKwik-t4AaABAg,"Ni uno ni otro... Depp por ser un hombre muchísimo más maduro jamás debió dejar que las cosas llegarán tanto y Amber pues... Que podemos decir, inmadura, violenta, berrinchuda, inestable, narcisista, todo un caos con ella. Ni a quien irle, ambos son culpables ambos ejercieron y sufrieron violencia, así haya sido en defensa personal.",Mara Velasquez,0,2021-01-31T23:48:19Z
