,id,comment,author,likecount,publishedAt
0,Ugx87n4ABkZzI_ABbpx4AaABAg,"co do kiwania głową to w pewnych miejscach na świecie, na tak kiwa się naszą wersję nie :D taka ciekawostka. też nie mogłem zrozumieć jak dla nich może być to spójny ruch.",kplutek,0,2021-10-01T10:17:06Z
1,Ugz4mH_5b7mMC_pUhOl4AaABAg,"12:20 - mi przychodzi na myśl zirytowana, gotowa do działania, nastawiona na ""walkę"", jakby ""okej, jesteś wredna, teraz się na to zgadzam, ale przestaje cię lubić i nie zdziw się, jeśli tez będę wredna"" ;_;",Karolina Konczerewicz,0,2021-08-28T22:35:34Z
2,UgxxCY1VFSj6x3TduX54AaABAg,"""Ważne zwycięstwo Deppa. Sąd też chce wiedzieć, co się stało z kasą
Johnny Depp odniósł ważne zwycięstwo nad swoją byłą żoną Amber Heard. Sędzia w Nowym Jorku nakazał organizacji charytatywnej ujawnienie informacji, czy aktorka dotrzymała obietnicy i przekazała jej 7 mln dol. z ugody rozwodowej.""",Agnieszka Rz,0,2021-08-02T10:11:10Z
3,UgwlNOduR3TUdS_Addl4AaABAg,"Ja mam wrażenie, że ona je te czekoladki, żeby pokazać innym, że w taki sposób ""się pociesza"". Taki zabieg, mogłaby przecież je zostawić, może chcieć się wykreować. Porównaj w filmach dziewczyny po rozstaniu, które objadają się słodyczami, lodami, czekoladkami (przykład: Harley Quinn w ""Ptaki Nocy"").",Lolipka,0,2021-06-24T16:26:47Z
4,UgyEi5A1sW9mEBrER9R4AaABAg,A może przypadek Brocka Turnera ?,Michał Stankiewicz,0,2021-06-23T22:41:18Z
5,Ugy_rrJLdXYNb-aeZvJ4AaABAg,"Ta sprawia jest niesamowicie medialna i to z dobrych powodów ale niestety bardzo irytuje mnie to ile osób psioczy i złorzeczy na kobiety od kiedy ta sprawa wyszła. Kobiety są katowane, poniżane, gwałcone i mordowane przez mężczyzn od wieków i To najczęściej przez mężczyzn ze swojej rodziny -mężów i ojców. Nigdy i to przenigdy zadna sprawa maltretowania kobiety nie obeszła się takim echem jak tu gdzie każdy od razu stanął po stronie Johnego. Dobra Amber ma wiele za uszami, wiadomo ze oboje są toksyczni i tak na siebie działali i to nie fair ze jak narazie tylko on poniósł konsekwencje ale kurde przez ta sprawa wszystkie nalplecierstwo i stulejarstwo wyszło z piwnic i bierze ten przykład za normę wmawiając ze kobietom nic sie nigdy nie dzieje a chcą tylko wrobić mężczyzn. Tylko 2% ze wszystkich zgłoszonych glwatow idzie do prokuratury. Bardzo mały odsetek facetów kiedykolwiek ponosi jakiekolwiek konsekwencje za przemoc wobec kobiet i dzieci a ta sprawa tylko dodaje paliwa do nienawiści wobec kobiet od niektórych (męskich) środowisk. Warto by było gdybys wspomniał o statystykach i ogromie przemocy wobec kobiet zanim użyjesz takiego skrajnie jednostronnego materiału i analizy do przyklasku inceli",Marceline Von Schrute,0,2021-06-21T11:53:10Z
6,UgycHRL4t_M0QhGMAZV4AaABAg,"Nie jestem psychologiem, "" ale "" XD osobiście wygląda mi na manipulatorkę, chcącą coś wyłudzić",36,0,2021-06-14T20:23:12Z
7,UgzSoQo8NRamgO1J9gt4AaABAg,Wkurza mnie ta babka,PAN GAMER,2,2021-05-25T22:14:35Z
8,Ugy2_S4zMLCgHvqu4_J4AaABAg,"Amerykańce też chcieli mieć swoje Amber, które niszczy życie ludziom okradając z oszczędności życia",Lingua Pura,0,2021-05-16T17:55:28Z
9,Ugyyp7UdI23Us920QDJ4AaABAg,Kocham oglądać twoje filmy,Janina Nowakosz,0,2021-05-14T10:51:43Z
