,id,comment,author,likecount,publishedAt
0,Ugyv0LUbsI3ZmiYt5EN4AaABAg,There is a special place for you,ArcadiaTheLunarFae,0,2021-01-12T00:12:47Z
1,UgyrsQ-ZUtlJod4M6Bd4AaABAg,And sociopath,ArcadiaTheLunarFae,4,2021-01-12T00:12:39Z
2,UgwsyIA-Gxig7o8WAyt4AaABAg,Liar,ArcadiaTheLunarFae,3,2021-01-12T00:12:33Z
3,Ugy2yZmzfm9a6nyWIP94AaABAg,Cheater,ArcadiaTheLunarFae,0,2021-01-12T00:12:28Z
4,UgyLxOhA9YVkyPLrfyB4AaABAg,Toxic,ArcadiaTheLunarFae,2,2021-01-12T00:12:25Z
5,Ugyk6b--FFiQCOiKSpt4AaABAg,Abuser,ArcadiaTheLunarFae,3,2021-01-12T00:12:20Z
6,UgzBDqtBmI6HteE6oxJ4AaABAg,abuser,isabella miller,4,2020-12-23T05:11:28Z
7,UgyYY0WVjVIrPKRuAOV4AaABAg,"Amber Heard sister is nice and beautiful but I think my ocean sister should give me a update on ( Aquaman 2 ) ,  And a short email respond to Jason Momma cause there was a issue going around cause Amber Heard Need to comment on ( Aquaman 2 ) production Delayed Stuff .   And I think Amber Heard sister should have A side by Scenes with The Flash as a cameo for Ezra Miller ,  in ( Aquaman 2 ) cause I would love to see Gal Gadot And Ezra Miller Crossover .",QGXY Reverse 98,0,2019-08-17T07:32:17Z
8,UgyR4tufN3CLuNGHkK14AaABAg,"Now I think Aquawoman fix with Mera make up name Amber Heard sister is nice and beautiful I want her as a replacement ,  for that is why she is my real sister and she and Wonder Woman should have a cameo in ( Bird Of Prey ) the 2020 February 7 .   And again birther and darker doesn’t matter to me and people like it anyway .",QGXY Reverse 98,0,2019-03-28T08:29:04Z
9,UgyThD6rQD_KAGlQukt4AaABAg,Amber is very charming and I hope we see/hear much more from her in the future!,Bryan Sowder,0,2019-01-11T15:44:04Z
10,Ugyi_vZxtjoaK1QUY1V4AaABAg,Amber😍😍😍,Vimal raj,2,2018-12-26T15:02:45Z
11,UgxNAtvzTU564Qq0Dtx4AaABAg,I don't think she knows who lobo is? hehe,Michael Ohman,3,2018-12-25T16:14:22Z
12,UgxZbV1mXZj8Hb0FU_N4AaABAg,She's beautiful 😍,Arizabalaga kepa,4,2018-12-25T03:32:39Z
13,UgzfLIid7vitPIOJrcZ4AaABAg,"So sick of her wearing that orange band every interview like she is some ""survivor"" of domestic violence.  Did she get shot, raped, beaten, held prisoner? she has no children who were victims, she is riding her fame train on the back of Johnny Depp with that orange ribbon. I just think she is a self promoting, calculating b**ch.  Did you see the video where she hid a camera from Johnny then egged him on to try and piss him off.  So dramatic and contrived.  Just cannot take her seriously.",Heidi Newman,0,2018-12-25T01:14:21Z
14,Ugx11TLs0Ni3r28LpFd4AaABAg,at 2:20 she clearly doesnt understand the first thing about anything regarding the DCEU,Sahitya K,2,2018-12-24T18:09:25Z
15,UgwH15ah8DcTcaUGSYt4AaABAg,QUAMAN,Railgun,0,2018-12-24T17:56:25Z
16,Ugw9LzpRjgnnWdk3PQx4AaABAg,She's so beautiful,KingTray,7,2018-12-24T17:06:48Z
17,UgzJ3ZVS8ncB0rgTkc94AaABAg,I can't believe people thought Aquaman was gonna flop LOL I LAUGH,dramatic virghoe,7,2018-12-24T15:17:48Z
18,Ugw5aP_vOqqijANLl9R4AaABAg,AMBER HEARD ILY,dramatic virghoe,4,2018-12-24T15:17:06Z
19,UgypEeMDo-B0mEwH4w94AaABAg,She's never dry ;-),Billy D,2,2018-12-24T09:45:40Z
20,UgyEnajYamjZKipCYGx4AaABAg,She is not going to encourage a cameo from other DC characters because then fans will start rioting for a cameo. She wants Aquaman to be its own thing.,DZGiveAways,5,2018-12-24T06:17:19Z
21,UgwmZDQ9fvRgw34Rrpx4AaABAg,I thought that she was going to say Wonder Woman.,Bruce Crawford,7,2018-12-24T00:41:55Z
22,UgzfCS3UvoN_o3H7Xqp4AaABAg,Fuck Johnny Depp for what he did to this woman,No Money Mo Problems,0,2018-12-24T00:04:25Z
