,id,comment,author,likecount,publishedAt
0,UgxJFi-8vRnxuEpzZe54AaABAg,why mean to dog?,Drew Zi,0,2021-11-10T10:19:51Z
1,Ugz8WJjHdiFUiUSXcBJ4AaABAg,Kyra is the bestest girl. Bless her. 💙💙,Jessica Mayberry,0,2021-11-03T05:49:04Z
2,Ugy5IyXF627mToRDpnN4AaABAg,Everyone on earth needs a dog like Kyra!  What a doll.  She can sense when you are upset.,Kris925,0,2021-11-02T00:05:53Z
3,UgyWgpS7tu3CUiQsPxh4AaABAg,I’m so sorry you went through all that. You’re so strong for using your experience to inform a discussion about the famous people’s toxic/abusive relationship. And Kyra is such a queen!,Ra Va,0,2021-10-22T22:22:34Z
4,UgyFpeQJWqXGCo6vTeh4AaABAg,"I wanted to hug you and Johnny all throughout this video. I hope you are doing well! i went through a similar, less severe narcissistic relationship. It took me 4 years to find myself and start my life.",Jessi Courteous,0,2021-09-27T18:35:59Z
5,UgwxiPRWfwSB3rz1mOd4AaABAg,"thank you for sharing your experiences and for helping to demonstrate how similar abuse is no matter the gender of the abuser and gender of the victim. building those brides is incredibly important.

you didn't deserve anything that that pos did to you, and you did nothing wrong. i hope you're safe.",Josh Ridinger,0,2021-09-24T04:33:59Z
6,UgzW4g0ZX4lf6mo0s7Z4AaABAg,Look after yourself lass,Andrew Jamieson,0,2021-08-27T01:06:19Z
7,UgydL2-dY6DdjuyScIp4AaABAg,AND WARNER BROS WONT FUCKING FIRE HER I CANT. a whole RECORDING of her admitting to and angrily mocking Johnny for abusing him,Gia Parmer,0,2021-08-26T15:38:33Z
8,UgyKytPasd-JAZzJNCZ4AaABAg,"Not to mention the absolute worst part, that she STOLE the story she wrote about from an acquaintance who detailed to amber her violent rape and abuse from her husband and amber literally ripped the story off. The woman spoke in court about it in Johnny’s defense.",Gia Parmer,0,2021-08-26T15:28:26Z
9,UgwSDCYmQUTxX9Szaxl4AaABAg,I think the real question is why did she shit on his side of the bed 🤔,Melissa Montgomery,0,2021-08-20T13:44:44Z
10,UgxqGcXcuHZD6Dl6iLB4AaABAg,"Thank you for describing the incident where your ex tried to convince you that the two of you were just as bad as each other. These are very humiliating experiences. I don't think I have ever tried to explain those experiences to anyone. I know my abuser separated me from any support, while creating a false narrative to others. When I finally spoke out, I was the one who looked bad due to the stories that were spread about me. 

I get very frustrated when people say that both people in an abusive relationship are equally abusive. Context is everything. Responding to abuse in desperation, fear and learned helplessness is not being an equal abuser in the relationship.",karen berg,0,2021-08-19T15:21:22Z
11,Ugzojy0vuCjKGSWD2-94AaABAg,"I am 15 years out from an abusive relationship and the tapes, videos and interviews from the AH/JD case still trigger me.  Give yourself time.
The continuing abuse of JD through the newspaper, the court in the UK and the studios is also incredibly triggering.",karen berg,0,2021-08-19T14:39:56Z
12,UgyZFgPX_tWdcYplxIR4AaABAg,"'Quick, i need a compliment to gaslight him with, uh, uh, yoURE SHINY✨✨'",Death I Am,0,2021-08-13T18:44:52Z
13,Ugz4zuPP3fjJPWbypgt4AaABAg,Egalitarian feminism😍,Death I Am,0,2021-08-13T17:25:37Z
14,UgxZfCNGZFFz9Hz2A3F4AaABAg,"I was in an abusive relationship for six years. It changed me. It caused me to develop serious anxiety and agoraphobia. It takes time to heal from abuse - especially mental and emotional abuse. From experience, bruises fade, but emotional and mental trauma stays with you for life. If anyone is going through this, you deserve better, you deserve love and happiness, you deserve respect.",Lauren Walker,0,2021-08-12T02:50:06Z
15,UgydwOpeWbMoM_h31EF4AaABAg,"The way she complains he doesn't come knocking at her door to apologise... and he clearly argues that after her throwing stuff at him he didn't feel he was the one that needed to apologise and she just pretends not to understand his point and twist him until he forgets his own point... ugh, just painful to hear",Frieda Gerhardt,1,2021-08-11T18:09:52Z
16,UgwrZWdyczrGAWW6bzd4AaABAg,"Rachel, you are so strong! And kyra is verdammt brave!",sarahjayra,0,2021-08-07T12:39:19Z
17,Ugz2nEvh3Fiy2z5alzB4AaABAg,I'm sure according to your abuser you are as liar and abuser so stop defaming a good man's reputation abuser,splits seconds,1,2021-08-04T19:40:09Z
18,UgzQPrny4n9-qJGOmIR4AaABAg,Your abuser is closer to being Johnny deep than amber heard.,splits seconds,1,2021-08-04T19:08:02Z
19,UgyDuCN9cCRBD5FwoYN4AaABAg,"I’ve been in abusive relationships, and this video has given me a bit of clarity about how it happened. I’m a strong, independent woman, why would I let a man hit me‽ 

But it’s slow, and insidious. These people become very good at what they do. 

Anyway, thank you for a wonderful video.

Edit: I think one of the great early red flags is if they say “don’t listen to any of my exes, they are all crazy.”",Irish Alchemy,0,2021-08-02T07:01:01Z
