,id,comment,author,likecount,publishedAt
0,Ugz5yS22R_v5a-xgCrx4AaABAg,"¿Cual te parecio la data mas epicamente suculenta de todo el video?
No te olvides de darle DUUURO a like, eh...",DELCARAJO TV,259,2021-02-17T02:15:52Z
1,UgzE1BzFxJeXsP6INN54AaABAg,"K bno k eliminaron a la psicópata d Amber d 
Aquaman.
P falta mucho PK kede amano p lk hizo con Johnny Deep.
Amber vá a tener más tiempo libre p k siga enlodandose en el fango con Fco o con kien kiera.",Mary Chuy,0,2021-09-13T00:20:20Z
2,Ugw44trO1pSDfs85rAx4AaABAg,basura de click bait video,Fernando López,0,2021-08-16T12:29:50Z
3,Ugwpv4OL_eesQJepwJd4AaABAg,"soy de España así que la lista negra me la paso por el foro del culo, para que hay juzgados ninguna ley los ampara ni la constitución ni Unión Europea",DRAGOMIR paven,0,2021-08-14T09:30:48Z
4,UgwoBZ3aatopRpzVPC94AaABAg,sexo,mewpost xd,0,2021-08-11T10:12:23Z
5,Ugw-YKzd7imVPwyWcu14AaABAg,Puede ser PA!!!!!!,Jhon Doe,0,2021-08-08T01:36:55Z
6,UgwQVbA5uKtftquJ-y54AaABAg,"Vengo del futuro y adivinen qué? Juanito, yo te creía todo lo que publicabas 😥",Candy Fernandez,0,2021-08-07T04:43:53Z
7,UgxXzGK7YJnQsLWu8lx4AaABAg,Soy español y veo bien el carnet covi.,jose cobos,0,2021-07-20T18:57:44Z
8,UgzeLV6ChcGgkhVdU094AaABAg,Cara Delevingne es bisexual,Carlos,0,2021-07-11T08:34:48Z
9,UgwFtR9Iy7Iw3_bfuRN4AaABAg,"No la queremos en ninguna peli que se esfume de la tv nadie la quiere , .y se dedique a su bebé ojala que le ponga mucho amor y cariño que deje de ser toxica mentirosa agresiva y cuide a esa criatura inocente",Aries,1,2021-07-08T09:56:30Z
10,Ugw_AV1o5Kz7F6pNmn94AaABAg,Esto es falso no la despidieron hace una semana se dijo que ella comenzó a grabar Aquaman 2,Luis Vladimir Castillo Guevara,1,2021-07-08T04:15:59Z
11,Ugz5uvyQtgxe_SASYad4AaABAg,"Que felicidad, al fin justicia  para nuestro Jack sparrow, yo siempre supe que había algo trubio ahí, a esa  tipa se le ve la cara de sociopata por encima, es un peligro la maldita esa... Gracias elon",estrategacreativa,0,2021-07-07T03:27:47Z
12,Ugwrq8grtzMrj8lCYit4AaABAg,El telegram no funciona!,Adrian Torrez,0,2021-07-03T13:11:28Z
13,UgyuKWEfZZoeAwKnKm94AaABAg,Deja de joder con las vacunas !!!,Alfredo D Llano G,0,2021-06-29T21:50:20Z
14,UgxyV31PiC9ubxARvPF4AaABAg,Lo del registro lo considero factible pues si hay un brote sabemos que y quien pudo haber contagiado y al contrario si los no vacunados tienen mejor respuesta y las vacunas no sirven de nada??? Se observaria el avance de la enfermedad y si en realidad hay factores q hace más propenso al contagió o no...,LIDIA CABRERA,0,2021-06-26T23:48:13Z
15,UgwL0smM9VBiizN5Dgx4AaABAg,12:28 amber heard,Entretenimiento,0,2021-06-21T18:44:54Z
16,UgwrLNeZQ0APs8E3bU54AaABAg,Ninja se entiende...pero asi no se cambia la sociedad,Laura Gómez,0,2021-06-13T03:04:58Z
17,UgynbqNw_WZSX8yLT7R4AaABAg,y si critican las fotos editadas tmanb critiquen a las operadas que son filtros permanentes,Laura Gómez,0,2021-06-13T03:00:33Z
18,UgxDaVsbjeMtFW6UEqF4AaABAg,Nadie se va de esta vida sin pagar lo que debe y esta bruja lo va a pagar por malvada.,Mariela Flores,0,2021-06-08T18:33:17Z
19,UgxSfOsVTj96DoCaMQ94AaABAg,Justicia para Johnny Deep,Gladys Norma Ninavia Colque,0,2021-06-06T01:56:44Z
20,UgzJeAiI09ZH8Mk6wDN4AaABAg,A tu puta casa Amber,KinderSurprise,0,2021-05-30T00:23:35Z
21,Ugwb43z1gi3Yjjv-4N14AaABAg,"No la han despedido, sigue pavoneandose por ahí con au papelucho  en esa pelicula, apesar que se demostro que es una persona violenta, mitomana y soberbia no se le despidio por el hecho de ser mujer cosa que no sucedio con johny que practicamente quedo vetado por warner",luis lopez,0,2021-05-28T08:21:25Z
22,Ugy0lUjP25IH2Wbt4E94AaABAg,Excelente madre de Dragones en acuaman excelente ahora si vere esa película,Rubi Restrepo,0,2021-05-25T21:01:39Z
23,UgywOtMeG1kT4WpbMh54AaABAg,Es una informacion official o sólo es un chisme?,Eva Caceres,0,2021-05-22T22:29:28Z
24,UgzYWSSFdClYWnAYr4x4AaABAg,Ojalá Si Emilia Clarke Hubiera Sido Como Mera En La Primera Película De Aquaman 14:02 14:06,Billy,1,2021-05-11T04:54:58Z
25,Ugxv0uouT4aF0G_gRnt4AaABAg,Jaja si va a estar :v,OKKA,0,2021-04-29T16:07:55Z
26,UgzoFGVmRxwcvIKdUC94AaABAg,Yo entre a buscar a ver a amber heard por que dicen que es la mujer mas bella y termine aqui xd,Jorgefrancisco Reyessanchez,0,2021-04-27T03:08:43Z
