,id,comment,author,likecount,publishedAt
0,UgwtdOjoy7Gcica0hO54AaABAg,The double standard tho 🤷‍♂️,Don 13,0,2021-11-19T06:49:27Z
1,UgzGnNHFLQX-O6e4O8F4AaABAg,"Et this is disgusting.  You keep defending Amber. How much are they paying you and why. The tapes Cleary show she is abusive and an instigator. Funny how everyone was quick to be on amber side when she came up with the abuse lies, but now that the recording come out and it clearly shows that she was the aggressor,people don't want to take his abuse seriously. I'm unsubscribing.",Aria Stark,0,2021-10-11T06:09:20Z
2,Ugwo4l8eEXga40sFA2Z4AaABAg,“there are no victims” stfu johnny was the victim in the scenario “u can’t throw all the blame on her” again stfu she is guilty and my blood is boiling rn,cleetus,1,2021-10-10T16:10:34Z
3,Ugx1P-fww6irgsNGxsN4AaABAg,This female announcer is delusional.,Mell S.,0,2021-09-23T14:54:47Z
4,UgwDOlpfMhHzylkdWE54AaABAg,Like bill Burr said a hall of fame of gold digger. If she was true then her Twitter and Instagram comments sanctions wouldn't be off.,Pema Tobgay,0,2021-09-17T05:58:04Z
5,UgyGWk82-bfRek5WqTh4AaABAg,she didn’t donate anything to charity btw she lied,lazy,0,2021-08-31T09:52:54Z
6,UgwDZERmEccWRFJWJ8p4AaABAg,"ok, lets still not talk about the truly guilty parties in this tawdry tale.",D R,0,2021-08-21T23:56:20Z
7,Ugw9SQeucxkn8l0zndB4AaABAg,BS,Cassie 0605,0,2021-08-07T05:58:45Z
8,UgxWRva9Hl3TWMXomEN4AaABAg,You can't all of a sudden throw all the blame on her except when the story first came out it was perfectly ok to throw all the blame on him double standards much,Josey Strife,0,2021-07-25T22:59:56Z
9,UgwAGF7H69n6pQfAaIN4AaABAg,"These reporters make me sick, for real. Hope their children see this clip and realize their parents were too coward to distinguish right from wrong so they won't follow their lead.",Rodman M. Papros,0,2021-07-13T00:12:55Z
10,UgxnxPY9MeqO5tDillJ4AaABAg,"Six of one, half a dozen of the other...",Lydia Reaves,0,2021-06-04T21:52:55Z
11,UgwNgwj8ktYwvyO9_SF4AaABAg,What's happening to caption interpreting Mr Depp as Mr death?.🤣,DB,0,2021-05-19T03:28:56Z
12,Ugxfwfz6Iy3TnAmT_Sd4AaABAg,"Amber: I'm a PSYCHO👹
Johnny: I know love but I still love you 💖",Dex Muc,0,2021-05-15T00:44:24Z
13,UgxKDN5Mrc4BaR74oPl4AaABAg,This woman is wicked,Latch Baldeo,0,2021-05-08T14:21:30Z
14,UgxT0FGLN2pYJ_3W4cJ4AaABAg,Lol the people on ET has some issues,Conner O'Brien,0,2021-04-28T06:06:21Z
15,Ugzu8YV6W4iRbqPIC9R4AaABAg,"Amber Heard has a history of violence. Johnny Depp does not. ""Lets just let it go?"" smh This is the problem. 
Too many times the victim is revictimized, especially in this case because it's a man. smh Shame on the media.",Dreama Collins,0,2021-04-11T23:22:17Z
16,Ugxa8VllfMKHPc6kdM14AaABAg,"Poor, poor little victim Johnny Depp. His victim complex grows greater by the day. LOL.",Legal Fiction Natural Fact,1,2021-04-01T13:46:08Z
17,UgxvELg33gHqAK5e5St4AaABAg,"Absolutely disgusting ET, how can you sit at that table and defend a woman who falsely accused a man of domestic abuse and was believed simply because she is a woman and johnny is a man. Shame on you.",_Mi_ch_a_el_ _,0,2021-03-23T03:33:50Z
18,UgyCMt8u_xfJjhwfi9l4AaABAg,She didn’t donate all 7 million,Johnny Wright,0,2021-03-21T18:34:13Z
