,id,comment,author,likecount,publishedAt
0,Ugz7SXTkw0Ljq2vOdPR4AaABAg,"We must remember to keep comments respectfull....
Where's the respect that WE the people who are on UTube must have from these kind of posts?
How can this recording be put out there? You can hardly understand what's being said and readers  understand whatever they want too. I've read some comments and that's exactly what's happening.
This is a serious thing that is happening to Johnny. I will block RIGHT NOW.",Flor Delgado,0,2021-11-20T01:22:27Z
1,UgzUE8mRNgkFwi7Q_PJ4AaABAg,I’m feeling terrible for Johnny 😢♥️ He deserves JUSTICE ♥️,Evie0xoxo,2,2021-10-18T23:10:36Z
2,Ugzo6VO79G3vNeKQVv14AaABAg,"Call me crazy, but when I listen to these videos I can't help but think Johnny sounds so sexy.. it's sad he went through this though..",Face Reality,2,2021-08-16T06:32:19Z
3,UgzbjpA8ezmgly60s754AaABAg,#justiceforjohnnydepp,Caidence Sackett,3,2021-06-25T05:24:26Z
4,UgygMIfsugqYd7SOLe54AaABAg,He says that he get sick from his self he is so broken he feels his self sadly in this life.,gamen met britt,4,2021-04-02T14:45:24Z
5,Ugw7bdIiL_C0XKb6Kwt4AaABAg,Can you translate this video into Turkish?,Nisanur Kırış,0,2021-03-31T18:23:23Z
6,Ugwfm27yNMGEFZyE8FF4AaABAg,Sad :(,mscheurk,0,2021-02-05T20:10:27Z
7,Ugy7akgVXZVRa4iixaR4AaABAg,I can't hear what's going on?,Elisa Rivas,11,2020-07-19T22:13:18Z
8,UgyQynoUs11Nch4XBPh4AaABAg,"Poor Johnny, i wish, I could give him a hug and tell him that everything is gonna be okay ❤️",jessica taina,46,2020-07-15T14:54:34Z
9,UgzCnLPHi6ueBZcFEgV4AaABAg,Is he in the hospital?,danielle kosa,0,2020-07-11T17:27:00Z
10,Ugwe0DzUdGGr70WDZFJ4AaABAg,STOP. CENSORING. SHIT.,s h a d ø w b a n n e d,0,2020-07-03T23:19:12Z
11,UgzAA4w7VSUkSYVGL-14AaABAg,Heartbreaking #amberheardisanabuser #boycottloreal,Knuffel Maus,10,2020-05-31T16:14:38Z
12,UgzNAXqK0Yq_yc5Ko8F4AaABAg,"My poor baby, he has the right to be fucking angry she fucking mutilated him , abused him pysically and emotionally, fat shamed him, i wouldn't have blamed my darling husband Johnny if he had anulled that marriage and she cheated on him twice with Elon musk and james franco",Lindsey Depp,0,2020-05-12T12:48:15Z
13,UgxzAHBUMBOUFNajY614AaABAg,Have faith in feminists,charles chung,0,2020-04-28T12:22:54Z
14,UgxtuWa6oSS6sZqSr5t4AaABAg,He does sound like a serious captain jack sparrow,WenjayTew,10,2020-04-28T10:57:23Z
15,UgxOX1woSSqyDlSIYd54AaABAg,who record this?,misy4ru3,7,2020-04-26T12:53:38Z
16,Ugy5t5204vCVxG2arsl4AaABAg,She says “Dr Kipper he took 10 ecstasy pills at once”.....yet he’s sleeping 🤔 .......where is the part about the doctor discussing her anti psychotics??? ......this is not the full recording,DK- M,25,2020-04-18T09:27:46Z
17,UgxnuRyMeHRKYczgwtd4AaABAg,this bitch is crazy,A92,0,2020-04-18T04:45:26Z
