,id,comment,author,likecount,publishedAt
0,UgzDeullrgy2AaPDl914AaABAg,A prenup would have stopped all of this.,Gina Farrell,0,2021-11-17T11:23:19Z
1,UgxTKpQeidIt2ZiQF154AaABAg,"Let’s not forget that the ACLU has been covering for Amber H.  Yes… the ACLU!!!🤦🏻‍♀️🥺🤦🏻‍♀️. How low can they go? An ACLU Attny working with Amber wrote an op-ed letter to the Washington Post pretending to be Amber where she pretends to be a DV victim and implies the money was given to charity.  
ACLU is not what it used to be.    Win by any means necessary.🤥

Boycott L’Oréal, Acuaman, ACLU",Yolie Remeza,0,2021-11-16T01:18:40Z
2,UgyDLeMBvspIh6AQHnJ4AaABAg,"3 years ONLY? she is guilt of domestic viloence, difamation, AND fraud. 3 years??? that's a joke. but i guess people with money are above the law as they can just pay a corrupt judge to go alone with them",mary conker,0,2021-11-14T11:58:51Z
3,UgxWmrbFoJYreghO47l4AaABAg,"Don’t worry, Johnny. Justice will be done against her.",MegaMr46,0,2021-11-10T15:00:53Z
4,Ugz30vgvEi5O1YmA-u94AaABAg,"She feels like she is entitled to every thing she wants.
She is not even entitled to respect and she is too vile to earn it.",Lin Staley,0,2021-11-08T22:10:44Z
5,UgxPq1hVGgxZ607KGtB4AaABAg,I would never go see a pirate's of the Caribbean movie if Johnny Depp isn't in it! Idk if I'd watch any movie from Warner brothers after how horrible they treated JD who made them so much money! Also conflicted on whether I will go see the new aquaman movie! I love Jason Mamoa but I can't stand looking at that POS AH!,jennifer king,0,2021-11-08T20:43:26Z
6,UgxR2Nl5NWBdpcYCT_h4AaABAg,"I will not go to see any more Pirates of the Caribbean, that do not have Depp in them, if they include any likeness of the Jack Sparrow character, since that character was Depp's creation.",C M,0,2021-11-05T14:49:07Z
7,UgzWZjbCPjwHneNu6eh4AaABAg,Oh it's amber heard quick set the click bait up...,Paul Matkin,0,2021-11-04T19:04:20Z
8,UgzivyhKbqN4uiKc6yZ4AaABAg,Justice for Johnny Depp,Jessica Lambert,0,2021-11-04T18:11:03Z
9,Ugwahy0yoUX36vzREPV4AaABAg,You wanted to make a big death-defying act on TV and in the court room Amber Heard now here is your big chance !!!! Have no fear CNN will always give you a job protecting one of their smelly Uni-toilets.,Sparky Runner,0,2021-10-29T07:32:25Z
10,UgxCxXphod1g_8-Trxh4AaABAg,People would do anything and step all over someone to gain fame and money and people still treat her like a queen crazy world.,Miguel Ángel 📸🚴,0,2021-10-26T23:11:39Z
11,Ugzzd6Qk-jISQX0hoV54AaABAg,She needs to be locked up.,David Evans,0,2021-10-23T10:20:53Z
12,UgxzPLhx2n3Ww-uFSfV4AaABAg,"Amber, if you think you have a soul…please search it. “ Check yourself even though you’ve wrecked your self.",Kathryn Billinghurst,0,2021-10-22T12:28:39Z
13,UgwANXgnBMDC1tr84eZ4AaABAg,Hopefully she can humble herself after this and become a better person so very sad 😔,sara elliott,0,2021-10-22T01:12:44Z
14,Ugw77TYgzJoem8BNRfF4AaABAg,"Once a liar, always a liar.",Linda J,0,2021-10-20T23:52:30Z
15,UgwflrK8kicjP_0p1w14AaABAg,Poor Amber calling wolf when it's not. No money has ever been donated. Those poor women and children. Using a sure to further your case. Doesn't smell good. You go Johnny. You are to talented to call off a successful career. Make you own company and produce your own stuff. Amber who.?,Kimberly Heiston,0,2021-10-14T19:02:00Z
16,UgxoaB9KenIszTa9oLx4AaABAg,It's people like her ?....that makes it hard for women to come forward in these real situations so sad shame on her 🤔,Jim Strachan,0,2021-10-13T07:15:44Z
17,UgwHNr7Wb8uhzz36i6l4AaABAg,It's just one lie after another with her,The Queen,0,2021-10-09T15:48:13Z
18,Ugx0Lim6g7LCxzRbtG94AaABAg,"Amber Turd is a man hating narcissistic entitled spoiled brat & psychopath. She just use Johnny to further her career. She never had any real intentions of making that marriage work, she just wanted to punish him and torment him for being a man. She was a lesbian all along, she got turned out years ago and that's what screwed her all up.",The Queen,0,2021-10-09T15:44:50Z
19,UgzBNGKNchzPjWEUoHx4AaABAg,Justice for JD forever ❤️,Robin Dore',0,2021-10-06T15:44:10Z
20,UgyLEtFJS3ueI02pLfJ4AaABAg,She got Elon musk to donate money .,Janet Holsey,0,2021-10-05T16:27:26Z
21,UgxAs0NZdZ_suatCtdV4AaABAg,"Ok but the Pirates of the Caribbean soundtrack is the cherry on the cake, thank you 😅 but yeah, I hope nowadays Johnny is having better days and that Disney issued that damn appology",PunkBeluga aka Chessbette,0,2021-10-03T20:19:48Z
22,UgxakMT_zXHvFitzjmB4AaABAg,Amber is very beautiful ... can't her brain function just as beautifully 😕,NaMjOoN's LoSt AiRpOdS,0,2021-10-02T00:11:32Z
23,Ugwqoa11WdX1jlvHaW14AaABAg,Johnny I hope you get JUSTICE......But remember to be forgiving..........regardless........For not only I hope you realize the grass was not greener on the other side..........BUT WHO YOUR FRIENDS ARE......and how much you are supported by both men and women.......ask God's  and you're ex wife for forgiveness ......and forgive Amber and move on......Forgiving is for you and remember to forgive yourself......Thank God for helping you and everyone for holding you up family friends and the general public💘,Amethyst,0,2021-09-27T09:25:23Z
24,UgygHnSKv23Akbf2vyJ4AaABAg,"Disgusting AMber!  You went up in flames, and you set yourself on fire, dear!",Buttercups &Roses,0,2021-09-26T01:45:14Z
25,UgyjYTU34rwCZ6OAJf14AaABAg,The dude is kind of strange looking.,Glenn Brymer,0,2021-09-25T05:23:57Z
26,Ugzef0bVD87-N6CoNXV4AaABAg,Imagine all the evil she has done in her life.  It didn't start with Johnny.,Silence me Violate me,0,2021-09-22T20:59:19Z
27,Ugwfu2kllpzGWmeIBjt4AaABAg,Good riddance to the witch. Rock on JD 🔥,Sharon Scott,0,2021-09-20T07:29:26Z
28,UgwpnX3qxykwgSr7B5B4AaABAg,DC movies suck anyways...now i have one more reason not to watch them. Poor Jonny ...I am curious who will be next though.,Brian Mebert,0,2021-09-18T11:35:50Z
29,UgzWA77k2ZJWK-a83vl4AaABAg,He drugs drinks she lies and hits her partners.she is lesbian and does not need depp.,3333ferret,1,2021-09-17T18:51:13Z
30,Ugxi5UzGpmWMvvi242p4AaABAg,They need  to divorce.,3333ferret,0,2021-09-17T18:50:16Z
31,UgwRYDga1GClzdlbGj14AaABAg,Everybody is thru listening to her 🤣😂 🤣😂🙄 LoL,Elizabeth Carter,1,2021-09-16T00:23:33Z
32,UgwucnMj5IQlz_cecbl4AaABAg,I hope n pray the courts will side with Johnny Depp n slap the cuffs on AH...she opened her mouth when she wasn't suppose too.  Shame on AH. Shame Shame...you deserve to be punished...and clean Johnny Depp name...,Maria Spanos,0,2021-09-14T00:25:52Z
33,UgxATgCcf9YW0J5BzvB4AaABAg,its so disappointing that he lost many roles for upcoming movies all because of fcking accusations,Heaven_ forge,0,2021-09-13T12:02:46Z
34,UgxQ1-TSlvirwzlSOcF4AaABAg,"Mrs Richards: ""I paid for a room with a view!""  
Basil: (pointing to the lovely view) ""That is Torquay, Madam.""  
Mrs Richards: ""It's not good enough!""  
Basil: ""May I ask what you were expecting to see out of a Torquay hotel bedroom window? Sydney Opera House, perhaps? the Hanging Gardens of Babylon? Herds of wildebeest sweeping majestically past?...""  
Mrs Richards: ""Don't be silly! I expect to be able to see the sea!"" 
Basil: ""You can see the sea, it's over there between the land and the sky.""  
Mrs Richards: ""I'm not satisfied. But I shall stay. But I expect a reduction.""  
Basil: ""Why?! Because Krakatoa's not erupting at the moment ?",fred flintstoner,0,2021-09-13T10:52:43Z
35,UgzQE-856eE8L_NTWC94AaABAg,Enough she's a disgraceful human being! Using a platform like #me too and not only LYING BUT IS THE AGGRESSIVE ABUSIVE PARTY,Alana Sheldrake,0,2021-09-12T12:00:45Z
36,UgyuI_Ufp5G83lBYLYN4AaABAg,So called LAW ! being fooled by an actress . And she only had to wear a little bit of makeup. This is hilarious,Be Realistic,1,2021-09-11T11:12:05Z
37,UgzVgv799pwPQCH0zyh4AaABAg,"It just angers me who amber mistreated a good man 


Shes a toxic being .",Hawaii91,0,2021-09-11T04:30:24Z
38,Ugz8Q4fEkMfWzup1vBR4AaABAg,"Is there a Men's movement such as ""Me2""?  I've had two girls in different provinces say I've raped them when I've never so much as hugged them or even touched them. It has a big affect on my mental state with anxiety when I'd go out in community and also in my social life because these conniving women put on a good act with the truth in their eyes.",HabbitEh,0,2021-09-08T16:58:59Z
39,UgyjfJkMENKPi5gMHMZ4AaABAg,I need JD to be freed from that woman. Shameful woman,VP Wellness Beauty Herbs & Teas,0,2021-09-08T14:05:04Z
40,UgyqtPa4aIZ_bQEYTpR4AaABAg,"People have their own experience and opinion, which is pointless to say whether it's right or wrong!",Janelle,0,2021-09-08T11:25:50Z
41,UgwZJZG1zY2uyQTWwxB4AaABAg,"Put her in jail
Then the world will be safe 😜",Elizabeth Carter,1,2021-09-08T01:39:26Z
42,Ugz87X8-qQMO4gopxB94AaABAg,Shes a horrible cu....He needs to win this and shame her,Kai Ciccone,0,2021-09-06T10:54:11Z
43,Ugxe6bUrfl3WqHc54Up4AaABAg,I can't stand the sight of her. She is a demon.,Steven Graham,0,2021-09-05T10:28:02Z
44,UgxXdVz8vIBzAuQR4Dd4AaABAg,"This women ll suffer a lot in coming years..wat she did now ll badly backfire at her in few years..( mark these words) .no man at least who is good enough financially ll marry her..she lost fans..she ll.also loose projects one upon another..now she can enjoy the meagre amount of fame she got through dating Johny depp..she was mildly famous that's too only after her multistarrer Aquaman..once Aquaman contract is over she is over...
  Her all options ll fall.apart once she touches her 40s..and also in such age she ll be over...if she is not all alone who done all the stunts to slander jd..her lawyer adviced her to lie too..but how come she can drag her dignity to ground only to defame and slander a man who been considerate to her despite she is such a small actress..compared to him..u can't even compare her trashy attitude to a diamond as jd..",Miss wolf,0,2021-09-04T07:04:30Z
45,UgwtoqMhHDsYsvkQQZp4AaABAg,"She is wasting so much of had working people’s tax dollars. Lying about absolutely everything. If you know anything about this woman she is an extreme reader she’s a very bright intelligent woman and she is an extraordinarily manipulative woman. I will not be going to see Aquaman two which is sad because I loved Aquaman one. I will boycott anything that has her name on it. She deserves to have to go work at a coffee shop or get a job at a fast food restaurant and feel how hard it is to make minimum wage and then because she has a tantrum all my tax dollars got to go pay for her bull crap lying manipulating crybaby tactics. MeToo movement needs to boycott her as well. It makes women  ( all Women ) loose credibility.  Then she lie’s and destroy someone else’s life. This is very serious accusations and I think she should be put in jail personally. I think all the money she’s ran up in our court system she should have to pay back. It was premeditated lying , Destroying a man’s reputation, and lots of other people that were involved and her shenanigans too  is absolutely ridiculous that she is getting away with everything. Now they also gave her a baby girl to adopt. This woman may be very educated and look smart but why would you give a child to a manipulative narcissist with no self concern but anyone but herself. It makes me sick that any institution would trust this woman with a baby. I am completely loosing faith in the humanity we have left in this world 🌎 she is using this baby as photo bomb’s to distract away everything that’s already played out in court. So she’s made another master manipulation piece to add to this ongoing chess game she has started. I normally don’t wish bad on people and I’m not wishing bad on her. I just wish she could do a job at minimum wage get out of the limelight get her golden ticket taken out of Hollywood and work for a living like the rest of us and struggle be forced to work to make overtime just to support her and her new baby !!! Either that or start earning your way as a hooker for Elon musk. But that would pay too much anyway no matter what he made her do. I say get a real job that pays minimum wage and pay real taxes let’s see how she likes that!! Keep CRYING WOLF !! Ugh 😩",Blessyourheart,0,2021-09-03T05:37:26Z
46,UgzZVjIN4tH_tzQ35Vh4AaABAg,When is she going to jail,Arthur Kelly,0,2021-09-02T21:04:10Z
