,id,comment,author,likecount,publishedAt
0,Ugx6qcWxrQXItKGuYfJ4AaABAg,ELON U SIMP,manuel lopez,0,2021-07-20T22:12:44Z
1,Ugz4kKtwI0HDBmiMGpB4AaABAg,amber heard is crazy,EVA LEE,0,2021-07-06T18:06:05Z
2,Ugz2GVYHwKLDCiN68MB4AaABAg,I LOVE YOU SHIBA INU COIN 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍😍😍😍😘😘😘😘😘😘😘🤩🤩,Geg Hfg,0,2021-07-04T07:09:02Z
3,Ugzk5sJk_y-j614p4N54AaABAg,Finally we can see our Johny Depp as a real captain jacksparow,shaurya's.,2,2021-06-09T14:31:57Z
4,UgwWN8y3KyfOrS_IDCJ4AaABAg,"When she does public,  doesn't it seem like,  she's playing scenes from the movie Chicago? I see a lot of familiarity.  I wonder how her acting will hold up in court after all this practice 🤔🙄
✌❤ for JD and his family",Rachel Olson,0,2021-06-05T05:42:29Z
5,UgyDEC5EbXPpk4DQSA94AaABAg,Its really unfair that Amber Heard still able to act in Aquaman when Pirates of the Caribbean is Johnny Depp!,Shakila. shaki,8,2021-06-04T14:49:05Z
6,UgzbEHFtxxZiSb6LVTR4AaABAg,Amber is not to be trusted. I read her tarot cards. She’s a shady lady.,Indi Geaux,2,2021-06-04T14:25:31Z
7,UgzZY0nZG3olQDJUbYt4AaABAg,"I remember the Snapchat stories saying horrible horrible things... never believed you bitch! I don’t mean to belittle her, but it’s upsetting to see her lie",Brittany Briana,0,2021-06-04T13:57:17Z
8,Ugz-wK09IapN9G26S494AaABAg,3 adverts in 2 mins... not relevant to the video but fucking really YouTube?,SimmeyG123,0,2021-06-04T13:02:00Z
9,UgxXQIp1ksLqyPIGWGZ4AaABAg,Way too many ads in this video,Foxi Moxi,1,2021-06-04T11:56:41Z
10,UgzVrBQqqIC693ZPdP54AaABAg,Winona Forever ❤️,Petalsinthesnow,3,2021-06-04T11:28:20Z
11,Ugzlji23N4USr2m2GdB4AaABAg,Me just realising I don’t actually care about celebrity personal lives like that,Azzy_k,0,2021-06-04T11:17:46Z
12,UgwsEiwEMpHdPRhYpCl4AaABAg,"I think Elon is just doing his part as an Ex . And probably has no time or Extra interest to Deeply look up interviews or tapes or whatever (drama , detective mode) to properly judge it and change sides .  

Whats 7 million to him ? Haha .",Gamer Blank,1,2021-06-04T11:16:10Z
13,UgxlG3fR4WE-pEiP0O54AaABAg,Calling on all humans to bring AH down!!!!,Leanne Jones,1,2021-06-04T10:50:36Z
14,UgwCAC8DhC0hpoPnY1R4AaABAg,"The whole of Hollywood: Depp is an amazing person, he wouldn’t hurt a fly, Heard on the other hand is the worst person to work with

Then entirety of the press: Depp vs Heard: How Johnny Depp violently ended he’s marriage to Amber Heard

The majority of the people that I know: sorry what, Johnny Depp would never, she’s lying 🤥 
Hollywood: we know",Mia Sancto,9,2021-06-04T10:25:51Z
15,Ugz84g3fBbNdmJE-nBV4AaABAg,"Video: *about abuse, lies and defamation*
Voice: ✨🤗✨💞",Mert261,3,2021-06-04T09:42:58Z
16,UgyT06r-AESexuDawZV4AaABAg,I feel like whoever wrote or made this video isn’t a Johnny depp fan,E1eventh V1rus,0,2021-06-04T08:39:07Z
17,UgyAT-vlNyFrNPKOQDh4AaABAg,Dead man tell no what,emayex,0,2021-06-04T07:24:06Z
18,UgxQShTWYtKPSf0N7b14AaABAg,"Dam says alot about Elon, hopefully he is scaming everyone with Tesla company",Luis Condado,0,2021-06-04T07:13:25Z
19,UgwnzMCDPwulonVlDid4AaABAg,"I swear, if I see anyone here victim blaming him...",the ford,1,2021-06-04T07:07:22Z
20,UgybvbOBasJFwtW4jF54AaABAg,"She's a great actress, She's pretty but FUCK, if her Attitude is like that then NAH UH.",R4PH,0,2021-06-04T05:27:13Z
21,UgxSAqQbhcLOCgK-zLV4AaABAg,I hope Johnny gets justice because his honestly such an amazing soul,Tameeka Easton,4,2021-06-04T05:17:51Z
22,UgwAJLSdJeBlt0vt8nx4AaABAg,Isn't there phone records of Heards father apologizing to Depp as well? Statements from her ex's and ex colleagues saying she has a violent history as well? Fucking hell.,Kim Jane,1,2021-06-04T04:16:44Z
23,UgwOAtddrXMNSeYWbNp4AaABAg,"I don’t know what to think, haven’t followed it too well. But for as long as Johnny Depp has been a celebrity I’ve never heard bad rumours about him, that much I know.",Lily Bell,4,2021-06-04T04:14:52Z
24,UgzTkkgHxVAM5VU8-7R4AaABAg,I can’t listen to her narration. It hurts my ears.,Martin Zubero,0,2021-06-04T03:52:01Z
25,UgyMyuq4peWXyaWUYmx4AaABAg,"Ok, i love how you are defending Johnny but did you just say dead men tell no lies😂😂. 6:58",EYYAD MOHAMED,0,2021-06-04T00:56:24Z
26,UgygncMBugj3sJHEmiV4AaABAg,It’s clear that Amber is a narcissist & sociopath. Sounds like she used manipulative tactics to make him look bad & provoke him and then played the victim.,Frances Elizabeth,6,2021-06-04T00:25:50Z
27,UgyeABepjx4FLlg1Jdx4AaABAg,Shes still hot tho.,OMWTFYB,0,2021-06-04T00:01:46Z
28,Ugxz7eboaTc95tBo0yF4AaABAg,Did she just say TECHNO KING,CholoGoth13,0,2021-06-03T23:19:18Z
29,UgyY9r1bGBAyiBEvfot4AaABAg,even heard’s parents stand with johnny,aiden arellano,2,2021-06-03T22:24:25Z
30,UgwU9D2hRkENTtn8C4h4AaABAg,So much more important things going on in the world than to pay attention to millionaires who dont care about us.,Josh Matty,0,2021-06-03T22:24:03Z
31,UgxJEbq4J8IxzX4zZGt4AaABAg,Exactly !!!!!!,Just Lisa,0,2021-06-03T21:06:09Z
32,UgzXNRDU0xQycSLkr_V4AaABAg,"Quite irritating voice,",Lia Maria Svensson,0,2021-06-03T20:34:16Z
33,UgygZQHM7NDEn1b50Lh4AaABAg,Sooo does this mean Elon Musk is a simp?,Sgtsniperdude32,0,2021-06-03T19:48:53Z
34,UgziDgkxn8uRsbXuant4AaABAg,"What’s more funny is, a Johnny depp ad popped up when I click on this video",Keng Vue,0,2021-06-03T19:22:37Z
35,UgxG2Fq-PZAwrKaG-5F4AaABAg,ii hate her sm,Tivoni Hughes,0,2021-06-03T18:45:35Z
36,UgxCqmWjpVQNMLpRpK14AaABAg,Man I don’t know shit about this girl besides the fact that she was a model at some point but I guess people don’t like her...,Lisa Connelly,0,2021-06-03T18:33:21Z
37,Ugw5453JigbyxTVmsK54AaABAg,The only thing she’s got going for her is her looks. Was it worth it? Being one of the most disliked people in the world?,VinMode,27,2021-06-03T17:37:09Z
38,UgzxsYGmKtlX-9O7s1Z4AaABAg,Do all Americans say Caribbean like that? 😂 we brits say it like ka ruh bee an,Amy Mackay,0,2021-06-03T16:21:14Z
39,UgxCXo8kKTnHOrZBC414AaABAg,Now I would like the find people that are defending Amber Heard.... beside her lawyers and crooked friends... I hear crickets...,Guy Mercier,24,2021-06-03T15:53:52Z
40,UgzzlKLmLEwB8b6NCjl4AaABAg,The only thing Johnny is responsible for is to not know better in terms of legal battles. There was no way that he could've win the first trial and not getting out of the relationship sooner.,maria fernanda velasco hernandez,4,2021-06-03T15:23:36Z
41,UgyJllYeRS1iKrPCcwF4AaABAg,Sorry just never trust a girl called Amber.,Earthsgard81,0,2021-06-03T14:51:05Z
42,Ugw-lf9FK6UeJJtIq8B4AaABAg,She is dam beautiful.,Neikethozo Tepa,0,2021-06-03T14:49:23Z
