,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxXJgMmQpAY_Lxy2lZ4AaABAg,devi jothi,@Gilbert Times OK bro,2020-12-02T16:15:06Z,0
1,UgxXJgMmQpAY_Lxy2lZ4AaABAg,Gilbert Times,No,2020-12-02T16:07:28Z,0
2,Ugz5FvRJ4k8ueRGewZh4AaABAg,Gilbert Times,Ya athu theriyum atha olunga solluda manga madaya yenna dei potu  pesura ungalukku Oru matter therinja peria aal nu nenappu first respect kuduthu pesa kathuko naaye,2020-05-12T02:49:20Z,0
3,Ugxe6eUN7_GzXspA18R4AaABAg,Gilbert Times,Ask that petition creators,2020-03-06T14:25:20Z,0
4,UgyqwqAvVpRVyOoFZcV4AaABAg,Raghuvaran Dcrz Jr.,"@Gilbert Times Ho sari sari, OK bro",2019-11-15T18:07:19Z,0
5,UgyqwqAvVpRVyOoFZcV4AaABAg,Gilbert Times,@Raghuvaran Dcrz Jr. she is working partner bro,2019-11-15T17:58:21Z,0
6,UgyqwqAvVpRVyOoFZcV4AaABAg,Raghuvaran Dcrz Jr.,"@Gilbert Times Hmm, Tq for the reply bro ❤
But amber heard partner ""Tasya van Ree"" dhane?",2019-11-15T17:52:29Z,0
7,UgyqwqAvVpRVyOoFZcV4AaABAg,Gilbert Times,No bro Kristen Stewart than,2019-11-15T17:38:33Z,0
8,UgzxhJga09KAs7NHFuh4AaABAg,Gilbert Times,Illa antha role ponathu Disney aala,2019-11-15T05:37:12Z,1
9,UgzcSjQf6u2_a0AKkht4AaABAg,Gilbert Times,Already told la Redesign,2019-11-15T04:32:01Z,1
10,UgxBe38kpit0BcKb8bp4AaABAg,Gilbert Times,Correct bro,2019-11-15T04:35:13Z,0
11,UgwAlOBNkZ1d7V2C1_F4AaABAg,Aadhithiyan -AEIOU,😭😭😭,2019-11-15T06:32:44Z,1
12,UgyHKO0Bfq8btff_ZIR4AaABAg,Gilbert Times,Correct,2019-11-14T17:07:01Z,0
13,Ugxnq03MMbKmcMk4vMJ4AaABAg,Madras Mass Media,Indha family problem ah vechu dhaan ya Amber heard johhny ah jack sparrow role la nadikka vidaama pannanga,2020-05-19T04:56:33Z,0
14,UgzzhPThwQp2Pa3GI9t4AaABAg,Mr Black Devil,Yes,2020-09-01T11:49:24Z,0
15,Ugx8Ds3Pbs-ykes3sTN4AaABAg,Roshith Saran,Tom cruise than bro,2021-07-01T09:41:53Z,0
16,UgwVaVTk9X0amlFwouF4AaABAg,Gilbert Times,😆😆😆,2019-11-14T15:43:53Z,1
17,UgzXf50neNjyM1Y3v_14AaABAg,ambarish Stephen,Malayali ividem,2020-05-09T07:16:43Z,1
18,UgzXf50neNjyM1Y3v_14AaABAg,GoDsOn M,Aval ottaorithi karanam ane jacksparow remove from pirates of the Caribbean,2019-11-14T15:53:35Z,1
19,UgwTc4t18GcJF_xpRVx4AaABAg,Lk Noob,Ivangaloda divorced problem thaan jack sparrow charactor change nadanthichu so case mudiyira varaikum WB yum casting change pannanum,2019-11-14T16:47:20Z,0
20,UgwTc4t18GcJF_xpRVx4AaABAg,Lk Noob,@Guru Prasad 4139-20 disney or WB reason onnu thane ovvorutharkum ovvoru nijayam iruka koodathilla,2019-11-14T16:46:02Z,0
21,UgwTc4t18GcJF_xpRVx4AaABAg,Guru Prasad 4139-20,"Krishna bro, athu Disney.. Apdi thaan..",2019-11-14T16:43:39Z,1
22,UgwTc4t18GcJF_xpRVx4AaABAg,Lk Noob,Then whyy jack sparrow character maathinanga,2019-11-14T16:42:22Z,1
23,UgzfbdUtcrFbOx_XA8Z4AaABAg,MultiRajaganesh,@karthick devaraj semma bro.. thats true.. namma captain pavam,2020-06-02T15:20:52Z,2
24,UgzfbdUtcrFbOx_XA8Z4AaABAg,karthick devaraj,Ambalaikku oru niyayam pombalaikku oru niyayam.,2020-06-02T15:14:22Z,3
25,UgzfbdUtcrFbOx_XA8Z4AaABAg,peter jonny,He will be back,2019-11-14T17:11:56Z,3
