,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugzy8hZQ2pYCamO42914AaABAg,Sarah Johnson,I believe they know exactly what she is and do not want to be dragged through a lawsuit.,2020-10-25T18:26:03Z,0
1,UgwuGBhiQMx1Yp85uTl4AaABAg,Doctor Soup,Thanks Joann!,2020-10-26T05:24:28Z,0
2,UgxDkjXAyZocuRkzKoV4AaABAg,Rachel,"As of recently, the Me Too advocate that originally supported her no longer does after hearing the tapes.",2020-12-08T15:30:43Z,0
3,UgxDkjXAyZocuRkzKoV4AaABAg,Doctor Soup,@Batgirl I feel ya. You may like one of my latest videos where I kind of discuss how Amber used the #metoo movement to her advantage!,2020-10-24T17:53:07Z,0
4,UgxDkjXAyZocuRkzKoV4AaABAg,Batgirl,"@Doctor Soup The trouble is she has attached herself to a movement ""metoo"" that unfortunately have stood behind her thus far. Any wrong move on WB part and it would be more hassle than firing her is worth. It's clever on her part that she's done this because for the most part she's untouchable...for now. But rest assured when she's found guilty...the block of very unstable lies will all come crashing down on her very shady, selfish... deluded ass!",2020-10-24T17:49:17Z,0
5,UgxDkjXAyZocuRkzKoV4AaABAg,Doctor Soup,"What's hard to understand for me is why they didn't attempt to get her out earlier. I understand they are awaiting the verdict but I find it hard to believe that they couldn't attempt to get rid of her beforehand. To me an intelligent move would be to get rid of someone who is an abuser and not wait things out like this, but that is just my opinion. I agree with you that they are likely waiting it out. I feel at minimum that they could have at least condemned her actions, but that is just my opinion.",2020-10-24T17:30:09Z,1
6,Ugx40SsZO9U9bj6016R4AaABAg,Doctor Soup,i did!,2020-10-24T13:55:33Z,1
7,UgyeXxLN87VWpx7MQG54AaABAg,Doctor Soup,Absolutely agree!,2020-10-24T00:20:11Z,0
8,Ugz8KmObGsGD3llkQc54AaABAg,Raquelle Phillips,Anybody else think AH might even have enough arrogance to still go to Australia to film AM2?,2020-10-30T01:23:33Z,1
9,UgxrJ-IxYgvvaBMu3eh4AaABAg,Johnny's Girl,With him there is proof she abused him. With her there is zero evidence!,2020-10-23T21:27:26Z,1
10,UgzDj15bdVuS2tHE7OZ4AaABAg,Tania Haeussler,"I don't agree with cancel culture either, but will make an exception for Amber!!!...",2020-10-23T23:05:40Z,1
11,UgzDj15bdVuS2tHE7OZ4AaABAg,BrainInvasion,"@Doctor Soup After reading one of the comments below, I'm glad Warner Bros hasn't fired her before any kind of verdict has been decided. Because then she might have real grounds for defamation and I'm hoping her counter suit will get thrown out.",2020-10-23T22:25:19Z,1
12,UgzDj15bdVuS2tHE7OZ4AaABAg,Doctor Soup,I don’t believe that calling someone out for being an abuser is cancel culture.,2020-10-23T21:30:56Z,3
