,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwxAN4Jh5b8U7IKcTJ4AaABAg,Rubina Khan,Poop??? Really,2021-04-25T11:52:17Z,0
1,Ugw5dRbzG_-RO0QkBc54AaABAg,Maria,"I just read the comments I didn't know it was bc of an illness, I take it back an apologize",2021-04-14T11:12:33Z,0
2,UgxkrhlhVhfWkV6h36N4AaABAg,maddison Xx,nvm i got it ILKHGFH,2021-01-10T07:54:45Z,0
3,UgzfCfag3mUtf22_Yfl4AaABAg,Jo Pearson,"For one, the interviewer called her Amber not Amanda and she is not the one posting the videos for this show and typing the titles with the mistake. Two, her doing the chapstick (not lipstick) is in reference to the kiss he did with Jimmy Kimmel, go watch it, he puts on chapstick first...it's a joke.",2020-08-11T00:47:31Z,2
4,UgyL5R6XHtWhrHmGP914AaABAg,Jo Pearson,"Thats how little known she was in 2014, people didn't get her name right, only famous because of Johnny now.",2020-08-11T00:49:32Z,0
5,Ugx96_RWerIcbRhkfsB4AaABAg,Pop Tart,"He immediately picked up on the flirtation and started talking about Jimmy Kimmel. Then when she asked him about kissing his co-stars, he said Amber was the best. How sweet of him! Sadly, if he only knew then what he knows now.",2021-09-01T23:04:47Z,0
6,Ugx96_RWerIcbRhkfsB4AaABAg,Sam Erdrich,I think the reason why Johnny Depp hasn't been able to find a stable long term relationship with a woman is because he doesn't understand that women are attracted to him for what he is not who he is. That's his problem.,2021-04-03T23:22:49Z,4
7,Ugx96_RWerIcbRhkfsB4AaABAg,Laura Biegel,@bearta She is making reference to Johnny kissing Jimmy Kimmel. Johnny put lip balm on when he kissed him. Johnny and Jimmy have this long running joke with each other everytime Johnny appears on his show.,2020-08-29T15:23:34Z,8
8,UgyEIA6lp2jxiedOUmh4AaABAg,Jan Isherwood,That was before he met Amber’s “ other half!”,2021-09-17T12:40:39Z,0
9,UgyEIA6lp2jxiedOUmh4AaABAg,Anonymous N,😅i don't know whether to take this as a joke or feel sad for johnny😬,2021-08-15T03:14:34Z,0
10,UgyEIA6lp2jxiedOUmh4AaABAg,Kimberly Ortiz,"😂 I know I shouldn't be laughing,  but that was a good one",2021-07-25T23:48:56Z,0
11,UgyEIA6lp2jxiedOUmh4AaABAg,Jay A Errington,@Sam Erdrich dunno he was with vannesa his kids mum for many years... I think he was played by Amber... She went all out to seduce him but her intention was money and fame,2021-06-21T23:31:49Z,2
12,UgyEIA6lp2jxiedOUmh4AaABAg,Sam Erdrich,I think the reason why Johnny Depp hasn't been able to find a stable long term relationship with a woman is because he doesn't understand that women are attracted to him for what he is not who he is. That's his problem.,2021-04-03T23:22:13Z,1
13,UgyA4WkrjdY6_LHeS414AaABAg,Laura Biegel,@Fevie J Interviewer is making reference to Johnny and Jimmy Kimmels long standing joke that Johnny kisses him every time he is on the talk show. Jimmy is so enamored by him. The last time Johnny put on lip balm before kissing him. I think they joked it was bubble gum flavor.,2020-08-29T15:26:43Z,8
14,Ugyee3kpYw_zJkjvf7l4AaABAg,insta_ber_,Girl Next Door! I love that movie.,2020-05-19T09:45:14Z,0
