,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugzo6VO79G3vNeKQVv14AaABAg,♡𝘿𝙚𝙡𝙥𝙝𝙞𝙣𝙚♡,💀,2021-10-04T19:02:15Z,0
1,UgzCnLPHi6ueBZcFEgV4AaABAg,Spiden,Johnny depp is heal already thank goodness,2020-08-20T03:57:50Z,1
2,UgxzAHBUMBOUFNajY614AaABAg,Face Reality,"No. Feminists have caused nothing, but trouble. I'm a woman saying this.",2021-08-16T06:35:57Z,0
3,UgxzAHBUMBOUFNajY614AaABAg,Jessica Day,@smash461986 you are dumb as shit,2020-11-24T13:46:52Z,0
4,UgxzAHBUMBOUFNajY614AaABAg,Elisa Rivas,🤮🤮🤮,2020-07-19T22:18:07Z,0
5,UgxzAHBUMBOUFNajY614AaABAg,Elisa Rivas,"@Bathtubtyler Not talking about individuals, just as a whole.",2020-07-19T22:17:41Z,0
6,UgxzAHBUMBOUFNajY614AaABAg,Bathtubtyler,smash461986 What makes you think that? I am a feminist and I want Amber to rott in jail,2020-07-16T21:33:09Z,3
7,UgxtuWa6oSS6sZqSr5t4AaABAg,Face Reality,"@PedophiliaInHollywood Exists your name is so true, sadly",2021-08-16T06:34:30Z,0
8,UgxtuWa6oSS6sZqSr5t4AaABAg,JONATHAN SUTCLIFFE,WTF IS ALL I'M THINKING...,2020-07-07T13:35:38Z,1
9,UgxtuWa6oSS6sZqSr5t4AaABAg,PedophiliaInHollywood Exists,this is a serious matter.. johnny was abuse,2020-05-15T06:42:05Z,4
10,UgxOX1woSSqyDlSIYd54AaABAg,Jasmine Handy,Ah,2021-01-05T04:58:46Z,0
11,UgxOX1woSSqyDlSIYd54AaABAg,FM A,"It was amber , she did it so she could hear what would they say after she leaves , also you could hear her voice coming closer to end the tape .",2020-07-11T01:13:14Z,7
12,Ugy5t5204vCVxG2arsl4AaABAg,chlxecxn,Around 5:25 is the talk about the medication,2020-12-14T07:10:02Z,0
13,UgzjaBWk-OzXgPuQvWh4AaABAg,JONATHAN SUTCLIFFE,IT'S AMZING HO WMANY TAXI DRIVERS THINK IT CONCERNS THEM... FUCKING HELL I CAN COMPEHEND WHY FOLK HROW A WOBBLY...,2020-07-07T13:40:29Z,0
14,Ugy01dGjuhkvgfFxxjZ4AaABAg,Mary Elizabeth,@Flor Delgado as for Scamber. I truly am not more have been a fan. She’s a drugged up liar too. There are videos of them together where she could hardly stand. She used his children for publicity. She disrespected Johnny Vanessa and those children. When Johnny and Vanessa we’re sorting their stuff out. Amber was telling everyone she was with him and wearing his clothes,2021-11-20T12:30:22Z,0
15,Ugy01dGjuhkvgfFxxjZ4AaABAg,Mary Elizabeth,"@Flor Delgado it’s amazing how many fans Johnny has that speak as though they are experts in psychology. I saw the pictures of johnnys finger. With paint on it and he admitted to doing the writing on the wall but his fans deny this still. He was obviously wildly scarily out on drugs during that time. 

Kate moss never defended him. She was found hiding from him a closet. What’s her name Ellen Barkin said he threw a wine bottle at her. Winona Ryder defended him but if you go back to her interviews, she always called him her first everything. First boyfriend etc. in another interview she says her first boyfriend used to throw and hit things. There are pictures of Johnny with a cast on his arm from this time. He may not have hit her physically but doing stuff like that is abusive and scary if you’ve never experienced it.",2021-11-20T12:28:25Z,0
16,Ugy01dGjuhkvgfFxxjZ4AaABAg,Flor Delgado,"@Elisa Rivas 
No Saint and no abuser.",2021-11-20T01:10:04Z,0
17,Ugy01dGjuhkvgfFxxjZ4AaABAg,Flor Delgado,"Life long fan of Johnny DEPP?
BULL💩!!!!!
Abuse on BOTH sides?
He never denied his drug problems. He doesn't have to talk about it in details. But to say HE was ABBUSIVE TOO?
If you see abuse in him, your not a good Psychologist, let me inform you.
He's not perfect. But ABUSER, he is not. He may act stupid sometimes (I've seen things too) but from there to insult him the way you are doing is a
 BACK STABING REACTION! 
You mentioned you didn't like Amber when you were ASKED and not before.. THATS A NO CAN DO FOR ME, LADY.
GO GASLIGHT SOMEWHERE ELSE.",2021-11-20T00:59:05Z,0
18,Ugy01dGjuhkvgfFxxjZ4AaABAg,Face Reality,"I have much worse things to say about her besides her hideous hair, but YouTube will remove my comment... Take that as abuse. F that B.. Johnny is the victim here. She hit and spit on that man, he should have decked her. And I'm a woman saying this.",2021-08-16T06:42:18Z,1
19,UgyGGlGmdQ9M8p2grl14AaABAg,Lindsey Depp,As soon as she started abusing my gorgeous husband Johnny her all her endorsements should have been stripped from her and kicked out of Hollywood,2020-05-12T13:04:18Z,1
20,UgyCQvJEOXRvejVVdPJ4AaABAg,Ester Lev,@Cassie Campbell No.,2021-04-14T15:52:21Z,0
21,UgyCQvJEOXRvejVVdPJ4AaABAg,Cassie Campbell,@Ester Lev which guy... the person who's channel we are watching this audio from?,2021-04-14T14:28:32Z,0
22,UgyCQvJEOXRvejVVdPJ4AaABAg,PedophiliaInHollywood Exists,@Ester Lev she cut herself,2020-05-15T06:43:15Z,0
23,UgyCQvJEOXRvejVVdPJ4AaABAg,Ester Lev,"@Cynthia Eng Yeah I've seen it. She might have said ""house plant"" but it's not clear what was said by dr kipper before that or after. Anyway, that guy has been deleting comments on his videos and editing out parts of the audio. He clearly has an agenda, so his transcript should be taken with a grain of salt.",2020-04-24T23:19:03Z,0
24,Ugzbz_hYSTQhGuQsIXJ4AaABAg,Lindsey Depp,#### JUSTICE FOR MY DARLING HUSBAND JOHNNY DEPP,2020-05-12T13:05:28Z,0
25,Ugzbz_hYSTQhGuQsIXJ4AaABAg,Lindsey Depp,His wife to be Rocky Roxy Depp has always been on his side,2020-05-12T13:05:06Z,0
26,Ugzt1k7Ls241vVsI-HJ4AaABAg,Flor Delgado,Really? How did you hear all this? I can't understand almost anything. 😳,2021-11-19T23:52:24Z,0
27,Ugzt1k7Ls241vVsI-HJ4AaABAg,DieBlutigeLynn,"I think Jerry says at around 8:00:
Listen, at the moment, at the moment I’ll do a deal with the devil, to calm this lady down, because when we sat in the car with Kipper, [x], she turned around and told me [evil?] like this. She [did?] this whole thing calmed down.",2021-08-04T06:45:00Z,0
28,Ugzt1k7Ls241vVsI-HJ4AaABAg,İnfinityDepp,What Johnny say ? please write englisch,2020-06-25T17:24:11Z,0
29,Ugzt1k7Ls241vVsI-HJ4AaABAg,Sandra H.,"Julie Lea Also take into account that this happened before the other tapes, we heard earlier this year, so this incident in Australia has been leading to the tapes where she is mocking him for leaving when she get violent towards him.",2020-04-12T12:25:34Z,3
30,Ugzt1k7Ls241vVsI-HJ4AaABAg,Julie Lea,"@victoria vezich I just put on earphones & turned it up....then thought...why am I listening to these people's (JD) private life?!?! 
 Oh yeah...the case on which all victim's rights seem to rest...still very strange territory.
 Jerry said "" bad"" but he's not going to say "" he's hurting"". This man looked after him for 20 yrs.
 I think from what he said later "" deal with the devil for now"".. we can assume he blames AH. 
 "" He needs as much help as he can get""= He's hurting. 
 If he was acting like grown brat, Jerry would have been concerned over the injury but annoyed it happened. 
 So he said 'bad""...he might as well have meant "" hurt"" as in hurting emotionally.
 I'm a psychologist. I know his history & hers, enough to figure out their personalities, with the audio & available info not from tabloids. 
 Jerry was worried about his sanity...and that recorder was in there for a reason...none of them seemed to know it was there. 
 Who put it there? Maybe Depp because she was gaslighting him so badly? Is it part of a surveillance tape? 
 Who released it to the media?
 Her saying he took 10 XTC means nothing because she lies, drinking ? He started drinking again to deal with her, that's not unusual. He could have taken 10 xtc. But people don't become violent...or anything negative on xtc, it would be the amount, which Jerry seems to think he's capable of doing, another form of self-harm really.  
 She's on Anti-psychotic's & is definitely self harming & he may have.
 His childhood.. self harm is not out of the question for sure...while being abused.   
 She has a Borderline Personality Disorder. 
 He has unresolved childhood CPTSD.
 So in a way, you heard correctly.
 The whole thing is so heartbreaking. No deserves to be treated that way, especially with CPTSD. Complex-PTSD, which isn't really a disorder at all, it's a cluster of behaviors in RESPONSE to abuse, so I call it C-PTSR, it's more accurate. ♥️♥️",2020-04-12T08:58:25Z,9
31,UgxlPqPKwfGylh7hyDF4AaABAg,Flor Delgado,"I think it was to be at any given moment, THEN MOM DIES.",2021-11-20T00:11:51Z,0
32,UgxlPqPKwfGylh7hyDF4AaABAg,Cassie Campbell,@Sandra H. she is a narcissist,2021-04-14T14:15:10Z,0
33,UgxlPqPKwfGylh7hyDF4AaABAg,Judy Soltow,"She’s pure predator in panic mode. Getting older without superstar status. Her LGBT friend probably encouraging her on the side. Depp used as prop to gain her $ and public recognition. Pathetic. Condescending during her questioning on the events, eating to hide her snotty body language.",2020-06-01T05:11:59Z,3
34,UgxlPqPKwfGylh7hyDF4AaABAg,Lindsey Depp,@Damiens mom so sorry about yout brother in law,2020-05-12T13:01:47Z,1
35,UgxlPqPKwfGylh7hyDF4AaABAg,Lindsey Depp,@Damiens mom that is one sick bitch,2020-05-12T13:01:14Z,1
36,Ugy6j4qaZpE92NeSH-J4AaABAg,Flor Delgado,"@Laura 
This one should NOT have been one of them. To ME, it's a lack of respect.",2021-11-19T23:55:33Z,0
37,Ugy6j4qaZpE92NeSH-J4AaABAg,Laura,@Cynthia Eng some videos dont have subtitles unfortunally,2020-05-30T01:39:10Z,3
38,UgyUuGusnbKnsaxubDZ4AaABAg,RexLexus,"I would not doubt it, with all of her cheating, with her cold and conniving behavior, high profile encounters with other men.",2020-04-13T18:05:25Z,0
