,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugzjnu1GNZ1g2xlQjIt4AaABAg,JOHNNY DEPP,❤️Thanks for your unwavering love and support you have constantly shown me in such difficult moment. I’m forever grateful. I really appreciate your unconditional love to me and every effort exerted by you to cause a change…Where are you watching from?,2021-09-20T11:58:08Z,0
1,UgzH849JcxzpG_VRv-l4AaABAg,JOHNNY DEPP,❤️Thanks for your unwavering love and support you have constantly shown me in such difficult moment. I’m forever grateful. I really appreciate your unconditional love to me and every effort exerted by you to cause a change…Where are you watching from?,2021-09-20T12:05:58Z,0
2,UgwBwo0mw3VZIye2Kbd4AaABAg,JOHNNY DEPP,❤️Thanks for your unwavering love and support you have constantly shown me in such difficult moment. I’m forever grateful. I really appreciate your unconditional love to me and every effort exerted by you to cause a change…Where are you watching from?,2021-09-20T12:06:58Z,0
3,UgwBwo0mw3VZIye2Kbd4AaABAg,Jepunz #,Yeah i wonder why IA is so quiet now,2021-07-28T13:53:59Z,1
4,Ugx8WabwSMAhLlmIfh14AaABAg,Emily 2201,I think it was knowing if she destroyed anything ogmf JDs he'd know and file insurance stating she did it.,2021-07-27T20:29:30Z,3
5,Ugy_A5SrFJiM2uN4S4B4AaABAg,Sunshine,😂😂😂,2021-07-27T21:18:45Z,2
6,UgxNKyhQJdPAW3JKc994AaABAg,ఇNora Charles,oopsie-doodle.. 😂😂🤣,2021-07-31T06:39:25Z,0
7,UgxNKyhQJdPAW3JKc994AaABAg,tabeth mutingwende,AH lies years and years of lies,2021-07-28T11:03:56Z,1
8,UgxNKyhQJdPAW3JKc994AaABAg,Sunshine,"They must have been so caught up in their lies, that they completely forgot about the CCTV.",2021-07-27T21:12:36Z,6
9,UgyjdDKc5C0uid6FZPx4AaABAg,XenaWarrior,@Diamond Perry Thank you for the advice. I really appreciate it.,2021-07-28T00:55:48Z,0
10,UgyjdDKc5C0uid6FZPx4AaABAg,Diamond Perry,"If you really wanna know he's thinking and want to cut through the b.s., the next time u talk whether text or by actual phone chat ask him outright what he wants from you? If that seems a little too forward for you an example would be ""Hey I'm curious, I've noticed that the last time we talked it was said that we weren't gonna be fwb (I'm guessing friends with benefits) but your still texting me alot lol. Are you talking to me just on a friendship level or is there something more?"" Then listen to what he says and what he doesn't say as well because we all know listening to this trial with AH it's all about what she's not saying to keep you distracted from what she is saying. The only reason I say that is because you said he's doing something he's never done before and he KNOWS you still love him. Sounds like a new angle to keep you hooked on him for however long he wants. He could just be texting you just to make himself feel better or for some other reason. I truly do hope it's a good reason he gives you and not something manipulative. Your name is XenaWarrior, you got this, your strong!!",2021-07-28T00:36:02Z,1
11,UgxWkq6YfIVr7DMS8Ul4AaABAg,Sunshine,Must be the only sport she knows.,2021-07-27T21:15:44Z,3
12,UgxWkq6YfIVr7DMS8Ul4AaABAg,Emily 2201,"Yes, same.",2021-07-27T20:23:55Z,2
13,Ugx58quYH8-HHOtO4Od4AaABAg,JOHNNY DEPP,❤️Thanks for your unwavering love and support you have constantly shown me in such difficult moment. I’m forever grateful. I really appreciate your unconditional love to me and every effort exerted by you to cause a change…Where are you watching from?,2021-09-20T12:19:09Z,0
14,Ugx58quYH8-HHOtO4Od4AaABAg,Christine Lloyd,"@Helene Crepault 😂😂 with the barn witch it’s ALWAYS  a magnum size bottle, not just a standard size!",2021-07-28T07:42:13Z,3
15,Ugx58quYH8-HHOtO4Od4AaABAg,Helene Crepault,"Ah but it,s probably because it was a magnum ;)",2021-07-27T22:52:14Z,2
16,Ugx58quYH8-HHOtO4Od4AaABAg,Sunshine,"You mean the UK judge? Oh, he saw that. It just wasn't a regular court case.",2021-07-27T21:17:19Z,5
17,UgzJPVlDenPuKxx61aV4AaABAg,JOHNNY DEPP,❤️Thanks for your unwavering love and support you have constantly shown me in such difficult moment. I’m forever grateful. I really appreciate your unconditional love to me and every effort exerted by you to cause a change…Where are you watching from?,2021-09-20T12:23:47Z,0
18,UgzJPVlDenPuKxx61aV4AaABAg,Rock Candy,very interesting this magic!!!,2021-07-27T20:34:25Z,5
19,UgwIrQJrV-CRSubvs8h4AaABAg,Tia A,@JOHNNY DEPP stop pretending to be Johnny,2021-09-20T14:45:02Z,0
20,UgwIrQJrV-CRSubvs8h4AaABAg,JOHNNY DEPP,❤️Thanks for your unwavering love and support you have constantly shown me in such difficult moment. I’m forever grateful. I really appreciate your unconditional love to me and every effort exerted by you to cause a change…Where are you watching from?,2021-09-20T12:27:55Z,0
21,UgyY_zOdgPwKTnxNGPx4AaABAg,JOHNNY DEPP,❤️Thanks for your unwavering love and support you have constantly shown me in such difficult moment. I’m forever grateful. I really appreciate your unconditional love to me and every effort exerted by you to cause a change…Where are you watching from?,2021-09-20T12:28:03Z,0
22,Ugz_jtu7jeh_0mJbPA94AaABAg,Emily 2201,Go to NickWallis.com. it's all on his website from YK trial.,2021-07-27T20:25:57Z,2
23,UgxfBA1icZAigJsa3I54AaABAg,Sunshine,Good question. 🤔,2021-07-27T17:31:36Z,4
24,UgxZ00-IWBqPucmf5tJ4AaABAg,N. N.,"Ach, he is just such a genius, you have to Love him for the art of deconstruction #justiceforJohnnydepp",2021-07-30T19:42:17Z,0
25,UgxZ00-IWBqPucmf5tJ4AaABAg,Yella,and managed to not walk through the stains although he was visibly intoxicated,2021-07-28T10:33:53Z,0
26,UgxZ00-IWBqPucmf5tJ4AaABAg,Sunshine,"Yep, with the label nicely visible.",2021-07-27T17:28:49Z,7
