,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwlcY3C6X684F2oWbx4AaABAg,Anonym Anonyme,@Herbert Lampig Sorry. Jetzt kann ich es verstehen.,2021-08-18T18:00:11Z,0
1,UgwlcY3C6X684F2oWbx4AaABAg,Herbert Lampig,@Anonym Anonyme stimmt eine die vor Gericht lügt und ihrem Mann den Daumen abschneidet und ihn zusätzlich noch zusammenschlägt hat des auf jeden Fall verdient. Sei doch einfach still wenn du keine Ahnung hast,2021-08-18T17:57:23Z,5
2,UgwlcY3C6X684F2oWbx4AaABAg,Anonym Anonyme,"@Herbert Lampig Doch hat Sie. Ich habe zwar keine Ahnung, was zwischen den beiden vorgefallen ist aber Sie hat es verdient.",2021-08-18T17:52:57Z,0
3,UgwlcY3C6X684F2oWbx4AaABAg,Herbert Lampig,Nein sowas hat sie nicht verdient,2021-08-18T17:50:21Z,2
4,UgwBoHMA2K4hKWmlD414AaABAg,Lyra,"Wenn du das ganze Video angesehen hättest, wüsstest du das amber Heard noch nicht verraten hat, wer der Vater ist",2021-07-03T11:59:41Z,6
5,UgzBdt6LDTwWh95Y8bZ4AaABAg,bestdamnalex,"hahaha voll lustig Gewalt ist so geil und amüsant hahah sie hat ihn fast getötet aber ey vielleicht verarschen die uns 😂

merkst du noch was",2021-10-04T08:27:37Z,0
6,UgzBdt6LDTwWh95Y8bZ4AaABAg,Tochtervonjesus,@Lamiya Lamiya jokes are supposed to be funny,2021-07-05T07:45:53Z,1
7,UgzBdt6LDTwWh95Y8bZ4AaABAg,Lamiya Lamiya,@emi got7 it was a joke..,2021-07-04T22:19:35Z,0
8,UgzBdt6LDTwWh95Y8bZ4AaABAg,emi got7,"tatsächlich denke ich das eher nicht, ich meine johnny hat zB die rolle des grindelwalds verloren und soweit ich weiß auch die von jack sparrow in fluch der karibik (wobei ich glaube das hier auch weitere faktoren mitgespielt haben, weswegen disney das so entschieden hat)",2021-07-04T01:04:01Z,1
9,UgzBdt6LDTwWh95Y8bZ4AaABAg,Jacqueline Hess,😂,2021-07-03T21:54:35Z,0
10,Ugxqxn5E6QwSGakBL3B4AaABAg,Aloy,ja  uns wir sind die babys,2021-07-02T20:25:45Z,2
11,UgxTKtMlh36ulmjO83l4AaABAg,Solin,@lololol lolol du sprichst alles aus was ich mir gerade gedacht habe Dankeschön 🤝,2021-08-10T09:40:57Z,0
12,UgxTKtMlh36ulmjO83l4AaABAg,aylo.arle. 2021,"@lololol lolol sowas geht auch nicht, doch es heißt nicht dass sie ihr Baby schlecht behandeln wird 🤷‍♀️",2021-07-11T13:52:32Z,0
13,UgxTKtMlh36ulmjO83l4AaABAg,aylo.arle. 2021,@Pupsi 1.0 sehe ich genauso 🙏👍,2021-07-11T13:51:55Z,1
14,UgxTKtMlh36ulmjO83l4AaABAg,lololol lolol,"@CHIARA Das Kindeswohl ist gefährdet. Sie wirft mit Glasflaschen um sich und schlägt Menschen, die ihr nahe stehen und gibt ihnen dann die Schuld. Die Frau ist nicht ganz dicht.",2021-07-06T09:10:20Z,9
15,UgxTKtMlh36ulmjO83l4AaABAg,Swaloth,"Vieles, was sie getan hat, geht unter die Gürtellinie. 

Ich versteh den Unmut. Eine gegenüber ihrer ""Liebsten"" gewalttätige Frau, die lügt und betrügt, soll jetzt Vorbild und Mutter für ein Kind sein?",2021-07-05T10:48:53Z,6
16,UgwpEvVfwNUWAYV_uLt4AaABAg,Claudia Schmidt,"@Hihi Hoho wenn du auf ein Date gehst, lässt du dich immer einladen oder trennst du die Rechnung? Woher kommt den deine Ansicht? Aus der Religion?",2021-11-09T11:30:11Z,0
17,UgwpEvVfwNUWAYV_uLt4AaABAg,Hihi Hoho,@Claudia Schmidt als allererstes vor dem was die Natur uns gegeben hat: Mutter und Vater! Oder haben dich zwei schwule oder Lesben geboren??? Unglaublich.,2021-11-09T09:00:03Z,0
18,UgwpEvVfwNUWAYV_uLt4AaABAg,Claudia Schmidt,Und gay parents?,2021-11-08T14:58:12Z,0
19,UgziMBWY1JYOO_WacVp4AaABAg,Amir,kleine hinweis das ist die schauspielerin die im Aquamann mitgespielt hat die mit roten haaren.,2021-07-02T17:55:12Z,1
