,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzQJEHscNHbr-DV-pZ4AaABAg,Polyrytmi,@Leostar i thought it would be fun but I almost commited suicide halfway,2021-03-16T10:00:02Z,0
1,UgzQJEHscNHbr-DV-pZ4AaABAg,Leostar,then why the hell are you here?,2021-03-16T09:01:24Z,0
2,Ugzu3EVMo1DDj14kF9t4AaABAg,Leostar,"because sjws always side with the women no matter what and refuse to stand down, best example was kickvic if anyone remembers that since every youtuber has just dropped vic",2021-03-16T09:02:44Z,0
3,UgzXHq3dmso98xckLsl4AaABAg,Aquarian Dawn,"@Jennifer Reilly love and humanity is a hard statement for me to follow. I know how to love my children, my woman, my pets... but other people? Especially strangers... I was never raised as a people person, I wasn't allowed to do anything with anyone, including my dad and siblings. As an adult stunted emotipnally I just try to be fair and even with everyone, except for the few I love, they have leeway to mess up and get away with it in my book.",2021-03-18T02:43:38Z,0
4,UgzXHq3dmso98xckLsl4AaABAg,Aquarian Dawn,"@Jennifer Reilly no problem. It's nice when someone agrees with me, and rare",2021-03-18T02:33:53Z,1
5,UgzXHq3dmso98xckLsl4AaABAg,Jennifer Reilly,@Aquarian Dawn Thank you for saying this :),2021-03-18T02:29:46Z,0
6,UgzXHq3dmso98xckLsl4AaABAg,Aquarian Dawn,"@Jennifer Reilly if a human being cannot control themselves from maliciously lying about someone to damage /destroy the life of an innocent human being then that person need be sequestered away from those who do not do things like that. Humanely sequestered, but sequestered.",2021-03-17T14:58:43Z,1
7,UgzXHq3dmso98xckLsl4AaABAg,Jennifer Reilly,"@Aquarian Dawn There are some who don't understand how to communicate it. I happen to be one of them.
I have been a Johnny Depp fan for as long as I can remember. My heart is with him.
But Amber is human too, and we shouldn't forget that.
My sister displays a lot of narcissistic traits, and I developed MS from having to live with it.
While I understand that it isn't fair to me, I will not lower my standards.
Love and humanity first, always.",2021-03-17T14:44:42Z,0
8,UgyzQGiA4-rGHSLXoXZ4AaABAg,Marc Avery,Just. Stop. Watching.,2021-02-25T16:30:13Z,0
9,UgweXKFYJB4_5ZjyVY54AaABAg,Chemane Wright,Ten minutes of the film I KNEW it.,2021-02-23T04:58:46Z,0
10,UgxzE8hwKET0-mfIchB4AaABAg,John Simon,"The media is the Joke, trying to pick the course of everything from who works in a movie to what constitutes a Good President....  I don't know about ya'll but My Wallet tells me that. If I think a particular actor or actress sucks, My dollars stay in my wallet.",2021-02-25T03:03:37Z,0
11,UgzSgLBvwUM4nf_FOI54AaABAg,Neonai 1984,"Amber is at Warner Brothers, not at Disney though...",2021-02-23T23:34:49Z,0
