,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzQTmkWbBT1AxKaeJ94AaABAg,Adrianna,@zen byeeee go to sleep child 😒,2021-10-26T02:14:06Z,0
1,UgzQTmkWbBT1AxKaeJ94AaABAg,zen,@Adrianna yes you si bad just go way abnd never come again because i donl keik you so ember's heart's is bad and like......,2021-10-26T00:51:19Z,0
2,UgzQTmkWbBT1AxKaeJ94AaABAg,Adrianna,@zen hey the bell I's ringing 🔔 time to go to bed little kid,2021-10-26T00:50:35Z,0
3,UgzQTmkWbBT1AxKaeJ94AaABAg,Adrianna,@zen stop well I don't know what your talking about so get off my comment because I'm not on an airplane,2021-10-26T00:49:13Z,0
4,UgzQTmkWbBT1AxKaeJ94AaABAg,zen,@Adrianna oh my gosh shyt upo i hate you not much as ember heart but ugh just go........................................ your hom is not the airplane and wha?t,2021-10-26T00:46:25Z,0
5,UgzWWHi212Y5I_RglFx4AaABAg,Frankie,Never seen a dislike ratio so high on a video before! She is really not very well liked. 🤣,2021-10-29T01:22:12Z,0
6,UgzWWHi212Y5I_RglFx4AaABAg,Adrianna,Me to,2021-10-26T00:33:49Z,0
7,UgxvEw1UadQZNZPJV4h4AaABAg,Adrianna,Bad akchress,2021-10-26T00:34:02Z,0
8,UgwLs7asq4bpz0d3ant4AaABAg,Adrianna,Don't sware but yeah she is a liet,2021-10-26T00:36:16Z,0
9,UgwuUC0pGdhosTGcfit4AaABAg,Adrianna,What so you .mean,2021-10-26T00:37:36Z,0
10,UgwyYRFxLb0UGibK59h4AaABAg,Adrianna,She should go to kail,2021-10-26T00:37:57Z,0
11,UgzfQYP3k9phiAuXL_14AaABAg,Adrianna,She's crazt,2021-10-26T00:38:14Z,0
12,UgzNFHGf1wVYxWmbeAx4AaABAg,Adrianna,Same,2021-10-26T00:38:28Z,0
13,Ugzh8loBAB2owtbn7s14AaABAg,Johnny Depp ii,I just take a little time to say a very big thank you for your love and support!! where are you watching from?,2021-08-23T23:08:49Z,0
14,UgxIxAoOfPu9kYZYCgl4AaABAg,Johnny Depp ii,I just take a little time to say a very big thank you for your love and support!! where are you watching from?,2021-08-23T23:09:01Z,0
15,UgwYZvXgybmYgO7uPbV4AaABAg,Johnny Depp ii,I just take a little time to say a very big thank you for your love and support!! where are you watching from?,2021-08-23T23:09:28Z,1
16,Ugziki6zcYGqcNCNEP54AaABAg,Grace,"They mentioned that, but amber was like SOOOOO shitty to him so he prob only did cuz self defence, whereas she did it cuz shes a total narcissistic bitch",2021-07-22T16:36:56Z,0
17,Ugxy5-UtoPeft0RTPE54AaABAg,Johnny Depp ii,I just take a little time to say a very big thank you for your love and support!! where are you watching from?,2021-08-23T23:10:21Z,0
18,UgxDTU3dFYe16qs5t1t4AaABAg,Johnny Depp ii,I just take a little time to say a very big thank you for your love and support!! where are you watching from?,2021-08-23T23:10:42Z,0
19,Ugwoqw-B0FTRRVy-Ilh4AaABAg,Johnny Depp ii,I just take a little time to say a very big thank you for your love and support!! where are you watching from?,2021-08-23T23:11:31Z,0
20,UgxmcLrCjA3SsU4LCXR4AaABAg,Norjahan Begum,Hashim ahmed no one is guilty until court catches the main culprit,2021-06-17T09:17:05Z,0
21,UgxmcLrCjA3SsU4LCXR4AaABAg,Hashim Ahmed,She’s guilty tho,2021-06-12T14:48:01Z,1
22,UgwE8V1mllEqmiRECmB4AaABAg,Johnny Depp ii,I just take a little time to say a very big thank you for your love and support!! where are you watching from?,2021-08-23T23:11:57Z,0
23,UgwE8V1mllEqmiRECmB4AaABAg,Johnny Depp,"@Sims Life ❤Thanks for your beautiful words Sims Life. I will love to create a warm atmosphere to get more of your opinions and interest about my movies. Are you on telegram? You can look me up on telegram and send me a message @johnnydeppofficl on telegram.


     ❤Much love ❤",2021-06-22T15:12:30Z,1
24,UgwE8V1mllEqmiRECmB4AaABAg,Sims Life,@Johnny Depp of course. Colorado Springs co.,2021-06-22T06:46:13Z,0
25,UgwE8V1mllEqmiRECmB4AaABAg,Johnny Depp,❤️ Thanks for your unending love and support. It has been a challenging moment for me but your love kept me strong. Where are you watching from?💕,2021-06-22T06:02:55Z,0
26,UgzDJzuGSHh2oGXLbFR4AaABAg,Norjahan Begum,Let the court judge who is the main victim and culprit,2021-06-17T09:18:33Z,0
27,UgzDJzuGSHh2oGXLbFR4AaABAg,STITCHdot COM,No you're wrong and idk if you're misinformed or sexist but either way stop spreading misinformation,2021-06-10T21:28:08Z,0
28,UgzDJzuGSHh2oGXLbFR4AaABAg,LaraCroftEyes1,Amber is the abuser and Johnny is an abused victim facts.,2021-06-09T09:22:07Z,0
29,UgwRNhJsWO_k9pf-ltB4AaABAg,Johnny Depp ii,I just take a little time to say a very big thank you for your love and support!! where are you watching from?,2021-08-23T23:12:12Z,0
30,UgxrtGKdnXqh9tzB3Px4AaABAg,Davi Matos,"@Sister Nellie Johnny Depp has proves of verbal abuse, messages, ex that could testify his innocence talking about his behavior, and one of amber heard ex said she was abusive to her as well. He as well have other stories of Amber abuses, which can or not be true. One of amber make-up artist said as well that she had never seen a bruise on amber, i think. Oh yeah... and his sliced pinky could be or not a prove.

Amber heard had some bruises, that were'nt even confirmed to be made from johnny. And that's all

H O W, he was Abusive to her? She is NOT a victim.",2021-10-23T14:55:47Z,0
31,UgxrtGKdnXqh9tzB3Px4AaABAg,Sister Nellie,"You are nuts, he was verbally and physically abusive towards her, as she was to him....",2021-10-05T03:25:15Z,1
32,Ugy6_tu9DiaEHyTwu_N4AaABAg,«Hедооцененный»,"@LaraCroftEyes1
You have you own life, this such negative material to watch so draining of good energy. 
  
What you say, I do see this, she is clear narcissist by what I seen. 

My point, they not you friends. 

As I say this, is you choice what you do with you life. I wish you well",2021-06-03T04:52:58Z,0
33,Ugy6_tu9DiaEHyTwu_N4AaABAg,LaraCroftEyes1,Amber has a history of domestic violence and she abused Johnny then lies about it.,2021-06-02T23:41:45Z,0
34,UgzzV8yi5MvSnmOym6l4AaABAg,Johnny Depp ii,"🌹🌹God knows I love your comments, where are you watching from? ❤️",2021-08-23T23:13:01Z,0
35,UgxJzVgcpW7BvWS2SJN4AaABAg,heaven&Earth🌍,@LaraCroftEyes1 yep.,2021-06-03T00:00:52Z,0
36,UgxJzVgcpW7BvWS2SJN4AaABAg,LaraCroftEyes1,"Awe, I haven't heard that name in over 6 month Skany seahag ass NK.",2021-06-02T23:43:11Z,1
37,Ugw8LbUZDm1pVnIz2qR4AaABAg,Johnny Depp ii,"🌹🌹God knows I love your comments, where are you watching from? ❤️",2021-08-23T23:13:34Z,0
38,UgzIJFvNGE0Di0-dt0F4AaABAg,Johnny Depp ii,Very lovely expressions and thank you for leaving your feedback😇 such an amazing fan you are🌹,2021-08-23T23:13:48Z,0
39,UgwjnhYBitPLxX5tCgt4AaABAg,Johnny Depp ii,"Thank you so much for your support and good wishes, you make my evening a wonderful one already 😏🌹where are you watching from?",2021-08-23T23:14:02Z,0
40,UgwsdT1lOJWYb6Gk7kV4AaABAg,Ивана Цветковић,@Johnny Depp ii Serbia 🙏,2021-08-23T23:19:30Z,0
41,UgwsdT1lOJWYb6Gk7kV4AaABAg,Johnny Depp ii,Thanks that's a wonderful thought thanks for all of your supports ❤️where are you watching from?,2021-08-23T23:14:11Z,0
