,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgynqSBklWR5TmrhyCR4AaABAg,JOHNNY DEPP,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-17T08:09:28Z,0
1,UgydMaKu7qI9xSApjOx4AaABAg,JOHNNY DEPP,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-17T08:11:04Z,0
2,UgziV-OEzzSKSPHzKIx4AaABAg,Grace Edwards,@JOHNNY DEPP we are fighting for you!!!,2021-03-17T12:26:00Z,0
3,UgziV-OEzzSKSPHzKIx4AaABAg,JOHNNY DEPP,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-17T08:11:11Z,1
4,Ugwhkqw8xySK6klV0KB4AaABAg,JOHNNY DEPP,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-17T08:11:17Z,1
5,Ugzns3gjEUufjzLLVHx4AaABAg,JOHNNY DEPP,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-17T08:11:36Z,0
6,Ugx_dVRkwjlHkOQu7F94AaABAg,Susan Martin Tebbetts,@JOHNNY DEPP I am not on telegram. I am on hangout. But regretting it. I could give my email address,2021-03-29T00:33:50Z,0
7,Ugx_dVRkwjlHkOQu7F94AaABAg,JOHNNY DEPP,"@Susan Martin TebbettsThanks for the beautiful words Susan❤️. Are you on telegram? I really appreciate your kind words,love and support. I will love to create a warm atmosphere where you can share more of your opinions and love about my movies. You can look me up on my personal account on telegram application  at your convenience and send me a message @johnnydeppllofficial


❤️Much Love and Stay Safe ❤️",2021-03-29T00:14:26Z,0
8,Ugx_dVRkwjlHkOQu7F94AaABAg,Susan Martin Tebbetts,"@JOHNNY DEPP I would like that awesome I have been a fan since 21 Jump Street which I know you aren't a fan of speaking of but that's how far back my fandom goes. I have enjoyed all your underrated. I loved the professor the movie had me laughing and tears. I found it amazing I loved The Libertines would have loved to have seen more of that movie. I don't know if anyone is pointed it out to you but while watching reruns of the TV show and some of your movies today, that is where a lot of your character acting began in the show. You're very talented I have a husband who likes to drink then smoke stuff. And he is the sweetest, calmest man. That's how I knew when all these allegations started it was false. I've been around enough people to know certain things affect people pretty much differently like alcohol. But other items usually just mellow the person out. And I would have been mad too if I lost as much money as you did. I was saddened at the loss of your mother. I am on Instagram",2021-03-17T13:21:41Z,0
9,Ugx_dVRkwjlHkOQu7F94AaABAg,Susan Martin Tebbetts,@JOHNNY DEPPI have been fan since the t.v. show. I am truly sorry you have had to go through all this trauma. See I have been home for 14 months with a back problem. I just had back surgery on March 1.  Slow recovery. While I am home your movies and music are the only hi points to my day.just. know I am behind you. Would love to  meet you one day.,2021-03-17T12:28:27Z,0
