,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzMfsX2t-olOXhQ1Vx4AaABAg,MGTOW MONGER,Goes faster if you stick your thumbs all the way into them actually :D,2021-03-09T06:32:05Z,0
1,Ugye9euc0KJ2T8SBdDV4AaABAg,Mac M,Good.  Judgement only affects those who should be ashamed.,2021-03-05T03:12:43Z,0
2,UgyK1XnB-fidmp6ezKp4AaABAg,Mac M,You never heard casey kasem,2021-03-05T03:15:16Z,0
3,UgxiAmfkK0F-hjhBbml4AaABAg,Emily,"It’s the mark of a classic narcissist, everything is about her",2021-03-04T04:30:08Z,1
4,UgxgR1VXS7DQRF_pmZp4AaABAg,James Stewart,They will also lose money from people boycotting WB itself for supporting a domestic abuser and punishing her victim as disney has done,2021-03-14T17:36:26Z,0
5,Ugz1VXHdlKenxKv1wHd4AaABAg,LaraCroftEyes1,"No, Winona didn't get irritated at Johnny where she left.  what is that they agree with Winona's father who said that his daughter was too young to be in a marriage relationship.",2021-03-03T23:06:32Z,0
6,UgwJF_xcCASrgV02EB94AaABAg,Buhbli Music,@LaraCroftEyes1 Ditto,2021-03-03T20:05:50Z,0
7,UgwJF_xcCASrgV02EB94AaABAg,LaraCroftEyes1,Your comment is annoying.,2021-03-03T20:02:12Z,0
8,Ugz_2IjmAinKugwlvQl4AaABAg,LaraCroftEyes1,I say it due to her failing the drug test.,2021-03-03T20:03:53Z,0
9,UgzExImB3fyQqcJvGN54AaABAg,LaraCroftEyes1,"Yet, you watch the video and leave a comment so you do care.",2021-03-03T20:04:29Z,0
10,Ugwna30EN5GSA5Qf_k14AaABAg,Jenna Dark,"@Emily Yup, and it would allow the world to truly push her out of humanity, imagine how much she'd complaint to daddy. 😳😂😂😂",2021-03-04T07:00:51Z,0
11,Ugwna30EN5GSA5Qf_k14AaABAg,Emily,"They can certainly do it, technology is definitely advanced enough now",2021-03-04T04:42:36Z,0
12,UgyUZDIRqThILNmkvvt4AaABAg,Emily,"They can, it’s not exactly fair..but it’s fully within their rights to include it.",2021-03-04T04:47:03Z,0
13,UgyNvKbXQ9akOrJ1t2t4AaABAg,Floortje,"hmm doesn't seem very realistic when emelia clark is replacing her, who is a completely different body type. Amber is a lot more ""lanky"" with lack of a better word",2021-03-03T07:45:47Z,0
14,UgyeFegY0GreizFouol4AaABAg,KairBearPotter71,no kidding LOL,2021-03-03T10:45:18Z,0
15,UgyykOCZaVyHnlCgmhR4AaABAg,jfterrell,Senior not elderly.,2021-03-03T21:52:26Z,3
16,UgwakBcEOFVR3jnSl394AaABAg,Shoyo Hinata,"True. But I guess they could defend it as ""there's a requirement to fit in the costume plus how the character looks on the comics"" etc. etc.",2021-03-06T23:15:46Z,1
17,UgxpusumPZ4UysEzkdh4AaABAg,Christine Adams,"ℒ𝒾𝓃 𝒜𝓃𝓉𝒶𝓁ℯ𝓀 
𝒜𝓂𝒷ℯ𝓇 𝒸𝒶𝓃 ℊℴ 𝒷𝒶𝒸𝓀 𝓉ℴ 𝒷ℯ𝒾𝓃ℊ 𝒶 𝒮𝓉𝓇𝒾𝓅𝓅ℯ𝓇, 𝒶𝓃𝒹 𝓉𝒽ℯ𝓎 𝓊𝓈𝓊𝒶𝓁𝓁𝓎 ℰ𝓈𝒸ℴ𝓇𝓉 ℴ𝓃 𝓉𝒽ℯ 𝓈𝒾𝒹ℯ. 
𝒴ℯ𝓈, 𝒮𝒽ℯ 𝒶𝒹𝓂𝒾𝓉𝓉ℯ𝒹 𝓉ℴ 𝒷ℯ𝒾𝓃ℊ 𝒶 𝒮𝓉𝓇𝒾𝓅𝓅ℯ𝓇 ℴ𝓃 𝓉𝒶𝓅ℯ, ℐ 𝒶𝓂 𝓃ℴ𝓉 𝓂𝒶𝓀𝒾𝓃ℊ 𝓉𝒽𝒾𝓈 𝓊𝓅..",2021-03-07T04:41:33Z,0
18,UgwJ2tnyX22zMMmwHhJ4AaABAg,Elizabeth Chetwood,Absolutely!,2021-03-07T18:28:01Z,0
19,UgwJ2tnyX22zMMmwHhJ4AaABAg,Weebly Wibbles the Weeb,Is it me or does WB look like they want to let her go but also don't want to admit they were wrong...,2021-03-07T15:01:25Z,0
20,UgwJ2tnyX22zMMmwHhJ4AaABAg,Mi Chelle,agreed!!!!!,2021-03-03T07:27:52Z,3
21,UgwJ2tnyX22zMMmwHhJ4AaABAg,alex silva,Amen!,2021-03-02T23:42:07Z,8
22,Ugz8OMUC7lkJI6UY-gd4AaABAg,Arabella Q,Emilia Clarke knows Jason Momoa.,2021-03-04T13:05:16Z,0
23,Ugz8OMUC7lkJI6UY-gd4AaABAg,Laineytang,You left out the most important fact; Emília can act - WELL.,2021-03-02T21:10:43Z,2
