,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyHIIAe-aXRL5dLTyl4AaABAg,Frthonor Frithers,"@Killed_By_The_Architect - No, they just don't care about throwing a major wrench into their production schedule because a bunch of whiny biatches got riled up on Twitter.",2021-07-11T13:20:33Z,0
1,UgyHIIAe-aXRL5dLTyl4AaABAg,Killed_By_The_Architect -,Of course not there's a double standard in Hollywood.,2021-07-11T11:40:26Z,0
2,UgxvJMENX2wjRRiIB3p4AaABAg,Jennifer Cardwell,I agree,2021-07-14T14:06:30Z,0
3,UgwiveiDZ7eEeLtlS6J4AaABAg,Robert Fierce,Ahh. So you HAVE heard of him!,2021-07-05T12:00:58Z,0
4,Ugy_IPPIYyM8jGrbeKB4AaABAg,Jennifer Cardwell,"Yes. ""Look at my new baby! I used a surrogate so I could stay sexy. Isn't my baby cute? Look at my images of motherly love. I could never be abusive."" That's my opinion. I don't know her personally but she HAS been exposed as a liar by police body cams responding to her 911 calls.",2021-07-14T14:11:39Z,0
5,Ugy1UJqX4MDyy6_7w4J4AaABAg,R S,And let us not forget that WB station and  that stupid dancing frog...same jacks...,2021-07-01T05:24:01Z,0
6,UgzQ_uUOc6WWDyzU05Z4AaABAg,Vaider,Ill watch it but On a free streaming site LOL,2021-06-30T18:20:15Z,0
7,UgwmVg48uhYThS2p2Tl4AaABAg,Aoi Takumi,FACTS!!!!,2021-06-30T01:47:01Z,0
8,UgwKjdcrMT-v8SFyIAV4AaABAg,Sunshine,@Christine Lloyd 😂,2021-06-30T17:27:58Z,2
9,UgwKjdcrMT-v8SFyIAV4AaABAg,Christine Lloyd,🍷🍷🍷🍷 that’s how ‘it’ sleeps,2021-06-30T11:41:58Z,1
10,UgzYsS9PVCPSsZZwLrJ4AaABAg,Avani Shetty,She has a girlfriend 🙄,2021-06-30T01:17:36Z,0
11,UgyXAR7aFjhynuA05OR4AaABAg,Joshua N. Ajang,"""Equality"" lol.",2021-07-06T01:32:43Z,2
12,UgyXAR7aFjhynuA05OR4AaABAg,Wiler Prime,"@badraty MJ harder? no, EQUAL",2021-07-05T14:28:45Z,2
13,UgyXAR7aFjhynuA05OR4AaABAg,oceanairbrush,"@badraty MJ harder on her? No. But women fought for years demanding equality and in this situation, genders reversed would mean prison time.",2021-07-03T23:18:37Z,3
14,UgyXAR7aFjhynuA05OR4AaABAg,Torbs Knut,@badraty MJ yeah that's true but at least we don't see their backs when they run away.,2021-07-02T12:44:39Z,0
15,UgyXAR7aFjhynuA05OR4AaABAg,badraty MJ,"I hate this woman for What she did. But you can´t tell me that even worst wash made by men and some of them still work and or still have support.
Its seems  to me People want things to be harder on her cause she´s a woman.
That´s said I witsh they took her out god damn it. As à french i´m not saying that my justice system  is the best but none offence, but  the usa has some big problem  when it come to justice.
Sorry",2021-07-01T18:29:29Z,2
16,UgwVAQ2Qd_Q7bRMI6Ep4AaABAg,Avani Shetty,"Exactly, people who are saying this are the same ones who said she was fired. It will make money, but less and the reviews will be bad because of AH.",2021-06-30T01:18:53Z,1
17,UgwJQpxiWISzEPkmJmt4AaABAg,RW808,Pretty Woman **JR **,2021-07-14T01:31:37Z,0
18,UgzcM8MSP-RhuoB3vt54AaABAg,Christine Lloyd,"The actors and crew will all be paid, they will be okay. WB WON’T.",2021-06-30T11:31:19Z,1
19,UgwdSTAMIJ97s_yfQYF4AaABAg,Kevin E.,Good!!! much love to you all.,2021-07-06T13:13:19Z,0
20,UgwdSTAMIJ97s_yfQYF4AaABAg,john raymond,@Vaedron People who make complaints against about actors DON'T BUY MOVIE TICKETS! People who don't care will buy tickets,2021-07-04T21:04:22Z,0
21,UgwdSTAMIJ97s_yfQYF4AaABAg,Vaedron,"@Kal-El of Krypton movies make most of their money from foreign viewers, kid....",2021-07-04T13:31:38Z,2
22,UgwdSTAMIJ97s_yfQYF4AaABAg,Deborah Rose,That's good to hear! There'll be a lot of boycotting as it gets closer to opening,2021-07-03T22:02:20Z,0
23,UgwdSTAMIJ97s_yfQYF4AaABAg,Pastor of muppets,You'll all watch it.Idk why as superheroes are totally gay?Not that there's anything wrong with that 😆,2021-07-03T16:35:12Z,1
24,Ugz-f4MiHHKcz-eJIyx4AaABAg,Dawn McRae,I like that. It is so true. What she did was wrong on so many levels. She needs to be punished for lying and spousal abuse.,2021-07-08T21:19:25Z,2
25,Ugz-f4MiHHKcz-eJIyx4AaABAg,Marc Baker,"Bugs: Now look, would I turn on the gas if my friend Rocky was in there?
Cop: You might, rabbit, you might.
Bugs: Would I throw a lighted match if my friend was...
Rocky: OOOOOOH NO YOU DON'T!",2021-07-05T14:24:40Z,5
26,Ugz-f4MiHHKcz-eJIyx4AaABAg,a a,*falls out of window*,2021-07-05T07:39:19Z,7
