,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyxGA4LcWawJiH6sil4AaABAg,eHacker,Thanks for stopping by Mel,2020-08-23T20:52:23Z,0
1,Ugy4bCR7GKYoLnmOc3t4AaABAg,eHacker,Thx Toy appreciate ya stopping by,2020-08-10T09:48:34Z,2
2,UgzE5LjdEZucsJMKHWN4AaABAg,eHacker,Ya. I shoulda got into that more. Thanks Mead,2020-08-04T20:08:49Z,0
3,UgxCjbTJt_jdclBmxgZ4AaABAg,eHacker,Thanks Karen! Appreciate it,2020-08-04T09:48:11Z,1
4,Ugy6kxI41DEPtwSpLJd4AaABAg,eHacker,kimmy kimbo thanks Kimmy,2020-08-04T07:50:04Z,0
5,Ugxrwr4BVZ7Q2jg7rNZ4AaABAg,eHacker,Thanks Frank,2020-08-04T07:09:33Z,0
6,UgyS8E-0e-BQW5GikuB4AaABAg,eHacker,"Not sure. Coulda got withheld! I have almost 2,000 withheld so too many to go tho! Sorry...",2020-08-04T04:16:07Z,0
7,UgzdppV6NDHpE4xC5mB4AaABAg,eHacker,Thx Rho!,2020-08-04T04:15:15Z,1
8,UgwQcKv1VCvu9WWxD6R4AaABAg,eHacker,Thanks Note!,2020-08-04T04:15:06Z,0
9,Ugw2mHCvILw0B8QzviB4AaABAg,eHacker,Ya same...,2020-08-03T23:20:18Z,0
10,UgxYrYGJ7qTfGECkVeV4AaABAg,eHacker,Thanks Oak,2020-08-03T22:58:11Z,0
11,UgwI-zTE3LGa6ORHfHt4AaABAg,eHacker,Appreciate that wonderful input and the share my friend. Can’t thank you enough! Hope to hear from you again,2020-08-04T10:00:41Z,1
12,UgzjwiQdSOFqhDXj9Qd4AaABAg,eHacker,Ya! Perhaps.,2020-08-03T22:57:59Z,0
13,Ugxo8qnoCGXf38ybJON4AaABAg,eHacker,Ya. I actually defended JD but had an editing mistake I had to cut,2020-08-03T22:57:16Z,1
14,UgyrHybuC3m45ESQsQ94AaABAg,eHacker,Thanks Debra!,2020-08-03T21:20:26Z,0
15,UgwOKuvECWmt2hGiWat4AaABAg,eHacker,NIBS thanks NIBS!!! Appreciate ya,2020-08-04T02:22:48Z,0
16,UgwOKuvECWmt2hGiWat4AaABAg,NIBS,"@eHacker , Jon, you are just too cute.  Best answer ever!  And, yes, Jesus is God, I am saved.",2020-08-04T01:54:39Z,0
17,UgwOKuvECWmt2hGiWat4AaABAg,eHacker,I’ll be saved if you subscribe,2020-08-03T21:20:44Z,2
18,Ugy9hcntdwWfpLaY4Nx4AaABAg,R Christi,"Hmm we didn't really take a stand at all I'm afraid ,the video was a token but any one else would have been charged so....",2020-08-04T01:04:15Z,0
19,UgwfnBxiN31t7BM2gSZ4AaABAg,eHacker,Thx Renee,2020-08-03T21:20:57Z,1
20,UgyXNi2r4Y_T-ah6mjZ4AaABAg,eHacker,Thx Mac,2020-08-03T21:20:52Z,0
21,Ugx2V_SFPf08mVmkZVp4AaABAg,sleep tried,@Bridgey joke?,2020-08-04T21:18:00Z,0
22,Ugx2V_SFPf08mVmkZVp4AaABAg,Bridgey,"sleep tried - All that just for HA, I doubt it...duuurrr!",2020-08-04T02:15:58Z,1
23,Ugx2V_SFPf08mVmkZVp4AaABAg,costenita soi,@sleep tried i see more posible to change location cause adding cgi to the budget even more i mean it would increade the budget a lot more... That thing its not cheap 🤷‍♀️... Cheers!,2020-08-04T02:14:33Z,0
24,Ugx2V_SFPf08mVmkZVp4AaABAg,sleep tried,@costenita soi I wouldn't put it past them to change the location or go all CGI,2020-08-03T23:27:15Z,1
25,Ugx2V_SFPf08mVmkZVp4AaABAg,costenita soi,Not if you are filming aquaman 2 there!! 🤯🤯🤯 It means you can't go back and film in that country🤷‍♀️,2020-08-03T20:42:57Z,1
26,UgyaPuRhdh5wkL6jcSt4AaABAg,Tania Haeussler,"@eHacker anytime, John Paul :-)",2020-08-04T00:11:21Z,0
27,UgyaPuRhdh5wkL6jcSt4AaABAg,eHacker,Thx Tatiana! Appreciate it,2020-08-03T21:21:54Z,1
28,UgyI7azqk4p8Fmfp9X54AaABAg,Nina Roxx,Amber Turd 💩 Wishes She Was Royalty 😒😒😒 She married Johnny Depp which in My Eyes is Hollywood Royalty NOT HER BCUZ SHE’S A NOBODY & NOT EVEN IN THE SAME LEVEL FAMOUS LIKE JOHHNY & ANGELINA JOLIE.,2020-08-03T18:33:37Z,3
29,UgzNSDt_FVJzJJCOh3N4AaABAg,R Christi,@Meg Smith lol don't over think it.,2020-08-04T13:10:22Z,0
30,UgzNSDt_FVJzJJCOh3N4AaABAg,Meg Smith,"@R Christi As an Australian who is very grateful for our laws regarding this, what makes you so certain that Heard's dogs couldn't have caused problems to our ecology to leave a public YouTube comment?",2020-08-04T06:10:46Z,0
31,UgzNSDt_FVJzJJCOh3N4AaABAg,Lambchop,Heard is an entitled narcissist. The rules just don't apply to them.,2020-08-04T03:44:21Z,2
