,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxPraP4Um3ZCiQx8h14AaABAg,Saint Dreamer,Well this movie technically took place before the first Aquaman film. She probably never thought of that since she's basically always been underwater and not on land. She probably can't do that when she's already in water,2021-08-11T09:10:32Z,0
1,UgzLJgMB4SiaVf46Gw94AaABAg,George Floyd,@Basnie Bear agreed,2021-07-29T09:31:49Z,1
2,UgzLJgMB4SiaVf46Gw94AaABAg,Basnie Bear,She's not,2021-07-27T09:06:51Z,1
3,UgzLJgMB4SiaVf46Gw94AaABAg,Gascoigne,That must have been a lot of money💸💸💸,2021-07-20T09:14:50Z,1
4,UgyAMSAd6-mLYNFW8bJ4AaABAg,𝔁𝓮𝓫𝓮𝓵𝔀𝓸𝓵𝓯𝓲𝓮,Noice,2021-08-06T21:12:26Z,0
5,Ugw-qvaCTAXewVr26h54AaABAg,Saint Dreamer,@•Nebuliqque• I think he means characters that got close to killing Steffy,2021-08-11T09:11:31Z,1
6,Ugw-qvaCTAXewVr26h54AaABAg,•Nebuliqque•,Nah superman is stronger,2021-06-13T19:56:45Z,3
7,Ugz3h6UwpTQQrAJR0Wd4AaABAg,anthony vega-fujioka,"""you have much to learn "" - said Tarrlok",2021-10-30T07:31:39Z,0
8,UgyVliWLzEnSS01wHuN4AaABAg,Meme Clip Archives,"@Grim Cancer And for good reason, the kingdom can't know especially Orm that she can cooperate with Arthur in any way.",2021-10-07T04:42:38Z,0
9,UgyVliWLzEnSS01wHuN4AaABAg,Marcos Olivé,True,2021-10-05T14:55:42Z,0
10,UgyVliWLzEnSS01wHuN4AaABAg,auglyrat,"@Grim Cancer pictures of it can be found by searching ""Mera joins the Justice League rebirth""there's a pic of her running alongside supes, wonder woman, cyborg, jessica cruz and more",2021-08-07T04:32:01Z,0
11,UgyVliWLzEnSS01wHuN4AaABAg,Grim Cancer,@auglyrat which comic?,2021-08-07T02:29:19Z,0
12,UgyVliWLzEnSS01wHuN4AaABAg,auglyrat,Same I wish she showed up in the final battle,2021-08-07T02:12:25Z,0
13,Ugyq9eqRZGWvMRdzJzN4AaABAg,Unicorn is REAL!,Yeah..but rn we didn't even see any footage from aquaman 2,2021-09-04T07:16:14Z,0
14,UgwlaLTS88wNCg1pYCV4AaABAg,One True Vikingbard,@•Nebuliqque• she’s one of Darkseid’s generals. She commands a company of evil warrior women called the Furies. She is the “human-looking” old woman to Darkseid’s left in the Snyder cut,2021-06-13T20:01:00Z,3
15,UgwlaLTS88wNCg1pYCV4AaABAg,•Nebuliqque•,@One True Vikingbard who’s Granny Goodness,2021-06-13T19:56:31Z,0
16,UgwlaLTS88wNCg1pYCV4AaABAg,One True Vikingbard,Don’t be fooled by her dark chest of wonders: beneath lurks a heart as dark as any of Granny Goodness’ Furies,2021-05-06T21:57:00Z,3
17,UgyHQZLerzEOOoy9gEJ4AaABAg,Ian Jester de Vera,@Marcus Moore They were there even before he got the king's trident.,2021-04-19T03:09:40Z,0
18,UgyHQZLerzEOOoy9gEJ4AaABAg,Marcus Moore,Aquaman wasn’t king here...,2021-04-18T23:22:16Z,0
19,UgzDCjs_0uhhuhgdu5F4AaABAg,Cen d,it's to show the force needed to collapse the water,2021-07-31T16:54:10Z,2
20,UgzDCjs_0uhhuhgdu5F4AaABAg,ポール,And how would you like to do it then?,2021-07-29T05:46:53Z,1
21,UgzDCjs_0uhhuhgdu5F4AaABAg,Nd O,Stay salty,2021-04-16T00:55:11Z,3
22,UgzILVx_R8OecrXjucp4AaABAg,anthony vega-fujioka,there is a vibe of Noatak and Tarrlok.,2021-10-28T21:41:20Z,0
23,UgzILVx_R8OecrXjucp4AaABAg,Grim Cancer,#Restorethesnyderverse,2021-08-01T19:12:27Z,0
24,UgzILVx_R8OecrXjucp4AaABAg,Hernan Sabban,"Thanks to Snyder, Mera got the recognition that she deserved...",2021-07-14T21:33:11Z,3
25,UgzILVx_R8OecrXjucp4AaABAg,Gamemediafan 17,Represents the person playing her pretty well.....,2021-06-19T00:28:32Z,3
26,UgzILVx_R8OecrXjucp4AaABAg,Steven Crighton,@SpideyBoi GamingYT why? I'm really don't know much about dc characters that's not in the films,2021-05-18T09:36:31Z,0
27,Ugz6EhvZ4dKtw7jjIRB4AaABAg,𝔁𝓮𝓫𝓮𝓵𝔀𝓸𝓵𝓯𝓲𝓮,@Rock Candy yea,2021-08-04T14:38:35Z,1
28,Ugz6EhvZ4dKtw7jjIRB4AaABAg,𝔁𝓮𝓫𝓮𝓵𝔀𝓸𝓵𝓯𝓲𝓮,@Rock Candy turd she is,2021-07-27T20:33:50Z,1
29,Ugz6EhvZ4dKtw7jjIRB4AaABAg,Basnie Bear,@B. G. Johnny Depp is also great as Captain Jack Sparrow and Gellert Grindelwald. It didn't stop Warner Bros. And Depp is like one the best actors in Hollywood. Heard on the other hand is a third rate actress and the only thing she has is a pretty face.,2021-07-27T09:09:24Z,0
