,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugzs0rnWk5qaD5zyo4B4AaABAg,David Rojas,Tu si me entiendes,2021-03-31T17:54:54Z,1
1,Ugzs0rnWk5qaD5zyo4B4AaABAg,LILI ROSE,"Concerdo, si los sacan de sus papeles a ambos ya nada seria igual :(, al menos la chica hace bien su trabajo pero su manera de ser es HORRIBLE, si pudiera le tiraría un AVADA KEDABRA",2021-02-25T22:28:15Z,1
2,UgyK3dT1QdVkXdPvAtd4AaABAg,Lu ʘ‿ʘ,Pues Forbes saco una noticia confirmando un posible despido,2021-03-01T14:57:02Z,0
3,UgyK3dT1QdVkXdPvAtd4AaABAg,Cristobal L,Eso fue antes de lo de elon musk,2021-02-19T10:18:05Z,0
4,Ugzb7Gcj3GZGRo8oJ6h4AaABAg,massiel Pérez,JAJAJAJAJAJA xd,2021-01-16T07:31:38Z,2
5,Ugzb7Gcj3GZGRo8oJ6h4AaABAg,Maria de la Cruz Perez Dorantes,Jajajaja de que planeta eres,2021-01-09T21:05:25Z,2
6,Ugzb7Gcj3GZGRo8oJ6h4AaABAg,starlitsan,Comediante saliste,2021-01-08T22:24:58Z,2
7,Ugzb7Gcj3GZGRo8oJ6h4AaABAg,Francisco isaias Puga ceballos,Haces comedia de stand up es muy bueno tu sarcasmo amigo,2021-01-08T20:49:08Z,2
8,Ugzb7Gcj3GZGRo8oJ6h4AaABAg,Karen Sarmiento,Espero que lo hayas dicho en forma sarcástica,2021-01-07T18:26:28Z,4
9,Ugx_SHzKl4JDzMdF2GV4AaABAg,ʕ•ᴥ•ʔ꧁Sᴍᴀ꧂ʕ•ᴥ•ʔ,@Fuck Day concuerdo,2021-02-28T18:29:44Z,0
10,Ugx_SHzKl4JDzMdF2GV4AaABAg,Fuck Day,"Es una mujer bella por fuera, una actriz mediocre y un asco de persona",2021-01-07T16:21:14Z,12
11,Ugw8FVUmGiLhZs0Dz1x4AaABAg,starlitsan,Es re mala actuando amigo,2021-01-08T22:25:32Z,2
12,Ugw8FVUmGiLhZs0Dz1x4AaABAg,Francisco isaias Puga ceballos,Tienes que entender mejor el tema amber es una horrible persona amigo,2021-01-08T20:50:53Z,3
13,UgzyGS6Is66ToONcb3V4AaABAg,YANCE & ASSOCIATES,Estoy de acuerdo,2021-05-11T21:26:36Z,0
14,UgzyGS6Is66ToONcb3V4AaABAg,(Superviviente Mortal),"Exacto, si sale no la vere en el cine",2021-04-04T07:45:57Z,0
15,UgzyGS6Is66ToONcb3V4AaABAg,nicol cesia,Concuerdo,2021-03-20T22:33:50Z,0
16,UgzyGS6Is66ToONcb3V4AaABAg,massiel Pérez,Concuerdo,2021-01-16T07:32:56Z,0
17,UgzyGS6Is66ToONcb3V4AaABAg,Jime.,Bien dicho.,2021-01-04T08:05:48Z,3
18,Ugy9-mt4AOvFFtZoFb54AaABAg,daniel pulgar,Podría ser más épico que muera mera en aquaman 2 y así saquen a Amber y después metan a otro personaje femenino como lo que hubiera Sido te amazing spiderman 3,2021-03-09T15:47:38Z,1
19,Ugzf8fC0uSmQY2DD1Mh4AaABAg,José Eduardo Martínez Landa,Ni se te ocurra 2021,2021-01-07T00:23:11Z,1
20,UgwLDXhf5ZOCCJ8GYhZ4AaABAg,Carol Becerra,@Francisco isaias Puga ceballos. Creo que acá el que piensa como niño de seis años sos vos !!!🙄😒,2021-03-01T17:32:21Z,0
21,UgwLDXhf5ZOCCJ8GYhZ4AaABAg,Francisco isaias Puga ceballos,Mira niño de 6 años no te metas en temas que ni conoces ok?,2021-01-08T20:51:54Z,2
22,UgzSFZgx2KmcRZfNKxd4AaABAg,iss  lopez,"@Carolina Shriqui no creo por que se vería muy fácil de decir eso por que la chica se sabe que es corructa, si se pone de su lado, tubo sexo o dinero de parte de ella.
La mayoría de los testigos son de jonny a visto.
En cambio los de ella está comprados o amenazados.",2021-01-07T18:23:30Z,5
23,UgzSFZgx2KmcRZfNKxd4AaABAg,Carolina Shriqui,De todas maneras es muy probable que Amber gane el caso por violencia contra Johnny :(,2021-01-07T13:05:11Z,1
24,UgzSFZgx2KmcRZfNKxd4AaABAg,iss  lopez,Amber estaba en ese juicio por que era la única persona del testigo del esa revista o peordico.,2021-01-04T04:42:35Z,6
