,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwmAPHUYg-PO5BFsS14AaABAg,simon ramires,"ella si lo golpeaba a el ,el no a ella",2021-09-26T02:49:01Z,0
1,UgwmAPHUYg-PO5BFsS14AaABAg,Lorena arguello,"No el no la golpeó, la loca si",2021-09-23T17:37:20Z,1
2,Ugw_RU8frTr0erETkRF4AaABAg,Gaston Reyes,Se ve que no entendes nada xD,2021-08-15T16:45:35Z,1
3,Ugye6gDY-q-dMjNqmkp4AaABAg,Gaston Reyes,De que sirve que le creas o no si ya perdió el juicio hace rato xD,2021-08-15T16:47:00Z,0
4,Ugye6gDY-q-dMjNqmkp4AaABAg,lizxloreley,"Amber Heard es una sociópata, narcisista y cazafortunas.",2021-07-08T04:09:00Z,1
5,UgyA_yFgDBi2YiM0_h94AaABAg,Pilar,Pues ella tambien es actriz y pudo sacar tremendo beneficio con todo su escandalo pero aqui solo hay de 2 o es bastante mal actriz o nunca hubo abuso hacia ella hay un video donde la estan grabando y le estan haciendo preguntas sobre el caso y su actitud es sorprendentemente falsa y soberbia y para nada la de una mujer que ha sufrido maltrato tan solo hay que verla para que una quede asqueada de su comportamiento,2021-08-02T02:07:41Z,0
6,Ugw6X5cfpUi3ey4Ppul4AaABAg,Inge P.K,"@lizxloreley Su presa hahahaha ves muchas películas LOL. En ese momento estaba defendiéndose de lo que dijo él para dejarla a ella como abusadora. Hay que escuchar y entender las cosas que dice ella, se enojaba, gritaba y que se yo, pero PORQUÉ? Típico de cuando los hombres dicen ""esta mujer esta loca"" y nadie se pregunta porqué, cómo llego a eso. Todos ven muy superficial, ni leen bien, no les importa más que defenderlo sin tener idea de como fueron las cosas para ella realmente. Super poco lógico, y super poco bien analizado. Hay que usar más las neuronas, trabajarlas más, no ver tan por encima. En fin, quien va a convencer a quienes ven lo que quieren ver. Buen día!",2021-01-28T21:43:10Z,0
7,Ugw6X5cfpUi3ey4Ppul4AaABAg,lizxloreley,"@Inge P.K ''Yo, Johnny Depp, un hombre, soy víctima de violencia doméstica. A ver cuántos se ponen de tu parte. ¿Quién te va a creer?''. ¿Escuchaste esa parte? Lo dudo.

Todos leímos lo que dice, además de notar la desesperación por perder el control sobre su ''presa''.",2021-01-28T21:20:24Z,3
8,Ugw6X5cfpUi3ey4Ppul4AaABAg,Inge P.K,"@lizxloreley Todos escuchan lo alterada que es, y no el contenido de lo que está diciendo. Me da pena como los rebaños son movidos tan fácil.",2021-01-28T20:34:21Z,0
9,Ugw6X5cfpUi3ey4Ppul4AaABAg,lizxloreley,"No es ""quién gusta más"", sólo defendemos la verdad con pruebas.

Las grabaciones fueron parte de una terapia matrimonial. Ella sabía perfectamente que los audios iban a divulgarse. Hizo gaslighting, lo manipuló como quiso y se aprovechó de sus sentimientos.

Es una sociópata narcisista.",2021-01-28T20:14:21Z,4
10,Ugw6X5cfpUi3ey4Ppul4AaABAg,?????,"Primero. Ella sabia que la estaban grabando  (es x una terapia de pareja o algo asi) 
Segundo. Ella quiere limpiar su nombre despues de calumniarlo y arruinarle la carrera(? 
No puedo creer que siguas defendiendo a esa abusadora",2021-01-23T22:57:30Z,4
11,UgwTfepjm-mRidY0GTR4AaABAg,Paola Rodriguez,No lo se...,2020-12-13T07:33:25Z,0
12,Ugy8h5NYzzNQEe-0Prx4AaABAg,lizxloreley,"Johnny nunca abusó de ella.

Cada vez que la mujer perdía el control de sí misma, él se marchaba para evitar sus agresiones.",2020-12-05T15:25:55Z,3
13,Ugy8h5NYzzNQEe-0Prx4AaABAg,Daniel Zurita,Se evidencio de que el le metió un cabezazo y la evidencia dice que fue en defensa propia así que no no se cagaban a palos mutuamente hay hasta evidencia en donde ella admite que a el no le creerán por ser hombre,2020-12-01T16:57:40Z,3
14,Ugy8h5NYzzNQEe-0Prx4AaABAg,Manuela Barrientos Zuñiga,"@Maya hermana, se cagaban a palos los dos, si a la conversión le quitas los ""te amo te amo"" manipuladores de Deep puedes oír como ambos confiesan haberse agredido en reiteradas ocasiones, ahora que Deep haya perdido un pedazo de dedo entre sus arranques de locura, no quita que el también le hizo daño a ella al igual que ella el, ella no mintió el maltrato de Deep hacía ella es real, y el de ella hacía el también. Ambos están enfermos, pero me parece re injusto que por un pedazo de dedo, Deep se vuelva menos  agresor que ella :s insisto, ambos reconocen haberse hecho daño. Y pucha, hay que ser bien gil para comparar un puñetazo de Heard, contra uno de Deep",2020-11-30T03:43:14Z,0
15,Ugy8h5NYzzNQEe-0Prx4AaABAg,Maya,"Pues claro lo agredió y hay pruebas no se trata del género 😧 quieren el mismo sueldo , quieren el mismo reconocimiento ah pero si dicen que son capaces de hacer el mismo daño físico que un hombre a una mujer ahí si noooo verdad y ahora sí ella es pequeña pobrecita e indefensa esto solo evidencia que la ideología de género se desmorona lentamente y con mujeres como Amber no tardará en irse al carajo malditas psicópatas 😬😬😬",2020-11-30T02:52:51Z,4
16,UgxlyoC-V7Hc4QXcgvR4AaABAg,gissel,Lit JSJJSSJSJ,2021-03-30T19:44:45Z,1
17,UgzUQV7kxcFiGnlnEAt4AaABAg,Chloé Bronnec,Fue con Vanessa Paradis. Era la única que sabía domarlo y alejarlo de sus demonios. La dejo y la volvió a cagar con la Amber...,2021-11-06T20:27:22Z,0
18,UgzUQV7kxcFiGnlnEAt4AaABAg,Rocio Zapata Moreno,@Theresa L. Dowling acaso no ha sido la relación más sana de Johnny con Tim Burton? Me parece que si 😊 y no me interesan tus vídeos pero gracias,2021-04-08T03:58:56Z,1
19,UgzUQV7kxcFiGnlnEAt4AaABAg,Theresa L. Dowling,@Rocio Zapata Moreno True story?  I have that on my channel,2021-04-07T23:19:27Z,0
20,UgzUQV7kxcFiGnlnEAt4AaABAg,The Amber Heard Playlist!!Johnny Depp es racista,My channel is the true story,2021-04-03T01:57:12Z,0
21,UgzUQV7kxcFiGnlnEAt4AaABAg,The Amber Heard Playlist!!Johnny Depp es racista,@Rocio Zapata Moreno ---,2021-04-03T01:56:31Z,0
22,UgwxMejLE9dDuDNlCWF4AaABAg,Yunkai,"Pruebas de que Jhonny haya maltratado? No sabes la injusticia que se ha cometido, Amber ganó el juicio solo por ser mujer, con unos jueces que parecen comprados, arruinó la carrera de Jhonny.
Yo sinceramente creo que usted si está ciego sobre esto, por algo nadie la defiende, ni siquiera las feministas la defienden porque saben que es una loca.
No pienses que ella es la victima solo por ser una chica linda y fragil...",2020-11-16T16:58:50Z,2
23,UgxP-mIYJUeNxI6CIC94AaABAg,Dna,@ramdom uuu Eso no le quita la intención,2020-09-06T00:08:31Z,0
24,UgxP-mIYJUeNxI6CIC94AaABAg,ramdom uuu,"BRUH-
El cuando grabo la llamada, prefirió no mostrarla como evidencia.
Y se la guardo, luego creo fue que salió la llamada. 😀",2020-09-01T05:18:21Z,1
25,UgxVE_UTe1u_u-427Ad4AaABAg,Luis Martins,"Conoscos cases de esos, hay mujeres enfermitas, manatenerlas lejos mejor",2021-09-26T18:54:36Z,0
26,UgxVE_UTe1u_u-427Ad4AaABAg,vecof,Que pesadilla! Como no la detectaste antes de casarte?,2021-07-07T19:45:46Z,0
27,UgxVE_UTe1u_u-427Ad4AaABAg,Leyla Flores,Es cierto hay muchas mujeres asi la becina de mi casa siempre le ecuchabamos los berinches que armaba y como tenia un amigo en la estacion de policia solo lo llamaban a el lla venian a llevarse al maltratador y era el el que salia todo aruñado y ella sin ningun rasguño y las relaciones asi siempre terminan mal.,2021-06-22T18:59:15Z,0
