,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzcELzMq79BoHyXzCx4AaABAg,Brnzgaming 🎮,Guess you feel dum now,2021-08-02T03:08:28Z,0
1,UgzcELzMq79BoHyXzCx4AaABAg,FiKCR,Yikes,2021-03-29T12:38:15Z,1
2,UgzcELzMq79BoHyXzCx4AaABAg,tumblingsoaring,this aged terribly.,2021-03-01T23:48:14Z,1
3,UgzcELzMq79BoHyXzCx4AaABAg,Ruwayda Mahamud,Paulo Eusebio she abused him the whole time,2020-04-06T20:23:08Z,4
4,UgxRt_IJ33H13My05oZ4AaABAg,Andres Gonzalez,D Mc same here got a recommended from tmz about this then searched her name up came here and was like wait who is this why should I care what she said,2018-07-07T09:23:46Z,0
5,UgzuYqJa9ZUoIKu2EUl4AaABAg,Dancy Smith,"I think the point being made is that illegal immigrants often hold those type of jobs because you can be paid under the table for them. It isn’t that they only do that type of work, or that naturalized Americans don’t also do that work.",2018-07-06T10:31:23Z,2
6,UgzuYqJa9ZUoIKu2EUl4AaABAg,godofthisshit,are the people who do those jobs less than?,2018-07-06T07:43:10Z,0
7,UgzMlu1eR6nKkMokTXt4AaABAg,Dancy Smith,"I don’t think it’s bigoted to point out that illegal immigrants often do that type of work because you can be paid under the table for it. That’s a fact. It doesn’t mean naturalized Americans don’t also do that work, or that it’s the only work suitable for illegal immigrants. That kind of work is not necessarily “less than”. It’s very important to the fabric of our society, even if it is what some might call unskilled labor. 

So maybe chill out.",2018-07-06T10:42:30Z,0
8,UgzEwZVilKtJevmdIYh4AaABAg,GHOST,"Edward Barrera Fuck yes. They act that bc they're not offended, that were not offended lol.",2018-07-06T08:10:57Z,1
9,UgxtR-fxQVsQazH-BUp4AaABAg,Joshua Smith,NicKingPapiChulo no South Carolina.,2018-07-06T13:33:51Z,0
10,UgxtR-fxQVsQazH-BUp4AaABAg,Joshua Smith,"White college girls nanny full time and go to college?  Even is S.C where I live most of the landscapers, we don't have many nannies over here, are Latino. Doesn't imply they're all undocumented, just Latino. I also know Latino doctors, engineers, and business owners. I personally know and have worked with some construction workers and people who work in landscaping, who are undocumented..... simply because those jobs don't always require background checks and SSN numbers. Do I care if they are undocumented? No. It's just an observation. They are all tough jobs and there is some truth to the fact that undocumented people take the tougher jobs, because they are in high demand and lazy Americans don't want to do them.",2018-07-06T01:35:07Z,1
11,UgxtR-fxQVsQazH-BUp4AaABAg,playandrepeat,All nannies I know are white college girls. Wtf are you even talking about.,2018-07-06T01:02:08Z,0
12,UgyyqibDOZ9FnYnMMxd4AaABAg,GHOST,ALEXANDRIA ALLY yeah bc if they said something about black people like that you wouldn't think it would be good for stand up comedy,2018-07-06T00:03:15Z,0
13,Ugzp13IcnHekcJVr0-V4AaABAg,Dancy Smith,"Most illegal immigrants in this country are Latino. Not all of them, but a solid majority....I’m unsure why your so reluctant to accept that?",2018-07-06T23:09:54Z,0
14,Ugzp13IcnHekcJVr0-V4AaABAg,Dancy Smith,"I mean just because you’re offended doesn’t make you correct either. 

So theres that.",2018-07-06T10:46:59Z,0
15,Ugzp13IcnHekcJVr0-V4AaABAg,Alexander Palmer,playandrepeat When people stop arguing the point and start insulting their opponent you know the other side is winning. You are literally taking a page out of the Orange jackasses book by resorting to insults,2018-07-06T04:55:15Z,0
16,Ugzp13IcnHekcJVr0-V4AaABAg,Themis Vespucci,"WE know this, but do YOU think an ICE agent is goimg to pull you or your fam over and think:  hmmmm ah sorry youre obviously a dr., THEY will profile you and think you do those jobs which is worse for the people who are undocumented and do those jobs. I still get your point though",2018-07-06T03:42:02Z,0
17,Ugzp13IcnHekcJVr0-V4AaABAg,playandrepeat,Why do you keep placing question marks at the end of sentences that aren't questions? Is it because you KNOW what you're saying is idiotic?,2018-07-06T02:51:06Z,0
18,Ugx5g_m0R5z3gV4lAGp4AaABAg,Dancy Smith,Nicole Llih model/actress and Johnny Depp married her and allegedly beat her up.,2018-07-05T23:11:03Z,1
