,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugyu2QjUbe5mgy6jXBZ4AaABAg,Otto Leonel,@Orion Jaxton Glad I could help :D,2021-08-14T00:14:27Z,0
1,Ugyu2QjUbe5mgy6jXBZ4AaABAg,Orion Jaxton,"@Otto Leonel Thanks, signed up and it seems to work =) I appreciate it!",2021-08-14T00:03:38Z,0
2,UgxtoexujN1VBnl_UoZ4AaABAg,Macam TV,he actually just won the case :),2021-08-05T16:58:20Z,0
3,UgzrMB3uEZ6PbkSTO3d4AaABAg,stella miniakhmetova,@Hed. T I have never been against  Depp. Don't speak for everybody,2021-10-22T07:30:18Z,0
4,UgzrMB3uEZ6PbkSTO3d4AaABAg,Hed. T,"In 2017 and 2018 everyone was against Depp but WB still kept him on Fantastic Beats 1&2 and even for FB 3, until he lost in a court that he *himself* demanded. He basically shot himself in the foot with his unstrategic decisions. I don't support Amber, but she deserves the same benefit of the doubt until the final result of her court.",2021-10-21T18:22:56Z,0
5,UgwI3m5zlKPMC1DMasF4AaABAg,Breno Müller,Pq isso?,2021-09-27T20:41:47Z,0
6,UgwAQjEOpi2HOzU7SdZ4AaABAg,Axel Tesla,no iras al cine porque los aforos no trabajan a plenitud xd,2021-09-24T21:30:47Z,0
7,Ugw6M8l1WndSy0XwCRF4AaABAg,Miles Pieterson,Why what are you on about mate,2021-08-02T20:58:16Z,0
8,UgwyougUgkcvSvCQ01l4AaABAg,Nowak Evelyne,Oh yes !!!,2021-09-28T21:03:11Z,0
9,UgxcqILzW4XDND57AeV4AaABAg,Bagortik,"@Vlad Drakula с таким же успехом зритель хочет видеть Джека Воробья и Гридевальда, но как бы им там похер, что этот зритель хочет",2021-09-06T11:17:40Z,3
10,UgxcqILzW4XDND57AeV4AaABAg,Vlad Drakula,Не знаю что там у неё не так но похер зрители хотят видеть персонажа Мэри так что всё,2021-07-20T21:28:08Z,0
11,UgxcqILzW4XDND57AeV4AaABAg,Raim.08,Почему,2021-06-08T09:42:50Z,1
12,Ugz8sBGWjw6N9Zlw1014AaABAg,ThatsWhatSheSaid,@Aarti jaipuriar Lol which man are you talking about?,2021-09-07T20:16:16Z,0
13,Ugz8sBGWjw6N9Zlw1014AaABAg,Aarti jaipuriar,Nice u r supporting a man who did domestic violence on her wife seriously,2021-08-30T13:40:52Z,1
