,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzNgMl5OHhKMGpwbVh4AaABAg,Atomizador Kaiba,Lo que mas nos gustaria al mundo entero es ver a Mera cortarle la cabeza a la Mujerzuela Mantequilla.,2021-04-02T15:51:23Z,0
1,UgzNgMl5OHhKMGpwbVh4AaABAg,Luz Garrido,"En todo estoy de acuerdo contigo, pero ojalá haya esa actriz quedé olvidada como black canary",2021-03-22T13:53:37Z,0
2,UgzOljzxBDiwztnY7Cl4AaABAg,Jor- Vazquez,@Manuel Gómez Si estaria bastante bien para una parte de fans que vimos algunas de las series del arrowverse,2021-03-23T03:21:56Z,1
3,UgzOljzxBDiwztnY7Cl4AaABAg,Manuel Gómez,@Jor- Vazquez sería perfecto,2021-03-23T03:09:41Z,1
4,UgzOljzxBDiwztnY7Cl4AaABAg,Jor- Vazquez,No estaría mal un Cameo de Stephen amell o que piensan...,2021-03-23T01:10:37Z,0
5,UgzOljzxBDiwztnY7Cl4AaABAg,Martin Dominguez,Black canary:Katherine Winnick,2021-03-22T08:30:04Z,0
6,UgypgwtbtYzVswkNkRF4AaABAg,release the kraken,@Miguel Ángel LS jajaja si actúa muy similar desde jax aunque si tiene papeles diferentes,2021-03-25T01:29:07Z,0
7,UgypgwtbtYzVswkNkRF4AaABAg,Miguel Ángel LS,"¿Pero haría de Oliver Queen o volvería a hacer de Jax Teller? Porque siempre me da la sensación de que repite el mismo personaje. Vamos, que se marca un Antonio Resines de manual.",2021-03-25T00:35:48Z,1
8,UgypgwtbtYzVswkNkRF4AaABAg,Jor- Vazquez,Y un cameo para Stephen amell,2021-03-23T01:07:23Z,2
9,UgypgwtbtYzVswkNkRF4AaABAg,Luz Garrido,"Siiiii, el es la flecha verde que todos queremos",2021-03-22T14:00:02Z,1
10,Ugx8M-k8r02FyN6KdO94AaABAg,PoH 871,@Williams Oscar Barrios Calcina era lo que quería escuchar 😍,2021-03-22T03:11:23Z,0
11,Ugx8M-k8r02FyN6KdO94AaABAg,Williams Oscar Barrios Calcina,"Habla por vos, otros si que la queremos y no andamos de llorones del sobrevalorado de Depp jaja",2021-03-22T02:59:42Z,0
12,UgwiRlCPE2PzxBTcfu54AaABAg,FormouPlay,"pero porque no se quedan con stephen amell , no me gusta cuando cambian de personajes :(",2021-03-25T17:04:22Z,0
13,UgwiRlCPE2PzxBTcfu54AaABAg,Martin Dominguez,Black canary:Katherine Winnick,2021-03-22T08:28:05Z,2
14,UgyI0FtmD96YT41Jxd54AaABAg,Ezequiel Franco Perez Acuña,Talvez podríamos ver que peleé contra todos los villanos y contra el joker o deathstroke en su serie eso seria icónico,2021-08-27T02:24:00Z,1
15,UgyI0FtmD96YT41Jxd54AaABAg,Bat nightmare,"@La colección de César si, pero que no solo sea en esa, que salga en más proyectos 😞 
Pero veo difícil ya todo... con warner ya no se sabe qué quieren",2021-03-23T02:40:32Z,2
16,UgyI0FtmD96YT41Jxd54AaABAg,Magui Villalba López,Si batfleck siempre!,2021-03-23T01:36:43Z,3
17,UgyI0FtmD96YT41Jxd54AaABAg,La colección de César,Esta confirmado para la peli de Flash,2021-03-23T01:17:38Z,6
18,UgyI0FtmD96YT41Jxd54AaABAg,Ramses,te lo pedimos señor,2021-03-22T21:05:37Z,4
19,UgwsEV9zPD-JR8kpjRt4AaABAg,Atomizador Kaiba,"@PepeX Valdivieso 
No, le ofrecieron continuar pero no quizo.",2021-04-02T15:59:33Z,0
20,UgwsEV9zPD-JR8kpjRt4AaABAg,PepeX Valdivieso,"Ya lo dijo en el video, el problema es que el fue despedido y ella no.",2021-03-23T19:33:05Z,0
21,UgxbM7oJJKjaYGuocg14AaABAg,Gabriel Ortiz,@Dany Acevedo septiembre,2021-03-22T03:48:14Z,1
22,UgxbM7oJJKjaYGuocg14AaABAg,Dany Acevedo,Para cuando sale la película bro ?,2021-03-22T01:27:12Z,1
23,UgwzXPiVqAB6PSCvk8B4AaABAg,Armando Rodriguez,"@TUBE RADIO entiendo bro Youtube es muy delicado
Bendiciones fiel seguidor
Y me alegra mucho que te tomes el tiempo de contestar a tus seguidores",2021-03-24T14:12:09Z,0
24,UgwzXPiVqAB6PSCvk8B4AaABAg,TUBE RADIO,"No lo puedo hacer, porque  no puedo arriesgarme a que me desmoticen, a penas sale para que el canal subsiste, bro",2021-03-22T00:59:29Z,1
25,Ugzk1LLeJ-V6GTCHeVF4AaABAg,FormouPlay,y porque no escogen a stephen amell :(,2021-03-25T17:03:41Z,0
26,Ugzk1LLeJ-V6GTCHeVF4AaABAg,Jose Lagües Rojas,"@Humbertloox Lopex ve a hacerle nanai, para ese nivel de violencia se necesitan dos no la defiendo pero tampoco la ataco, si quieres reclamarle a alguen hazlo a Disney y wb por piratas del caribe y por animales fantásticos no a ella",2021-03-24T18:09:31Z,0
27,Ugzk1LLeJ-V6GTCHeVF4AaABAg,Humbertloox Lopex,Le arrancó un puto dedo a johnny,2021-03-24T18:06:35Z,0
28,UgyvHGQL1smo-4MI6jt4AaABAg,floyd rodriguez,@Joker injustice nació más para los videojuegos,2021-03-23T00:17:27Z,0
29,UgyvHGQL1smo-4MI6jt4AaABAg,Joker,"@floyd rodriguez 
SI la idea del Superman Malvado nació en los 90s eso quiere decir que la Liga de Injusticia nunca existió?",2021-03-22T23:47:20Z,0
30,UgyvHGQL1smo-4MI6jt4AaABAg,floyd rodriguez,@Joker bueno... No voy a entrar en un debate que no va a acabar solo sé lo que veo y en que se basó este director para hacer la JL... También dejé de mencionar la JL:dark pero bueno cada cual tiene su criterio y te aclaro la idea de superman oscuro no nació en los 40's esa idea es de los 90's,2021-03-22T23:42:20Z,0
