,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwaGVp7H8jTu8Mbx7V4AaABAg,satchsatch33,"C'est une perverse narcissique, son regard et sa gestuelle en disent long sur sa pathologie.",2021-02-22T15:05:18Z,0
1,UgwaGVp7H8jTu8Mbx7V4AaABAg,Venom_ Bastien,Comme ça ?,2020-09-29T15:56:04Z,0
2,UgxBNN1xtW81pZEiWHh4AaABAg,Love And give,"@Icy Germanotta  alors déjà je parle des gens, qui commentent à propos de sa façon d'être et non de ce qu'elle a fait a Johnny Depp, je sais ce qu'elle a fait et pour ton information je suis les infos mdr je ne défend pas ce qu'elle a fait a Johnny Depp, relis mon commentaire tu comprendra ce que je dis peut être.",2020-07-18T10:27:56Z,0
3,UgxBNN1xtW81pZEiWHh4AaABAg,Icy Germanotta,"cest pas a cause de vanessi qu on linsulte, cette meuffe a abusé de johnny tu suis pas les infos toi???",2020-07-17T23:14:45Z,0
4,UgxUAWPeS0L_4rzXw_R4AaABAg,éros,"Tout simplement car il n'a jamais battu personne, sa femme en revanche (ex maintenant) a battu son ex petite copine ainsi que Johnny. C'est un monstre",2020-08-31T08:43:57Z,0
5,UgxUAWPeS0L_4rzXw_R4AaABAg,Lélé Joking,Parce que c'est Amber Heard qui abuse physiquement de Johnny Depp.,2020-08-13T15:18:33Z,0
6,UgxUAWPeS0L_4rzXw_R4AaABAg,Lamia Mimi,Je me posais exactement la même question,2020-04-25T00:29:00Z,0
7,Ugxiy-hKxZEjb0cOExt4AaABAg,Lamia Mimi,"@_geo_sama_ Cette mythomane, comment ose t'elle briser un innocent",2020-04-24T23:47:05Z,0
8,Ugxiy-hKxZEjb0cOExt4AaABAg,_geo_sama_,"grave , en plus ces fausse accusations contre johnny 🙅‍♀️🤦‍♀️",2020-01-29T18:59:16Z,2
9,Ugxiy-hKxZEjb0cOExt4AaABAg,Millie-love-life Millie,Et aussi Vanessa paradis sa se voiyer quelle aime vraiment trop Johnny depp alors que Amber sa se voit pas du tout,2019-12-14T11:21:40Z,2
10,Ugxiy-hKxZEjb0cOExt4AaABAg,Millie-love-life Millie,T’as trop raison,2019-12-14T11:19:19Z,0
11,Ugxiy-hKxZEjb0cOExt4AaABAg,Madolida,"Vanessa était un canon, quand elle avait l'âge de Humber! 😉",2019-09-26T19:29:45Z,0
12,UgyAYETkevik0S5BuO94AaABAg,YouYou,"Tout le monde vieilli....personne ne restera jeune toute sa vie.
Même Amber vieillira",2018-11-22T23:19:26Z,0
13,UgyfZa8HolMueHP5_hd4AaABAg,Hakai Morow,Euhhh non,2019-07-04T14:59:34Z,1
14,Ugxvss8OBBKo3_p3me94AaABAg,Fede Molotov :-P,En france jhonny  il ne courrerait pas ce risque puisque on les calcule je ne sais pas comment et un mec qui prend 1500€ par mois il ne donne pa plus que 170 pitoyables € par mois  ........ 😠,2021-05-19T00:58:57Z,0
15,UgyIzkh2kLX3Lwm-RhJ4AaABAg,Rock_ Lee,Il ne savait pas il l'aimait c'est tout,2021-04-07T00:49:03Z,0
16,UgyIzkh2kLX3Lwm-RhJ4AaABAg,no,@{yuko gacha} mais dis pas ça alirs que tu fais aussi des fautes. Et contrairement à moi celle que tu as faite n'est pas une faute de frappe,2020-11-05T21:49:21Z,0
17,UgyIzkh2kLX3Lwm-RhJ4AaABAg,{yuko gacha},@no déjà apprends à écrire sa serait mieux,2020-11-05T21:18:41Z,0
18,UgyIzkh2kLX3Lwm-RhJ4AaABAg,no,"ROOOO maus stop là
De 1 ça te regarde pas
De 2 il fait ce qu'il veut
De 3 t'as aucun respect
De 4 tu ne sais pas comment ni qu'est ce qu'il c'est passé
Alirs pouet pouet",2020-08-11T01:46:06Z,3
19,UgyIzkh2kLX3Lwm-RhJ4AaABAg,Diamant Rose,"Mais c'est pas LUI qui l'a quitté, ILS se sont quittés",2020-06-01T14:58:33Z,5
20,UgxRIo7urs0cElvQCv54AaABAg,Orphan Spirit,On s en fou qui est la plus belle elles le sont toutes les deux. Vanessa paradis à vraiment un visage atypique on dirait une poupée. Amber est magnifique mais elle me semble avoir un visage plus banal que vanessa.  Mais au niveau du corps amber est mieux que vanessa,2021-06-12T22:09:01Z,0
21,UgxRIo7urs0cElvQCv54AaABAg,Sicario HoHnNh2,Vanessa de quoi ses vieille chicos,2021-03-15T21:08:40Z,0
22,UgxRIo7urs0cElvQCv54AaABAg,trad goth,It's very interesting.,2021-01-05T01:03:30Z,0
23,UgxRIo7urs0cElvQCv54AaABAg,Sasha bne,"Bien vrai, cette fille n’a aucun charme comparé à Vanessa",2019-10-16T22:29:50Z,4
24,UgxRIo7urs0cElvQCv54AaABAg,heart happy,Mais tu peux savoir à quel point je suis d’accord !,2019-08-05T10:31:11Z,0
25,Ugz5rHvJLxBB8vvlC614AaABAg,nacima goumar,@Stydestiel .25 puis à quel moment une personne aussi ignoble peut être belle ? Même sans parler ça se voit que c'est une connasse avec sa façon de regarder de haut,2019-08-13T03:14:19Z,2
26,Ugz5rHvJLxBB8vvlC614AaABAg,Stydestiel .25,Dsl mais amber aura tjrs plus de classe de fans et de beauté que vanessa,2018-09-22T18:54:26Z,0
27,Ugz5rHvJLxBB8vvlC614AaABAg,Rouger Thierry,Beauté toute relative. Et la beauté ne fait pas tout.,2018-08-25T08:37:26Z,1
28,Ugz5rHvJLxBB8vvlC614AaABAg,fraishe,Mais elle est plus belle faut l'avouer,2018-08-25T01:32:57Z,3
29,Ugz5rHvJLxBB8vvlC614AaABAg,Rouger Thierry,Ça c'est clair. Elle a été plus réglo lors de son divorce avec lui.,2018-07-08T10:15:51Z,3
30,UgymovGmvqmFO84RNYV4AaABAg,Renard Espagnole,"Non, c'est juste un objet",2017-08-29T19:49:59Z,1
31,Ugydo8v0bTBk6zbiAmB4AaABAg,éros,C'est son ex-femme,2020-08-31T08:30:42Z,0
32,UghG6IwpjJkp_3gCoAEC,BTS ARMY !,Moi asussi,2019-08-02T11:28:43Z,0
33,UghG6IwpjJkp_3gCoAEC,YouYou,C'est elle qui l'a largué,2018-11-22T23:21:42Z,0
34,UghG6IwpjJkp_3gCoAEC,Lina Hadef,Jada La Gameuse Ouais ça fait un an déjà,2017-08-14T23:51:52Z,1
35,UgjGQTQnfwfxAngCoAEC,éros,C'est son ex-femme maintenant espèce d'abruti,2020-08-31T08:32:55Z,1
36,UgjGQTQnfwfxAngCoAEC,Zola _,sa* sa*,2019-07-18T23:59:31Z,0
37,Ugh1x7hlu3VtwngCoAEC,éros,"Non, faire quelques recherches sur internet ne va pas de tuer non plus",2020-08-31T08:40:42Z,0
38,UgjKUAhtYv02yHgCoAEC,Stydestiel .25,@Rouger Thierry t jaloux va voir ses photos sur google,2018-09-22T18:55:37Z,0
39,UgjKUAhtYv02yHgCoAEC,Rouger Thierry,Beurk !,2018-07-08T10:14:20Z,2
40,UghQ--4pP9Yub3gCoAEC,Rock_ Lee,Manipulation dépendance affective,2021-04-07T00:48:06Z,0
41,UghtUVZXbPslRngCoAEC,Hakai Morow,Johnny,2019-07-04T14:56:12Z,2
42,UghtUVZXbPslRngCoAEC,didi jackson,Jpp,2019-02-23T01:06:07Z,2
43,Ugh3VlVH0Wh0PngCoAEC,Lil_spvce,elsa barcelo il le fait pas 😱😱 je croyais qu'il en avait moins,2017-08-15T03:26:46Z,0
44,Ugg_E1gFsQGxpngCoAEC,Valère,"Elle peut s'acheter 10 voitures comme ca mais comme elle le dit, sa voiture a pas de valeur a ses yeux. Elle la garde parce qu'elle y est attache. Cest con comma raisonnement",2017-11-14T17:03:11Z,1
45,UgjlMsKXc3PMn3gCoAEC,éros,Il n'a pas de sœur,2020-08-31T08:38:39Z,1
46,UgjlMsKXc3PMn3gCoAEC,Zacharie Michot,Laurine Pailler genie,2017-10-07T19:10:23Z,0
47,Ugh9iq9xMmj3kXgCoAEC,poplucie,@Lamia Mimi j'espère,2021-07-05T12:54:54Z,2
48,Ugh9iq9xMmj3kXgCoAEC,Lamia Mimi,Justice sera faite bientôt,2020-04-24T23:50:05Z,3
49,Ugh9iq9xMmj3kXgCoAEC,nacima goumar,Plus pour longtemps,2019-08-13T03:33:48Z,3
50,Ugix5bb4evmW_XgCoAEC,Terrose,A BAYARD94 « je tue la mec mdrr » parles français stp,2019-12-12T21:52:52Z,0
51,UgheH8vU4_UuqHgCoAEC,BTS ARMY !,"@manu, entre nous pour du jeu vidéo je pense qu il as pas compris",2019-08-02T11:26:13Z,4
52,UgheH8vU4_UuqHgCoAEC,"manu, entre nous pour du jeu vidéo",euh c'est lui qui piège sa femme ...,2018-09-16T12:25:27Z,8
53,Ugjc880BH266AHgCoAEC,éros,"Maintenant on connaît la vérité, c'est son ex-femme qui l'a battu. Johnny est complètement innocent mais elle... c'est un monstre",2020-08-31T08:45:43Z,1
54,UggxXyYJCg6yDXgCoAEC,Helga Pataki,Lou-hann Chevrier ta ra ta ta c est le mien,2017-12-31T20:35:00Z,1
55,Ughoh7gT26v1N3gCoAEC,Rouger Thierry,Merci de votre lucidité.,2018-07-08T10:12:22Z,0
56,Ughoh7gT26v1N3gCoAEC,Angélique Depp,D'accord avec toi,2018-04-25T01:46:04Z,0
57,Ugh6Y97-HIHU-HgCoAEC,Zola _,"Moi j'ai envie d'la.. Enfin, bref !",2019-07-19T00:00:06Z,0
58,Ughxo-imNepvkXgCoAEC,Rouger Thierry,Eh oui ! Vous avez tout compris. Il y a des hommes lucides. Tout espoir n'est pas perdu.,2018-07-08T10:11:56Z,1
59,Ughxo-imNepvkXgCoAEC,Jules Clarke,Vickfan S Ouais enfin ya des mecs qui déplument aussi hein. ya des suceurs de fric partout quoi.,2017-06-09T22:06:44Z,4
60,UgjPtJ3wFCY3nHgCoAEC,Paula S,I dont hate her but I don't like her.  She's a nasty piece of work,2020-03-29T00:46:12Z,0
61,UgjPtJ3wFCY3nHgCoAEC,Irina Pavlenko,@Stydestiel .25 haha,2018-11-19T22:27:28Z,3
62,UgjPtJ3wFCY3nHgCoAEC,Stydestiel .25,I love amber,2018-09-22T18:53:14Z,0
63,UgjPtJ3wFCY3nHgCoAEC,Rouger Thierry,Me too.,2018-07-08T10:13:05Z,2
64,UgiXQ3qygOHCgHgCoAEC,Jimmy Kid Perry,Je suis le garçon le plus fan de Pirate des Caraïbes ;),2018-05-03T23:57:41Z,0
65,UgiXQ3qygOHCgHgCoAEC,A B,"Jessica Ory il est même pas sortie , il sort en mai",2017-02-18T02:15:22Z,0
