,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugz_ojCvfOSL_3BpDr94AaABAg,Rock Candy,Core principles?  lol .  That's funny - yet scary.,2021-03-26T12:31:21Z,0
1,UgzNx5WL0QaOI3dWai54AaABAg,#JohnnyDeppIsRacist,"Click on me, it's nothing but retaliation by  Johnny Depp.  Watch my videos on her",2020-06-16T02:31:09Z,0
2,Ugz0p3TALCXrUqoBCDh4AaABAg,hotxhotguy,She lied.,2018-11-22T00:00:14Z,7
3,Ugz0p3TALCXrUqoBCDh4AaABAg,Nóra Kovács,Depp didn't abuse this woman😉,2018-11-18T12:56:38Z,6
4,UgxH9zEbcUSdWMtOMLF4AaABAg,Pamela Coleman,🤣🤣🤣🤣🤣🤣🤣🤣🤣 I'm laughing at the inside part,2020-06-11T09:48:31Z,0
5,UgxH9zEbcUSdWMtOMLF4AaABAg,Pamela Coleman,@Grandmaser Flash news came out that was false. She's done,2020-06-11T09:44:32Z,0
6,UgxH9zEbcUSdWMtOMLF4AaABAg,hotxhotguy,"@Grandmaser Flash  Nah, I wish Depp did beat this gold digging bitch for real. But got falsely accused for money.",2018-11-30T14:54:27Z,0
7,UgxH9zEbcUSdWMtOMLF4AaABAg,Grandmaser Flash,hotxhotguy only if I beat her up like Depp did,2018-11-30T11:54:57Z,0
8,UgxH9zEbcUSdWMtOMLF4AaABAg,hotxhotguy,Go marry her so that she slap abuse in your back too.,2018-11-22T00:00:41Z,1
9,UgyxITZe1vAkqY4B5ex4AaABAg,Yuki T,This aged like milk lmao,2021-08-16T19:23:07Z,0
10,UgyxITZe1vAkqY4B5ex4AaABAg,Pamela Coleman,"Not likeable, a virtue signaler and stain on the me too movement 😘",2020-06-11T09:47:59Z,0
11,Ugwv7Sf9WxQjjaV9QWJ4AaABAg,Stydestiel .25,Yessssss,2018-11-03T02:48:54Z,0
12,UgzT0qn58ZHIBQPus3h4AaABAg,Maye McDonald,Help needed I knew in the scene when they made love that they were already lovers. Depp is a drinker. Booze can get nasty. I wish her happiness and peace of mind.,2018-11-18T15:27:49Z,0
13,UgzT0qn58ZHIBQPus3h4AaABAg,Help needed,"D M the rum diaries, maybe ?",2018-11-02T11:47:46Z,1
14,UgyuqbIEnBKmKQooPFZ4AaABAg,Will Costanza,Aquagirl from the TV,2018-11-02T08:35:40Z,0
15,UgzZiTQaceiztuLrWB54AaABAg,Claude Monzac,"It may seem so here, but watch her interview when the Mera doll was introduced, she really had a blast.",2018-11-01T15:41:25Z,0
16,UgwH7VyUEjjn6QO1HzV4AaABAg,Ksharp Kay,Celebration Day why is she likable? Because she makes false accusations?  Ruins careers with lies?,2020-02-02T11:17:15Z,2
17,UgwH7VyUEjjn6QO1HzV4AaABAg,The One,1 BILLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLION id say so,2019-01-17T03:23:16Z,0
18,Ugztt6gJpWqkJSTIYaJ4AaABAg,Burhan Khalid,Coming from from that username your comment is ironic.,2018-11-15T19:47:19Z,1
19,Ugztt6gJpWqkJSTIYaJ4AaABAg,the Bride of Frankenstein,Couldn't agree more,2018-11-05T00:25:32Z,2
20,Ugztt6gJpWqkJSTIYaJ4AaABAg,Stydestiel .25,???????,2018-11-03T02:48:42Z,1
21,Ugy8DWZlGq4khbKlzM54AaABAg,Grandmaser Flash,"hotxhotguy nope, the allegations were true, that‘s why Depp was fired by Disney.",2018-11-30T11:56:01Z,0
22,Ugy8DWZlGq4khbKlzM54AaABAg,hotxhotguy,Queen of false accusation.,2018-11-22T00:01:00Z,1
23,Ugy8DWZlGq4khbKlzM54AaABAg,Stydestiel .25,Yassss,2018-11-03T02:47:18Z,0
24,Ugwm8znpPCY0W6SijgZ4AaABAg,crispy nugget,oh boy...,2020-11-18T05:27:47Z,0
25,Ugwm8znpPCY0W6SijgZ4AaABAg,FM A,Three Tons well a normal human being would criticize this psycho .,2020-10-10T19:45:48Z,1
26,Ugwm8znpPCY0W6SijgZ4AaABAg,Three Tons,The only one criticizing her are the Depp fans. Everybody else think the casting is spot on !,2018-11-03T17:16:57Z,2
27,Ugx2HjdSlO3s820xq4d4AaABAg,Joselyn548,I think they use cgi,2020-11-07T13:06:58Z,0
28,UgxEatsRORFXsq7Z2C54AaABAg,Collective Minds Squared,"@popeye697 YOU ARE RIGHT , SOME PEOPLE GET SO BIG THAT THEY DECLINE THE SMALL STUFF.",2018-11-01T16:18:38Z,0
29,UgxEatsRORFXsq7Z2C54AaABAg,popeye697,"When she was just taking tv roles to get her name out there, like when she played a famous actress in Criminal Minds years before she actually was one.",2018-11-01T15:30:22Z,2
