,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzVDm52GJkugYw54AR4AaABAg,The Unstoppable,Exactly,2020-09-11T06:38:28Z,1
1,UgxgBqUcOZ7iRZXYv6V4AaABAg,JF Holland,"@LaraCroftEyes1 Yup, pretty much, hence why I think it's all a PR stunt to put people off signing the petition. If she was in it, she'd have that letter from warner brothers posted all over her social media just to rub it in lol",2020-09-11T00:01:05Z,0
2,UgxgBqUcOZ7iRZXYv6V4AaABAg,LaraCroftEyes1,She needs to make up her mind lol.,2020-09-10T23:51:38Z,0
3,UgxgBqUcOZ7iRZXYv6V4AaABAg,JF Holland,"@LaraCroftEyes1 she says 2 different dates in her paperwork. First says due to start in Feb then mid 2021, then adds neither is confirmed yet...",2020-09-10T23:22:05Z,0
4,UgxgBqUcOZ7iRZXYv6V4AaABAg,LaraCroftEyes1,The filming of Aquaman 2 doesn't start in Feb it starts shooting in mid-2021.,2020-09-10T22:51:13Z,0
5,UgzNJGajuLTnUqKxf194AaABAg,Mohammad Irshad Jahangir,"@Wa Wa Who said anything about worshipping them? Wow!!Are you being serious right now? All I said was that I liked her performance as an artist, as an actor and that until a decision has been given in favour of either one, we should not demean someone.
I finally get what kind of person you are. You're one of those people who put out all the stops to win a argument...👏👏",2020-09-10T06:53:29Z,0
6,UgzNJGajuLTnUqKxf194AaABAg,Mohammad Irshad Jahangir,@Wa Wa Well Allah knows that I meant what I said. Anyways it's up to you. You can interpret it however you want.,2020-09-10T06:38:00Z,0
7,UgzNJGajuLTnUqKxf194AaABAg,Mohammad Irshad Jahangir,"@Wa Wa Great. I wish a happily married life for you and your husband. But I don't quite agree on his or your opinions regarding Amber Heard or me. But yes, I can sure respect them by staying within my limits while giving my opinions",2020-09-10T06:23:16Z,0
8,UgzNJGajuLTnUqKxf194AaABAg,Mohammad Irshad Jahangir,"@Wa Wa I also think your concept about men is toxic which causes you to say such things. But me being me,  I don't like crossing certain limits. So we'll leave it at that.",2020-09-10T05:36:27Z,0
9,UgzNJGajuLTnUqKxf194AaABAg,Mohammad Irshad Jahangir,"@Wa Wa Clearly you're a sexist, and if she couldn't act, well she wouldn't have been cast in Hollywood. You see the directors are not blind.",2020-09-10T05:33:51Z,0
10,UgxS-oEM3Pajl3vxNCJ4AaABAg,MEC,@Mary Daugherty maybe not forever but as long as she remains the same and doesn't take active actions to change... Which I doubt she will ever take so yeah removed her name from the casting lists forever.,2020-09-09T19:56:32Z,1
11,UgxS-oEM3Pajl3vxNCJ4AaABAg,Mary Daugherty,Exactly! She should never be able to do another film.. ever,2020-09-09T19:45:19Z,1
12,Ugy6oC_5xdPptEC5Z314AaABAg,guitarman0365,"it's not the legal team you have to worry about, it's the culture of the people. The sympathizers, the ones going to bat for her because she has a vagina, the one's that don't actually want equality, the ones that just want to see Depp burn, the ones that will cater too all the sjws that think it was empowering for her to be a lying bitch. It's the gynocentric culture that you have to worry about where people will still flock to the film despite the evidence against her and not care at all or worse yet the large majority of people that don't even follow entertainment news which will be the biggest portion of the movie going general audience. They might not even know this is going on because it's no where to be seen on mainstream media outlets like Entertainment Tonight or anything. Ignorance of the masses will win out in the end for her I am sure of it, all the families and their girls will come to see Jason shirtless and kicking ass and Mera as a female heroin to look up to.",2020-09-09T00:53:48Z,0
13,UgxQT2lVPNufbRtb2YN4AaABAg,Lady Green,What about all the other people that make the movie? Its not their fault. I hope you don't get paid your paychecks because of someone else.,2020-09-09T12:35:03Z,1
14,UgwuB5-xm3-fDqC3jpF4AaABAg,Ewa Sadowski,Where is the proof that WB made an official statement about Amaliar? She is the only one stating that she is still in the movie.,2020-09-08T22:56:52Z,1
15,UgzCK-46Q5e3rxeClpN4AaABAg,Rose Harvey,"Barnaby will be delighted to see her back in Australia, she can attend another court case.",2020-10-19T18:23:29Z,1
