,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugx6xfUTDvjUaeBZh_B4AaABAg,BatmanX,"Warner no pinta nada, si por ellos fuera nunca hubiera visto la luz",2021-03-07T21:42:50Z,0
1,UgxgGHKNknp4yyQRrUt4AaABAg,Arrokalypse,"Será otra basura de película, encima con una mentirosa y manipuladora xd",2021-03-01T16:53:12Z,0
2,UgxvMBv19AHbfse0a4t4AaABAg,Will. i. am,@Solo para Playstation no al nivel de amber. Mirala en Terminator es horrible.,2021-03-01T12:37:42Z,0
3,UgxvMBv19AHbfse0a4t4AaABAg,Solo para Playstation,Emilia ni es bella??,2021-03-01T12:12:47Z,0
4,UgwSubbbEho1JrlgiO94AaABAg,Solo para Playstation,Quien no sabe eso,2021-03-01T12:14:17Z,1
5,Ugx8t9ulVjWw1ZQsKl54AaABAg,Damon Proyect’s,@Will. i. am  Me la suda una revista y esos Tops para mi emilia es un angel. Si Di lo que quieras yo no odio a amber o a johnny sin embargo si que amber no merece estar en aquaman.,2021-03-01T16:02:54Z,1
6,Ugx8t9ulVjWw1ZQsKl54AaABAg,Will. i. am,@Damon Proyect’s ni tanto gustos de cada quien. Amber está en la lista de las  100 mujeres más bellas de la HISTORIA.  Cosa que la madre de dragones jamás estará. asi que no hablo de mis gustos eh.,2021-03-01T13:32:18Z,1
7,Ugx8t9ulVjWw1ZQsKl54AaABAg,Damon Proyect’s,@Will. i. am  Ja.. gustos de cada quien.. que superficial eres.,2021-03-01T13:27:12Z,1
8,Ugx8t9ulVjWw1ZQsKl54AaABAg,Will. i. am,"@Damon Proyect’s machista por que? Emilia es fea al lado de amber heard.
Y el persona de meera debe ser bella como en los cómics.",2021-03-01T13:24:00Z,1
9,Ugx8t9ulVjWw1ZQsKl54AaABAg,Damon Proyect’s,@Will. i. am  que machista eres.,2021-03-01T13:17:31Z,1
10,UgzVGCQDGMGMCdbh-1h4AaABAg,Arrokalypse,Que cringe.,2021-03-01T16:57:55Z,0
11,UgyL0HmrtkmrkW84VWF4AaABAg,TUBE RADIO,🥰,2021-03-01T05:18:15Z,1
12,UgyL0HmrtkmrkW84VWF4AaABAg,Kriz Espinosa,"@TUBE RADIO obviamente la polémica del ""supernegro"" es para quitar la ten clon del tema en cuestión... Hay testimonio que salieron sobre joss... Pero en fin...  es una persona vs toda una industria 
Se dice y no pasa nada",2021-03-01T05:15:39Z,1
13,UgyL0HmrtkmrkW84VWF4AaABAg,Kriz Espinosa,@TUBE RADIO y eso mis niños se llama doble moral...  carnal...  llevo años viéndote y respeto toda tu trayectoria...  pero algo peor que un troll castroso como yo es ver a una persona neutral sin postura que se limita solo porque le da miedo lo que digan de el por tener Opinion propia y vaya que si la has tenido... Sin miedo al etzito papa... Saludos,2021-03-01T05:11:55Z,1
14,UgyL0HmrtkmrkW84VWF4AaABAg,TUBE RADIO,"Por supuesto que lo tengo, pero yo no cree el canal para dar mis opiniones, yo solo resumo todo la info que sale. Y ustedes son los que jusgan, siempre a sido. Así bro. Yo neutral ponie do las dos partes",2021-03-01T04:57:25Z,2
15,UgyGOqsJ4VxGpRKUMG14AaABAg,Kevin Ramos,Entendí es que no es hipócrita...,2021-03-01T06:01:44Z,0
16,UgwEYOZvNqleWNu0bsN4AaABAg,Ivan Fernandez,Según leí iban a ponerla en la playstore para comprarla,2021-03-01T06:27:48Z,1
17,UgxTze8ScS3whVMmUlt4AaABAg,Mariano R,"yo en realidad jaja nunca vi como una trinidad siempre puse encima a Batman y Superman de los demas , o a lo sumo no pondria a Aquaman debajo de Ww  (aparte de ser personajes parejos tuvieron sus guerras, literalmente) en cuanto a  Batman iba a tener su pelicula aparte de ir recapitulando hechos, digamos que estebBatman no tiene la estructura repetida de volver a contar lo mismo que ya se sabe",2021-03-01T02:52:06Z,1
18,UgxQtHmFnfGkuqKvOhp4AaABAg,dirtibag,🤣.... a nadie le va a importar si te decepcionan... patético,2021-03-02T10:54:31Z,0
19,UgwARNhy9oLSl1uROYJ4AaABAg,alex cabeza acon,Karma.,2021-03-05T05:16:33Z,0
20,UgzflSSDBVSCWwXK7WB4AaABAg,Diego Brola,Si pero mira la versión batman v superman versión extendida y se aclaran muchos agujeros del guión esa debería haber sido la versión de cines,2021-03-01T03:14:41Z,1
21,UgyYs4BcZyIxcmTxqft4AaABAg,Ulrik Moller,"@yakarta máquina 469 jajaja, no creo, pero esta bien, Warner solo así entenderá, quieran o no con ZS tenía más forma este universo",2021-03-01T04:11:31Z,1
