,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxiCF-13SZhksEY86p4AaABAg,Monica Frank,Muy bien por Jhonny Deep 👏👏❤️,2021-08-02T23:08:29Z,0
1,UgwC-iG3JUto-QE5bbB4AaABAg,Agust GT,"Y no sólo sobre maltrato, aun se investiga que tratos a hecho con el dinero...",2021-08-02T15:44:48Z,0
2,UgwC-iG3JUto-QE5bbB4AaABAg,Confusion,"pues es cierto, aunque también es un gran avance que haya ganado al menos una, si esta sale bien pueden avanzar las demás",2021-08-02T09:13:41Z,2
3,UgzPR2DIUBIdMsVUzUF4AaABAg,AlexH,"Y ella le golpeo tambien, y le amputo un dedo...",2021-09-25T00:48:10Z,0
4,UgwoVUDhf5OQ7xKBp6N4AaABAg,Juan antonio Juárez mazo,@Cesar LOPEZ VILLALOBOS obvio,2021-08-03T04:02:26Z,0
5,UgwoVUDhf5OQ7xKBp6N4AaABAg,Cesar LOPEZ VILLALOBOS,Eres el alma de la fiesta no?,2021-08-02T22:58:43Z,1
6,UgxXZymn6olcMxnqm9p4AaABAg,camilol,"Creo que se refiere a la última demanda que hizo, ya que a lo largo de este tema varias demandas se han hecho hacia amber y hacia jhonny",2021-08-03T19:47:26Z,0
7,UgzDZU-wRSgu0Fk7T5h4AaABAg,Martin Munguia,alv jajajajajaja,2021-08-02T20:36:07Z,1
8,Ugzyj60wWfRrZvFgYax4AaABAg,Joshy Cash,"Lo triste de todo este asunto es que ella sigue sin recibir castigo alguno, sigue actualmente recibiendo papeles en pelis y series, y ocasionalmente da entrevistas mientras que Jhonny al día de hoy sigue betado de todo Hollywood y sin recibir nuevos roles en ningún lado.

Así es la ""justicia"" actualmente. 😑🙄",2021-08-02T14:43:56Z,2
9,UgwFdua2WVAP1jD3s1p4AaABAg,Marilexis Madriz,Los hombres se ven más afectados con las leyes actuales.,2021-08-05T18:22:32Z,0
10,Ugz2k-66T1E166Agtvt4AaABAg,Fiorella Ferrari,Tú pensando a futuro cuando ya no hay normalidad y estamos en la tribulación se va a manifestar El anticristo Ya se está instaurando el nuevo orden mundial y tú pensando que todo va a ser como antes Aunque claro la gente que acepte la vacuna va a poder comprar y vender a lo mejor para ese año va a venir los juicios de Dios totalmente sobre la Tierra y todos los que aceptaron la marca de la bestia y la vacuna se van a quedar a presenciarlo y tú hablando de Johnny Deep y el cine,2021-08-30T20:50:03Z,0
11,Ugz2k-66T1E166Agtvt4AaABAg,watafas,@Fiorella Ferrari wtf,2021-08-30T18:26:06Z,1
12,Ugz2k-66T1E166Agtvt4AaABAg,Wade Wilson,@Fiorella Ferrari jsjsjsj que mamadas estas diciendo xd,2021-08-03T03:40:26Z,1
13,Ugz2k-66T1E166Agtvt4AaABAg,Millo Pro,@Fiorella Ferrari Neta que eres igualita a ella 🤣🤣🤣🤣,2021-08-02T21:08:40Z,0
14,Ugz2k-66T1E166Agtvt4AaABAg,Angelica Maria Sanchez Murillo,Así es...,2021-08-02T21:01:36Z,0
15,UgxbOyZl24CT2_WKVK94AaABAg,Mariza Qaiza,@FBI Madafaka según donde??,2021-08-03T19:47:25Z,0
16,UgxbOyZl24CT2_WKVK94AaABAg,Confusion,@FBI Madafaka que buen chiste jaja,2021-08-02T09:11:53Z,2
17,UgxbOyZl24CT2_WKVK94AaABAg,FBI Madafaka,Si le van a quitar,2021-08-02T03:34:03Z,1
18,UgxbOyZl24CT2_WKVK94AaABAg,Manuel De Paz,Xd,2021-08-02T03:00:11Z,0
19,UgyOCXFsCwQ6_ExSvnZ4AaABAg,fernanda Valla,@Elena Gonzalez Ahora hay que esperar. Estos días salieron muy buenas noticias para Depp que involucran a la imparcialidad del juez en el caso y al grupo SUN.  🎉,2021-08-23T15:57:37Z,0
20,UgyOCXFsCwQ6_ExSvnZ4AaABAg,Elena Gonzalez,@fernanda Valla púes que bueno !  Él pagó y ella también !,2021-08-04T19:41:25Z,0
21,UgyOCXFsCwQ6_ExSvnZ4AaABAg,fernanda Valla,"De qué país es la expresión lana? Y en este caso la que tiene que pagar es Amber, no Depp. Es ella la que está incumpliendo con su parte del acuerdo de divorcio. Armó un revuelo con el metoo. Prometió donar dicha plata, y se lo hicieron firmar como un acuerdo legal.",2021-08-04T18:23:24Z,2
22,UgyOCXFsCwQ6_ExSvnZ4AaABAg,Isbel,Esta loca,2021-08-03T07:16:22Z,1
23,UgyOCXFsCwQ6_ExSvnZ4AaABAg,armando vargas,"@Elena Gonzalez aquí el detalle es ambos no solo johhny, tanto peca el que mata la Vaca como el que le agarra la pata. Además pudo darse el caso quien empezó todo fue ámber por la hipergamia quizás, muchas veces así es busca la vida fácil.",2021-08-02T03:53:46Z,1
24,Ugw9HNcwruh442lAaah4AaABAg,Joshy Cash,"Si, es verdad, porque a pesar de toda la evidencia y pruebas en su contra Amber sigue recibiendo ofertas en películas, series y hasta dando entrevistas, mientras que Jhonny sigue betado de todo Hollywood y sin recibir nuevos papeles en ningún lado.

Después de todo lo que ella le hizo a él sigue sin recibir castigo alguno y ella sin mostrar remordimiento ni culpa....así es la "" justicia"" actualmente 🙄😑",2021-08-02T14:40:59Z,1
25,UgwiFX1BIYEdIL3Piyx4AaABAg,Gustavo Zamora Custodi,"Ironicamente, la reportera Rita de Harry Potter dijo que la gran pelea de Albus y Grindelwald no fue nada espectacular y que este ultimo solo saco un pañuelo blanco, sin Depp, si se va a sentir asi",2021-08-03T15:42:03Z,0
26,UgwiFX1BIYEdIL3Piyx4AaABAg,Joshy Cash,"También me dolió mucho y que lo sacarán de piratas del Caribe, siendo que el fue el que dió orígen y fama a esa saga, mientras que Amber actualmente goza de ofertas en películas y series y sigue sin recibir castigo alguno por las cosas horribles que le hizo a Jhonny, y Jhonny sigue censurado de Hollywood actualmente, no le han devuelto sus roles ni tiene nuevos contratos.

Así es la ""justicia"" actualmente. 🙄😐",2021-08-02T14:35:03Z,10
27,UgwiFX1BIYEdIL3Piyx4AaABAg,Saúl Huillca Rodríguez,Siiiiiiii ahora puedo estar en pazzzzzz!!!!!!!,2021-08-01T23:07:30Z,0
28,Ugwsvn1AaEgLR7DWSK94AaABAg,dorito,Si para ti es felicidad a hora imaginatelo para jony deep,2021-08-03T19:33:57Z,0
29,Ugwsvn1AaEgLR7DWSK94AaABAg,dorito,Recordaran esto como el dia en que casi arrestan al capitan jack sparrow,2021-08-03T19:32:08Z,2
30,UgzbqRvGhGGGNc-bWHt4AaABAg,James Gregor,"x2 jaja
que hace ahí mi poderosisimo Dio???",2021-08-01T20:15:16Z,0
31,UgzbqRvGhGGGNc-bWHt4AaABAg,Beth witch666,Jajaja lo mismo iba a comentar JAJAJJA que hace ahí Ronnie James Dio,2021-08-01T15:52:03Z,2
32,UgxlNKfbitPXGus0hwF4AaABAg,Joshy Cash,"En ningún lado dice que ha vuelto a retomar sus películas, aún sigue betado de Warner y Disney, y no le han devuelto sus papeles ni en piratas del caribe ni en animales fantásticos, triste pero así es.

Mientras que.amber sigue gozando de oportunidades actualmente en el cine y la televisión a pesar de las cosas que ha hecho, así es la ""justicia"" actualmente.",2021-08-02T14:31:47Z,15
33,UgzKy-5wJi-nPEfUlvh4AaABAg,Elvia Jiménez,@AlexH te voy a reportar a la policia cibernetica por agredirme misógino!,2021-09-25T20:35:06Z,0
34,UgzKy-5wJi-nPEfUlvh4AaABAg,AlexH,"Bueno pero para decir decrepito debes verte a un espejo...jajaja,....recuerda que ella es la que decia estar mas entusiasmada por andar con Johnny Depp, ella misma lo decia que siempre lo habia deseado, o sea seguramente ella anduvo poniendo las circustancias para que cayera..este tipo de mujeres facilonas saben muy bien como hacerlo...",2021-09-25T00:46:51Z,0
35,UgzKy-5wJi-nPEfUlvh4AaABAg,Elvia Jiménez,"@Luna di Quarzo A ver si no leiste desde el principio. Y a ver si el dicho ""la culpa la tiene tanto el que agarra la pata como el que mata a la vaca."" Algo semejante. Con tanto guardaespaldas!!! Y Jhonny no se defendió!!! Sobre todo nadie lo obligó a casarse con ella.",2021-08-04T20:25:31Z,0
36,UgzKy-5wJi-nPEfUlvh4AaABAg,Elvia Jiménez,@Isbel muy traumada te tiene AMLO!!!!,2021-08-04T20:22:52Z,0
37,UgzKy-5wJi-nPEfUlvh4AaABAg,Elvia Jiménez,@fernanda Valla no te entiendo. A ver ai me puedes decir a que te refieres.,2021-08-04T20:22:27Z,0
38,UgyiyFPWdy_YGugE0Qh4AaABAg,Ricardo Hernandez,@Carla Campos Guevara Tranquila!! Es sarcasmo,2021-08-01T19:55:02Z,1
39,UgyiyFPWdy_YGugE0Qh4AaABAg,Carla Campos Guevara,1di0T@,2021-08-01T19:43:45Z,0
40,UgyiyFPWdy_YGugE0Qh4AaABAg,DAN BLACK,"@TheFockerWolf64 Si verdad, ya tienen harto jajaja",2021-08-01T03:31:11Z,0
41,UgyiyFPWdy_YGugE0Qh4AaABAg,TheFockerWolf64,Cómo spamean con esa mamada.,2021-08-01T01:10:40Z,3
42,UgxGVyMNZrPwVZNerbp4AaABAg,Roberto González García,@TheFockerWolf64 pero yo no escucho nunca entonces me da risa,2021-08-02T05:47:46Z,0
43,UgxGVyMNZrPwVZNerbp4AaABAg,TheFockerWolf64,"@Roberto González García No, ya está muy quemado, sólo personas con muy mal gusto y a los chairos les gustaría.",2021-08-01T17:55:52Z,0
44,UgxGVyMNZrPwVZNerbp4AaABAg,Roberto González García,@TheFockerWolf64 claro que si jajajajaja 🤣,2021-08-01T16:08:08Z,1
45,UgxGVyMNZrPwVZNerbp4AaABAg,TheFockerWolf64,Ése chiste no da risa.,2021-08-01T01:10:23Z,0
46,UgxGVyMNZrPwVZNerbp4AaABAg,El Rey de Espadas,Viva AMLOCACAS!!!!,2021-08-01T00:34:41Z,3
