,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzjbvDQvxTuQMsarFR4AaABAg,𝕮𝖆𝖙𝖍𝖊𝖗𝖎𝖓𝖊 ꨄ︎,And an attempt to avoid jail.,2021-07-20T09:39:12Z,0
1,UgxPCImoeKwXUkNqfLJ4AaABAg,𝕮𝖆𝖙𝖍𝖊𝖗𝖎𝖓𝖊 ꨄ︎,Unfortunayely it will. Amber is so narcissistic and a psychopath so she will take it out on her baby.,2021-07-20T09:40:11Z,0
2,Ugx_ME1ilBgz33MZAOZ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T20:02:44Z,0
3,Ugw9k8LU3keupOFBsfl4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T19:59:32Z,0
4,UgyFlOhXSzlDRKFKBGl4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....,,
johnnydeppfanspage61@gmail.com",2021-07-09T20:11:33Z,0
5,UgzsOfbK2qucwcZqcPR4AaABAg,moonshayde,She is also an an alcohol & drug addict who denies it...plus she's a sociopathic narcissist. Depp was sober for a long time until she started plying him with alcohol and giving him un-needed medication.,2021-07-11T01:09:42Z,2
6,UgzasI1oCQ3WR77lRQp4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T19:58:58Z,0
7,UgxAIzY-MbtN6GmOWd14AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....,,
johnnydeppfanspage61@gmail.com",2021-07-09T20:10:32Z,0
8,Ugx_jLZd-9WhyYGITvZ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ...
johnnydeppfanspage61@gmail.com",2021-07-09T19:55:47Z,0
9,UgyXQGbt0jkxYZgIeLd4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T20:00:36Z,0
10,UgxHiHLckX4Q7QYsUol4AaABAg,Rock Candy,Johnny wasn't 4 years ago - that was Elon.  She's hinting it's him,2021-07-09T01:08:54Z,0
11,Ugw8GwrgWhry8b4FGDN4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T20:04:24Z,0
12,UgxMFCGTOZjhnzKAHI94AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:08:11Z,0
13,Ugz96MW9N9NU_UxYoel4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:05:57Z,0
14,UgwhlXJM8m0PM8T2aVZ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ...
johnnydeppfanspage61@gmail.com",2021-07-09T19:56:30Z,0
15,UgzPma2WZM7aBbM4K_N4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ...
johnnydeppfanspage61@gmail.com",2021-07-09T19:56:45Z,0
16,UgyqgG30aIuPLZWaGtl4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:07:45Z,0
17,Ugw34sVNDwL4wmho3Ox4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T20:02:29Z,1
18,Ugzf7mBCSi1KwXSblFF4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:06:24Z,0
19,UgxGIudxHdFd21_FJzJ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ...
johnnydeppfanspage61@gmail.com",2021-07-09T19:56:05Z,0
20,UgzSCy8ACh7NF9fyqUF4AaABAg,Metonymy1979,"@Haiden Hill Jesus. Maybe just a tad too far. I was thinking more of a ""No more wire hangers!!"" thing.",2021-07-12T13:25:25Z,0
21,UgzSCy8ACh7NF9fyqUF4AaABAg,Haiden Hill,kick boxing practice,2021-07-12T13:21:54Z,0
22,UgzSCy8ACh7NF9fyqUF4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ...
johnnydeppfanspage61@gmail.com",2021-07-09T19:55:13Z,0
23,UgxWJVuPtRyOmnvU3mJ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:06:14Z,1
24,Ugzx_dSLqtXGlK6V54V4AaABAg,king pin,she just obtain a shield. (+12 defense) (crit rate 3%) (crit damage 3%) (risitance 20),2021-09-18T13:41:10Z,1
25,UgyLw7ZF1oXHXkJewiZ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T19:59:58Z,0
26,UgzOeYJqrJTJIO_be_h4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:05:50Z,0
27,Ugzk4xQWVvRU-X3tWl94AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ...
johnnydeppfanspage61@gmail.com",2021-07-09T19:56:13Z,0
28,Ugz94k2O_466VsS_sS14AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....,,
johnnydeppfanspage61@gmail.com",2021-07-09T20:10:11Z,0
29,UgyCJazN_daITAd-RD54AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T20:01:57Z,0
30,UgzjzTQLBsdtAOf3Nql4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....,,
johnnydeppfanspage61@gmail.com",2021-07-09T20:12:15Z,0
31,UgzjzTQLBsdtAOf3Nql4AaABAg,Megan Nicole Green,​@Yun Mir True!  Her baby news is rather worrisome! But I was actually referring to celeb news on the whole when I said it's nobody's damn business :-),2021-07-08T00:51:46Z,0
32,UgzjzTQLBsdtAOf3Nql4AaABAg,Yun Mir,"Because it is worrisome that someone like Amber Heard (unstable and an alleged abuser) is now raising a baby, when the matter with Depp is not finished. There is some trolls, but a lot of people are also worried about this baby.",2021-07-08T00:41:30Z,0
33,Ugz5EhdaqTyOsLhiyEZ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ...
johnnydeppfanspage61@gmail.com",2021-07-09T19:58:06Z,0
34,UgwvFf2_n89KUEaBJzJ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T19:59:42Z,0
35,UgxMbTmkxZ_WUqRRmf54AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:07:28Z,0
36,UgyG9DB3MVtIZM9KzFx4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T20:02:10Z,0
37,UgzEvBU_4BA7w7sRkQ54AaABAg,Mariet31,"She had that baby for selfish reasons: Sympathy for being a mommy and after being announced to be part in the cast of Aquaman 2. I don't think this is about Depp anymore and when that baby doesn't fix her image, she will abuse her.",2021-07-08T02:02:39Z,6
38,Ugy-Kts4QbZ-x0LHXaB4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ...
johnnydeppfanspage61@gmail.com",2021-07-09T19:57:07Z,0
39,UgxpizhTBw3zkXPfuFF4AaABAg,Kaylee,@Arlz Conz Autistic children be like....,2021-08-24T04:26:37Z,1
40,UgxpizhTBw3zkXPfuFF4AaABAg,Nathaniel Bables,Ooh,2021-08-01T23:41:04Z,0
41,UgxpizhTBw3zkXPfuFF4AaABAg,Noel Star,"@Arlz Conz and, I’d assume, what people gleaned reading the court files...",2021-07-20T23:01:09Z,5
42,UgxpizhTBw3zkXPfuFF4AaABAg,Arlz Conz,You wouldn't believe how many predator female teachers sleep with their underage students that's SHOCKING. I like Johnny depp but this abuse of amber needs to stop from jealous petty women. You know nothing about her only what you hear in the media,2021-07-09T20:12:51Z,1
43,UgxpizhTBw3zkXPfuFF4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks 
johnnydeppfanspage61@gmail.com",2021-07-09T19:53:58Z,0
44,UgwPgQyCA36zXr8uQ6x4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:06:54Z,0
45,UgzsHhYX1SYCsrSWmMx4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:04:46Z,0
46,UgyZPfoFBxGH8yr9x294AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ......
johnnydeppfanspage61@gmail.com",2021-07-09T20:04:00Z,0
47,Ugxlh4pF3GTk9Zo8KqZ4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:07:05Z,0
48,Ugz_5dreEzvm_k1wYVx4AaABAg,Madame Feast,"@Johnny deppfanspage Why would anyone write you? Who are you, some weirdo pretending to be Johnny Depp haha. Yeah I'm sure people are lined up to send ya emails. Get lost",2021-07-13T20:06:19Z,1
49,Ugz_5dreEzvm_k1wYVx4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks 
johnnydeppfanspage61@gmail.com",2021-07-09T19:53:50Z,0
50,Ugz_5dreEzvm_k1wYVx4AaABAg,Imbored,"Lmao, so many mothers have been conficted. She’ll be sentenced and the poor child could come with",2021-07-08T18:21:47Z,1
51,Ugzsp_KCXh6_dAtjLYN4AaABAg,Joanne,Fcking up  her body for a baby?  She would never...,2021-07-07T22:58:34Z,0
52,Ugw3EZYQjAmSiW44OMV4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....,,
johnnydeppfanspage61@gmail.com",2021-07-09T20:12:04Z,0
53,UgwyuNXqrBpybXzDICN4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:05:40Z,0
54,UgzcM_10-m2k7J83K714AaABAg,moonshayde,She's a manipulative narcissistic sociopath...there is no way on earth (or anywhere else) that she has any 'pure intentions',2021-07-11T01:07:27Z,0
55,UgzcM_10-m2k7J83K714AaABAg,Chelsie D.,Well said.,2021-07-07T22:30:33Z,0
56,Ugw2rZVwKIy4be9Gf8t4AaABAg,Johnny deppfanspage,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ....
johnnydeppfanspage61@gmail.com",2021-07-09T20:08:22Z,0
57,Ugw6XlgOXBNw8LFj2914AaABAg,Mislang Family,Yes it’s true that she is in her age to have a children but she is not blessed to have a complete family. But still she’s bless to have a beautiful baby. Just focus on her child and be a good mother .. move on what happen to u in the pass just leave it. It’s just u are blessed u are beautiful amber hear and many man wanting u.,2021-07-18T05:32:00Z,0
58,Ugw6XlgOXBNw8LFj2914AaABAg,Alison Murray Tennick,totally agree,2021-07-07T21:42:44Z,0
59,UgzUVSzf9ZrFEBztd4F4AaABAg,king pin,and the fact that she buys crack and has a kid,2021-09-18T13:43:38Z,0
