,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugy_ex1wxqxuYlJxMrx4AaABAg,BabbyFace Revocation,remember the slinky commercial?  it's Amber it's Amber she's fun for a girl or a boy it's Amber it's Amber the bisexual toy she's fun for a girl or a boy   and now word from our sponsor,2021-10-16T10:03:12Z,0
1,UgzBBwaLCvyr-Ldi3TJ4AaABAg,Cynthia Haney,Fake johnny Depp scammers are out,2021-10-21T15:50:19Z,0
2,UgzBBwaLCvyr-Ldi3TJ4AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?❤️,2021-09-27T20:35:51Z,0
3,Ugx7dt9JGZMeXnW2Rhx4AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?❤️,2021-09-27T20:36:10Z,0
4,UgyS7L-eGNS45y3dsS14AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?❤️,2021-09-27T20:36:32Z,0
5,UgzGYk__xTes48BH1Ol4AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?❤️,2021-09-27T20:37:04Z,0
6,UgyKDHY-xBawqz4IhbN4AaABAg,Johnny Depp,"He'llo my dear great fans, thanks for your support, how are you doing , I hope everything is fine, you can write me in the hangout app with my email or the whatsapp. Thanks💞💞💞💞💞💞
johnnydepp61212@gmail.com",2021-08-18T00:36:02Z,0
7,UgzGPqNgruxOGo690Eh4AaABAg,Johnny Depp,"He'llo my dear great fans, thanks for your support, how are you doing , I hope everything is fine, you can write me in the hangout app with my email or the whatsapp. Thanks💞💞💞💞💞💞
johnnydepp61212@gmail.com",2021-08-18T00:36:44Z,0
8,UgwkqblXeHQ2GuMciKB4AaABAg,Johnny Depp,"He'llo my dear great fans, thanks for your support, how are you doing , I hope everything is fine, you can write me in the hangout app with my email or the whatsapp. Thanks💞💞💞💞💞💞
johnnydepp61212@gmail.com",2021-08-18T00:37:08Z,0
9,UgzyHGCrzzDE2xjCn0d4AaABAg,Johnny Depp,"Hello my beautiful great fans, thanks for your love and support, how are you doing, hope everything is fine , you can write me in the hangout app with my Gmail . Thanks.🥰🥰🥰🥰
johnnydepp61212@gmail.com",2021-08-28T07:58:10Z,0
10,UgzHyFZdRGKfk3x1oA14AaABAg,smash461986,If? She is. And I also will not watch it even though its gonna be hard not to.,2021-08-21T15:34:30Z,0
11,UgzuMaXXjzwBX_gW7lR4AaABAg,Johnny Depp,"He'llo my dear great fans, thanks for your support, how are you doing , I hope everything is fine, you can write me in the hangout app with my email or the whatsapp. Thanks💞💞💞💞💞💞
johnnydepp61212@gmail.com",2021-08-18T00:37:34Z,0
12,UgxTTHlyvyXWzJ3p0vR4AaABAg,Johnny Depp,"He'llo my dear great fans, thanks for your support, how are you doing , I hope everything is fine, you can write me in the hangout app with my email or the whatsapp. Thanks💞💞💞💞💞💞
johnnydepp61212@gmail.com",2021-08-18T00:37:42Z,0
13,Ugxf5LoYDp98l-QxQt94AaABAg,Ben Dover,"@Johnny Depp bro stop people aren’t THAT stupid to fall for you’re shitty ass scam


(And I’m not defending amber I’m just saying that this isn’t Johnny depp it’s a scam for people who didn’t know)",2021-10-20T06:00:11Z,0
14,Ugxf5LoYDp98l-QxQt94AaABAg,Johnny Depp,"He'llo my dear great fans, thanks for your support, how are you doing , I hope everything is fine, you can write me in the hangout app with my email or the whatsapp. Thanks💞💞💞💞💞💞
johnnydepp61212@gmail.com",2021-08-18T00:37:51Z,0
15,UgzvTknncqlpGFnRG5J4AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?❤️,2021-09-27T20:37:38Z,0
16,UgzodXYL7YWjG_OP9s54AaABAg,Johnny Depp,"He'llo my dear great fans, thanks for your support, how are you doing , I hope everything is fine, you can write me in the hangout app with my email or the whatsapp. Thanks💞💞💞💞💞💞
johnnydepp61212@gmail.com",2021-08-18T00:43:13Z,0
17,UgwTHkqzcGNXRt77LOd4AaABAg,Johnny Depp,"He'llo my dear great fans, thanks for your support, how are you doing , I hope everything is fine, you can write me in the hangout app with my email or the whatsapp. Thanks💞💞💞💞💞💞
johnnydepp61212@gmail.com",2021-08-18T00:44:13Z,0
18,UgxtJFuB4ePxa9HJYcJ4AaABAg,Gc Martinez,Narcissism for sure,2021-08-05T07:13:34Z,0
