,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugw89eYl5obGHpNs9aV4AaABAg,Christopher Lee Jackson,"Very unfair! All because Heard (according to her fandom and simps) she's ""Hot"" and ""Female"" That means she's have a ""Get Out of Jail, Consequences, Reprecussions and Loss of Income"" Card. *Triple smh*",2021-05-14T05:06:51Z,1
1,Ugw89eYl5obGHpNs9aV4AaABAg,Chris Bowlby,@Hominus Nocturna especially if you've been dating somebody as psychotic as AH and your about to put a ring  it you better be squirreling away some money lol,2021-05-14T00:56:09Z,1
2,Ugw89eYl5obGHpNs9aV4AaABAg,Hominus Nocturna,@Chris Bowlby Right?! It's just good sense. Is better to have it and don't need it than to need it and don't have it.,2021-05-14T00:50:51Z,1
3,Ugw89eYl5obGHpNs9aV4AaABAg,Chris Bowlby,@Hominus Nocturna every celebrity should have a stash of kidnap and shakedown money buried somewhere I know I would lol,2021-05-14T00:46:11Z,3
4,Ugw89eYl5obGHpNs9aV4AaABAg,Abbie Hazel Hunter,"I know its unfair but he knew he would have to lose lots of money but he wasn't bothered Johnny wanted to speak out and clear his name and get his reputation back. He has got his fans back, and everyone knows he' didn't hurt Amber. He is coming through  this and that's what's important",2021-05-13T20:18:15Z,2
5,UgzOmeZGIQR4cEpOC0R4AaABAg,Lindsey Depp,That was actually his former management that so caused a strained relationship between my beautiful husband to be  Johnny and his sister christi,2021-09-18T01:08:40Z,0
6,UgzUEtv3inPRg_uMiF94AaABAg,Christopher Lee Jackson,@Nerdette's NewsStand We need Roger Murtagh to Revoke it from Amber Heard. 😁😊😁,2021-05-15T04:04:20Z,0
7,UgzUEtv3inPRg_uMiF94AaABAg,Nerdette's NewsStand,🤣🤣,2021-05-14T14:44:42Z,1
8,UgxQmfnuaeon86Smehl4AaABAg,Nerdette's NewsStand,Thank u,2021-05-14T01:57:52Z,0
9,UgzmeIsM48-I30zjhVx4AaABAg,Wild Heart's Can't Be Tamed,This 100%,2021-05-14T14:14:51Z,1
10,UgzzwNH051apo7Lx-Hp4AaABAg,jx14aby,@Debra Nash He can never clear his name.  He's already been judged to be a wife-beater by a court in London.  You lose.,2021-05-16T00:04:18Z,0
11,UgzzwNH051apo7Lx-Hp4AaABAg,Debra Nash,He's trying to clear his reputation that is more important than money 💰 Your name is all you have so if it's tarnished by so many lies and accusations of DV you don't give a crap how much it takes to clear his name .,2021-05-15T16:54:34Z,1
12,UgzzwNH051apo7Lx-Hp4AaABAg,Wild Heart's Can't Be Tamed,@jx14aby  You have not seen nothing yet. and do not worry I have so many screen shots of your lovely comments sleep with one eye open.,2021-05-14T18:32:13Z,2
13,UgzzwNH051apo7Lx-Hp4AaABAg,jx14aby,@Wild Heart's Can't Be Tamed You should take screen shots of your comments and take them to a psychiatrist for an evaluation.  You're nuts.,2021-05-14T18:17:05Z,0
14,UgzzwNH051apo7Lx-Hp4AaABAg,Wild Heart's Can't Be Tamed,@jx14aby JD will clear his name and your abuser will do nothing to stop him eaither and guess what it is time for so abuser to accept he is no longer her toy puppet and is no longer going to be in control of his life he is moving on but what is AH doing being sad cause he is no longer intreasted in her cry a river cause he is going to be happy and there is absoulty NOTHING you people can do about. Also you THREATEN him you are threating me just go ahead and try me.,2021-05-14T17:53:44Z,2
15,UgxtcPRxraYE0sqaoUh4AaABAg,Nerdette's NewsStand,Very cool!,2021-05-13T23:39:33Z,2
16,Ugw6PxbacaZRZPbvCSt4AaABAg,alex silva,@Nerdette's NewsStand Dont be! 😊,2021-05-14T07:08:19Z,0
17,Ugw6PxbacaZRZPbvCSt4AaABAg,Nerdette's NewsStand,Sorry 🤭,2021-05-13T23:39:56Z,0
18,UgxwzF9Vs0hUpn4NNKB4AaABAg,Lindsey Depp,@edieVanessa and my darling husband Johnny weren’t officially married,2021-09-18T01:11:45Z,0
19,UgxwzF9Vs0hUpn4NNKB4AaABAg,Lindsey Depp,"Stephanie, technically my gorgeous husband to  be Johnny wasn’t officially married to Vanessa, but were together 14 and two amazing kids Lilyrose and jack,",2021-09-18T01:11:12Z,0
20,UgxwzF9Vs0hUpn4NNKB4AaABAg,edie,@Marie Smith yes I know. She is happily married to someone else. I looked it up after iposting. Thank you,2021-05-17T13:16:43Z,0
