,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyKSaeOKCOK4vwag5x4AaABAg,LaraCroftEyes1,She is queen abusive bitch,2021-03-06T07:13:02Z,1
1,UgyKSaeOKCOK4vwag5x4AaABAg,Johnny's Girl,Queen  of female abusers.,2021-02-11T08:56:00Z,2
2,Ugxq9yrSnOcPACvi0At4AaABAg,Enna O' C,"Yes Rodney/Amber, we get it 😂😂😂",2021-03-03T11:22:27Z,0
3,Ugxq9yrSnOcPACvi0At4AaABAg,Johnny's Girl,She is also Johnny Depp's abuser.,2021-02-11T08:57:02Z,1
4,UgygbGqyf-4sIvZF7qx4AaABAg,Rodney Ives Collen,"Amber Heard, undeniably one of the most beautiful/attractive and hottest/sexiest women ever; but to me, she's the most attractive/beautiful and hottest/sexiest. Goddess-like, she's totally one of a kind and out of this world!",2019-04-12T16:48:33Z,0
5,UgxqeFcq2hKzliaECll4AaABAg,ポール,It's coming in 2022.,2021-07-02T17:05:03Z,0
6,UgxqeFcq2hKzliaECll4AaABAg,Dany Ella,I'm sure there will be Aquaman 2 the movie has been the biggest movie blockbuster this year already making so far over $400 million worldwide that's not including Australia and New Zealand as the movie don't open here until Boxing Day,2018-12-24T05:07:18Z,1
7,Ugx1N49aaZUFbLl-0Dd4AaABAg,SANS Undertale,Maybe they should have gotten Bogart The Explorer instead of these guys as the event host...,2018-12-20T09:52:17Z,0
8,Ugx1N49aaZUFbLl-0Dd4AaABAg,Head Shell,Yeah like wtf 😂😂😂😂😂,2018-12-16T03:18:25Z,0
9,Ugx60QWQANH1sT1lcyd4AaABAg,Rodney Ives Collen,"Amber Heard, undeniably one of the most beautiful/attractive and hottest/sexiest women ever; but to me, she's the most attractive/beautiful and hottest/sexiest. Goddess-like, she's totally one of a kind and out of this world!",2019-04-12T16:47:43Z,2
10,UgzLOlSeXkZA-ygPOvB4AaABAg,dab savage,maics p super,2018-12-20T22:50:07Z,0
11,UgzLOlSeXkZA-ygPOvB4AaABAg,GABBZB,Annoying right haha,2018-12-13T18:28:09Z,1
12,UgyXM5uMZCiJadJ69Nh4AaABAg,Dr DjDebUsa International,THAT DRESS IS A LITTLE TOO REVEALING! ♡♡♡♡♡♡♡♡♡♡,2019-03-02T20:53:37Z,0
13,UgyXM5uMZCiJadJ69Nh4AaABAg,Dr DjDebUsa International,Yes that's what I said. Xoxo. I just love AMBER HEARD. ♡♡♡♡♡♡♡♡♡♡◇◇,2019-03-02T20:49:45Z,0
14,UgyDo2gTtfSnGxWJmzl4AaABAg,Rodney Ives Collen,"Amber Heard, undeniably one of the most beautiful/attractive and hottest/sexiest women ever; but to me, she's the most attractive/beautiful and hottest/sexiest. Goddess-like, she's totally one of a kind and out of this world!",2019-04-12T16:47:24Z,3
15,UgyDo2gTtfSnGxWJmzl4AaABAg,Dr DjDebUsa International,"SHE SMART, SEXY, & STRONG.   I LOVE AMBER HEARD.. XOXO
HAPPY GAY PRIDE TO ALL 2019.XOXO",2019-03-02T20:49:01Z,3
16,UgygkMM-5eMYw7E4EWx4AaABAg,Alex Grae,Di sa pagmamayabang ate ko si Amber Heard,2019-10-21T01:34:35Z,0
17,UgygkMM-5eMYw7E4EWx4AaABAg,J Arius,Di sa pagmamayabang may anak na kami ni amber heard.,2019-01-11T03:08:36Z,0
18,UgygkMM-5eMYw7E4EWx4AaABAg,소네미오,hahhahaha....,2019-01-08T00:38:39Z,0
19,UgygkMM-5eMYw7E4EWx4AaABAg,Mary Bartolabac,Sa hndi mamayabang ko girlfriend ko po si amber heard ...secreto lng namin,2018-12-23T07:23:46Z,0
20,UgygkMM-5eMYw7E4EWx4AaABAg,dab savage,Di sa pagmamayabang Exgf ko si Amber,2018-12-13T12:34:07Z,3
