,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwaQhLJiVhwkCKCBjx4AaABAg,Elizabeth Stafford,"I can guarantee AH would never gracefully back down to save everyone else like Johnny did. Johnny has class and a conscience. AH is crass, greedy and selfish. She ia likely threatening to sue the pants off of them, digging her heels in like she always does.",2021-04-23T15:35:00Z,0
1,UgwEWCn89j4JU7DYczB4AaABAg,Lucius Irving,"It's not that great, trust me and DC should stick to television.",2021-04-11T05:26:52Z,2
2,UgxPvU_lIZlilubfIsF4AaABAg,Lucius Irving,No thanks!,2021-04-11T05:27:23Z,1
3,Ugw3FW4cby_bGyYw_QN4AaABAg,Lucius Irving,New Gods should just move over to television. We are in the middle of the scamdemic.,2021-04-11T05:34:18Z,0
4,UgwXPZ_KKyHPilBDCCl4AaABAg,Skylar Madison,"As soon as that happens, I’ll watch it, but not before",2021-04-12T01:24:33Z,0
5,UgxC1pHJz17yuiWzoFB4AaABAg,RiskyWorks,"@Emma Rain Those other locations honestly should also have her face court. I am sick of her getting away with her clear lies, she keeps saying things that are completly stupid... They asked if he had ever hit her (Stated like a yes/no question) and she then gives a long overly detailed story. Also she really doesnt act like a victim. The justice system is so corrupt, that it is hopeless. Even tho there are good police, it doesnt help when there is so much corruption. Someone needs to try and solve the corruption, but it is likely impossible.",2021-04-18T17:45:07Z,1
6,UgxC1pHJz17yuiWzoFB4AaABAg,RiskyWorks,@Emma Rain Aquaman 2 could end up getting delayed a while though... It will be filmed in australia. And isnt that the country that is trying to find a way to give amber heard jail time (which she really does deserve),2021-04-18T11:30:32Z,0
7,UgxC1pHJz17yuiWzoFB4AaABAg,Zel DeCasa,@Emma Rain oh you'd love the west coast if you're into beaches! I love collecting shells at my local beach! And yeah wagga is too inland for me too haha,2021-04-15T07:26:44Z,1
8,UgxC1pHJz17yuiWzoFB4AaABAg,Zel DeCasa,"@Emma Rain nope xD that's the first time I've written it haha it does feel weird to say, I've only said it once irl to a group of backpackers. They were like ""omg she said it"" xD Hope you and your fam are doing well in these crazy times, I got some family in wagga over there haha.",2021-04-15T06:44:43Z,0
9,UgxC1pHJz17yuiWzoFB4AaABAg,Zel DeCasa,"@Emma Rain g'day fellow aussie! Haha, I'm on the west side. And I 100% agree, you'd think a channel that prides itself on combing through legal documents would vet their information properly",2021-04-15T05:48:25Z,1
10,UgxGNDqZx2m97jBHeUd4AaABAg,AVJ,I suspect that that's correct!!!,2021-04-09T11:31:23Z,0
11,UgwSH5imM5bWTbfMy3V4AaABAg,Elizabeth Stafford,"Thats a great point. And then there is the childrens charities, kids dying of cancer, that she has used for clout and then blew completely off. And the Me Too movement where she has literally discredited every single victim of DV that has ever come forward or may be afraid to come forward. And all the people she has coerced to lie for her who will never have any credibility for the rest of their lives. All of this for a gold digging scam to enrich herself. She has effected literally thousands of people. The degree of Malignant Narcissism she embodies is insurmountable.",2021-04-23T15:27:15Z,3
12,UgwSH5imM5bWTbfMy3V4AaABAg,Dylan Brouwer,"At this point, so is Warner Bros for the way they're handling all this.",2021-04-19T18:43:28Z,6
13,UgyZytlluixPZjP642h4AaABAg,Ethan Forrester,Godzilla vs Kong is looking pretty good at the moment,2021-04-09T00:46:50Z,0
14,UgyZBSnLL1-sTWLBdBV4AaABAg,Stella Lewis,"@MGTOW MONGER that's tough! I can understand he's trying to be there for a friend; but with a manipulator like Amber, he should have distanced himself from making any statement rather than  defending her lies!!. It's a shame!!",2021-04-08T21:01:55Z,3
15,UgyZBSnLL1-sTWLBdBV4AaABAg,MGTOW MONGER,"Jason destroyed himself by defending Amber Heard.  Anything he is in from now on I will not watch unless it's from sailing the 7 seas!  In Mexico you can get any movie that way, and you will have your own hardcopy you can watch at any time and it generally costs less than $2 USD",2021-04-08T20:50:06Z,3
16,UgxfvJIwmQ122hO4ecJ4AaABAg,AVJ,Painfully bad. She butchered her scenes. The worst I've ever seen,2021-04-09T11:28:47Z,0
17,UgxfvJIwmQ122hO4ecJ4AaABAg,Robin Ryan,Were you scared?,2021-04-08T21:19:28Z,0
