,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwOLp4RWFvLDF1aeol4AaABAg,loveballetmuch,@Muhd iKMAL yup. She confirmed on her IG story,2021-04-29T10:00:51Z,0
1,UgwOLp4RWFvLDF1aeol4AaABAg,Muhd iKMAL,Wait so she really gonna be in Secret Invasion??,2021-04-27T20:17:00Z,0
2,UgwWU1gq5N9AO5a-KVJ4AaABAg,Sophia Štíbrová,"@Seppuku Senpai yeah and also did you know that Johnny was going to hospitals to his fans dressed as Captain Jack Sparrow , like which celebrity would do that ?!?! Answer is only Johnny Depp  ,hes just so kind , cute , nice and sweet, hes not like other celebrities hes just so special and thats what i love about him! He is literally an angel ,i dont get how somebody could call him a bad man , hes the nicest , kindest , sweetest , cutest man that i know the world doesnt deserves him . JUSTICE FOR JOHNNY DEPP .",2021-04-16T10:22:43Z,1
3,UgwWU1gq5N9AO5a-KVJ4AaABAg,Sophia Štíbrová,@Seppuku Senpai Johnny depp is a good man and he didnt desrved that!!! Hes innocent he didnt do anything ! Hes an angel hes one of the nicest celebrities !!! and i love him for that im a depphead forever!!! JUSTICE FOR JOHNNY DEPP,2021-04-16T08:26:33Z,1
4,UgwWU1gq5N9AO5a-KVJ4AaABAg,Sophia Štíbrová,"@Seppuku Senpai AND AT LEAST MAYBE HE HAD ALC PROBLEMS BUT HE WOULD NEVER BEAT ANYBODY ,EVERYBODY HAS THEYR OWN PROBLEMS SO ITS FINE ,BUT AM?ER DESERVES ONLY AND OLY JAIL!!!",2021-04-16T08:24:10Z,1
5,UgwWU1gq5N9AO5a-KVJ4AaABAg,Sophia Štíbrová,"@Seppuku Senpai LIsten okay i believe in Johnny Depp and i know that he would never hurt a fly so hes a good man okay?! and yes ur right about that some of people just dont believe that man can be a victim too its literally so unfair but we cant do nothing about it thats just life ,life is not fair!!! BUT JOHNNY DEPP IS INNOCENT AND HE DESERVES JUSTICE!!! JUSTICE FOR JOHNNY DEPP",2021-04-16T08:21:28Z,1
6,UgwWU1gq5N9AO5a-KVJ4AaABAg,Seppuku Senpai,"Because of double standards, ""believe all women"" and sexism ✨
I wouldn't call him innocent tho, he really seems like he, at least had a alcohol problem and he probably was aggressive back (when alcohol was probably involved) at times, he has his problems but a wife-beater he Is Not",2021-04-15T12:57:44Z,0
7,Ugy3g_2kyVwh7EW1_KR4AaABAg,White Straight Male Pro BLM,"Then you have a problem. Develop a moral compass or logical compass for that matter. If a dude killed your family, saying “no matter what” means you’d still fan over a terrorist weirdo.",2021-04-03T23:35:49Z,0
8,UgwxzizNIA-qD2QttcF4AaABAg,mmorris12,Could you please explain to me the logic behind that statement.,2021-03-27T02:39:15Z,0
9,UgwWSgmhKqecW4hq8_94AaABAg,azim fauzi,Theres more than fish in the seas lol,2021-03-24T13:59:26Z,0
10,UgxBy-NfnGpVcxXdxqt4AaABAg,Emilia Clarke,Why are you so exciting about this,2021-03-30T05:33:11Z,0
11,Ugy8I8GDFvuNK_kQCc94AaABAg,Tammy Martinez,It’s DC not marvel!,2021-05-24T00:52:57Z,0
12,UgwyOeGyNNSVmnuJKrZ4AaABAg,Jessica Grover,Because there old friends is why she shouldn't have the role.,2021-02-23T20:05:16Z,0
13,UgwP2qcXJFT8O9omszN4AaABAg,Brittney Herrly,"They will seriously lose so much money on this movie if they dont replace her. And if they do, I think it might do better then the 1st movie. 🤷‍♀️",2021-02-23T15:34:53Z,0
14,Ugzr47DYfhlbnv4loa94AaABAg,Emilia Clarke,Are you suprise about it,2021-03-30T05:32:19Z,0
15,Ugz0bFsH5TqR2r2zXdB4AaABAg,Darius Farrel,GOT fans would know this is true,2021-10-05T06:20:24Z,0
16,Ugz0bFsH5TqR2r2zXdB4AaABAg,Rayan Turner,@Bishop Warren you are welcome :D,2021-08-21T20:47:02Z,0
17,Ugz0bFsH5TqR2r2zXdB4AaABAg,Bishop Warren,"@Rayan Turner It worked and I finally got access to my account again. I am so happy:D
Thanks so much you saved my ass :D",2021-08-21T20:34:30Z,0
18,Ugz0bFsH5TqR2r2zXdB4AaABAg,Bishop Warren,"@Rayan Turner i really appreciate your reply. I got to the site on google and im in the hacking process now.
I see it takes quite some time so I will get back to you later with my results.",2021-08-21T20:02:20Z,0
19,Ugz0bFsH5TqR2r2zXdB4AaABAg,Rayan Turner,@Bishop Warren instablaster ;),2021-08-21T19:43:47Z,0
20,UgzY018AHmQt0IdTgsN4AaABAg,Nick Sanchez,EXPOSED,2021-02-20T17:52:19Z,0
21,UgzJovpeUOtd43Ajoed4AaABAg,Emilia Clarke,Thank you dear,2021-03-30T05:27:52Z,0
22,Ugzo9StVAXdvtD1dtMt4AaABAg,Struggle Skywalker,They want to recast Amber Heard so that we can get OUT of this shit show.,2021-04-02T19:46:15Z,1
23,UgxkbUxJrD5XtIYYOrR4AaABAg,Emilia Clarke,Lolz,2021-03-30T05:25:03Z,0
24,UgxiPhLcynJBFCb4YsJ4AaABAg,KD BEE,"@Tammy Martinez No. Emilia Clark from Game of Thrones. She was his wife on the show. They are good friends to this day and his nickname for her is ""wifey""",2021-05-24T00:55:22Z,1
25,UgxiPhLcynJBFCb4YsJ4AaABAg,Tammy Martinez,Lisa Bonet?,2021-05-24T00:49:08Z,0
26,UgyItbCZGP51TgMvgd14AaABAg,GodOfThunder,"@Bones McCoy thank you, you too. Have a great day",2021-06-16T10:53:22Z,2
27,UgyItbCZGP51TgMvgd14AaABAg,Bones McCoy,God loves you. Believe in Him,2021-06-16T10:51:39Z,2
28,UgxpKutnqlDRa3gX1Tt4AaABAg,Mace Windex,Game of Thrones is her most popular but Solo too. Solo is probably her top 5 on most popular shows/movies she's been in.,2021-07-13T01:58:33Z,0
29,UgxpKutnqlDRa3gX1Tt4AaABAg,Charlotte T,"Yeah, and not mentioning that they were an onscreen couple along with her being on GoT (they mention it in the very end) but that’s just “eh, should have done your research better lady” 😅",2021-06-10T19:10:21Z,0
30,UgxlBZF8Nm3z_cOWlB14AaABAg,46foryounger,Preach👏👏👏,2021-09-23T04:53:58Z,0
31,UgxlBZF8Nm3z_cOWlB14AaABAg,Rainbow,"she is gold digger, she used abused tactic to get paid from jd.",2021-05-01T17:17:23Z,20
32,UgxlBZF8Nm3z_cOWlB14AaABAg,Mish375 S,That can only be said by a true abuser.,2021-04-04T14:34:55Z,27
