,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugzo1Zhy-Z7f4wp5p1J4AaABAg,Doctor Soup,haha!,2021-09-10T21:16:01Z,0
1,Ugw2rUeyAqO5N0TgJRR4AaABAg,CosmicBro TV,@Doctor Soup Anytime :D,2021-04-03T10:55:03Z,0
2,Ugw2rUeyAqO5N0TgJRR4AaABAg,Doctor Soup,Thank you so much!,2021-04-03T05:02:58Z,0
3,UgzJEZgw-W92V_RtNnp4AaABAg,Doctor Soup,I agree! She needs to be replaced! Thanks for watching!,2021-03-06T04:31:30Z,1
4,UgwBAe3XH01KtyEly014AaABAg,JoyceAnn Jackson,Really??? Shitting in his bed isint enough proof for you??? Justice For Johnny 🥳🥳🥳,2021-03-06T20:35:08Z,0
5,UgykHn8a7TY_mvQS-oJ4AaABAg,Doctor Soup,🤣🤣🤣,2021-02-20T17:45:56Z,0
6,UgxEBMxiRlzvzzeH5h94AaABAg,Doctor Soup,I agree. Abuse is abuse and should not be tolerated.,2021-02-19T00:43:40Z,0
7,Ugx0iPJ3JttbqDM2k5p4AaABAg,Doctor Soup,It's unfortunate but it's completely true.,2021-02-19T00:43:52Z,0
8,Ugx2XTAflDb6m0Ry_-Z4AaABAg,Doctor Soup,😂😂😂😂,2021-02-12T13:49:59Z,0
9,UgyCHdM27gx_glX5fGh4AaABAg,Doctor Soup,literally. lmao,2021-02-08T16:41:08Z,1
10,UgzXUKCLXM7vGRmJGt54AaABAg,MrSRA13,It's bull. She's got plenty of money already. He'd have to pay off a lot of people and if it was found out it would end the entire thing. So no way.,2021-02-08T15:30:54Z,0
11,UgwhgXyNvBFdggxa8JF4AaABAg,Doctor Soup,Thanks so much! 😊,2021-02-08T06:00:50Z,1
12,UgzekRM2IWKQONuNhWl4AaABAg,Waxer Bigwednesday,Thats the beauty of lying. There is no proper way to lie. The truth emerges eventually,2021-03-06T03:40:43Z,0
13,UgzRPLBBJmZ9TQmT0vp4AaABAg,Mary Jorge,@JoyceAnn Jackson that's why I wrote that they were still getting paid but didn't say who,2021-03-07T11:55:28Z,0
14,UgzRPLBBJmZ9TQmT0vp4AaABAg,JoyceAnn Jackson,I have doubts about her legal team being paid by her.,2021-03-06T20:11:59Z,1
15,UgxCRYC2neK4BWqDtLJ4AaABAg,Rubielayne Rawlings,"Narcissist traits,",2021-02-08T11:27:31Z,0
16,UgyYxXmX39v6mBV1o494AaABAg,Doctor Soup,lmao!,2021-02-08T03:25:42Z,1
17,UgyoPGc1PgrYYYtbeVx4AaABAg,Sarah’s inspiration channel,Same. She has always been a gold digger and a bad person I saw it from the start.,2021-02-09T05:15:21Z,0
18,Ugwu8fNrtyz_QaubSJt4AaABAg,Doctor Soup,Thanks so much!,2021-02-08T03:26:01Z,1
19,UgxxRznqUpxX6dMwK2p4AaABAg,Rebecca Vaughn,"Um... You say ""bitter women"" and then describe Elon Musk and not Amber Heard.",2021-02-10T17:42:21Z,0
20,UgxxRznqUpxX6dMwK2p4AaABAg,Doctor Soup,Great point,2021-02-08T16:43:19Z,1
21,UgymJvVQju3GEAZYO0N4AaABAg,Carmen beltrán,Nice!!👌👌😁😁,2021-02-11T18:08:23Z,0
22,UgymJvVQju3GEAZYO0N4AaABAg,Cloo Viewer,Or sink faster than Atlantis,2021-02-09T00:41:28Z,0
23,UgxwCknkbxpFLPqZimF4AaABAg,Doctor Soup,Probably!!!!,2021-02-07T22:40:25Z,0
24,UgwvW9rCuIseopxVd9N4AaABAg,A Ace,"Hey June, sorry you feel this way. Shelby is such a sweetheart but she only hearted my comment once. That's ok by me. I watch a lot of JD AH vids but some of these lovely guys will only like some comments, others will try to like them all, even in huge amounts. Each to their own. I'm grateful to them for being brave and delivering the truth. Take care!",2021-02-07T22:47:55Z,2
25,UgwvW9rCuIseopxVd9N4AaABAg,Doctor Soup,"Hi June. Your opinion does matter; it’s not always possible to heart every comment/respond to them all. You are welcome to unsubscribe if you wish, but I have no disrespect towards my subscribers, just because I may not always get the chance to respond to someone/heart their comment. I do livestreams for the purpose of being able to connect more with my audience, as I have a lot of people watching me and don’t always get a chance to get back to them. Take care and have a good day.",2021-02-07T22:14:06Z,3
26,UgwBMYZqOkclkBEFbMp4AaABAg,"Breathe, the time is now",No she doesn't. Keep it going Amber Turd.,2021-02-14T10:24:08Z,0
27,UgyG9qtlXZGAO0dJemV4AaABAg,Ryan,Sinking faster than the titanic,2021-02-07T22:57:58Z,1
28,UgyG9qtlXZGAO0dJemV4AaABAg,Doctor Soup,Thank you 😄,2021-02-07T21:36:40Z,1
29,UgyGjRayVNi5RTKAPDl4AaABAg,"Breathe, the time is now","She wants to destroy men, and she found someone who was vulnerable, and an easy target.",2021-02-14T10:23:29Z,0
30,UgzMMyDbq5LkwYKt_kB4AaABAg,Doctor Soup,😂😂😂😂,2021-02-08T18:35:48Z,0
31,UgzMMyDbq5LkwYKt_kB4AaABAg,Deb,I agree I think she's gone on a bender and she been losing her Shit high as a kite.,2021-02-08T14:46:34Z,9
32,Ugx3Ps101j17BRXa6ux4AaABAg,Laura B,Maybe true,2021-02-07T21:23:27Z,1
33,Ugx3Ps101j17BRXa6ux4AaABAg,Russianbot__gardenvariety,"Wow!!  that never even occured to me, shit you maybe on to something",2021-02-07T19:49:24Z,5
34,UgxZc4ye3xhSJjAj6bV4AaABAg,Jeanne Cihla,"Also, may not be popular but thank you to Cadillac.  They knew the new commercial would be recognized as a tribute to Mr.Depp.  they knew the media mess they were stepping into and still did it.  They have given him quiet and subtle support.   Ah is probably melting down since she didn’t get her own Super Bowl. Commercial !",2021-02-07T23:05:28Z,7
35,Ugz_bIgjf8PhcJIctYx4AaABAg,Dottie Ndots,i saw some pics of him and an insanely gorgeous dancer named Polina Glen,2021-02-08T20:24:04Z,4
36,Ugz_bIgjf8PhcJIctYx4AaABAg,Doctor Soup,🔥🔥🔥,2021-02-08T16:41:36Z,7
