,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwyK1mrgVh18zLs2QB4AaABAg,ENK,Sorry had to listen to that a second time. 😂 These clowns are definitely doing some jail time. 😂,2020-04-30T11:46:35Z,1
1,UgwyK1mrgVh18zLs2QB4AaABAg,Miss Nadjezdah,Chris John With hindsight we hardly ever do. When things have gone south that is.,2020-04-29T08:11:59Z,0
2,UgwyK1mrgVh18zLs2QB4AaABAg,Jon Stickney,Didgidijg.,2020-04-29T06:13:16Z,0
3,UgwyK1mrgVh18zLs2QB4AaABAg,Eye Reign,@CSY L not all. Plenty more like her.,2020-04-28T18:56:25Z,0
4,UgwyK1mrgVh18zLs2QB4AaABAg,HouseOfStaci,"Nerdette's NewsStand 
Sorry for my long-ass post. I’ve been following this and this call just pushed me to justified outrage. This caller should be slapped wirh a fine or thrown into jail for a week. Disgusting abuse of the system in place to help real victims. I hope we find out WHO she is. She deserves a public verbal spanking.",2020-04-28T17:00:05Z,2
5,Ugy6ELDE3io8jurtvbN4AaABAg,Nerdette's NewsStand,"Wow, good catch",2020-07-25T04:55:08Z,1
6,UgzO7xg_uU-mgpML36J4AaABAg,bluesque,"Actually, i have been more urgent on pizza orders than her reporting on an assault to 911!! 
That, and how does she know Amber is being assaulted ? If Amber called her then why didn't Amber call 911 instead??",2020-05-02T21:18:30Z,0
7,UgyDpkZxyTWnejdNUbN4AaABAg,e22378,So is the caller,2020-04-29T11:49:59Z,0
8,Ugy1FWqi2GnHWqkLEvt4AaABAg,GINO Productions,🤤 OMG! You liked my comment.....😍,2020-04-29T16:15:12Z,0
9,UgzWQ1pbdX_S382n2OR4AaABAg,Thackery Binx,Amber used Lóreal makeup to cover up her bruises but Christy did not. That's the difference.,2020-04-28T19:06:14Z,1
10,UgzWQ1pbdX_S382n2OR4AaABAg,Tania Haeussler,EXACTLY,2020-04-28T16:11:04Z,1
11,UgxJFT1HW1WhIJpsFY54AaABAg,Tania Haeussler,"@Lady Louise ha ha, with any luck, YES!!!...",2020-04-28T17:19:55Z,0
12,UgxJFT1HW1WhIJpsFY54AaABAg,Lady Louise,@Tania Haeussler Well I think Ambers new summer look book should include mostly orange since that will be her only color choice very soon. 😁,2020-04-28T17:00:57Z,1
13,UgxJFT1HW1WhIJpsFY54AaABAg,Tania Haeussler,"@Lady Louise you are absolutely, 100% correct!! I want them all to go to prison SO BAD!!!...",2020-04-28T16:56:31Z,1
14,UgxJFT1HW1WhIJpsFY54AaABAg,Lady Louise,"@Tania Haeussler Wow! That is discusting! It's like ""they"", who ever the FUCK that is, don't want this to come out because it will completely destroy the #metoo movement and ruin the believe all women narrative. I've heard that this has happened to many people's Twitter accounts due to mentioning her. And I'm sure you've noticed that almost none of the major news media has covered anything regarding this up until Johnny got Instagram. And the stories they print all have a title making Johnny out to be the bad guy even if the evidence doesn't support such. For example I saw a news article call this 911 call ""Frantic""!?!? LMFAO! This caller was the least frantic 911 call I've ever heard! 😂",2020-04-28T16:51:30Z,1
15,UgxJFT1HW1WhIJpsFY54AaABAg,Tania Haeussler,"@Lady Louise I went to it's Twitter out of curiosity, and discovered that I'd been blocked, lol! I was like WTF? Someone must have told it that I was constantly Tweeting facts about Amber, her family and her friends who all lied to help her with her abuse hoax against Johnny... Oh yeah, almost forgot... My Twitter account has been suspended with no reason given, lol! I appealed, but so far have heard nothing from Twitter, either way... Censorship much?... WHY is Amber the Nobody being protected?...",2020-04-28T16:27:52Z,1
16,UgyiGIAHggEHuMHAlZp4AaABAg,Tera Dactyl,Oh ya....pathetic!,2020-04-28T04:49:22Z,0
17,UgxkQX39iSmyA9rtIu14AaABAg,Andrea Melo-Leon,"No problem.  He confirmed it was his, his lawyer and his assistant as well.",2020-04-28T03:41:27Z,1
18,UgxkQX39iSmyA9rtIu14AaABAg,Stephanie Garsow,That's the one I'm talking about. I wonder why the music in the video  is different than the original video.  Oh well. I guess it's real. So cool!  Thank you for taking the time to answer my questions  :),2020-04-28T02:39:10Z,0
19,UgxkQX39iSmyA9rtIu14AaABAg,Andrea Melo-Leon,Here's the one:  managed by himself just like the IG:  https://m.facebook.com/JohnnyDepp/,2020-04-28T02:06:18Z,1
20,UgxkQX39iSmyA9rtIu14AaABAg,Stephanie Garsow,Hahaha. Both are fake Facebook pages. The video of him making the bra has totally different music than the real original video . Nope nope and nope lol,2020-04-28T01:54:10Z,0
21,UgxkQX39iSmyA9rtIu14AaABAg,Stephanie Garsow,Yeah the posts are the same.  Even though I  don't have an Instagram I can still see his posts. If your on Facebook look up Johnny Depp and Johnny Depp Ditto. Both have a blue tik next to the name but I don't think he personally handles it then. I think it's handled by his agents or whatever you call them now lol,2020-04-28T01:33:53Z,0
22,UgzDeeFbm8QVvSb7QDB4AaABAg,Tania Haeussler,@Ixchel Roy Yikes! I hope you're never selected for jury duty!! Your discernment is a tad off...,2020-04-28T16:21:22Z,0
23,UgzDeeFbm8QVvSb7QDB4AaABAg,Tania Haeussler,How TF does this make Johnny look guilty? Are you serious? Wow!!...,2020-04-28T16:19:44Z,1
24,UgzDeeFbm8QVvSb7QDB4AaABAg,Lady Louise,"@Ixchel Roy If my close friend was being assaulted while I was on the phone with police I would have stayed on the phone until they arrived. And I wouldn't give two shits about remaining anonymous! I'd be concerned for her life! This call reflected no genuine care or concern at all. The ""anonymous"" caller was vague, unhelpful, refused to give pertinent info, agitated and at times argumentative. And the police did come..2 came first and found ZERO evidence of a domestic assault or any physical injuries. And the other 2 cops also found ZERO evidence of anything. So if you believe these alligations then you also believe not 1, not 2, not 3 but ALL 4 police officers lied about their original findings and under oath.",2020-04-28T11:28:06Z,0
25,UgzDeeFbm8QVvSb7QDB4AaABAg,Ixchel Roy,This doesn't appear like Amber fabrication this call definitely seems genuine and from a concerned party. It is the first time that some evidence looks like Johnny may be guilty from the anonymous source who called this in definitely wants the police to intervene on a couple with domestic violence against the woman involved.,2020-04-28T01:27:03Z,0
26,UgzDeeFbm8QVvSb7QDB4AaABAg,Nerdette's NewsStand,"Its not problematic, its showing the complete fabrication at Amber's hand, all evidence should be viewed to have an informed opinion",2020-04-27T23:50:07Z,1
27,UgyfMxxnd4Ctk1CnCkx4AaABAg,Mr Martin,Thank you for such detail,2020-07-23T22:49:27Z,0
28,UgyfMxxnd4Ctk1CnCkx4AaABAg,NIBS,"@Hi Wall , Amber Heard even accused the Police of lying in their reports (TMZ, Amber Heard: Cops are Lying, they saw me bruised and battered, 6/1/2016), but the fact that there were two witnesses that night, and TWO 911 calls resulting in TWO sets of two police officers who BOTH examined ALL of the apartments for signs of an altercation, AND for marks, bruises, or injuries on Ms. Heard...I think her lawyer advised against it.  It was a complex case.  Ms. Heard had set it up so that SHE didn't call the police.  Despite telling the press that she HAD--she NEVER filed a police report.  At the time, I believe that they had little evidence against her, other than her deposition.  Raquel Pennington was clever enough to say she never actually witnessed any abuse, in her deposition.  #MeToo was all over the news at that time.  The Judge dismissed the case with prejudice, and that should have ended it.  Now Ms. Heard will have to testify in court, in the Virginia Defamation case.  Her co-conspirators will also have to testify.  That testimony, along with every story, every video, and every speech that Ms. Heard has given will provide ample evidence.  Mr. Depp's lawyer has subpoenaed every text message, every recording, every single piece of evidence pertaining to Ms, Heard's attempt to frame Mr. Depp.  They will prosecute after all the evidence is laid out in the upcoming trial.",2020-04-29T06:39:59Z,5
29,UgyfMxxnd4Ctk1CnCkx4AaABAg,Hi Wall,"@NIBS I agree Mr Depp was protecting her, but that doesn't mean the police couldn't press charges? She made demonstrably false claims in court, got her friend to falsely call emergency services, wasting police resources the list goes on, don't understand why action was taken earlier, money and fame?",2020-04-29T06:09:14Z,3
30,UgyfMxxnd4Ctk1CnCkx4AaABAg,NIBS,"@Hi Wall , at the time Ms. Heard was attempting to frame Mr. Depp, he was still very much in love with her.  He continued to protect her during the divorce (he submitted the pictures of the, uh, ""bed incident"" to the court with the condition that only the Judge, and the lawyers could see it, because it could ""harm her reputation"").  But Ms. Heard, being a narcissist, had to keep forcing the issue.  After the Virginia Defamation Case, Ms. Heard can be prosecuted for the multiple crimes that she committed.  Mr. Depp's lawyer, Adam Waldman, is an incredibly astute attorney, and I believe that when the defamation suit ends, he will see that Ms. Heard faces justice.",2020-04-28T23:10:54Z,4
31,UgyfMxxnd4Ctk1CnCkx4AaABAg,Tania Haeussler,"Wow, you fucking ROCK!!!...",2020-04-28T15:52:51Z,2
32,UgwbTkHFB4KYln6d7OV4AaABAg,JSSTyger,I do sense an attitude and an overall resentment for humanity.  It very well could be Amber.,2020-05-02T20:21:38Z,0
33,UgwbTkHFB4KYln6d7OV4AaABAg,bluesque,Nah! That amber ass ain't that dumb,2020-04-30T21:04:31Z,0
34,UgwbTkHFB4KYln6d7OV4AaABAg,darkmistress1980,"i was thinking that too. bad acting and a slightly muffled voice (like trying not to sound like her so she could write off a friend making the call). i think she was planning for the long game (aka claiming to be a victim of DV so she can get $$ from it) and she was setting up ""evidence"" for the trial ahead/""just in case"".",2020-04-28T04:47:44Z,2
35,UgwbTkHFB4KYln6d7OV4AaABAg,Shelly Hebert,"Depending on which version you wanna believe. Its Amber's friend Raquel, or that other chick (i can't remember her name right now), who called. In my opinion it doesn't sound like Raquel. Another version is its the 'friend' that IO Tiliet Wright who made the call. Seems more plausible. But with that said odd. IO claims to have been in New York at the time and called this said friend in LA to call the police for her. 🤷‍♀️",2020-04-28T01:31:46Z,3
36,UgwbTkHFB4KYln6d7OV4AaABAg,Melissa Ball,I thought that it was that at well especially at the beginning,2020-04-27T21:26:19Z,6
37,Ugx9yHiFCIE9nHR7OfR4AaABAg,Ride or Dis,I thought Amber was being “assaulted”’ by flying phones and collar bone attacks at the time. But really she’s calling people instead of calling 911 herself? 🤔,2020-04-28T02:30:21Z,1
38,Ugx9yHiFCIE9nHR7OfR4AaABAg,Shelly Hebert,"Io claims to had a friend call for her because she was in NY at the time - still a piss poor excuse. You can make an out-of-town 911 call for someone, why drag in a middle person. So are thinking it was Raquel, but it doesn't really sound like her to me. The only thing I can see is its the 'friend' Io talked about in her Twitter rant or it was that other girl that was there with Amber and Raquel that night.",2020-04-28T01:38:00Z,1
39,UgzaNasd8InnM44rJEt4AaABAg,Darryl Blanch,"How many 3 year olds with a face full of cake lie better when declaring they haven't eaten the cake. I had 1 niece swear she had not eaten it, for evidence she showed all the cake on her face & dress proudly stating 'If I had eaten the cake then it would not be all over me!' I couldn't fault the logic of a 4 year old girl, in fact I was extremely impressed, so I gave her a pass on that 1 (uncles can do that shyte, it's why kids love us 🤪).",2021-01-11T20:33:32Z,0
40,Ugw2bOHn_p6k5FP0FDZ4AaABAg,football 19,Jeffery Carnes 😂,2020-05-01T18:45:53Z,2
41,UgwDzFW2kJgcsqibwPd4AaABAg,Chocolate Evans,@Lady Louise I didn't know that part. Thanks so much! 💖,2020-04-28T07:38:13Z,0
42,UgwDzFW2kJgcsqibwPd4AaABAg,Chocolate Evans,@Lady Louise Yes. I agree 1000% That's EXACTLY what happened!,2020-04-28T07:36:52Z,0
43,UgwDzFW2kJgcsqibwPd4AaABAg,Lady Louise,"Also just want to add that IO Tillet Wrights attorney, Lauren Schwartz, says the 911 call is from IO.",2020-04-28T07:36:20Z,0
44,UgwDzFW2kJgcsqibwPd4AaABAg,Lady Louise,@Chocolate Evans I do believe IO did call 911 twice though. She called 911 in the state she was in at the time first and then called 911 where Amber was after being directed to do so by the dispatcher from the first 911 call. If that makes sense.,2020-04-28T07:29:51Z,0
45,UgwDzFW2kJgcsqibwPd4AaABAg,Chocolate Evans,@Lady Louise EXACTLY! Thank you Diana 💖,2020-04-28T07:27:28Z,1
46,Ugx6pQ0-YgiFHWfluQB4AaABAg,Drunk3nFerret,@Viqala exactly if it was me I'd try to give the details in an orderly manner but would be stressed as fuck and trying to get back to help. Well personally I'd have already gotten involved man or woman and tried to stop it. Though if it was a gunman I'd speak urgently and give out as much detail as I could recall.,2020-04-28T00:25:19Z,2
47,Ugx6pQ0-YgiFHWfluQB4AaABAg,Viqala,"yes, the operator sounded actually baffled with the way the caller just had no interest in sharing any information and had to pull it out of her. If you witness an attack, first of all you would get an adrenaline rush and a sense of urgency. Especially if it's your close friend being the victim and you just left, apparently downstairs, not really knowing what is happening now and if she's safe or getting really hurt. And ESPECIALLY given the horrible things Amber testified Johnny did to her that day. None of that fits together into a logical story. Just goes to show she really thought she could just grab pieces of facts and spin a tale around it and he would just cave without ever defending himself in court.",2020-04-27T23:36:31Z,5
48,Ugw-8caamqdCY-DlOpV4AaABAg,Jess Sol,also her she didnt hear or witness... the callers friend told her... her friend is amber...,2020-05-02T19:51:49Z,1
49,Ugw-8caamqdCY-DlOpV4AaABAg,Prometheus Venom,Jeron Cradle This is weird it doesn’t sound right,2020-04-29T02:14:23Z,0
50,Ugw-8caamqdCY-DlOpV4AaABAg,Desdemona,But Amber had two boyfriends and a husband. The caller should have been more specific. 🤣🤣🤣,2020-04-28T14:29:30Z,16
51,Ugz6O50N8_YQrafqBHp4AaABAg,Buck Steingold,"@F E I couldn't agree more and thank you for the analysis. Nice to hear other perspectives, especially when they're thought out as well as yours! Have you seen, ""Out of Shadows""? It is 1hr 17min and I think still on YouTube. Great short documentary made by a couple Hollywood stunt men of all people. If you get a chance please let me know what you think. Take care.",2020-04-29T21:57:00Z,0
52,Ugz6O50N8_YQrafqBHp4AaABAg,F E,"@Buck Steingold Needless obfuscation; the way she was vacillating on simple details, like describing it as ""A man, that's all I know"" (which proved untrue) was not only evasive, it rendered the scenario totally incomprehensible. From that description it could have been a home invader or a burglary or a trade call out gone wrong; the dispatcher was understandably confused. She just did not sound credible or coherent but rather deliberately misleading (not just evasive). There were other instances of strange priorities and emphasis too, plus the self absorption and self focus(prioritising anonymity, having to go now etc.) and how flippant, casual, and dismissive she was at being essentially told that how she was reporting the incident was potentially undermining the assistance the police department would be able to provide to the alleged victim and she just blew it off with ""Ok, ok, ok"" (2:30). Again, there are probably lots of justifiable defenses for such things and someone should not be vilified on such judgements alone but it still came across very questionably.",2020-04-29T19:19:31Z,0
53,Ugz6O50N8_YQrafqBHp4AaABAg,Buck Steingold,"@F E What were your ""Top 3""? I'd really appreciate hearing your opinion.😀",2020-04-29T17:22:42Z,0
54,Ugz6O50N8_YQrafqBHp4AaABAg,Buck Steingold,"@F E Exactly, this call has all kinds of problems with it.",2020-04-29T16:49:29Z,0
55,Ugz6O50N8_YQrafqBHp4AaABAg,F E,"I can understand the argument that someone might be evasive because of the status of the ppl involved and they don't want the press picking it up or even they don't want the ""abuser"" to be able to find out who it was or whatever. There are alot of reasonable explanations for someone being ""evasive"". But none I can think of explain the utter weirdness of this call. Evasiveness wasn't even in the top3 of things that were off about it.",2020-04-29T16:47:10Z,0
56,UgzV48UymrelLuUPKyJ4AaABAg,Nerdette's NewsStand,Working on a video abt that now,2020-04-27T19:31:52Z,6
57,UgzrTcK2JSHnL4vVmnF4AaABAg,Janis C,No emotion. If it were true she would be frantic,2020-05-03T12:51:08Z,0
58,UgzrTcK2JSHnL4vVmnF4AaABAg,Chris John,Daisies Phiang hello,2020-04-28T23:05:20Z,0
59,UgzrTcK2JSHnL4vVmnF4AaABAg,Daisies Phiang,I'm agree with you.,2020-04-28T20:15:17Z,0
60,UgzrTcK2JSHnL4vVmnF4AaABAg,Chris John,Cyra DeLaRev I think you are right,2020-04-28T09:10:36Z,0
61,UgzrTcK2JSHnL4vVmnF4AaABAg,Cyra Gets Fit,About as good as Amber's acting. What if she called herself? Using a burner phone?,2020-04-27T19:48:56Z,6
62,UgxjGJhOdXKUKidFdsB4AaABAg,Sneasel,"craig mosley I agree. She sounds bothered and like she has an attitude.

“I happen to know that it’s happening,” but didn’t witness it, lol. And it ‘could be’ a boyfriend. She wanted to say it was Johnny. 

Disgusting, and why you can’t just “believe” women.",2020-04-28T12:01:56Z,4
63,UgxjGJhOdXKUKidFdsB4AaABAg,Celine Appeldoorn,"I think she knows shes doing something thats not real, because if it was real, she would anser with her name, and just told the hole story",2020-04-27T21:29:55Z,10
64,UgxjGJhOdXKUKidFdsB4AaABAg,Video Blend,This was my guess,2020-04-27T20:09:53Z,6
65,UgzT9rfi1DOY4rg5Hq94AaABAg,TFox,stirling Get over yourself. If you had listened to any of the audio or read depositions you would know this isn’t true. Which one of them has a history of physical violence?!  Oh right.....that would be “the nameless one”.,2020-05-02T15:34:48Z,3
66,UgzT9rfi1DOY4rg5Hq94AaABAg,TFox,mi. di. WHY? Because he’s a man and she’s some “poor defenseless little woman”? That statement alone shows ignorance. 🙄,2020-05-02T15:31:24Z,2
67,UgzT9rfi1DOY4rg5Hq94AaABAg,mi.,"there's no smoke without fire, I'm sure depps not innocent",2020-05-02T15:05:50Z,0
68,UgzT9rfi1DOY4rg5Hq94AaABAg,F E,"@Emelia Jade, him having obvious culpability for whatever his own part was in their altercations doesn't change the fact that she has actively and consistently lied and tried to mislead the public record, taking no responsibility for her own violent actions. If he's a ""dirty woman beater"", as you said, what does that make her? There are multiple recordings of her confirming having violently assaulted him and not exclusively in self defense. In her accounts of having allegedly experienced domestic violence she never once addressed having also perpetrated it, yet we now know from her own admissions that she had.",2020-04-29T16:38:18Z,2
69,UgzT9rfi1DOY4rg5Hq94AaABAg,areeana chowdhury,"@Emelia Jade 😂😂 there's literally all this fucking evidence all over the place on Johnny's side and your argument is that, it's all because we have a crush on him? I mean..that's just sad now",2020-04-28T22:59:51Z,7
70,Ugx4730D5tzZM2K3mIZ4AaABAg,Leah Lewis,imene Oukil Brian (incredibly average) said on twitter that it sounds like Ambers friend Raquel. iO’s voice is deeper than that,2020-04-27T19:58:04Z,5
71,UgyyfQlt1mOrQvt_T4l4AaABAg,Joanne,Could it be possible she made the call herself? Cause I can see her do it. Or is this the exact time those two were having the fight?,2020-04-28T05:34:03Z,0
72,UgyyfQlt1mOrQvt_T4l4AaABAg,Video Blend,"I say Subpoena, all AH friends and associate, let's get to the bottom of this charade! The ladies phone should be traceable, so finding her should be easy, right! why would anyone need a burner phone?",2020-04-27T20:13:21Z,4
73,UgxVThwrGVViZyaswER4AaABAg,Eloise L,remember A dude named Io called yet the voice is another person lol,2020-05-02T22:53:35Z,2
