,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyVTQGTwBsrX_8AsI14AaABAg,PR Media,hahahahahha,2020-11-30T23:32:33Z,0
1,UgyuhOVacbH9bvU0y9d4AaABAg,N,@PR Media :D,2020-11-28T22:38:49Z,1
2,UgyuhOVacbH9bvU0y9d4AaABAg,PR Media,Done.,2020-11-28T22:12:12Z,1
3,UgyW-8Uzt8RXRipnDc94AaABAg,Rock Candy,Have they publically supported Johnny because i'm not aware of that...,2021-04-05T15:56:06Z,0
4,Ugx7yaYA87iRoPxMZNV4AaABAg,Oscillate Wildly,"@Wildcat Hawkins dude, he does do independent movies and even has a production company. He makes huge donations to the Ormond Street Hospital in London as well as other hospital's and charities. What do you do?",2020-11-28T04:39:00Z,0
5,Ugx7yaYA87iRoPxMZNV4AaABAg,Wildcat Hawkins,@Oscillate Wildly white knight harder,2020-11-28T04:38:10Z,0
6,Ugx7yaYA87iRoPxMZNV4AaABAg,Oscillate Wildly,"His comment on the wine was an exaggeration and done with sarcasm and wit in response to the statement made by the financial management/advisors who were attempting to deflect their criminal mishandling of  his finances, losing 650 million, they failed to pay his tax for 17 years which left him owing 100 million to the IRS. Their immediate response was to blame his spending habits and used the example of the money spent on wine which (was not in the millions!) and was not just for him but also for entertaining guests and his many freeloaders. How he chooses to spend his money is no business of yours! Your attempt at a put down only makes you look like an envious prick who lacks empathy.  You don't even know him personally but you somehow feel entitled to make judgements about his lifestyle,  and the level of your hatred makes you not not care about a person's fate! Wow! Harsh! Check yourself dude.",2020-11-28T04:34:38Z,0
7,Ugx7yaYA87iRoPxMZNV4AaABAg,Penney Burgess,"Her continual abuse broke his sobriety. He had been sober for years. That’s on him, his sobriety that is, but she drove him to it deliberately as far as the evidence goes.",2020-11-27T18:33:56Z,1
8,Ugx7yaYA87iRoPxMZNV4AaABAg,Wildcat Hawkins,@Bridgey not saying hes done anything wrong with his own money I just don't feel sorry for him.  He's so rich he can make independent movies with more integrity and executive produce them with his own wealth and connections.  Maybe now he will.,2020-11-20T01:05:26Z,0
9,UgyqF9LA2iPQ07AHIWN4AaABAg,D H,Though we all know even if ah was asked to resign she would never back down after all she is now trying to push for more screen time in the movie that she herself is only a side character in it’s not called mera and aquaman 2 it’s just aquaman and honestly mera is very easily recastable. This movie is going to suffer massively and it’s a crying shame and not fair to Jason who’s career is being dragged into this mess because of a gold digging abuser is lost in her own little fantasy world.,2020-11-18T21:36:24Z,2
10,Ugw7rYD11XbjoHBLEpZ4AaABAg,D H,Here’s hoping with the Virginia trial coming up and the judge actually saying bugger off to ah and her ridiculous attempts to silence people that this trial gives Johnny the justice that he so deserves and that ah gets what’s coming to her hard cause I will call this now. If wb doesn’t fire this witch if the verdict goes in Johnny’s favour then there will be riots outside wb studios calling for her head and the heads of the people too scared to do the right thing. Cause we all know for a fact if they are faced with that outcome and they pull a “she is under contract to play the character” then everyone will be shouting what about Johnny. He was contacted for his fantastic beast role which brought more money in anyway,2020-11-19T04:10:01Z,1
11,UgzLBPxLQtTOyKsboAJ4AaABAg,D H,You also forgot #amberturd #amberoutofaquaman,2020-11-19T04:11:51Z,0
12,UgyP5LRsKGn_I4S7BRp4AaABAg,Jeanne Cihla,"Hopefully sooner then later. If he doesn’t win his back here in the US, it’s not going to;be pretty. Also Mr. Depp’s return to England  will be justified with reversal",2020-11-22T13:09:08Z,2
