,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxV99TaDLCa3pk3TnF4AaABAg,just an image,"Nah, i wont be missing nothing by not seeing aquaman 2.

I can steady live my life and not promote a psychopath. Thank you",2021-06-01T04:50:27Z,0
1,UgxYSsDp1fJ8xljIFGR4AaABAg,Barbaracarol 4,@Andrea 1 I thinking Warner Brothers I'll correct that,2021-07-11T19:50:06Z,0
2,UgxYSsDp1fJ8xljIFGR4AaABAg,Andrea 1,What does Marvel have to do with this?,2021-07-11T19:33:18Z,0
3,UgxYSsDp1fJ8xljIFGR4AaABAg,Nathaniel Bables,Marvel??? You mean DC,2021-06-06T02:25:12Z,3
4,UgwuO-KyJXNNHtwaT0t4AaABAg,Moonshine Story,Same,2021-06-07T15:42:39Z,0
5,UgzO6w6l98CckqWJFKN4AaABAg,lexie love 026,It's for sure for sure?? *she said hopefully*,2021-05-27T08:25:40Z,2
6,UgwZPtcHiqWysQQuFnt4AaABAg,Jazzo Nation,Credibility lost for others that are really in these kind of situations has always bothered me but no dv organizations or the meetoo movement haven't really tried undoing or limiting the damage done from this.,2021-05-27T05:42:37Z,3
7,UgwZPtcHiqWysQQuFnt4AaABAg,Crispy Co,Lot of JD supporter are actual DV victim that’s how we know who is the real abuser and Ambuser Heard is definitely the ABUSER in this case,2021-05-27T00:27:19Z,2
8,UgwYtggV9mZym3ooO_B4AaABAg,John Collier,"And, she should publicly apologize to Johnny Depp!",2021-06-15T18:55:14Z,0
9,UgwYtggV9mZym3ooO_B4AaABAg,just an image,She just gonna bang the right people,2021-06-01T04:51:16Z,2
10,UgwYtggV9mZym3ooO_B4AaABAg,Winston Gordon,💯 agree,2021-05-26T21:13:49Z,4
