,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzwXJPxCC89-zTMGZV4AaABAg,Oh my god Becky,Nah JD was already in Australia and she said she’d take responsibility for the dogs in a message or something and its not a crime for him to believe his wife on that. He’s fine,2021-03-09T06:11:54Z,0
1,UgxIPMxuol9kAXSYDZN4AaABAg,Carmen Castro,@Rocio Pazos Martinez I am in. Let's make a Crowdfunding to get her jailed in Australia 😜,2021-03-07T15:24:29Z,1
2,UgxIPMxuol9kAXSYDZN4AaABAg,Rocio Pazos Martinez,"I think if she has to go to jail in Australia and they don't have money, no problem, all the 1.8 million don't want her in aquaman 2 put £1, there you have the money..... 🤣 🤣 🤣",2021-03-07T14:13:09Z,2
3,Ugy_zJU_DWNqGsGuyWR4AaABAg,TKPS,"The bags would have been scanned.  This was immigration stuff.  Being famous, she was allowed to make an effective advert explaining to other possible visitors about the seriousness of doing what she did instead of prosecution.  We were all well pissed off.  That was the first I'd heard of her and I remember being disappointed with Depp for taking up with such a drip.",2021-03-07T10:32:52Z,0
4,Ugwv2uxQbe0JhZUSmSZ4AaABAg,TKPS,It isn't that it's all that serious per se.  Though bringing any animal into this country without quarantine is considered quite serious.  It's that she embarrassed a politician who allowed her to make that apology contrary to the norm.  Not smart. (Blaming her Aussie P/A was even dumber).  He made noises in parliament (and in public) and that's probably why this came up in a Senate Committee thing. The guy concerned ruined his own rep by getting caught in an affair with his assistant and leaving his marriage and 4 kids.  Got dumped as leader of his party (currently in power) as a result and wants a redemption arc.,2021-03-07T10:46:00Z,0
5,Ugw1u0cooAC7Hz_zX-F4AaABAg,TKPS,"Well she sat in Court in the UK and said whilst she won't call anyone else a liar, she was the one telling the entire truth.  So at least 10 or 15 people had to be lying because what they said was the opposite of her statements.  I can't imagine there's anyone left who believes her, even her friends who have to at least pretend to.",2021-03-07T10:50:07Z,0
6,UgwKFiiDMmlyh74uIRJ4AaABAg,TKPS,"The bloke that let her make that apology when it's drummed into us how serious what she did is, is none too happy that she made a dick of him.",2021-03-07T10:52:08Z,1
7,UgzdFlFRl1IzIwq5Hp94AaABAg,Uncle Doobius,Exemplary wildlife management. If only China and the US would follow suit. We’d have no pandemic rightnow.,2021-03-07T10:50:26Z,1
8,UgyTaXzfoxRc17dH_e14AaABAg,TKPS,"@Toma She wasn't then.  I remember when I heard about it I didn't have a clue who she was.  I was annoyed with him to taking up with someone half his age.  I'd hoped he was better than that. JD took it on the chin FOR HER, not for us.",2021-03-07T10:55:31Z,0
9,UgyTaXzfoxRc17dH_e14AaABAg,webb662,"@Toma Agreed 👍 The Australian government knew exactly what they were doing to make the biggest impact statement of all, and it worked! I remember Johnny joking about it a little while later, I think he may have been promoting Fantastic Beasts here in the UK and he may made a point of saying that he did not have anything to declare, including dogs 😉 😀",2021-03-07T10:12:32Z,0
