,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwCAC8DhC0hpoPnY1R4AaABAg,Tithi Cooks,So why is that? there is more to it than we will ever know.,2021-06-04T14:41:15Z,0
1,UgygncMBugj3sJHEmiV4AaABAg,Frances Elizabeth,@Tithi Cooks yikes!  :/,2021-06-08T04:23:49Z,0
2,UgygncMBugj3sJHEmiV4AaABAg,Tithi Cooks,And it works everytime for them... because now she is playing the main role for Aquaman.. as Aquagirl,2021-06-04T14:40:13Z,2
3,UgyeABepjx4FLlg1Jdx4AaABAg,thetruth,For now,2021-06-04T05:07:20Z,0
4,Ugw5453JigbyxTVmsK54AaABAg,VinMode,@Lily Mae it may have gotten her money but it most definitely did not get her fame on the contrary. Every YouTube survey I’ve seen about her so far alone has had 12% her favor and 88% opposing. What good is the money she got if she is living in shame over something she’s done to an innocent man.,2021-06-04T15:11:45Z,0
5,Ugw5453JigbyxTVmsK54AaABAg,Lily Mae,It got her  money and fame,2021-06-04T15:08:41Z,0
6,UgzxsYGmKtlX-9O7s1Z4AaABAg,Amy Mackay,@TheSyannetti 😂😂 good I’m not the only one,2021-06-03T22:17:37Z,0
7,UgzxsYGmKtlX-9O7s1Z4AaABAg,TheSyannetti,That’s a hard no lol I was like wtf did she just say?,2021-06-03T22:12:03Z,2
8,UgxCXo8kKTnHOrZBC414AaABAg,Priyatham Manohar Koka,They r simping abt amber,2021-06-04T09:52:53Z,1
9,UgzzlKLmLEwB8b6NCjl4AaABAg,Itsyagirl_Lia👑,Even if he does it doesn't help if the judge is a friend of the other person or friends relative. From what I read the judge was in her favor even with all the evidence as for Johnny he tried to fix the arguments,2021-06-03T15:27:50Z,0
10,UgxAq-J32h7pDuTW-Jx4AaABAg,Tithi Cooks,It’s not that simple.. because it doesn’t make sense when everyone knows Amber heard is the guilty one she still is getting cast as main lead .. even more so now than ever.. which means there is more to it then we normal people know.,2021-06-04T14:42:29Z,2
11,UgxrQ5XA5Cgdxky9odZ4AaABAg,Paul Forstall,"That's was my main argument for the guy. Also my girlfriend said, ""I don't think you just all of a sudden become an abuser in your mid 50s""",2021-07-22T15:57:43Z,0
12,UgxrQ5XA5Cgdxky9odZ4AaABAg,Melany Miskatonic,Right? As opposed to Amber’s ex that she publicly hit and lied about in an airport or something,2021-07-21T01:30:04Z,0
13,UgxrQ5XA5Cgdxky9odZ4AaABAg,Zayar Lin,That's what I'm about to say.,2021-07-20T21:08:03Z,0
14,UgxrQ5XA5Cgdxky9odZ4AaABAg,Cecilia Rivas,"Not just one, but two exes! 🙂",2021-06-17T22:30:50Z,0
15,UgxrQ5XA5Cgdxky9odZ4AaABAg,abrar MS,Not really maybe he was blackmailed or he’s helping her just because he loved her before.. so many reasons,2021-06-04T02:08:52Z,1
16,UgwMSlnuC_phJX2f5Ed4AaABAg,sweet potato,Right?,2021-06-04T09:29:31Z,3
