,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzSoQo8NRamgO1J9gt4AaABAg,Fillowskyy,Mnie też,2021-06-06T05:49:13Z,1
1,UgxhfMtxptavFkTFimJ4AaABAg,Między Słowami,Też uwielbiam :) Pozdrawiam i dzięki za subksrybowanie!,2021-05-12T09:21:05Z,1
2,UgzSDti8sh8Cy5XXUAZ4AaABAg,Dobrawa ciekawostki dla ciekawych,"Johnny Deep o zonie Amber: ,,Zerzne jej trupa"". Smutne walki malzenskie i przepychanki miedzy Johnym Deepem a jego zona. Deep oskarzal zone o odciecie mu malego kawalka palca, zona oskarza go o bicie po twarzy. Sms Deep nt. zony dzialaja na niego obciazajaco: „Spalmy Amber. Utopmy ją, zanim ją spalimy! Potem zer**ę jej trupa, żeby mieć pewność, że faktycznie nie żyje” – miał napisać Depp w listopadzie 2013 roku.",2021-05-07T09:27:25Z,0
3,Ugwbyrk27M_uoL4opBB4AaABAg,smieszny gosc,@Grenadiel racja,2021-05-01T20:41:52Z,2
4,Ugwbyrk27M_uoL4opBB4AaABAg,Grenadiel,"Chyba ktoś Cie w życiu mocno skrzywdził bo nie dość że masz myślenie tunelowe, to w ogóle olewasz że Amber plącze się w zeznaniach i kłamie. Nie każdy facet to świnia.",2021-05-01T20:35:32Z,3
5,Ugy90JjApRAmjly7k0N4AaABAg,memiasz z internetu,Puknij się w ten pusty łeb,2021-08-26T22:59:00Z,1
6,UgxARVC3kAfaCE_uCAh4AaABAg,Yso Srs,I w jakich sprawach prawda leży gdzieś pośrodku? W sprawach przemocy domowej?,2021-04-30T08:18:59Z,0
7,UgzNTuIqXmfaYhQ0yZF4AaABAg,smieszny gosc,xdd,2021-05-01T20:42:19Z,1
8,UgwO_UM1f1lU_oSruWR4AaABAg,smieszny gosc,ale ty wiesz ze ona zdradzila go z elonem muskiem i było nagranie jak rzucała w niego szklaną butelką,2021-05-01T20:43:48Z,1
9,UgyYCaXUba3NV_N4c3l4AaABAg,smieszny gosc,@Grenadiel wiem szkoda deppa,2021-05-01T20:40:30Z,2
10,UgyYCaXUba3NV_N4c3l4AaABAg,Grenadiel,@smieszny gosc I to z Elonem Muskiem xD,2021-05-01T20:37:38Z,3
11,UgyYCaXUba3NV_N4c3l4AaABAg,smieszny gosc,amber tez zdradzila deppa ale ja kazdy bedzie bronic,2021-03-23T10:49:51Z,2
12,UgyYCaXUba3NV_N4c3l4AaABAg,smieszny gosc,a amber jest jeszcze gorsza,2021-03-23T10:46:50Z,2
13,UgzEeLS6NarzSgnK5ph4AaABAg,Monika,@Justyna Wojcicka takich informacji nie ma w tym filmiku,2021-01-27T01:18:46Z,0
14,UgzEeLS6NarzSgnK5ph4AaABAg,Justyna Wojcicka,Nigdy w zyciu nie bronilam damskich bokserowgwalcicieli ale z mojej perspektywy to przede wszystkim Amber stosowala przemoc zarowno psychiczna jak i fizyczna i jest nie zrownowazana narcystyczna osobowoscia,2021-01-27T00:30:04Z,0
15,UgzEeLS6NarzSgnK5ph4AaABAg,Justyna Wojcicka,Ona ma pełno zachowań swiadczacym o kłamaniu wiesz ze ona odciela kawalek palca Depowi i nie byla mniej agresywna od Depa przyznala sie tez ze przywalila mu w twarz bo nie chcial otworzyc jej lazienki Depp nie mial zadnych wczesniej oskarzen o przemoc w zwiazkach wszystkie byle go bronily natomiast Amber miala wczesniej sprawe gdzie jej byla dziewczyna wezwala policje,2021-01-27T00:25:42Z,1
16,UgxRdT9fuAPjCGJBC8h4AaABAg,Justyna Wojcicka,Disnay powoli przeprasza Jonnego.On ma też duże wsparcie raczej jej tonie ujdzie na sucho,2021-02-04T19:09:30Z,0
17,UgzonVP_aT5FMfsgPyh4AaABAg,Justyna Wojcicka,Ona nie chce żeby było widać że kłamie ona nie wie że to widać .,2021-02-04T19:13:41Z,1
18,Ugz_gF6gFu-NXaSdHPJ4AaABAg,Mercix,"@Justyna Wojcicka jakieś brednie xd sad uznał go za winnego, a gazety, w których nieprzychylnie pisano o Jhonnym miały racje. Podsyłam link do lektury na ten temat pierwszy lepszy z Google https://www.google.pl/amp/s/www.gala.pl/artykul/amp/johnny-depp-przegral-w-sadzie-jest-wyrok-w-sprawie-zwiazanej-z-amber-heard-201102115139",2021-02-04T21:02:58Z,0
19,Ugz_gF6gFu-NXaSdHPJ4AaABAg,Justyna Wojcicka,@Mercix Nawet Disney oficjalnie przeprosił Jonnego Deppa,2021-02-04T19:28:21Z,0
20,Ugz_gF6gFu-NXaSdHPJ4AaABAg,Justyna Wojcicka,@Mercix Wygrała niesprawiedliwie wynika to z akt i taśm pozatym jest teraz apelacja w trakcie którą Amber ma małe szanse żeby wygrać,2021-02-04T19:23:10Z,0
21,Ugz_gF6gFu-NXaSdHPJ4AaABAg,Mercix,@Justyna Wojcicka  amber wygrała sprawę,2021-02-04T19:18:36Z,0
22,Ugz_gF6gFu-NXaSdHPJ4AaABAg,Justyna Wojcicka,W czym się pomylił jakbyś kojarzyła sprawe to byś wiedziała że Amber ma problemy psychiczne i kłamie jak najęta,2021-02-04T19:16:53Z,0
23,Ugy49ruavuFEQeuKlVd4AaABAg,BRUBEL ಠ‿ಠ,"@Anna Yasenetska ja właśnie znam wersję według której po tej apelacji został uznany za niewinnego, ale mimo to został zmuszony do porzucenia roli Grindelwalda, co dziwne dopiero po tym jak wyszło, że jest niewinny
Ale nie jestem pewna na ile to wszystko prawda, bo wersji słyszałam już sporo, i każda kolejna bardziej przekręcona...",2021-05-05T14:23:43Z,0
24,Ugy49ruavuFEQeuKlVd4AaABAg,Anna Yasenetska,"@BRUBEL ಠ‿ಠ nie słyszałam że wygrał,a tylko że podał apelację 🤔",2021-05-05T14:15:42Z,0
25,Ugy49ruavuFEQeuKlVd4AaABAg,BRUBEL ಠ‿ಠ,"Wygrał sprawę ostatecznie, ale w zasadzie mało mu to pomogło.",2021-05-05T14:03:22Z,0
26,UgzhziAAsxnf80OgwVR4AaABAg,Ela Obserwator,"@Magdalena Motylińska a to ciekawe 
https://www.plotek.pl/plotek/1,78649,20149547,vanessa-paradis-broni-deppa-nigdy-nie-podniosl-na-mnie-reki.html 
14 lat związku, wszędzie pisze, że żoną jednak była. Tu nie chodzi o gloryfikację przemocy domowej obojętnie kto kim jest ale, nie cierpię kłamstw i manipulatorek dla sławy i kasy. Tutaj ewidętnie coś nie jest",2020-12-04T18:03:38Z,0
27,UgzhziAAsxnf80OgwVR4AaABAg,Magdalena Motylińska,"wygrała w sądzie w sprawie publikacji w gazecie, a nie w sprawie rowodowej. Vanessa nigdy nie była żoną Deppa.",2020-12-04T12:05:22Z,0
28,Ugx2LefbyWbwjVgRzEh4AaABAg,ssivVejzn s8akve,przegrał,2020-11-06T12:21:01Z,0
29,Ugz81pE5mxWXjrcrYx54AaABAg,eithelka,"Hehe, no biedny misio jak zwykle ubezwłasnowolniony. Przychodzi zła pani i sobie tak bierze pana bez pytania. Zostawił dla niej wieloletnią partnerkę, to był jego wybór.",2020-10-30T12:42:47Z,1
30,UgynwzEojAARIa1VBAp4AaABAg,Kapitan Fachura,@Między Słowami Jest to błąd.,2020-10-30T10:33:32Z,0
31,UgynwzEojAARIa1VBAp4AaABAg,Między Słowami,"Cóż to za pomysł, że ""nie powinno się"" ?",2020-10-28T08:10:44Z,0
32,Ugw5lZs01XFpsZ7Q2nl4AaABAg,Między Słowami,"Tak... Właśnie to jest jeden z nielicznych materiałów gdzie miałem zrobić go przed wyrokami z sądu, ale się wstrzymałem i żałuję :) Pozdrawiam",2020-10-28T08:15:00Z,0
33,Ugxaf-DtAnsN_Gp3WmF4AaABAg,Dobra We,@eithelka nikt nikogo nie zostawial doinformuj sie,2021-03-15T16:14:54Z,0
34,Ugxaf-DtAnsN_Gp3WmF4AaABAg,eithelka,"A mi go w ogóle nie szkoda. Zostawił dla niej inną kobietę. Jest zabawa, jest ryzyko.",2020-10-30T12:44:21Z,0
35,UgzMtb6rYDRnRPLX2xh4AaABAg,Dobrawa ciekawostki dla ciekawych,"Johnny Deep o zonie Amber: ,,Zerzne jej trupa"". Smutne walki malzenskie i przepychanki miedzy Johnym Deepem a jego zona. Deep oskarzal zone o odciecie mu malego kawalka palca, zona oskarza go o bicie po twarzy. Sms Deep nt. zony dzialaja na niego obciazajaco: „Spalmy Amber. Utopmy ją, zanim ją spalimy! Potem zer**ę jej trupa, żeby mieć pewność, że faktycznie nie żyje” – miał napisać Depp w listopadzie 2013 roku.",2021-05-07T09:27:48Z,0
36,UgxUHVtsT_DVhpARPb54AaABAg,Między Słowami,"Cześć Barbette, ustawiam zwykle automatyczne ustawianie reklam dlatego są w losowych momentach. Zawsze są włączone przed filmem i po, a w trakcie robi to automat. Czytając Twój komentarz pomyślałem, że mam ich nie wiadomo ile, ale po sprawdzeniu są 3 reklamy łącznie. Wiem, że to może niektórych denerwować i staram się zawsze znaleźć złoty środek. Ostatnio jeden widz wspomniał o tym tak jak Ty i w filmie było 7 reklam. Zmniejszyłem je dbając o widza :) W tym materiale na 16 minut są 3 reklamy. Bardzo Cię przepraszam jeżeli Cię to wkurza. Ja zrobiłem taki myczek, możesz też z niego skorzystać - skrzyknij się ze znajomymi czy rodzinką i kupcie Youtube premium :) Wtedy autor też dostaje wynagrodzenie za reklamy, a Ty ich nie widzisz :) Kosztuje to 36 zł na miesiąc, a można mieć 4 albo 5 użytkowników. Wychodzi po 9 zł na głowę. A oprócz braku reklam (nie mam ani jednej!) mogę odtwarzać youtube'a z wyłaczonym tabletem/telefonem. I jeszcze możesz pobrać materiały na urządzenie i odtwarzać bez wykorzystania danych :) 
Pozdrowienia",2020-10-19T15:42:51Z,0
37,UgxBxm9UrnBlNOUYKn94AaABAg,Między Słowami,Bardzo miło :) Zapraszam do udostępnienia !,2020-07-13T15:25:03Z,0
38,UgyOQmHBmg7WWV3n9_h4AaABAg,pszczoua666,@snaaail myka stauffer,2020-10-22T16:23:02Z,1
39,UgyOQmHBmg7WWV3n9_h4AaABAg,snaaail,Kto to taki ?,2020-10-22T09:35:35Z,0
40,UgxKM9tiqqi8QIV_uzl4AaABAg,Między Słowami,"Wezmę to pod uwagę, dzięki!",2020-06-21T11:49:35Z,0
41,UgwEggYO97BCQhpjihd4AaABAg,sauron saga,"Tylko trzeba przyznać że Amber jest naprawdę bardzo ładna, jak na złość w 100 proc w moim guście. Ale tokstyk i psychopata jednak z niej...",2020-06-15T10:40:56Z,1
42,Ugx7VfrdweDNOvmbmNZ4AaABAg,Krystian Koga,A przedewszyskim jak jesteś  milionerem,2021-04-08T13:25:45Z,0
43,UgwEq6w1L66X147XHP54AaABAg,Sara Croft,"@Mloda_Kluska to tak nie działa, na samą myśl o czymś przykrym zmienia się spojrzenie na chwilę albo kącik ust wyrażając przykre emocje, u niej tego nie ma. Poza tym jak Deep jest wkurzony to ona go nagrywa mówiąc tonem głosu, który może sprowokować tak wkurzoną osobę a on jednak od niej odchodzi. Myślisz naprawdę, że poślubiła takiego starucha nie dla pieniędzy i jej obecne zachowanie się nie łączy z tym nagrywaniem oraz oczernianiem go w mediach dla potrzeb podziału majątku przy rozwodzie??? Nie chce się uwolnić od starucha żeby mogła legalnie się już spotykać z innym facetem?",2020-10-25T13:09:25Z,0
44,UgwEq6w1L66X147XHP54AaABAg,Mloda_Kluska,"Ofiary przemocy, ktore sa zwyklymi Kowalskimi. Nie oczekujmy od wzietej (jakby nie patrzec zagrala wiele rol i byla znana zanim poznala Deppa), ze bedzie sie zachowywac jak wystraszone kurcze. Poza tym jest cos takiego jak duma, nawet sztuczna, mozna nie chciec pokazac partnerowi i otoczeniu jak bardzo cos nas zmiazdzylo. Nie ma co widziec tylko na czarno-bialo.",2020-10-25T12:16:36Z,0
45,UgxYBzCJRfSHk6CtioF4AaABAg,Marceline Von Schrute,"Dokładnie to samo chciałam powiedzieć panienkom które znaja tylko te fakty które pasują do ich teori o sprawie i mówią ze amber jest 100% winna. To ze twoje majteczki są mokre dla Johnego nie znaczy ze nie jest alkoholikiem, narkomanem i przemocowcem. Wiesz ze 100% oznacza całość? :)",2021-06-21T11:56:26Z,0
46,Ugx_CdcbD71NXCJq3VV4AaABAg,Michael,Oglądaj film z pełną dokładnością i słuchaj o czym twórca kanału w nim mówi.,2020-06-02T17:59:21Z,0
47,Ugx_CdcbD71NXCJq3VV4AaABAg,Między Słowami,"W filmie nie jest określone, że ofiara jest na równi odpowiedzialny z ofiarą. Użyte jest określenie, że wina zwykle leży po obu stronach. Nie jest powiedziane w jakim stopniu, ani procentowo.",2020-06-02T17:34:32Z,1
48,UgymGWC4QBG3AiotpIJ4AaABAg,Między Słowami,"Któż to wie, może może :)",2020-06-02T17:45:24Z,1
49,UgwGVuJcs9XO1JeSvcx4AaABAg,Między Słowami,Polecam zapoznać się dokładniej ze sprawą,2020-06-02T17:47:33Z,0
50,UgyJuTvcV4ygQeA7tmd4AaABAg,Między Słowami,Sensownie mówisz :),2020-06-02T17:47:55Z,1
51,UgwuXgYNZevWwpZ4kM54AaABAg,Grenadiel,Na tyle Oscarowa żeby zniszczyć Deppowi karierę :/,2021-09-25T18:24:36Z,1
52,UgwuXgYNZevWwpZ4kM54AaABAg,Lingua Pura,"@Twinkle Twinkle W jakiej sprawie, mógłbyś podać jakiś odnośnik? Zaciekawiło mnie",2021-05-16T17:57:51Z,2
53,UgwuXgYNZevWwpZ4kM54AaABAg,Dobra We,Jak ty ma awku xd,2021-03-15T16:50:01Z,1
54,UgwuXgYNZevWwpZ4kM54AaABAg,Twinkle Twinkle,"Dokładnie, trochę jak Bieber na swoim przesłuchaniu, tyle ze on miał wtedy naście lat xD",2020-06-24T18:43:29Z,34
55,UgwAYen8zL8BgXpXEiN4AaABAg,A. D.,@Avi Vi niestety tak,2020-10-20T20:03:09Z,0
56,UgwAYen8zL8BgXpXEiN4AaABAg,Avi Vi,Serio?,2020-10-20T19:40:19Z,0
57,UgyN9bYpYf_cDabdGJ14AaABAg,Marta L.,"Być może problem leży tu w tym, że ""odpowiedzialność"" kojarzy nam się zwykle z winą. I w tym sensie należy powiedzieć stanowcze ""nie!"". Osoba skrzywdzona NIE ponosi winy za swoją krzywdę. Gdyby jednak ująć pojęcie odpowiedzialności inaczej - jako zdolność bronienia siebie, ufania swoim instynktom, świadomość własnej historii życiowej (np. wiadomo, że osoby krzywdzone w dzieciństwie mogą nieświadomie wchodzić w żuciu dorosłym w związki, w których również będą nadużycia, przemoc) - być może mogłoby to pomóc ofiarom przemocy poczuć swoje sprawstwo, wyjść z pozycji ofiary na pozycję kto jest w stanie konstruować swoje życie inaczej. Nie wina, ale odpowiedzialność  - jednakże rozumiana w sposób nieobciążający, dający siłę i nadzieję.",2020-11-14T20:46:29Z,0
58,UgyN9bYpYf_cDabdGJ14AaABAg,Marcin Autrieb,"Banał nie mający wiele wspólnego z prawdą. Są zachowania definitywnie nacechowane  jako złe np.gwałt i tlumaczenie ,ze była prowokacja spowodowana zbyt wyzywającym strojem jest podzialem winy na pół. ...serio, tak uważasz?",2020-10-26T06:54:38Z,2
59,UgyN9bYpYf_cDabdGJ14AaABAg,Mrs Winters,zwykle w zwiazku przemocowym obie osoby maja cechy i zachowania umozliwiajace taki zwiazek.,2020-10-24T05:16:15Z,0
60,UgyN9bYpYf_cDabdGJ14AaABAg,Agnieszka Pechan,dokładnie. prawda leży tam gdzie leży prawda.,2020-06-09T15:15:37Z,9
61,UgwTjXl3qp4PU3wpKcx4AaABAg,Karolina,@Miłośniczka Książek dokładnie :) Jak dla mnie słaba próba manipulacji z jej strony,2021-06-03T20:41:45Z,1
62,UgwTjXl3qp4PU3wpKcx4AaABAg,Miłośniczka Książek,"@Karolina ja też to tak odebrałam. Tym bardziej, że ona była w miejscu, gdzie opowiada o swoich traumatycznych przezyciach, które podobno doświadczyła, w miejscu, które wymaga od nas kultury rozmowy i opanowania. 
W sądzie raczej przy zeznaniach nikt nie mówi ""wtedy moja mamusia była w kuchni"", tylko uzyje słowa ""mama"" ewentualnie ""matka"".
Jeszcze sposób w jaki to mówi ""baby sister"", to jakby chciala właśnie, żeby wszyscy co to uslusza jej współczuli i pomyśleli ""ojej, jaka biedna, mała siostrzyczka Amber""",2021-06-03T19:24:58Z,2
63,UgwTjXl3qp4PU3wpKcx4AaABAg,Karolina,"Tylko mi się wydaję, że ona używała tego zwrotu, żeby wywołać współczucie i ukazać Deep'a jeszcze  bardziej w roli agresora.",2021-03-04T18:49:57Z,22
64,UgwPJQoBbf1Zuk1mGdl4AaABAg,bananablue69,Chyba chłopa tu nie znajdziesz ;),2020-06-01T07:28:17Z,2
65,UgyylVfui_x962B5_Gh4AaABAg,Hjalmar an Craite,"Problem w tym, że to tym razem kobieta jest agresorem więc sytuacja jest jeszcze bardziej nieprzyjemna. Przez takie jak Amber, zmyślające i manipulujące, nikt kobietom nie wierzy. Są dowody na to, że to Amber dopuściła się przemocy, ucięła Deppowi palec etc., jest masa świadków przeciwko niej, a tym bardziej to nie jej pierwsze oskarżenie o przemoc domową (biła swoją dawną partnerkę). Są nagrania gdzie Amber przyznaje się do stosowania przemocy i wręcz śmieje się z Deppa, że nikt mu nie uwierzy bo jest mężczyzną. Więc nie, że za mało pobita. Po prostu narcystyczna suka, która wykorzystała ruch #MeToo dla własnego zysku i prawie zrujnowała życie i karierę niewinnego człowieka. Broniąc Amber, bronisz manipulatora i sugerujesz, że przemoc domowa wobec mężczyzn jest ok. A nie jest.",2020-06-01T19:22:40Z,4
66,Ugwr05MBXx7G89RsLO54AaABAg,Paulina Szczepańska,@Vegeta gratuluję,2021-06-21T12:19:08Z,0
67,Ugwr05MBXx7G89RsLO54AaABAg,Marceline Von Schrute,"@Vegeta no juz nie placz, widać ktoś tu ma mommy issues :) dorosły facet a płacze w komentarzach o jakiejś nieistniejącej wyższości kobiet. Idź do pracy nie bądź napleciarz",2021-06-21T11:41:39Z,0
68,Ugwr05MBXx7G89RsLO54AaABAg,Marceline Von Schrute,@Bartosz Basiura o nie biedactwa wreszcie sie naucza jak to jest bye traktowanym nie rowno. Za kazdego nieslusznie oskarzonego Samca przypada 1000 gwalciceli i przemocowcow ktorzy nie poniesli zadnych konsekwencji prizes spoleczenstwo obwiniajace za wszystko kobiety I usprawiedliwiajace Facetow,2021-06-21T11:39:52Z,0
69,Ugwr05MBXx7G89RsLO54AaABAg,Vegeta,@Paulina Szczepańska jakimi perspektywy własnej potrafię wykazać się empatia do innej osoby nawet innej płci,2021-06-20T05:48:32Z,0
70,Ugwr05MBXx7G89RsLO54AaABAg,Vegeta,@Jan Kowalczyk klasyk facet jest po to żeby go wysłać na wojnę i żeby giną dla kobiet co się przejmujesz chuj im w dupe albo dwa  w końcu to więzienie kobietami się martw,2021-06-20T05:48:05Z,0
71,UgyFEDhBMuu8uAA00yx4AaABAg,Sweet Roli,Kobiety też się tak zachowują.,2020-06-03T14:05:31Z,3
